unix_time,paths_total,unique_crashes
0,1,0
0.00138889,45,0
0.00277778,46,0
0.00416667,73,0
0.00583333,91,0
0.00722222,97,0
0.00861111,100,0
0.01,101,0
0.0141667,101,0
0.0172222,101,0
0.02,101,0
0.0227778,101,0
0.0269444,104,0
0.0311111,120,0
0.0325,129,0
0.0338889,130,0
0.0352778,132,0
0.0366667,132,0
0.0380556,132,0
0.0425,133,0
0.0466667,133,0
0.0508333,151,0
0.0522222,161,0
0.0536111,165,0
0.055,167,0
0.0577778,167,0
0.0619444,168,0
0.0677778,168,0
0.0705556,169,0
0.0719444,174,0
0.0733333,176,0
0.0747222,177,0
0.0761111,178,0
0.0775,178,0
0.0802778,181,0
0.0816667,185,0
0.0830556,187,0
0.0844444,190,0
0.0858333,190,0
0.0886111,194,0
0.0902778,196,0
0.0916667,197,0
0.0930556,197,0
0.0944444,198,0
0.0958333,198,0
0.0972222,199,0
0.0986111,200,0
0.101389,200,0
0.102778,200,0
0.104167,200,0
0.108611,200,0
0.11,200,0
0.111389,200,0
0.112778,200,0
0.114167,200,0
0.118333,200,0
0.1225,200,0
0.125278,200,0
0.129722,200,0
0.133889,200,0
0.138056,200,0
0.140833,200,0
0.143611,200,0
0.146389,203,0
0.150833,203,0
0.153611,203,0
0.155,203,0
0.159167,203,0
0.161944,203,0
0.166389,204,0
0.167778,209,0
0.169167,219,0
0.170556,226,0
0.171944,229,0
0.173333,229,0
0.174722,229,0
0.178889,229,0
0.181944,230,0
0.183333,235,0
0.191667,236,0
0.198611,236,0
0.21,237,0
0.283056,237,0
0.664167,237,0
0.666944,238,0
0.672778,245,0
0.6825,245,0
0.685278,245,0
0.75,246,0
0.817778,247,0
0.819167,247,0
0.833333,247,0
1.06694,248,0
1.06833,250,0
1.07111,251,0
1.0725,251,0
1.08944,251,0
1.385,253,0
1.38778,253,0
1.52139,253,0
1.75389,253,0
2.14056,253,0
2.46694,253,0
2.59944,253,0
2.73667,253,0
3.12167,254,0
3.12306,256,0
3.12722,256,0
4.52194,256,0
5.44444,257,0
5.44583,257,0
5.4475,257,0
5.45167,257,0
5.45444,257,0
5.45861,257,0
5.46278,257,0
5.46556,257,0
5.46694,257,0
5.46972,257,0
5.47417,258,0
5.47694,258,0
5.48111,258,0
5.48528,258,0
5.48833,258,0
5.4925,258,0
5.49667,258,0
5.50083,258,0
5.50528,258,0
5.50667,258,0
5.51083,258,0
5.51361,258,0
5.515,258,0
5.51778,260,0
5.51917,262,0
5.52056,264,0
5.52194,265,0
5.525,265,0
5.52639,265,0
5.53056,265,0
5.53611,265,0
5.54028,265,0
5.54333,265,0
5.54611,265,0
5.55028,266,0
5.55306,266,0
5.55583,273,0
5.55722,276,0
5.55861,278,0
5.56,278,0
5.56139,278,0
5.56417,279,0
5.56694,280,0
5.57139,280,0
5.58556,280,0
5.60111,280,0
5.61111,280,0
6,280,0
