unix_time,paths_total,unique_crashes
0,1,0
0.00138889,45,0
0.00277778,46,0
0.00416667,54,0
0.00555556,84,0
0.00694444,91,0
0.00833333,94,0
0.00972222,101,0
0.0111111,124,0
0.0127778,131,0
0.0141667,135,0
0.0155556,139,0
0.0169444,139,0
0.0183333,139,0
0.0197222,139,0
0.0211111,140,0
0.0225,140,0
0.0252778,142,0
0.0266667,142,0
0.0280556,142,0
0.0297222,159,0
0.0311111,166,0
0.0325,172,0
0.0338889,174,0
0.0352778,181,0
0.0366667,187,0
0.0380556,188,0
0.0394444,189,0
0.0408333,192,0
0.0466667,196,0
0.0494444,202,0
0.0508333,206,0
0.0536111,207,0
0.055,208,0
0.0563889,209,0
0.0591667,211,0
0.0605556,212,0
0.0619444,214,0
0.0633333,215,0
0.0647222,218,0
0.0677778,219,0
0.0691667,220,0
0.0705556,220,0
0.0719444,221,0
0.0733333,221,0
0.0747222,221,0
0.0761111,221,0
0.0775,221,0
0.0788889,221,0
0.0805556,221,0
0.0819444,221,0
0.0833333,222,0
0.0847222,222,0
0.0861111,223,0
0.0875,225,0
0.0888889,225,0
0.0902778,225,0
0.0916667,225,0
0.0933333,227,0
0.0947222,227,0
0.0961111,227,0
0.0975,227,0
0.0988889,227,0
0.100278,229,0
0.101667,229,0
0.103056,229,0
0.104444,229,0
0.105833,229,0
0.107222,230,0
0.108611,230,0
0.110278,230,0
0.111667,230,0
0.113056,230,0
0.114444,230,0
0.115833,230,0
0.117222,230,0
0.118611,230,0
0.121389,230,0
0.122778,230,0
0.124167,234,0
0.125556,234,0
0.126944,237,0
0.128611,245,0
0.13,245,0
0.131389,245,0
0.132778,250,0
0.134167,251,0
0.135556,251,0
0.136944,251,0
0.138333,251,0
0.139722,251,0
0.141111,251,0
0.143889,251,0
0.146667,254,0
0.148056,255,0
0.152222,256,0
0.153611,259,0
0.158056,259,0
0.160833,260,0
0.162222,260,0
0.163611,260,0
0.165,260,0
0.166389,261,0
0.167778,269,0
0.169167,270,0
0.1875,270,0
0.188889,272,0
0.190278,272,0
0.191944,273,0
0.193333,273,0
0.194722,273,0
0.196111,277,0
0.1975,277,0
0.198889,278,0
0.200278,278,0
0.201667,278,0
0.203056,279,0
0.204444,298,0
0.205833,298,0
0.207222,298,0
0.208611,319,0
0.210278,320,0
0.217222,324,0
0.218611,326,0
0.22,327,0
0.224167,331,0
0.225556,335,0
0.226944,336,0
0.228333,338,0
0.229722,340,0
0.231111,340,0
0.278889,341,0
0.294444,342,0
0.373333,344,0
0.374722,347,0
0.379167,348,0
0.380556,348,0
0.381944,349,0
0.413056,350,0
0.421389,351,0
0.786944,352,0
0.789722,353,0
0.795278,354,0
0.799444,356,0
0.800833,357,0
0.803611,358,0
0.806389,359,0
0.810833,359,0
0.934722,362,0
0.936667,362,0
0.945278,363,0
0.948056,363,0
0.960833,365,0
0.962222,365,0
0.963611,365,0
0.965,365,0
0.966389,369,0
0.967778,369,0
0.969167,372,0
0.970556,372,0
0.971944,372,0
0.973333,372,0
0.974722,372,0
0.976111,372,0
0.977778,372,0
0.979167,372,0
0.980556,374,0
0.981944,376,0
0.983333,376,0
0.984722,376,0
0.986111,377,0
0.9875,377,0
0.988889,377,0
0.991944,377,0
0.993333,377,0
0.996111,377,0
0.9975,377,0
1.00028,377,0
1.00306,377,0
1.00611,377,0
1.01028,377,0
1.02139,377,0
1.03389,377,0
1.03694,377,0
1.08639,377,0
1.09056,377,0
1.09194,377,0
1.09333,377,0
1.09611,377,0
1.10028,377,0
1.10167,377,0
1.10306,377,0
1.10722,377,0
1.11167,378,0
1.11306,379,0
1.11444,379,0
1.11861,379,0
1.12139,379,0
1.12306,380,0
1.12444,380,0
1.12861,380,0
1.13139,380,0
1.13278,380,0
1.13417,380,0
1.13556,380,0
1.13833,380,0
1.14278,380,0
1.14417,380,0
1.14556,380,0
1.14833,381,0
1.14972,381,0
1.1525,381,0
1.15389,381,0
1.15528,381,0
1.15667,381,0
1.15972,381,0
1.16389,381,0
1.16528,381,0
1.16667,381,0
1.17083,381,0
1.17361,381,0
1.17528,381,0
1.17667,381,0
1.17944,381,0
1.18361,381,0
1.185,381,0
1.18639,381,0
1.19083,381,0
1.19361,381,0
1.195,381,0
1.19639,381,0
1.19917,381,0
1.20333,381,0
1.20472,381,0
1.20611,381,0
1.20889,381,0
1.21167,381,0
1.21306,381,0
1.21444,381,0
1.2175,381,0
1.22028,381,0
1.22167,382,0
1.22306,382,0
1.22583,382,0
1.22861,382,0
1.23028,382,0
1.23167,382,0
1.23444,382,0
1.23722,382,0
1.23861,382,0
1.24,382,0
1.24278,382,0
1.24556,382,0
1.24694,382,0
1.24833,382,0
1.24972,382,0
1.2525,382,0
1.25417,382,0
1.25556,382,0
1.25694,382,0
1.25833,383,0
1.25972,383,0
1.26111,383,0
1.2625,383,0
1.26389,383,0
1.26528,383,0
1.26667,383,0
1.26806,383,0
1.26944,383,0
1.27083,383,0
1.27222,383,0
1.27361,383,0
1.275,383,0
1.27667,383,0
1.27806,383,0
1.27944,383,0
1.28083,383,0
1.28222,383,0
1.28361,383,0
1.285,383,0
1.28639,383,0
1.28778,383,0
1.28917,383,0
1.29056,383,0
1.29194,383,0
1.29333,383,0
1.29472,383,0
1.29611,383,0
1.2975,383,0
1.29889,383,0
1.30167,383,0
1.30611,383,0
1.30889,383,0
1.32139,383,0
1.33556,383,0
1.34667,383,0
1.35389,383,0
1.35667,383,0
1.36806,383,0
1.74111,383,0
1.75389,383,0
1.75667,384,0
1.75972,384,0
1.7625,384,0
1.76667,384,0
1.76806,384,0
1.76944,384,0
1.77083,384,0
1.77222,384,0
1.77361,384,0
1.77528,384,0
1.77667,384,0
1.77806,384,0
1.78083,384,0
1.79361,384,0
1.79639,384,0
1.79778,385,0
1.79917,385,0
1.80056,385,0
1.80194,385,0
1.80333,385,0
1.80472,387,0
1.80639,387,0
1.80778,387,0
1.80917,388,0
1.81194,388,0
1.82611,388,0
1.82889,388,0
1.83028,388,0
1.83167,388,0
1.83306,388,0
1.83444,388,0
1.83583,388,0
1.83722,388,0
1.83861,388,0
1.84028,388,0
1.84167,388,0
1.84444,388,0
1.85722,388,0
1.86,388,0
1.86139,388,0
1.86278,388,0
1.86417,388,0
1.86556,388,0
1.86694,388,0
1.87,388,0
1.87139,388,0
1.87278,388,0
1.87417,389,0
1.87694,390,0
1.87833,390,0
1.89111,390,0
1.89389,390,0
1.89528,390,0
1.89667,390,0
1.89833,390,0
1.89972,390,0
1.90111,390,0
1.9025,390,0
1.90389,390,0
1.90528,390,0
1.90667,390,0
1.90944,390,0
1.92361,390,0
1.92639,390,0
1.92778,390,0
1.92917,390,0
