unix_time,paths_total,unique_crashes
0,1,0
0.00166667,45,0
0.00305556,46,0
0.00444444,68,0
0.00583333,88,0
0.00722222,95,0
0.00861111,100,0
0.01,102,0
0.0141667,103,0
0.0172222,103,0
0.02,103,0
0.0227778,104,0
0.0255556,104,0
0.0269444,115,0
0.0283333,117,0
0.0297222,119,0
0.0311111,119,0
0.0325,121,0
0.0338889,121,0
0.0383333,121,0
0.0411111,121,0
0.0466667,121,0
0.0494444,121,0
0.0525,122,0
0.0538889,122,0
0.0552778,128,0
0.0566667,133,0
0.0580556,136,0
0.0594444,136,0
0.0636111,140,0
0.065,142,0
0.0663889,143,0
0.0691667,144,0
0.0708333,161,0
0.0722222,165,0
0.0736111,171,0
0.075,173,0
0.0763889,173,0
0.0777778,175,0
0.0791667,175,0
0.0805556,175,0
0.0819444,175,0
0.0863889,179,0
0.0891667,181,0
0.0905556,182,0
0.0919444,182,0
0.0933333,188,0
0.0947222,190,0
0.0961111,192,0
0.0975,193,0
0.103056,193,0
0.1075,193,0
0.110278,193,0
0.111667,198,0
0.113056,201,0
0.114444,202,0
0.115833,203,0
0.117222,203,0
0.118611,205,0
0.12,223,0
0.121389,223,0
0.124167,224,0
0.128333,225,0
0.132778,230,0
0.134167,234,0
0.135556,234,0
0.139722,234,0
0.143889,236,0
0.146667,236,0
0.149444,237,0
0.150833,237,0
0.155,238,0
0.156667,241,0
0.159444,248,0
0.160833,256,0
0.162222,261,0
0.163611,267,0
0.165,272,0
0.166389,278,0
0.168056,291,0
0.169444,298,0
0.170833,300,0
0.172222,300,0
0.173611,300,0
0.176389,300,0
0.177778,301,0
0.179167,301,0
0.185,304,0
0.189167,304,0
0.196111,304,0
0.204444,304,0
0.208611,306,0
0.21,315,0
0.211389,318,0
0.212778,320,0
0.214444,322,0
0.226944,327,0
0.741389,330,0
0.742778,330,0
0.891944,330,0
1.37889,331,0
1.38028,331,0
1.85833,332,0
1.86,332,0
1.86139,332,0
2.32444,332,0
2.32583,332,0
2.32861,332,0
2.33278,332,0
2.33556,332,0
2.33972,332,0
2.34417,333,0
2.34694,333,0
2.3525,333,0
2.35389,335,0
2.35556,335,0
2.35694,335,0
2.35833,335,0
2.36111,335,0
2.3625,335,0
2.36528,337,0
2.36944,337,0
2.37222,339,0
2.37389,344,0
2.37528,348,0
2.37667,348,0
6,348,0
