unix_time,paths_total,unique_crashes
0,1,0
0.00138889,45,0
0.00277778,46,0
0.00416667,75,0
0.00555556,92,0
0.00694444,101,0
0.00861111,105,0
0.0127778,105,0
0.0169444,105,0
0.0211111,105,0
0.0225,105,0
0.0238889,106,0
0.0266667,117,0
0.0280556,129,0
0.0294444,132,0
0.0308333,135,0
0.0352778,136,0
0.0394444,136,0
0.0408333,137,0
0.0422222,138,0
0.045,151,0
0.0463889,156,0
0.0477778,160,0
0.0491667,160,0
0.0508333,160,0
0.0522222,161,0
0.0536111,161,0
0.0563889,168,0
0.0577778,173,0
0.0591667,175,0
0.0605556,177,0
0.0619444,179,0
0.0633333,191,0
0.0647222,198,0
0.0661111,200,0
0.0675,200,0
0.0688889,200,0
0.0705556,200,0
0.0733333,209,0
0.0775,209,0
0.0802778,210,0
0.0816667,212,0
0.0830556,219,0
0.0844444,223,0
0.0858333,225,0
0.0872222,227,0
0.0886111,227,0
0.09,227,0
0.0944444,227,0
0.0958333,227,0
0.0972222,227,0
0.0986111,227,0
0.101389,227,0
0.105833,227,0
0.11,227,0
0.112778,227,0
0.115556,227,0
0.116944,227,0
0.1225,227,0
0.126944,227,0
0.131111,228,0
0.133889,228,0
0.138056,228,0
0.142222,228,0
0.143611,228,0
0.146389,228,0
0.150833,228,0
0.153611,228,0
0.155,228,0
0.159167,228,0
0.161944,228,0
0.164722,228,0
0.168889,229,0
0.171667,229,0
0.174444,230,0
0.177222,230,0
0.180278,230,0
0.184444,230,0
0.188611,230,0
0.191389,230,0
0.194167,230,0
0.198333,230,0
0.201111,230,0
0.202778,233,0
0.204167,233,0
0.206944,233,0
0.208333,238,0
0.209722,240,0
0.211111,242,0
0.2125,242,0
0.213889,242,0
0.228056,242,0
0.4125,242,0
0.413889,242,0
0.415278,242,0
0.416667,242,0
0.418056,242,0
0.419444,242,0
0.421111,242,0
0.425278,242,0
0.428056,244,0
0.432222,244,0
0.435,245,0
0.436389,245,0
0.439444,245,0
0.442222,248,0
0.443611,248,0
0.446389,248,0
0.459167,257,0
0.461944,259,0
0.473333,260,0
0.884167,262,0
1.01944,265,0
1.02361,265,0
1.16028,267,0
1.16167,270,0
1.16306,271,0
1.29972,271,0
1.43333,271,0
1.53611,272,0
1.54611,273,0
1.5575,274,0
3.17944,278,0
3.18361,279,0
4.04306,280,0
6,280,0
