unix_time,paths_total,unique_crashes
0,1,0
0.00138889,5,0
0.00277778,9,0
0.00416667,24,0
0.0127778,25,0
0.0141667,25,0
0.0172222,26,0
0.0272222,27,0
0.0313889,30,0
0.0330556,31,0
0.0544444,34,0
0.150278,34,0
0.156111,35,0
0.277778,36,0
0.289167,36,0
0.299167,38,0
0.300556,39,0
0.336389,84,0
0.337778,99,0
0.339167,102,0
0.342222,106,0
0.343611,107,0
0.345,109,0
0.346389,110,0
0.347778,112,0
0.349167,113,0
0.350556,116,0
0.351944,117,0
0.353333,118,0
0.358889,119,0
0.360278,120,0
0.361667,121,0
0.370278,123,0
0.374444,125,0
0.375833,126,0
0.38,127,0
0.392778,130,0
0.394167,132,0
0.396944,132,0
0.398611,133,0
0.406944,133,0
0.509722,134,0
0.639444,134,0
0.643889,135,0
0.715278,135,0
0.791111,135,0
0.977222,135,0
0.981389,136,0
1.12472,136,0
1.31361,136,0
1.31778,137,0
1.45111,137,0
1.46833,137,0
1.63444,137,0
1.65417,137,0
1.65861,138,0
1.66,138,0
1.66861,138,0
1.99333,138,0
1.9975,139,0
2.05333,139,0
2.3325,139,0
2.33806,140,0
2.3425,140,0
2.67972,140,0
2.70111,142,0
2.7025,142,0
2.70944,143,0
2.71083,143,0
2.71361,144,0
2.71528,145,0
2.72083,145,0
2.72222,146,0
2.72639,147,0
2.7475,151,0
2.74889,153,0
2.75167,153,0
2.91833,153,0
3.02528,154,0
3.02667,155,0
3.03917,155,0
3.04222,156,0
3.10694,157,0
3.14361,158,0
3.17056,158,0
3.17194,159,0
3.21972,159,0
3.22111,160,0
3.23667,160,0
3.255,160,0
3.50639,162,0
3.50806,163,0
3.51083,163,0
3.51222,164,0
3.51361,168,0
3.515,169,0
3.51639,169,0
3.51944,170,0
3.52361,171,0
3.52944,171,0
3.53222,172,0
3.53361,173,0
3.55611,173,0
3.5575,174,0
3.60694,175,0
3.6225,175,0
3.63361,175,0
3.635,176,0
3.63639,177,0
3.63778,180,0
3.64056,181,0
3.645,181,0
3.64639,182,0
3.64917,182,0
3.65194,182,0
3.65611,182,0
3.66583,185,0
3.66861,185,0
4.00778,186,0
4.00917,186,0
4.19361,186,0
4.22778,186,0
4.26611,186,0
4.27444,186,0
4.31111,186,0
4.31694,186,0
4.32111,186,0
4.32389,186,0
4.32944,186,0
4.34361,187,0
4.34778,187,0
4.37472,187,0
4.46667,187,0
4.47806,187,0
4.48083,188,0
4.70333,188,0
4.70889,189,0
4.71056,192,0
4.71333,193,0
4.71889,193,0
4.72167,195,0
4.72472,195,0
4.73028,195,0
4.73306,196,0
4.78389,197,0
4.78528,197,0
4.79222,197,0
4.80056,197,0
4.80917,198,0
4.81056,200,0
4.81333,200,0
4.81889,200,0
4.82028,201,0
4.82306,203,0
4.82611,203,0
4.82889,206,0
4.83028,207,0
4.83167,207,0
4.83583,207,0
4.84028,207,0
5.09222,213,0
5.09361,215,0
5.09639,216,0
5.09778,217,0
5.09917,219,0
5.10083,221,0
5.10222,223,0
5.10361,224,0
5.10917,225,0
5.11056,226,0
5.11194,227,0
5.11333,227,0
5.15,227,0
5.31333,228,0
5.31472,229,0
5.31611,232,0
5.3175,234,0
5.32167,235,0
5.32444,236,0
5.32583,236,0
5.32722,237,0
5.34694,237,0
5.52861,238,0
5.53,240,0
5.53167,241,0
5.54,241,0
5.66556,242,0
5.66694,244,0
5.66833,245,0
5.67111,246,0
5.6725,247,0
5.80667,248,0
5.80806,248,0
5.86167,249,0
5.87167,250,0
5.87306,251,0
5.87722,251,0
6,251,0
