unix_time,paths_total,unique_crashes
0,1,0
0.00138889,7,0
0.00277778,9,0
0.00416667,23,0
0.0127778,24,0
0.0172222,25,0
0.0286111,26,0
0.0344444,30,0
0.0558333,33,0
0.158611,34,0
0.2775,35,0
0.2975,37,0
0.298889,38,0
0.333333,88,0
0.334722,96,0
0.336111,97,0
0.3375,102,0
0.338889,104,0
0.340556,105,0
0.343333,106,0
0.344722,107,0
0.346111,108,0
0.348889,109,0
0.351667,110,0
0.368611,111,0
0.374167,114,0
0.376944,115,0
0.382778,116,0
0.396667,122,0
0.398056,125,0
0.399444,130,0
0.408056,139,0
0.409444,139,0
0.412222,140,0
0.413611,141,0
0.436111,144,0
0.437778,153,0
0.441944,160,0
0.47,171,0
0.471389,174,0
0.499722,183,0
0.501111,186,0
0.508056,187,0
0.518056,189,0
0.519444,192,0
0.523611,193,0
0.828056,201,0
0.829444,209,0
0.830833,214,0
0.832222,216,0
0.835278,216,0
0.840833,216,0
0.842222,217,0
0.843611,219,0
0.845,220,0
0.846389,221,0
0.956111,222,0
1.08028,223,0
1.31028,223,0
1.61528,223,0
1.92667,225,0
1.92944,226,0
1.9875,226,0
2.03,230,0
2.03139,230,0
2.03278,231,0
2.07194,234,0
2.07333,237,0
2.08194,238,0
2.08333,242,0
2.08472,242,0
2.39194,242,0
2.70278,244,0
3.01444,244,0
3.32472,245,0
3.63556,247,0
3.94722,248,0
4.26639,248,0
4.6125,248,0
4.63944,248,0
4.645,250,0
4.65194,251,0
4.65361,251,0
4.67722,251,0
4.68861,251,0
4.69,256,0
4.69139,257,0
5.03583,261,0
5.03722,266,0
5.03861,266,0
6,266,0
