unix_time,paths_total,unique_crashes
0,1,0
0.00138889,7,0
0.00277778,9,0
0.00416667,24,0
0.0127778,25,0
0.0172222,26,0
0.0272222,27,0
0.0313889,30,0
0.0327778,31,0
0.0541667,33,0
0.0555556,34,0
0.154722,35,0
0.274722,36,0
0.296389,38,0
0.297778,39,0
0.331944,87,0
0.333333,97,0
0.334722,101,0
0.336111,107,0
0.338889,109,0
0.340278,110,0
0.343333,113,0
0.344722,114,0
0.346111,115,0
0.3475,116,0
0.348889,118,0
0.351667,119,0
0.354444,121,0
0.358611,123,0
0.36,124,0
0.364444,124,0
0.367222,125,0
0.476389,126,0
0.605,126,0
0.609167,127,0
0.938056,127,0
0.9425,128,0
1.2675,128,0
1.6025,128,0
1.60667,136,0
1.60833,138,0
1.60972,140,0
1.61806,141,0
1.635,141,0
1.63917,142,0
1.64778,143,0
1.64917,143,0
1.65194,144,0
1.6575,144,0
1.65889,145,0
1.79167,145,0
1.80139,145,0
1.82389,145,0
1.84361,145,0
1.85639,145,0
1.85778,146,0
1.94528,146,0
2.05694,147,0
2.07111,148,0
2.0725,149,0
2.10917,149,0
2.11056,150,0
2.2375,151,0
2.27139,151,0
2.27722,156,0
2.28,156,0
2.28139,157,0
2.51806,157,0
2.75667,158,0
2.75806,158,0
2.7625,159,0
3.09028,159,0
3.09583,160,0
3.42639,160,0
3.42944,160,0
3.43361,161,0
3.435,162,0
3.43639,165,0
3.43917,165,0
3.44056,165,0
3.44333,169,0
3.44472,171,0
3.44611,171,0
3.45611,171,0
3.46028,171,0
3.46167,172,0
3.49833,172,0
3.50111,173,0
3.56611,173,0
3.71444,173,0
3.71722,174,0
3.71861,174,0
3.72,176,0
3.72278,176,0
3.72694,176,0
3.73111,178,0
3.7325,181,0
3.73389,181,0
3.73694,182,0
3.73833,183,0
3.73972,185,0
3.74389,187,0
3.74528,188,0
3.74667,188,0
3.75083,190,0
3.75361,190,0
3.75778,190,0
4.06556,190,0
4.06972,191,0
4.39167,193,0
4.39306,193,0
4.71806,193,0
4.7225,193,0
4.76028,193,0
4.77583,193,0
4.77722,194,0
4.78278,194,0
4.78556,195,0
4.78694,197,0
4.78861,197,0
4.79278,197,0
4.79694,199,0
4.79833,200,0
4.79972,200,0
4.80389,201,0
4.80667,201,0
5.12778,207,0
5.12917,209,0
5.13194,210,0
5.13333,213,0
5.13472,214,0
5.1375,218,0
5.14028,219,0
5.14167,220,0
5.14333,222,0
5.1475,223,0
5.15306,224,0
5.15444,224,0
5.47917,224,0
5.8025,224,0
6,224,0
