unix_time,paths_total,unique_crashes
0,1,0
0.00138889,5,0
0.00555556,6,0
0.00972222,7,0
0.0113889,8,0
0.0266667,9,0
0.0308333,9,0
0.0436111,9,0
0.0561111,9,0
0.0605556,38,0
0.0619444,46,0
0.0633333,49,0
0.0647222,51,0
0.0675,51,0
0.104167,55,0
0.105556,55,0
0.124167,55,0
0.166389,55,0
0.188889,55,0
0.225556,55,0
0.228333,55,0
0.231111,56,0
0.252222,56,0
0.284722,56,0
0.335278,56,0
0.394444,57,0
0.397222,58,0
0.451944,58,0
0.5125,59,0
0.513889,68,0
0.515278,71,0
0.518056,72,0
0.519444,72,0
0.574167,72,0
0.575556,73,0
0.634722,73,0
0.699722,73,0
0.734722,88,0
0.737778,91,0
0.740556,91,0
0.741944,93,0
0.743333,93,0
0.744722,94,0
0.746111,95,0
0.7475,95,0
0.784167,95,0
0.845,95,0
0.884167,96,0
0.946389,96,0
1.00806,96,0
1.06722,96,0
1.10667,96,0
1.16694,96,0
1.22472,96,0
1.28556,96,0
1.34056,96,0
1.37556,96,0
1.44028,96,0
1.50667,96,0
1.70417,96,0
1.74083,96,0
1.81389,96,0
2.09139,96,0
2.09278,96,0
2.10694,96,0
2.13083,96,0
3.03472,96,0
3.0925,96,0
3.15,96,0
3.20806,96,0
3.26417,96,0
3.32306,96,0
3.37944,96,0
3.43722,96,0
3.49639,96,0
3.5525,96,0
3.6075,96,0
3.63556,96,0
3.68917,99,0
3.69194,99,0
3.75667,99,0
3.82278,99,0
3.8875,99,0
3.94917,99,0
4.01083,99,0
4.06889,99,0
4.07306,99,0
4.07583,99,0
4.08139,99,0
4.08306,99,0
4.27333,100,0
4.40028,100,0
4.49917,100,0
4.8375,100,0
4.89528,100,0
4.93194,100,0
4.98806,100,0
5.04139,100,0
5.09639,100,0
5.09778,100,0
5.14028,100,0
5.19639,100,0
5.25139,100,0
5.30917,100,0
5.37111,100,0
5.43306,100,0
5.67111,101,0
5.6725,101,0
5.67667,101,0
6,101,0
