unix_time,paths_total,unique_crashes
0,1,0
0.00138889,5,0
0.00555556,6,0
0.01,7,0
0.0113889,8,0
0.0269444,9,0
0.0563889,39,0
0.0577778,45,0
0.0591667,46,0
0.0605556,47,0
0.0636111,48,0
0.065,49,0
0.0986111,51,0
0.100278,53,0
0.101667,53,0
0.156667,53,0
0.193333,54,0
0.194722,61,0
0.196111,65,0
0.1975,67,0
0.201667,69,0
0.203333,69,0
0.234167,74,0
0.235556,78,0
0.242778,78,0
0.298889,78,0
0.301944,78,0
0.356944,78,0
0.411667,78,0
0.477778,78,0
0.546944,78,0
0.61,78,0
0.660833,78,0
0.708611,78,0
0.711389,95,0
0.712778,96,0
0.715556,100,0
0.716944,100,0
0.718333,101,0
0.72,102,0
0.721389,102,0
0.722778,102,0
0.724167,102,0
0.725556,103,0
0.726944,103,0
0.728333,103,0
0.73,103,0
0.731389,103,0
0.732778,103,0
0.734167,103,0
0.735556,103,0
0.736944,103,0
0.738333,103,0
0.739722,103,0
0.741111,103,0
0.742778,103,0
0.744167,104,0
0.745556,104,0
0.746944,104,0
0.748333,104,0
0.749722,104,0
0.751111,104,0
0.7525,104,0
0.753889,104,0
0.755278,104,0
0.756667,104,0
0.758056,104,0
0.759444,104,0
0.761111,104,0
0.7625,104,0
0.763889,104,0
0.765278,104,0
0.766667,104,0
0.768056,104,0
0.769444,104,0
0.770833,104,0
0.772222,104,0
0.773611,105,0
0.775,105,0
0.776667,105,0
0.778056,105,0
0.779444,105,0
0.780833,105,0
0.782222,105,0
0.783611,105,0
0.785,105,0
0.786667,105,0
0.788056,105,0
0.789444,105,0
0.790833,105,0
0.792222,105,0
0.793611,105,0
0.795,105,0
0.796389,105,0
0.797778,105,0
0.799444,105,0
0.800833,105,0
0.802222,105,0
0.803611,106,0
0.805,106,0
0.806389,106,0
0.807778,106,0
0.809444,106,0
0.810833,106,0
0.812222,106,0
0.813611,106,0
0.815,106,0
0.816389,106,0
0.817778,106,0
0.819167,106,0
0.820556,106,0
1.06972,106,0
1.07111,106,0
1.07278,106,0
1.07417,106,0
1.07556,106,0
1.07694,106,0
1.07833,106,0
1.07972,106,0
1.08111,106,0
1.0825,106,0
1.08389,106,0
1.08528,106,0
1.08667,106,0
1.08806,106,0
1.08944,106,0
1.09083,106,0
1.09222,106,0
1.09361,106,0
1.095,106,0
1.09639,106,0
1.09778,106,0
1.09944,106,0
1.10083,106,0
1.10222,106,0
1.10361,106,0
1.105,106,0
1.10639,106,0
1.10778,106,0
1.10917,106,0
1.11056,106,0
1.11194,106,0
1.11333,106,0
1.11472,106,0
1.11611,106,0
1.1175,106,0
1.11917,106,0
1.12056,106,0
1.12194,106,0
1.12333,106,0
1.12472,106,0
1.12611,106,0
1.1275,106,0
1.12889,106,0
1.13028,106,0
1.13167,106,0
1.13306,106,0
1.13444,106,0
1.13583,106,0
1.1375,106,0
1.13889,106,0
1.14028,106,0
1.14167,106,0
1.14306,106,0
1.14444,106,0
1.14583,106,0
1.14722,106,0
1.14861,106,0
1.15028,106,0
1.15167,106,0
1.15306,106,0
1.15444,106,0
1.15583,106,0
1.15722,106,0
1.15861,106,0
1.16,106,0
1.16139,106,0
1.16278,106,0
1.16417,106,0
1.16556,106,0
1.16694,106,0
1.16861,106,0
1.17,106,0
1.17139,106,0
1.17278,106,0
1.17417,106,0
1.17556,106,0
1.17694,106,0
1.17833,106,0
1.17972,106,0
1.18111,106,0
1.1925,106,0
1.22361,106,0
1.23917,106,0
1.26444,106,0
1.28722,106,0
1.28861,106,0
1.29,106,0
1.29139,106,0
1.29278,106,0
1.29417,106,0
1.29583,106,0
1.29722,106,0
1.29861,106,0
1.3,106,0
1.30139,106,0
1.30278,106,0
1.30417,106,0
1.30556,106,0
1.30694,106,0
1.30833,106,0
1.30972,106,0
1.31139,106,0
1.31278,106,0
1.31417,106,0
1.31556,106,0
1.31694,106,0
1.31833,106,0
1.31972,106,0
1.32111,106,0
1.3225,106,0
1.32389,106,0
1.32528,106,0
1.32667,106,0
1.32806,106,0
1.32972,106,0
1.33111,106,0
1.3325,106,0
1.33389,106,0
1.33528,106,0
1.33667,106,0
1.33806,106,0
1.33944,106,0
1.34083,106,0
1.34222,106,0
1.34361,106,0
1.345,106,0
1.34667,106,0
1.34806,106,0
1.34944,106,0
1.35083,106,0
1.35222,106,0
1.35361,106,0
1.355,106,0
1.35639,106,0
1.35778,106,0
1.35917,106,0
1.36056,106,0
1.36194,106,0
1.36361,106,0
1.365,106,0
1.36639,106,0
1.36778,106,0
1.36917,106,0
1.37056,106,0
1.37194,106,0
1.37333,106,0
1.37472,106,0
1.37611,106,0
1.3775,106,0
1.37889,106,0
1.38056,106,0
1.38194,106,0
1.38333,106,0
1.38472,106,0
1.38611,106,0
1.3875,106,0
1.38889,106,0
1.39028,106,0
1.39167,106,0
1.39306,106,0
1.39444,106,0
1.39611,106,0
1.3975,106,0
1.39889,106,0
1.40028,106,0
