unix_time,paths_total,unique_crashes
0,1,0
0.00138889,5,0
0.00555556,6,0
0.0113889,8,0
0.0252778,9,0
0.0552778,44,0
0.0566667,46,0
0.0608333,46,0
0.0736111,47,0
0.108611,48,0
0.11,53,0
0.111389,55,0
0.114167,56,0
0.115556,56,0
0.150556,56,0
0.199722,56,0
0.201389,57,0
0.237778,58,0
0.250556,58,0
0.251944,58,0
0.253333,58,0
0.303889,69,0
0.305278,70,0
0.306667,71,0
0.309444,72,0
0.315,73,0
0.365833,75,0
0.367222,75,0
0.420833,75,0
0.463056,76,0
0.464444,77,0
0.465833,77,0
0.513889,77,0
0.515278,77,0
0.516667,77,0
0.5475,94,0
0.549167,98,0
0.551944,98,0
0.5575,98,0
0.565833,101,0
0.574167,101,0
0.575833,101,0
0.620556,101,0
0.661389,101,0
0.662778,101,0
0.710556,101,0
0.751667,105,0
0.755833,105,0
0.830278,105,0
0.876667,105,0
0.878056,105,0
0.9175,105,0
1.13611,105,0
1.14028,105,0
1.19944,105,0
1.95361,105,0
2.05056,106,0
2.05222,106,0
2.64861,107,0
2.65139,107,0
4.5225,108,0
4.52667,108,0
6,108,0
