unix_time,paths_total,unique_crashes
0,1,0
0.00138889,5,0
0.00555556,6,0
0.0111111,8,0
0.0283333,9,0
0.0605556,41,0
0.0619444,46,0
0.0633333,49,0
0.0663889,51,0
0.0677778,51,0
0.126944,51,0
0.165,51,0
0.204167,52,0
0.208333,53,0
0.218333,59,0
0.219722,60,0
0.221111,61,0
0.223889,61,0
0.271667,62,0
0.3225,63,0
0.366111,63,0
0.398333,64,0
0.399722,69,0
0.401389,72,0
0.402778,73,0
0.405556,73,0
0.433611,74,0
0.435,74,0
0.495556,74,0
0.550556,74,0
0.585833,87,0
0.587222,89,0
0.588611,90,0
0.591389,91,0
0.592778,91,0
0.594167,92,0
0.609722,93,0
0.611111,93,0
0.618333,94,0
0.653333,94,0
0.715278,95,0
0.777222,95,0
0.8125,95,0
0.871389,95,0
0.933333,95,0
0.993889,95,0
1.05417,95,0
1.11333,95,0
1.17389,96,0
1.17528,96,0
1.21583,97,0
1.265,97,0
1.31694,98,0
1.36639,98,0
1.40583,98,0
1.40722,98,0
1.41583,98,0
1.42,98,0
1.42139,98,0
2.35361,98,0
2.36639,98,0
2.77222,99,0
2.77361,100,0
2.77639,100,0
2.83556,100,0
2.87083,100,0
2.93111,100,0
2.9875,100,0
3.02694,100,0
3.08611,100,0
3.14528,100,0
3.20417,100,0
3.26194,100,0
3.31556,100,0
3.37583,100,0
3.43639,100,0
3.46861,100,0
3.505,100,0
3.55556,100,0
3.60361,100,0
3.65139,100,0
3.71056,100,0
3.775,100,0
3.83278,100,0
3.93833,100,0
3.94111,100,0
4.15111,101,0
4.3625,101,0
4.39611,101,0
4.45639,101,0
4.51556,101,0
4.57167,101,0
4.57306,101,0
4.85944,101,0
5.66139,101,0
6,101,0
