unix_time,paths_total,unique_crashes
0,1,0
0.00138889,3,0
0.00277778,4,0
0.00416667,8,0
0.00555556,8,0
0.00972222,10,0
0.0113889,12,0
0.0127778,16,0
0.0155556,17,0
0.0183333,17,0
0.0211111,18,0
0.0238889,24,0
0.0252778,27,0
0.0269444,31,0
0.0297222,32,0
0.0338889,33,0
0.0352778,33,0
0.0394444,34,0
0.0422222,34,0
0.0463889,35,0
0.0480556,35,0
0.0508333,36,0
0.0536111,36,0
0.0563889,37,0
0.0591667,37,0
0.0633333,38,0
0.0647222,38,0
0.0702778,38,0
0.0775,38,0
0.0830556,38,0
0.0886111,38,0
0.0913889,39,0
0.0927778,40,0
0.0941667,44,0
0.0986111,45,0
0.1,45,0
0.102778,46,0
0.105556,46,0
0.111111,47,0
0.116944,47,0
0.1225,47,0
0.123889,48,0
0.125278,49,0
0.126667,50,0
0.129444,50,0
0.133889,50,0
0.140833,50,0
0.148056,50,0
0.155,50,0
0.161944,50,0
0.1675,50,0
0.174722,50,0
0.181667,50,0
0.187222,52,0
0.188611,52,0
0.193056,53,0
0.195833,53,0
0.197222,54,0
0.2,56,0
0.202778,60,0
0.204167,61,0
0.205556,62,0
0.206944,63,0
0.208333,63,0
0.214167,64,0
0.216944,64,0
0.2225,64,0
0.229722,64,0
0.235278,66,0
0.236667,67,0
0.238056,69,0
0.239444,71,0
0.2425,73,0
0.245278,75,0
0.246667,77,0
0.248056,78,0
0.252222,78,0
0.259444,78,0
0.265,78,0
0.272222,78,0
0.277778,78,0
0.283333,78,0
0.289167,78,0
0.296111,78,0
0.301667,79,0
0.3075,79,0
0.314444,79,0
0.318611,79,0
0.325556,79,0
0.33,79,0
0.336944,79,0
0.3425,80,0
0.348333,80,0
0.353889,81,0
0.360833,81,0
0.368056,81,0
0.376389,82,0
0.382222,82,0
0.387778,82,0
0.394722,85,0
0.3975,87,0
0.398889,87,0
0.406111,87,0
0.4075,87,0
0.411667,89,0
0.413056,89,0
0.418889,90,0
0.420278,91,0
0.425833,92,0
0.428889,94,0
0.431667,102,0
0.433056,113,0
0.434444,114,0
0.448611,117,0
0.451389,119,0
0.452778,120,0
0.454167,120,0
0.469444,121,0
0.471111,121,0
0.494722,122,0
0.513056,123,0
0.514722,123,0
0.516111,123,0
0.5175,123,0
0.524444,123,0
0.531389,123,0
0.537222,123,0
0.544167,123,0
0.552778,123,0
0.613333,123,0
0.628611,123,0
0.720278,123,0
0.733056,123,0
0.786667,123,0
0.793889,124,0
0.805,126,0
0.807778,127,0
0.809167,127,0
0.830556,130,0
0.831944,131,0
0.836111,131,0
0.838889,131,0
0.843056,131,0
0.844444,131,0
0.85,131,0
0.855833,132,0
0.857222,132,0
0.864167,132,0
0.871111,132,0
0.876944,132,0
0.888333,132,0
0.977222,132,0
1.06444,132,0
1.14444,132,0
1.25556,132,0
1.42583,132,0
1.44278,133,0
1.44444,133,0
1.4625,133,0
1.46694,133,0
1.4725,133,0
1.47389,133,0
1.47972,133,0
1.48111,133,0
1.48528,133,0
1.49083,133,0
1.49222,133,0
1.49944,133,0
1.50917,133,0
1.54889,133,0
1.56583,134,0
1.56722,135,0
1.57306,136,0
1.58278,137,0
1.58556,139,0
1.58694,142,0
1.59111,143,0
1.59278,144,0
1.60944,145,0
1.61389,145,0
1.63333,146,0
1.63472,147,0
1.63639,148,0
1.63778,148,0
1.65583,149,0
1.65861,149,0
1.67833,151,0
1.68278,151,0
1.70389,152,0
1.70667,152,0
1.71222,153,0
1.72917,153,0
1.73194,154,0
1.73778,155,0
1.75028,156,0
1.75167,156,0
1.77306,157,0
1.77444,159,0
1.77583,159,0
1.79833,159,0
1.82111,159,0
1.84222,160,0
1.84361,160,0
1.855,161,0
1.86333,162,0
1.865,163,0
1.87056,164,0
1.87333,164,0
1.87472,165,0
1.88167,166,0
1.89722,167,0
1.90417,169,0
1.90722,170,0
1.90861,170,0
1.92972,171,0
1.9325,171,0
1.95778,172,0
1.96222,172,0
1.99167,173,0
1.99583,173,0
1.99722,173,0
1.99861,173,0
2.00444,174,0
2.00583,174,0
2.75639,174,0
2.7775,174,0
2.79583,175,0
2.79861,175,0
2.82389,176,0
2.82806,176,0
2.85472,176,0
2.88444,176,0
2.89139,177,0
2.92111,177,0
2.94778,177,0
2.98444,177,0
2.98583,177,0
2.99,177,0
2.99583,178,0
3.00583,178,0
3.00722,178,0
3.00861,178,0
3.01417,178,0
3.02,178,0
3.02556,178,0
3.02972,178,0
3.2775,178,0
3.27889,178,0
3.30167,178,0
3.32556,178,0
3.34556,180,0
3.34972,180,0
3.37917,180,0
3.40167,181,0
3.40889,181,0
3.41583,181,0
3.43556,182,0
3.43833,182,0
3.45694,183,0
3.46111,183,0
3.4625,184,0
3.4725,185,0
3.47389,185,0
3.47528,185,0
3.47667,185,0
3.51889,185,0
3.54,185,0
3.56278,185,0
3.58361,185,0
3.60472,185,0
3.62583,185,0
3.64833,186,0
3.65667,186,0
3.7075,187,0
3.71028,188,0
3.71167,189,0
3.71472,189,0
3.73722,189,0
3.73861,189,0
3.74,189,0
3.74556,189,0
4.22333,189,0
4.23194,189,0
4.25306,189,0
4.27278,190,0
4.27556,190,0
4.30361,191,0
4.30528,192,0
4.30806,192,0
4.33056,192,0
4.35722,192,0
4.41361,192,0
4.44194,193,0
4.44611,193,0
4.4475,193,0
4.44889,193,0
4.46167,193,0
4.47444,193,0
4.47583,193,0
4.49694,193,0
4.51944,194,0
4.52778,194,0
4.55028,194,0
4.57278,195,0
4.58,196,0
4.58278,196,0
4.61222,197,0
4.61528,197,0
4.62083,197,0
4.62222,197,0
4.62361,197,0
4.64472,197,0
4.67139,198,0
4.67556,199,0
4.73917,199,0
4.76889,200,0
4.77167,200,0
4.80278,201,0
4.80417,201,0
4.80556,201,0
5.0875,201,0
5.08889,201,0
5.11694,202,0
5.12111,202,0
5.18889,203,0
5.19306,203,0
5.19861,204,0
5.20028,205,0
5.24111,206,0
5.34389,208,0
5.34667,209,0
5.34944,209,0
5.50056,211,0
5.50333,212,0
5.5075,212,0
5.665,212,0
5.96083,215,0
5.96917,216,0
5.97056,216,0
5.97917,217,0
6,217,0
