unix_time,paths_total,unique_crashes
0,1,0
0.00138889,3,0
0.00444444,7,0
0.00583333,9,0
0.00722222,9,0
0.00861111,11,0
0.01,13,0
0.0113889,17,0
0.0127778,27,0
0.0141667,44,0
0.0155556,48,0
0.02,48,0
0.0269444,48,0
0.0325,49,0
0.0380556,49,0
0.0425,50,0
0.0438889,53,0
0.0452778,59,0
0.0466667,60,0
0.0480556,63,0
0.0494444,63,0
0.0508333,65,0
0.0522222,66,0
0.0536111,68,0
0.055,69,0
0.0563889,70,0
0.0577778,74,0
0.0591667,81,0
0.0605556,83,0
0.0619444,85,0
0.0633333,86,0
0.0647222,86,0
0.0661111,87,0
0.0702778,88,0
0.0719444,88,0
0.0761111,90,0
0.0775,90,0
0.0791667,92,0
0.0833333,93,0
0.0847222,93,0
0.0902778,94,0
0.0916667,98,0
0.0930556,99,0
0.0944444,100,0
0.0958333,101,0
0.0986111,101,0
0.101389,102,0
0.105556,103,0
0.107222,103,0
0.112778,103,0
0.119722,103,0
0.128333,105,0
0.1325,105,0
0.138056,105,0
0.143611,105,0
0.150556,106,0
0.151944,106,0
0.159167,106,0
0.164722,106,0
0.170278,122,0
0.171667,127,0
0.174722,130,0
0.176111,131,0
0.1775,131,0
0.183056,132,0
0.188611,133,0
0.195556,133,0
0.201111,135,0
0.2025,136,0
0.204167,137,0
0.208333,137,0
0.209722,138,0
0.211111,139,0
0.2125,141,0
0.213889,142,0
0.215278,144,0
0.219444,145,0
0.220833,145,0
0.228056,145,0
0.233611,148,0
0.235,149,0
0.239167,150,0
0.244722,150,0
0.250556,150,0
0.2575,152,0
0.260278,152,0
0.267222,153,0
0.268889,153,0
0.275833,153,0
0.281389,156,0
0.282778,158,0
0.284167,160,0
0.289722,160,0
0.295556,160,0
0.301111,160,0
0.306667,161,0
0.308056,162,0
0.311111,162,0
0.316667,162,0
0.325,164,0
0.329167,164,0
0.3375,164,0
0.344722,164,0
0.351667,165,0
0.353056,165,0
0.358611,165,0
0.364167,165,0
0.369722,165,0
0.376944,165,0
0.383889,165,0
0.390833,165,0
0.398056,168,0
0.399444,170,0
0.403611,170,0
0.405,171,0
0.413333,171,0
0.424722,171,0
0.426111,171,0
0.431667,172,0
0.433056,175,0
0.434444,176,0
0.435833,177,0
0.440278,177,0
0.450278,178,0
0.451667,178,0
0.462778,179,0
0.465556,180,0
0.468333,180,0
0.485278,181,0
0.495278,182,0
0.496667,184,0
0.498056,185,0
0.502222,185,0
0.503611,186,0
0.5275,186,0
0.528889,186,0
0.530278,189,0
0.5375,190,0
0.538889,192,0
0.545833,193,0
0.548889,194,0
0.555833,194,0
0.566944,194,0
0.574167,195,0
0.586944,197,0
0.593889,197,0
0.605,197,0
0.617778,198,0
0.620556,198,0
0.631667,198,0
0.652778,200,0
0.661111,201,0
0.671111,202,0
0.676667,203,0
0.688056,204,0
0.689444,205,0
0.693611,211,0
0.695,211,0
0.723056,212,0
0.731667,212,0
0.752778,213,0
0.756944,213,0
0.764167,215,0
0.765556,215,0
0.778056,216,0
0.780833,216,0
0.796667,216,0
0.807778,216,0
0.830278,217,0
0.838889,217,0
0.854167,218,0
0.858333,219,0
0.861111,219,0
0.866944,219,0
0.8725,219,0
0.874167,221,0
0.8825,221,0
0.903611,221,0
0.905,221,0
0.906389,221,0
0.907778,221,0
0.909167,222,0
0.924722,223,0
0.926111,226,0
0.9275,227,0
0.955556,228,0
0.959722,229,0
0.961111,229,0
1.66556,230,0
1.66833,231,0
1.67111,232,0
1.67694,233,0
1.6825,234,0
1.68667,235,0
1.69222,236,0
1.70639,237,0
1.70778,237,0
2.26833,238,0
2.42306,238,0
3.21444,239,0
3.21611,240,0
3.22722,241,0
3.23861,242,0
3.25694,242,0
4.8925,242,0
4.89806,242,0
4.89972,242,0
4.90528,243,0
4.90667,243,0
4.91222,243,0
4.91778,243,0
4.92361,243,0
4.925,243,0
4.92639,243,0
4.93472,243,0
4.93639,243,0
4.94611,244,0
4.95472,245,0
4.95611,245,0
4.96444,245,0
4.96583,245,0
4.96722,245,0
4.96861,245,0
4.97028,245,0
4.97167,246,0
4.98139,246,0
4.98306,246,0
4.98444,247,0
4.98583,247,0
4.98722,247,0
4.98861,247,0
4.99,249,0
4.99139,249,0
5.0025,250,0
5.00972,250,0
5.02944,251,0
5.03361,252,0
5.03639,252,0
5.08139,253,0
5.08278,254,0
5.08444,254,0
5.10389,254,0
5.11389,255,0
5.11667,256,0
5.12222,256,0
5.12361,257,0
5.12806,257,0
6,257,0
