unix_time,paths_total,unique_crashes
0,1,0
0.00138889,3,0
0.00277778,5,0
0.00444444,8,0
0.00583333,8,0
0.00861111,8,0
0.01,10,0
0.0113889,12,0
0.0127778,16,0
0.0141667,22,0
0.0155556,25,0
0.0169444,28,0
0.0183333,30,0
0.0197222,31,0
0.0238889,32,0
0.0297222,33,0
0.0311111,34,0
0.0338889,34,0
0.0352778,36,0
0.0380556,42,0
0.0394444,47,0
0.0408333,47,0
0.0466667,48,0
0.0522222,48,0
0.0536111,50,0
0.0577778,52,0
0.0591667,53,0
0.0605556,54,0
0.0619444,58,0
0.0633333,59,0
0.0647222,60,0
0.0661111,61,0
0.0691667,62,0
0.0747222,64,0
0.0802778,64,0
0.0830556,65,0
0.0844444,65,0
0.0858333,67,0
0.0886111,69,0
0.0902778,71,0
0.0916667,72,0
0.0930556,74,0
0.0944444,75,0
0.0958333,75,0
0.0986111,76,0
0.1,77,0
0.101389,77,0
0.104167,84,0
0.105556,86,0
0.108611,88,0
0.11,90,0
0.111389,92,0
0.112778,93,0
0.115556,95,0
0.119722,96,0
0.121111,96,0
0.128056,96,0
0.129444,96,0
0.132222,97,0
0.135278,99,0
0.138056,100,0
0.139444,101,0
0.140833,102,0
0.147778,102,0
0.153333,102,0
0.158889,102,0
0.160278,102,0
0.164444,102,0
0.170278,123,0
0.171667,126,0
0.173056,128,0
0.175833,128,0
0.210833,128,0
0.222222,128,0
0.289444,128,0
0.296667,133,0
0.299444,135,0
0.300833,136,0
0.302222,136,0
0.308056,137,0
0.309444,137,0
0.320556,138,0
0.321944,139,0
0.323333,140,0
0.324722,140,0
0.330556,140,0
0.3375,140,0
0.338889,142,0
0.340278,143,0
0.343056,144,0
0.345833,147,0
0.347222,148,0
0.348611,149,0
0.366944,150,0
0.368333,150,0
0.381111,151,0
0.383889,151,0
0.395278,151,0
0.403611,151,0
0.421944,152,0
0.423333,152,0
0.424722,152,0
0.953889,153,0
0.955278,153,0
2.27194,157,0
2.27361,158,0
2.28611,158,0
2.29194,158,0
2.29611,159,0
2.2975,159,0
2.29889,159,0
2.30444,159,0
2.31306,159,0
2.32861,160,0
2.33,160,0
2.3525,161,0
2.35389,162,0
2.35667,163,0
2.37639,165,0
2.38056,165,0
2.3975,166,0
2.40028,166,0
2.42139,166,0
2.44389,167,0
2.44972,167,0
2.47056,167,0
2.47194,168,0
2.49611,169,0
2.50306,170,0
2.52972,171,0
2.5325,172,0
2.53667,173,0
2.57194,173,0
2.57333,174,0
2.60417,175,0
2.60583,176,0
2.61,177,0
2.64111,177,0
2.68194,179,0
2.68639,179,0
2.72444,180,0
2.73,180,0
2.77361,181,0
2.77778,181,0
2.78333,181,0
2.7875,181,0
2.79722,181,0
2.80306,181,0
2.80444,181,0
2.81,181,0
2.81417,181,0
2.81694,182,0
2.81972,182,0
2.82111,183,0
2.8225,184,0
2.82833,186,0
2.8325,186,0
2.83806,188,0
2.8425,189,0
2.84806,190,0
2.84944,191,0
2.85222,191,0
2.86056,191,0
2.865,192,0
2.86639,194,0
2.86917,194,0
2.87611,196,0
2.8775,198,0
2.87889,199,0
2.88194,199,0
2.89028,200,0
2.89861,200,0
2.90556,202,0
2.90694,202,0
2.91556,203,0
2.92111,203,0
2.93083,204,0
2.9325,204,0
2.98083,205,0
2.985,205,0
2.99639,205,0
3.02028,205,0
3.05389,206,0
3.05806,206,0
3.09056,207,0
3.10056,208,0
3.10333,209,0
3.1075,209,0
3.12306,210,0
3.12861,210,0
3.15556,210,0
3.16028,210,0
3.16167,210,0
3.16333,210,0
3.17167,210,0
3.17722,210,0
3.18167,210,0
3.18722,210,0
3.19,210,0
3.20278,211,0
3.20417,211,0
3.24222,213,0
3.25361,214,0
3.26611,215,0
3.27472,216,0
3.27611,216,0
3.28306,216,0
3.29861,217,0
3.30556,217,0
3.32389,217,0
3.32667,217,0
3.32944,217,0
3.335,218,0
3.33639,218,0
3.34222,219,0
3.345,219,0
3.35639,219,0
3.37167,219,0
3.38306,220,0
3.38889,221,0
3.39306,221,0
3.41556,221,0
3.41694,221,0
3.41861,221,0
3.46611,221,0
3.48583,221,0
3.535,221,0
3.53667,221,0
3.53806,221,0
3.545,221,0
3.54639,221,0
3.54778,221,0
3.54917,221,0
3.55056,222,0
3.55194,222,0
3.59139,223,0
3.59694,223,0
3.68417,223,0
3.68556,223,0
3.69139,224,0
3.69278,224,0
3.70278,224,0
4.37833,224,0
4.38833,224,0
4.40111,224,0
4.40667,224,0
4.40806,224,0
4.49278,224,0
4.5475,224,0
4.54889,225,0
4.57306,226,0
4.57722,226,0
4.62611,226,0
4.6275,226,0
4.63583,226,0
4.64306,226,0
4.64444,226,0
4.6925,227,0
4.69528,227,0
4.73639,228,0
4.75194,228,0
4.75472,229,0
4.76722,230,0
4.79111,232,0
4.8025,234,0
4.80944,234,0
4.87028,235,0
4.87167,235,0
4.91083,236,0
4.91806,236,0
4.92639,236,0
4.92778,236,0
4.97278,237,0
4.97833,237,0
5.02472,237,0
5.03028,237,0
5.085,237,0
5.14111,237,0
5.14694,237,0
5.15528,237,0
5.15972,237,0
5.16528,237,0
5.16667,237,0
5.16944,237,0
5.21722,237,0
5.22278,237,0
5.22861,237,0
5.23417,237,0
5.23556,237,0
5.23972,237,0
5.24111,237,0
5.24528,237,0
5.24667,237,0
5.25944,237,0
5.26639,237,0
5.29167,237,0
5.30028,237,0
5.30444,237,0
5.31,237,1
5.31139,237,1
5.60111,237,1
5.62389,237,1
5.82972,237,1
5.83111,237,1
5.83556,237,1
5.8425,237,1
5.87472,237,1
5.88056,237,1
5.88194,237,1
5.89028,237,1
5.89583,237,1
5.90167,238,1
5.92139,238,1
5.92694,239,1
5.94389,239,1
5.94944,239,1
6,239,1
