unix_time,paths_total,unique_crashes
0,1,0
0.00138889,3,0
0.00416667,5,0
0.00583333,8,0
0.01,8,0
0.0155556,10,0
0.0169444,12,0
0.0183333,16,0
0.0197222,17,0
0.0211111,24,0
0.0225,28,0
0.0238889,31,0
0.0252778,33,0
0.0269444,34,0
0.0297222,34,0
0.0325,35,0
0.0352778,36,0
0.0408333,36,0
0.0436111,37,0
0.0463889,37,0
0.0491667,38,0
0.0522222,38,0
0.055,39,0
0.0563889,39,0
0.0633333,39,0
0.0691667,39,0
0.0719444,40,0
0.0747222,40,0
0.0802778,40,0
0.0844444,41,0
0.0861111,41,0
0.0902778,42,0
0.0916667,43,0
0.0972222,43,0
0.102778,43,0
0.104167,44,0
0.105556,45,0
0.108611,46,0
0.11,46,0
0.114167,47,0
0.115556,47,0
0.121111,48,0
0.1225,49,0
0.125278,49,0
0.1325,49,0
0.135278,50,0
0.139444,50,0
0.145,50,0
0.152222,51,0
0.159167,51,0
0.165,51,0
0.170556,51,0
0.177778,51,0
0.184722,51,0
0.191667,51,0
0.198889,55,0
0.204722,55,0
0.210278,55,0
0.217222,55,0
0.222778,55,0
0.229722,56,0
0.231111,57,0
0.232778,59,0
0.234167,60,0
0.235556,62,0
0.2425,62,0
0.248333,62,0
0.253889,62,0
0.260833,62,0
0.267778,62,0
0.272222,62,0
0.277778,64,0
0.279167,64,0
0.285,64,0
0.290556,65,0
0.293333,66,0
0.296389,79,0
0.297778,84,0
0.304722,84,0
0.796944,87,0
0.798333,88,0
0.8025,88,0
0.819444,88,0
0.837778,88,0
1.40167,89,0
1.40306,89,0
1.84111,89,0
1.84528,89,0
1.85111,89,0
1.85528,89,0
1.85667,89,0
1.86111,89,0
1.8625,89,0
1.86667,90,0
1.86806,90,0
1.86944,91,0
1.87639,92,0
1.88361,93,0
1.885,94,0
1.88639,94,0
1.88778,96,0
1.88917,98,0
1.89056,102,0
1.89333,105,0
1.89472,109,0
1.8975,110,0
1.89889,110,0
1.90611,112,0
1.90889,113,0
1.91028,113,0
1.91889,119,0
1.92028,121,0
1.92167,122,0
1.92306,123,0
1.93694,123,0
1.94667,123,0
1.95806,123,0
1.96806,123,0
1.97917,124,0
1.99056,124,0
2.00194,124,0
2.01167,124,0
2.01889,125,0
2.02167,127,0
2.02306,128,0
2.02444,130,0
2.02583,130,0
2.03694,130,0
2.04111,131,0
2.04694,132,0
2.0525,135,0
2.05528,135,0
2.06222,136,0
2.06528,138,0
2.06806,138,0
2.07639,139,0
2.07778,140,0
2.07917,142,0
2.08056,143,0
2.08194,144,0
2.09333,145,0
2.09472,145,0
2.10056,145,0
2.10611,146,0
2.1075,146,0
2.11889,146,0
2.12722,146,0
2.13583,147,0
2.13722,147,0
2.14556,149,0
2.14694,151,0
2.14833,152,0
2.15,152,0
2.15833,152,0
2.15972,152,0
2.16667,152,0
2.18083,154,0
2.18222,155,0
2.185,155,0
2.19361,155,0
2.20361,155,0
2.205,155,0
2.21056,155,0
2.21639,155,0
2.26,155,0
2.43167,155,0
2.51306,155,0
2.71306,155,0
2.7725,155,0
4.14056,155,0
5.52167,155,1
6,155,1
