unix_time,paths_total,unique_crashes
0,1,0
0.00138889,45,0
0.00277778,49,0
0.00416667,50,0
0.00555556,54,0
0.00694444,55,0
0.00833333,59,0
0.00972222,62,0
0.0111111,64,0
0.0138889,65,0
0.0180556,67,0
0.0197222,68,0
0.0211111,69,0
0.0225,75,0
0.0238889,77,0
0.0252778,78,0
0.0266667,79,0
0.0280556,80,0
0.0294444,83,0
0.0308333,84,0
0.0336111,86,0
0.035,91,0
0.0377778,92,0
0.0394444,195,0
0.0408333,285,0
0.0422222,333,0
0.0436111,371,0
0.045,393,0
0.0463889,407,0
0.0477778,430,0
0.0491667,443,0
0.0505556,465,0
0.0519444,488,0
0.0533333,502,0
0.0547222,512,0
0.0561111,531,0
0.0575,537,0
0.0588889,540,0
0.0602778,543,0
0.0616667,546,0
0.0633333,547,0
0.0647222,548,0
0.0661111,549,0
0.0675,550,0
0.0688889,558,0
0.0702778,564,0
0.0716667,571,0
0.0730556,573,0
0.0744444,575,0
0.0758333,578,0
0.0772222,581,0
0.0786111,581,0
0.08,597,0
0.0816667,611,0
0.0830556,612,0
0.0844444,619,0
0.0858333,626,0
0.0872222,632,0
0.0886111,638,0
0.09,641,0
0.0913889,649,0
0.0927778,652,0
0.0955556,654,0
0.0969444,662,0
0.0983333,670,0
0.0997222,675,0
0.101111,682,0
0.102778,690,0
0.104167,693,0
0.105556,699,0
0.106944,702,0
0.108333,709,0
0.109722,711,0
0.111111,715,0
0.1125,719,0
0.113889,721,0
0.115278,722,0
0.116667,724,0
0.118056,726,0
0.119444,727,0
0.123889,731,0
0.125278,733,0
0.129444,733,0
0.130833,744,0
0.132222,745,0
0.133611,750,0
0.135,755,0
0.136389,759,0
0.137778,762,0
0.139167,765,0
0.140556,767,0
0.142222,769,0
0.145,772,0
0.146389,774,0
0.147778,775,0
0.149167,778,0
0.150556,784,0
0.151944,789,0
0.153333,792,0
0.154722,800,0
0.156111,801,0
0.1575,805,0
0.158889,807,0
0.160556,812,0
0.161944,814,0
0.163333,816,0
0.164722,816,0
0.166111,818,0
0.1675,824,0
0.168889,829,0
0.170278,834,0
0.171667,837,0
0.173056,840,0
0.174444,842,0
0.175833,845,0
0.177222,848,0
0.180278,854,0
0.181667,857,0
0.184444,859,0
0.185833,862,0
0.187222,863,0
0.19,864,0
0.191389,866,0
0.194444,867,0
0.195833,868,0
0.197222,869,0
0.198611,870,0
0.201389,870,0
0.202778,871,0
0.205556,872,0
0.206944,876,0
0.208333,884,0
0.209722,887,0
0.211111,889,0
0.2125,892,0
0.213889,894,0
0.215278,895,0
0.216944,897,0
0.218333,898,0
0.2225,898,0
0.223889,898,0
0.225278,899,0
0.226667,900,0
0.228056,903,0
0.229444,905,0
0.233889,906,0
0.243611,907,0
0.245,913,0
0.246667,915,0
0.248056,917,0
0.250833,919,0
0.253611,920,0
0.260556,922,0
0.262222,925,0
0.263611,929,0
0.265,931,0
0.266389,933,0
0.269167,934,0
0.270556,935,0
0.271944,940,0
0.273333,942,0
0.276389,946,0
0.277778,949,0
0.279167,963,0
0.280556,968,0
0.281944,971,0
0.283333,974,0
0.284722,983,1
0.286111,987,1
0.2875,988,1
0.288889,993,1
0.290278,997,2
0.291667,998,2
0.293056,999,2
0.294444,1000,2
0.295833,1004,2
0.297222,1008,2
0.298611,1011,2
0.301667,1013,2
0.303056,1015,2
0.304444,1018,2
0.307222,1019,2
0.31,1023,3
0.311667,1027,3
0.313056,1029,3
0.315833,1030,3
0.317222,1031,3
0.318611,1034,3
0.32,1035,3
0.321389,1036,3
0.322778,1039,3
0.324167,1041,3
0.325556,1044,3
0.328333,1046,3
0.33,1046,3
0.331389,1047,3
0.332778,1047,3
0.334167,1048,3
0.335556,1055,3
0.336944,1059,3
0.338333,1062,3
0.339722,1064,3
0.3425,1066,3
0.343889,1067,3
0.345278,1068,3
0.348333,1071,3
0.351111,1073,3
0.3525,1074,3
0.353889,1079,3
0.355278,1080,3
0.356667,1082,3
0.359444,1084,3
0.362222,1085,3
0.363611,1086,3
0.365278,1088,4
0.366667,1091,4
0.368056,1092,4
0.369444,1095,4
0.370833,1104,4
0.372222,1108,4
0.373611,1110,4
0.375,1112,4
0.376389,1113,4
0.377778,1116,4
0.379167,1117,4
0.381944,1119,4
0.387778,1119,4
0.389167,1121,4
0.390556,1122,4
0.391944,1123,4
0.393333,1124,4
0.396111,1126,4
0.3975,1129,4
0.398889,1131,4
0.400278,1133,4
0.401667,1135,4
0.403056,1135,4
0.404444,1136,4
0.405833,1136,4
0.407222,1137,4
0.41,1142,5
0.411389,1143,5
0.412778,1146,7
0.414167,1147,7
0.415556,1149,8
0.416944,1152,8
0.421389,1154,8
0.422778,1157,8
0.424167,1159,8
0.425556,1160,8
0.426944,1163,8
0.428333,1174,8
0.429722,1186,9
0.431111,1193,9
0.4325,1203,9
0.433889,1208,9
0.435278,1213,9
0.436944,1216,10
0.438333,1221,10
0.439722,1225,10
0.441111,1231,10
0.4425,1238,10
0.443889,1242,10
0.445278,1243,10
0.446667,1247,10
0.448056,1251,10
0.449444,1253,10
0.451111,1254,10
0.4525,1255,10
0.453889,1258,10
0.455278,1261,10
0.456667,1262,10
0.458056,1263,10
0.459444,1266,10
0.460833,1268,10
0.463611,1271,11
0.465,1273,11
0.466389,1276,11
0.467778,1277,11
0.479167,1278,11
0.480556,1294,12
0.481944,1298,12
0.483333,1302,12
0.484722,1304,12
0.486111,1305,12
0.4875,1306,12
0.488889,1312,12
0.490278,1315,13
0.491667,1317,13
0.493056,1319,13
0.494444,1321,13
0.497222,1329,13
0.498611,1335,13
0.500278,1337,13
0.501667,1342,13
0.503056,1343,13
0.504444,1344,13
0.505833,1345,13
0.507222,1347,13
0.508611,1348,13
0.511389,1349,13
0.512778,1349,13
0.514167,1351,13
0.515556,1352,13
0.516944,1352,13
0.518333,1353,13
0.519722,1353,13
0.521111,1353,13
0.5225,1354,13
0.523889,1354,13
0.525278,1359,13
0.526667,1360,13
0.529444,1361,13
0.531111,1364,13
0.5325,1365,13
0.533889,1366,13
0.540833,1369,13
0.542222,1371,13
0.543611,1374,13
0.545,1380,13
0.546389,1381,13
0.547778,1381,13
0.549167,1384,13
0.550556,1386,13
0.552222,1387,13
0.553611,1388,13
0.556389,1389,13
0.557778,1391,13
0.559167,1392,13
0.560556,1396,13
0.566111,1397,13
0.569167,1398,13
0.571944,1399,13
0.574722,1399,13
0.576111,1400,13
0.5775,1402,13
0.580278,1403,13
0.586111,1404,13
0.5875,1405,13
0.591667,1405,13
0.593056,1407,13
0.594444,1409,13
0.608611,1409,13
0.61,1410,13
0.611389,1413,13
0.612778,1418,13
0.614167,1422,13
0.615556,1423,13
