unix_time,paths_total,unique_crashes
0,1,0
0.00138889,10,0
0.00277778,13,0
0.00416667,14,0
0.00555556,15,0
0.00694444,17,0
0.0138889,19,0
0.0208333,20,0
0.0225,22,0
0.0266667,23,0
0.0308333,24,0
0.0322222,24,0
0.0336111,27,0
0.035,28,0
0.0363889,29,0
0.0391667,30,0
0.0433333,31,0
0.0477778,32,0
0.0491667,33,0
0.0591667,34,0
0.0605556,37,0
0.0647222,37,0
0.0661111,37,0
0.0675,37,0
0.0688889,38,0
0.0702778,38,0
0.0716667,40,0
0.0730556,42,0
0.0747222,43,0
0.0761111,44,0
0.0775,46,0
0.0958333,47,0
0.0972222,48,0
0.102778,48,0
0.104167,48,0
0.107222,50,0
0.108611,51,0
0.111389,51,0
0.112778,51,0
0.114167,57,0
0.115556,59,0
0.116944,61,0
0.118333,62,0
0.119722,63,0
0.1225,64,0
0.123889,65,0
0.125278,66,0
0.126944,69,0
0.133889,70,0
0.135278,71,0
0.146667,75,0
0.148056,79,0
0.149444,83,0
0.150833,83,0
0.152222,83,0
0.153611,83,0
0.155,83,0
0.156389,83,0
0.157778,85,0
0.159167,85,0
0.160556,86,0
0.161944,92,0
0.164722,92,0
0.166111,92,0
0.168889,92,0
0.171944,92,0
0.173333,93,0
0.174722,93,0
0.1775,93,0
0.178889,94,0
0.181667,96,0
0.184722,116,0
0.186111,120,0
0.1875,123,0
0.188889,126,0
0.190278,127,0
0.191667,131,0
0.193056,132,0
0.194444,134,0
0.195833,135,0
0.197222,138,0
0.198611,139,0
0.2,141,0
0.202778,144,0
0.204167,145,0
0.208611,147,0
0.21,148,0
0.211389,151,0
0.216944,152,0
0.218333,152,0
0.219722,153,0
0.221111,156,0
0.2225,157,0
0.223889,160,0
0.225278,162,0
0.226667,163,0
0.229444,164,0
0.231111,165,0
0.2325,166,0
0.235278,167,0
0.236667,168,0
0.242222,169,0
0.245,170,0
0.250833,171,0
0.252222,171,0
0.253611,175,0
0.257778,177,0
0.259167,184,0
0.261944,185,0
0.266389,186,0
