unix_time,paths_total,unique_crashes
0,1,0
0.00166667,15,0
0.00305556,16,0
0.00444444,20,0
0.00583333,21,0
0.00722222,24,0
0.00861111,28,0
0.01,34,0
0.0113889,36,0
0.0127778,41,0
0.0141667,43,0
0.0155556,45,0
0.0169444,49,0
0.0197222,52,0
0.0211111,57,0
0.0225,61,0
0.0252778,65,0
0.0269444,68,0
0.0283333,70,0
0.0297222,81,0
0.0311111,105,0
0.0325,107,0
0.0338889,117,0
0.0352778,122,0
0.0366667,129,0
0.0380556,135,0
0.0394444,143,0
0.0408333,145,0
0.0422222,160,0
0.0436111,174,0
0.0452778,175,0
0.0466667,182,0
0.0480556,183,0
0.0508333,185,0
0.0522222,189,0
0.0536111,214,0
0.055,250,0
0.0563889,265,0
0.0577778,280,0
0.0594444,293,0
0.0608333,302,0
0.0622222,318,0
0.0636111,327,0
0.065,332,0
0.0663889,336,0
0.0677778,339,0
0.0694444,361,0
0.0708333,381,0
0.0722222,400,0
0.0736111,418,0
0.075,427,0
0.0763889,429,0
0.0791667,431,0
0.0805556,434,0
0.0822222,435,0
0.0836111,436,0
0.085,443,0
0.0877778,443,0
0.0905556,445,0
0.0919444,451,0
0.095,454,0
0.0963889,455,0
0.0977778,461,0
0.100556,462,0
0.103333,464,0
0.110556,479,0
0.111944,489,0
0.113333,496,0
0.114722,502,0
0.116111,508,0
0.1175,513,0
0.118889,520,0
0.120278,525,0
0.121667,526,0
0.123056,528,0
0.126111,530,0
0.1275,531,0
0.128889,534,0
0.130278,538,0
0.131667,539,0
0.134444,539,0
0.138889,540,0
0.140278,544,0
0.141667,549,0
0.143056,551,0
0.144444,554,0
0.145833,555,0
0.147222,575,0
0.148611,577,0
0.150278,597,0
0.151667,605,0
0.153056,611,0
0.154444,615,0
0.155833,616,0
0.157222,617,0
0.158611,617,0
0.161389,622,0
0.165556,623,0
0.166944,623,0
0.169722,624,0
0.172778,629,0
0.174167,632,0
0.175556,633,0
0.176944,634,0
0.178333,640,0
0.179722,643,0
0.181111,644,0
0.1825,647,0
0.185556,650,0
0.186944,651,0
0.188333,653,0
0.191111,654,0
0.1925,656,0
0.193889,656,0
0.196944,660,0
0.198333,662,0
0.2025,663,0
0.203889,663,0
0.208333,663,0
0.209722,668,0
0.211111,671,0
0.2125,675,0
0.213889,678,0
0.216667,680,0
0.218056,691,0
0.219722,698,0
0.221111,705,0
0.2225,706,0
0.223889,707,0
0.225278,710,0
0.226667,712,0
0.228056,725,0
0.229444,743,0
0.230833,751,0
0.2325,756,0
0.233889,763,0
0.235278,764,0
0.236667,768,0
0.238056,772,0
0.239444,776,0
0.240833,779,0
0.242222,780,0
0.243611,781,0
0.245,783,0
0.246389,784,0
0.247778,785,0
0.249167,790,0
0.250556,791,0
0.251944,793,0
0.253611,796,0
0.255,797,0
0.257778,799,0
0.259167,802,0
0.263333,802,0
0.264722,805,0
0.269167,808,0
0.270556,810,0
0.271944,814,0
0.273333,815,0
0.274722,816,0
0.276111,818,0
0.2775,821,0
0.278889,821,0
0.284722,823,0
0.286111,825,0
0.288889,826,0
0.290278,827,0
0.291667,829,0
0.293056,830,0
0.294444,844,0
0.295833,847,0
0.2975,848,0
0.298889,849,0
0.301667,867,0
0.303056,876,0
0.304444,881,0
0.305833,887,0
0.307222,890,0
0.308611,891,0
0.31,892,0
0.311389,899,0
0.317222,900,0
0.318611,906,0
0.32,907,0
0.321389,908,0
0.322778,912,0
0.324167,914,0
0.329722,916,0
0.335556,917,0
0.336944,919,0
0.338333,921,0
0.339722,925,0
0.341111,926,0
0.343889,927,0
0.345556,933,0
0.346944,934,0
0.348333,937,0
0.351111,938,0
0.3525,940,0
0.355278,941,0
0.356667,942,0
0.358333,944,0
0.361111,946,0
0.3625,946,0
0.363889,947,0
0.369722,948,0
0.371111,949,0
0.3725,949,0
0.373889,950,0
0.380833,952,0
0.385278,952,0
0.389444,953,0
0.390833,953,0
0.396389,954,0
0.398056,954,0
0.403611,956,0
0.406389,958,0
0.407778,959,0
0.412222,959,0
0.417778,960,0
0.419167,962,0
0.425,963,0
0.427778,963,0
0.433333,964,0
0.436389,966,0
0.440556,967,0
0.441944,969,0
0.443333,970,0
0.444722,971,0
0.446111,972,0
0.450278,973,0
0.454722,976,0
0.458889,979,0
0.460278,982,0
0.461667,983,0
0.463056,985,0
0.464444,986,0
0.466111,986,0
0.471667,987,0
0.473056,989,0
0.478611,990,0
0.481667,990,0
0.485833,990,0
0.49,992,0
0.491389,993,0
0.494167,994,0
0.497222,994,0
0.498611,995,0
0.5,996,0
0.501389,997,0
