unix_time,paths_total,unique_crashes
0,1,0
0.00166667,10,0
0.00444444,10,0
0.00583333,10,0
0.00722222,13,0
0.01,13,0
0.0113889,13,0
0.0127778,13,0
0.0141667,13,0
0.0155556,13,0
0.0169444,13,0
0.0183333,14,0
0.0211111,14,0
0.0225,14,0
0.0238889,14,0
0.0252778,14,0
0.0266667,14,0
0.0280556,14,0
0.0297222,14,0
0.0311111,14,0
0.0325,14,0
0.0338889,14,0
0.0352778,14,0
0.0369444,14,0
0.0383333,14,0
0.0397222,14,0
0.0411111,14,0
0.0425,14,0
0.0441667,14,0
0.0455556,14,0
0.0469444,14,0
0.0483333,14,0
0.0497222,14,0
0.0513889,14,0
0.0527778,14,0
0.0541667,14,0
0.0555556,14,0
0.0569444,14,0
0.0586111,14,0
0.06,14,0
0.0613889,14,0
0.0627778,14,0
0.0641667,14,0
0.0658333,14,0
0.0672222,14,0
0.0686111,14,0
0.07,14,0
0.0713889,14,0
0.0730556,14,0
0.0744444,14,0
0.0758333,14,0
0.0772222,14,0
0.0786111,14,0
0.0802778,14,0
0.0816667,14,0
0.0830556,14,0
0.0844444,14,0
0.0858333,14,0
0.0875,14,0
0.0888889,14,0
0.0902778,14,0
0.0916667,14,0
0.0930556,14,0
0.0947222,14,0
0.0961111,14,0
0.0975,14,0
0.0988889,14,0
0.100278,14,0
0.101944,14,0
0.103333,14,0
0.104722,14,0
0.106111,14,0
0.1075,14,0
0.109167,14,0
0.110556,14,0
0.111944,14,0
0.113333,14,0
0.114722,14,0
0.116389,14,0
0.117778,14,0
0.119167,14,0
0.120556,14,0
0.121944,14,0
0.123611,14,0
0.125,14,0
0.126389,14,0
0.127778,14,0
0.129167,14,0
0.130833,14,0
0.132222,14,0
0.133611,14,0
0.135,14,0
0.136389,14,0
0.138056,14,0
0.139444,14,0
0.140833,14,0
0.142222,14,0
0.143611,14,0
0.145278,14,0
0.146667,14,0
0.148056,14,0
0.149444,14,0
0.150833,14,0
0.1525,14,0
0.153889,14,0
0.155278,14,0
0.156667,14,0
0.158056,14,0
0.159722,14,0
0.161111,14,0
0.1625,14,0
0.163889,14,0
0.165278,14,0
0.166944,14,0
0.168333,14,0
0.169722,14,0
0.171111,14,0
0.1725,14,0
0.174167,14,0
0.175556,14,0
0.176944,14,0
0.178333,14,0
0.179722,14,0
0.181389,14,0
0.182778,14,0
0.184167,14,0
0.185556,14,0
0.186944,14,0
0.188611,14,0
0.19,14,0
0.191389,14,0
0.192778,14,0
0.194167,14,0
0.195833,14,0
0.197222,14,0
0.198611,14,0
0.2,14,0
0.201389,14,0
0.203056,14,0
0.204444,14,0
0.205833,14,0
0.207222,14,0
0.208611,14,0
0.210278,14,0
0.211667,14,0
0.213056,14,0
0.214444,14,0
0.215833,14,0
0.2175,14,0
0.218889,14,0
0.220278,14,0
0.221667,14,0
0.223056,14,0
0.224722,14,0
0.226111,14,0
0.2275,14,0
0.228889,14,0
0.230278,14,0
0.231944,14,0
0.233333,14,0
0.234722,14,0
0.236111,14,0
0.2375,14,0
0.239167,14,0
0.240556,14,0
0.241944,14,0
0.243333,14,0
0.244722,14,0
0.246389,14,0
0.247778,14,0
0.249167,14,0
0.250556,14,0
0.251944,14,0
0.253611,14,0
0.255,14,0
0.256389,14,0
0.257778,14,0
0.259167,14,0
0.260833,14,0
0.262222,14,0
0.263611,14,0
0.265,14,0
0.266389,14,0
0.268056,14,0
0.269444,14,0
0.270833,14,0
0.272222,14,0
0.273611,14,0
0.275278,14,0
0.276667,14,0
0.278056,14,0
0.279444,14,0
0.280833,14,0
0.2825,14,0
0.283889,14,0
0.285278,14,0
0.286667,14,0
0.288056,14,0
0.289722,14,0
0.291111,14,0
0.2925,14,0
0.293889,14,0
0.295278,14,0
0.296944,14,0
0.298333,14,0
0.299722,14,0
0.301111,14,0
0.3025,14,0
0.304167,14,0
0.305556,14,0
0.306944,14,0
0.308333,14,0
0.309722,14,0
0.311389,14,0
0.312778,14,0
0.314167,14,0
0.315556,14,0
0.316944,14,0
0.318611,14,0
0.32,14,0
0.321389,14,0
0.322778,14,0
0.324167,14,0
0.325833,14,0
0.327222,14,0
0.328611,14,0
0.33,14,0
0.331389,14,0
0.333056,14,0
0.334444,14,0
0.335833,14,0
0.337222,14,0
0.338611,14,0
0.340278,14,0
0.341667,14,0
0.343056,14,0
0.344444,14,0
0.345833,14,0
0.3475,14,0
0.348889,14,0
0.350278,14,0
0.351667,14,0
0.353056,14,0
0.354722,14,0
0.356111,14,0
0.3575,14,0
0.358889,14,0
0.360278,14,0
0.361944,14,0
0.363333,14,0
0.364722,14,0
0.366111,14,0
0.3675,14,0
0.369167,14,0
0.370556,14,0
0.371944,14,0
0.373333,14,0
0.374722,14,0
0.376389,14,0
0.377778,14,0
0.379167,14,0
0.380556,14,0
0.381944,14,0
0.383611,14,0
0.385,14,0
0.386389,14,0
0.387778,14,0
0.389167,14,0
0.390833,14,0
0.392222,14,0
0.393611,14,0
0.395,14,0
0.396389,14,0
0.398056,14,0
0.399444,14,0
0.400833,14,0
0.402222,14,0
0.403611,14,0
0.405278,14,0
0.406667,14,0
0.408056,14,0
0.409444,14,0
0.410833,14,0
0.4125,14,0
0.413889,14,0
0.415278,14,0
0.416667,14,0
0.418056,14,0
0.419722,14,0
0.421111,14,0
0.4225,14,0
0.423889,14,0
0.425278,14,0
0.426944,14,0
0.428333,14,0
0.429722,14,0
0.431111,14,0
0.4325,14,0
0.434167,14,0
0.435556,14,0
0.436944,14,0
0.438333,14,0
0.439722,14,0
0.441389,14,0
0.442778,14,0
0.444167,14,0
0.445556,14,0
0.446944,14,0
0.448611,14,0
0.45,14,0
0.451389,14,0
0.452778,14,0
0.454167,14,0
0.455833,14,0
0.457222,14,0
0.458611,14,0
0.46,14,0
0.461389,14,0
0.463056,14,0
0.464444,14,0
0.465833,14,0
0.467222,14,0
0.468611,14,0
0.470278,14,0
0.471667,14,0
0.473056,14,0
0.474444,14,0
0.475833,14,0
0.4775,14,0
0.478889,14,0
0.480278,14,0
0.481667,14,0
0.483056,14,0
0.484722,14,0
0.486111,14,0
0.4875,14,0
0.488889,14,0
0.490278,14,0
0.491944,14,0
0.493333,14,0
0.494722,14,0
0.496111,14,0
0.4975,14,0
0.499167,14,0
0.500556,14,0
0.501944,14,0
0.503333,14,0
0.504722,14,0
0.506389,14,0
0.507778,14,0
0.509167,14,0
0.510556,14,0
0.511944,14,0
0.513611,14,0
0.515,14,0
0.516389,14,0
0.517778,14,0
0.519167,14,0
0.520833,14,0
0.522222,14,0
0.523611,14,0
0.525,14,0
0.526389,14,0
0.528056,14,0
0.529444,14,0
0.530833,14,0
0.532222,14,0
0.533611,14,0
0.535278,14,0
0.536667,14,0
0.538056,14,0
0.539444,14,0
0.540833,14,0
0.5425,14,0
0.543889,14,0
0.545278,14,0
0.546667,14,0
0.548056,14,0
0.549722,14,0
0.551111,14,0
0.5525,14,0
0.553889,14,0
0.555278,14,0
0.556944,14,0
0.558333,14,0
0.559722,14,0
0.561111,14,0
0.5625,14,0
0.564167,14,0
0.565556,14,0
0.566944,14,0
0.568333,14,0
0.569722,14,0
0.571389,14,0
0.572778,14,0
0.574167,14,0
0.575556,14,0
0.576944,14,0
0.578611,14,0
0.58,14,0
0.581389,14,0
0.582778,14,0
0.584167,14,0
0.585833,14,0
0.587222,14,0
0.588611,14,0
0.59,14,0
0.591389,14,0
0.593056,14,0
0.594444,14,0
0.595833,14,0
0.597222,14,0
0.598611,14,0
0.600278,14,0
0.601667,14,0
0.603056,14,0
0.604444,14,0
0.605833,14,0
0.6075,14,0
0.608889,14,0
0.610278,14,0
0.611667,14,0
0.613056,14,0
0.614722,14,0
0.616111,14,0
0.6175,14,0
