unix_time,paths_total,unique_crashes
0,1,0
0.00138889,11,0
0.00277778,12,0
0.00416667,13,0
0.00722222,14,0
0.00861111,15,0
0.01,16,0
0.0113889,18,0
0.0197222,19,0
0.0225,19,0
0.0238889,19,0
0.0255556,20,0
0.0269444,21,0
0.0311111,22,0
0.0394444,23,0
0.0408333,25,0
0.0422222,26,0
0.0466667,27,0
0.0480556,28,0
0.0605556,30,0
0.0761111,30,0
0.0788889,31,0
0.0802778,31,0
0.0816667,32,0
0.0830556,32,0
0.0844444,32,0
0.0858333,34,0
0.0886111,35,0
0.0944444,36,0
0.0958333,38,0
0.0972222,39,0
0.1,40,0
0.101389,41,0
0.108333,42,0
0.113889,43,0
0.116944,43,0
0.130833,43,0
0.132222,44,0
0.133611,45,0
0.135,45,0
0.136389,45,0
0.138056,53,0
0.139444,55,0
0.140833,56,0
0.142222,58,0
0.143611,59,0
0.149167,61,0
0.151944,62,0
0.153333,63,0
0.156111,64,0
0.160278,65,0
0.168889,66,0
0.175833,66,0
0.177222,67,0
0.178611,71,0
0.19,72,0
0.194167,73,0
0.206944,74,0
0.208333,75,0
0.2125,75,0
0.213889,75,0
0.215278,76,0
0.216667,76,0
0.218056,76,0
0.220833,76,0
0.222222,76,0
0.223611,77,0
0.225278,78,0
0.226667,84,0
0.233611,85,0
0.236389,86,0
0.249167,88,0
0.250556,89,0
0.253333,89,0
0.254722,89,0
0.256111,91,0
0.2575,91,0
0.258889,91,0
0.260278,91,0
0.261667,91,0
0.263056,91,0
0.264444,91,0
0.265833,91,0
0.267222,91,0
0.268611,92,0
0.271389,94,0
0.274444,94,0
0.275833,94,0
0.277222,94,0
0.278611,95,0
0.281389,96,0
0.282778,96,0
0.284167,97,0
0.285556,98,0
0.288333,116,0
0.2925,118,0
0.293889,120,0
0.296667,121,0
0.298056,122,0
0.301111,123,0
0.3025,124,0
0.305278,126,0
0.306667,127,0
0.308056,128,0
0.309444,129,0
0.313611,129,0
0.315,130,0
0.316389,131,0
0.319167,132,0
0.324722,132,0
0.326111,132,0
0.3275,132,0
0.329167,132,0
0.330556,133,0
0.333333,134,0
0.334722,134,0
0.3375,134,0
0.341667,135,0
0.345833,136,0
0.347222,141,0
0.348889,142,0
0.350278,143,0
0.351667,145,0
0.354444,146,0
0.355833,147,0
0.361389,148,0
0.372778,149,0
0.381111,150,0
0.3825,150,0
0.386667,156,0
0.388056,158,0
0.390833,159,0
0.395,160,0
0.396667,161,0
0.398056,162,0
0.399444,163,0
0.423333,163,0
0.427778,163,0
0.433333,164,0
0.434722,165,0
0.4375,165,0
0.443333,165,0
0.4475,165,0
0.450278,165,0
0.455833,165,0
0.46,165,0
0.462778,165,0
0.467222,165,0
0.47,165,0
0.472778,165,0
0.476944,165,0
0.481111,166,0
0.484167,166,0
0.488333,166,0
0.491111,166,0
0.493889,166,0
0.496667,166,0
0.498056,167,0
0.500833,167,0
0.503611,167,0
0.506389,167,0
0.507778,168,0
0.509167,169,0
0.513611,170,0
0.524722,171,0
0.534444,173,0
0.54,175,0
0.542778,175,0
0.545833,176,0
0.548611,178,0
0.5625,178,0
0.565278,178,0
0.568056,178,0
0.569444,178,0
0.571111,180,0
0.5725,183,0
0.575278,184,0
0.576667,185,0
0.579444,186,0
0.580833,188,0
0.586389,189,0
0.590833,190,0
0.596389,191,0
0.607778,191,0
0.609167,193,0
0.6175,194,0
0.618889,195,0
0.621667,196,0
0.628889,197,0
0.630278,197,0
0.645556,197,0
0.648611,197,0
0.651389,197,0
0.654167,197,0
0.655556,197,0
0.656944,198,0
0.661111,198,0
0.666667,204,0
0.669722,204,0
0.6725,205,0
0.675278,205,0
0.676667,206,0
0.679444,206,0
0.680833,207,0
0.685,207,0
0.686667,207,0
0.688056,209,0
0.689444,210,0
0.690833,211,0
0.692222,213,0
0.696389,215,0
0.704722,216,0
0.706111,217,0
0.714722,218,0
0.723056,218,0
0.725833,220,0
0.730278,221,0
0.735833,221,0
0.74,221,0
0.744444,222,0
0.745833,223,0
0.748611,223,0
0.751389,223,0
0.754167,223,0
0.756944,223,0
0.759722,224,0
0.764167,224,0
0.766944,225,0
0.769722,226,0
0.773889,227,0
0.778056,227,0
0.782222,227,0
0.788056,228,0
0.792222,230,0
0.796389,232,0
0.797778,233,0
0.801944,233,0
0.806111,233,0
0.810278,233,0
0.816111,233,0
0.8175,237,0
0.818889,241,0
0.820278,246,0
0.823333,249,0
0.824722,250,0
0.8275,251,0
0.828889,252,0
0.831667,254,0
0.833056,255,0
0.835833,257,0
0.838611,259,0
0.84,260,0
0.846944,261,0
0.851389,264,0
0.854167,264,0
0.856944,267,0
0.858333,269,0
0.859722,272,0
0.8625,273,0
0.864167,274,0
0.865556,275,0
0.887778,276,0
0.890833,276,0
0.892222,279,0
0.895,283,0
0.896389,285,0
0.897778,286,0
0.900556,287,0
0.910278,288,0
0.924444,289,0
0.931667,289,0
0.934444,289,0
0.935833,290,0
0.938611,291,0
0.94,293,0
0.954167,294,0
0.958333,295,0
0.959722,296,0
0.962778,297,0
0.971111,297,0
0.973889,297,0
0.976667,297,0
0.979444,297,0
0.982222,297,0
0.986667,297,0
0.988056,297,0
0.992222,297,0
0.996389,297,0
1.00056,297,0
1.00194,298,0
1.00333,301,0
1.00639,301,0
1.01056,301,0
1.01472,301,0
1.02028,301,0
1.02333,301,0
1.02611,301,0
1.0275,302,0
1.02889,303,0
1.03583,303,0
1.03722,304,0
1.04167,304,0
1.04444,304,0
1.04583,306,0
1.04722,307,0
1.05,308,0
1.05278,309,0
1.05722,310,0
1.05861,311,0
1.06,312,0
1.06833,313,0
1.07389,314,0
1.08111,315,0
1.0825,315,0
1.08389,317,0
1.08528,318,0
1.08667,319,0
1.08806,320,0
1.08944,322,0
1.09361,323,0
1.10083,325,0
1.10639,326,0
1.11333,327,0
1.11917,327,0
1.12056,328,0
1.12472,329,0
1.1275,330,0
1.13306,331,0
1.14,332,0
1.15556,332,0
1.15833,334,0
1.16528,337,0
1.16972,340,0
1.17111,341,0
1.1725,342,0
1.17389,343,0
1.17806,346,0
1.19361,348,0
1.195,349,0
1.20472,350,0
1.20611,353,0
1.2075,356,0
1.20889,358,0
1.21056,360,0
1.21333,361,0
1.21472,362,0
1.21611,365,0
1.22167,367,0
1.23,368,0
1.23278,370,0
1.23583,371,0
1.24278,371,0
1.24556,371,0
1.24972,371,0
1.2525,371,0
1.25556,371,0
1.25833,371,0
1.26111,371,0
1.26528,371,0
1.26944,372,0
1.27083,374,0
1.27222,375,0
1.28778,375,0
1.29194,375,0
1.29472,375,0
