unix_time,paths_total,unique_crashes
0,1,0
0.00166667,18,0
0.00305556,20,0
0.00444444,21,0
0.00583333,21,0
0.00861111,23,0
0.01,34,0
0.0127778,45,0
0.0141667,47,0
0.0155556,50,0
0.0169444,52,0
0.0183333,57,0
0.0197222,65,0
0.0211111,74,0
0.0225,80,0
0.0238889,84,0
0.0252778,86,0
0.0266667,91,0
0.0283333,94,0
0.0297222,95,0
0.0311111,96,0
0.0325,96,0
0.0338889,97,0
0.0352778,99,0
0.0366667,104,0
0.0380556,104,0
0.0394444,105,0
0.0408333,108,0
0.0422222,110,0
0.0436111,115,0
0.045,115,0
0.0477778,115,0
0.0491667,117,0
0.0508333,121,0
0.0522222,123,0
0.0536111,127,0
0.055,130,0
0.0577778,133,0
0.0591667,134,0
0.0605556,135,0
0.0633333,136,0
0.0647222,137,0
0.0661111,138,0
0.0675,139,0
0.0688889,140,0
0.0702778,140,0
0.0716667,141,0
0.0733333,141,0
0.0747222,141,0
0.0761111,142,0
0.0775,143,0
0.0788889,144,0
0.0802778,148,0
0.0816667,149,0
0.0830556,151,0
0.0844444,152,0
0.0858333,155,0
0.0886111,156,0
0.09,157,0
0.0913889,159,0
0.0927778,159,0
0.0941667,160,0
0.0955556,161,0
0.0969444,162,0
0.0983333,164,0
0.1,166,0
0.101389,171,0
0.102778,172,0
0.104167,172,0
0.106944,172,0
0.108333,174,0
0.109722,174,0
0.112778,175,0
0.115556,176,0
0.116944,176,0
0.119722,176,0
0.1225,176,0
0.125278,176,0
0.126667,177,0
0.128056,180,0
0.129444,182,0
0.132222,184,0
0.135,190,0
0.136389,192,0
0.140833,192,0
0.143611,193,0
0.146389,194,0
0.149167,195,0
0.150556,196,0
0.151944,197,0
0.153333,198,0
0.154722,198,0
0.156111,199,0
0.1575,199,0
0.159167,200,0
0.160556,201,0
0.161944,202,0
0.164722,203,0
0.166111,203,0
0.1675,206,0
0.168889,211,0
0.170278,212,0
0.173333,212,0
0.174722,213,0
0.176111,213,0
0.1775,214,0
0.178889,215,0
0.180278,215,0
0.183056,216,0
0.184444,216,0
0.185833,218,0
0.187222,221,0
0.188611,223,0
0.19,225,0
0.191389,225,0
0.195556,227,0
0.198333,227,0
0.203889,227,0
0.206667,229,0
0.211111,229,0
0.213889,229,0
0.216667,230,0
0.218056,232,0
0.220833,232,0
0.226389,232,0
0.230556,234,0
0.235,242,0
0.236389,250,0
0.237778,255,0
0.239167,256,0
0.240556,257,0
0.243333,257,0
0.248889,258,0
0.250278,259,0
0.253333,263,0
0.254722,271,0
0.256111,275,0
0.2575,278,0
0.258889,278,0
0.261667,279,0
0.263056,317,0
0.264444,324,0
0.265833,326,0
0.267222,331,0
0.268611,333,0
0.27,334,0
0.273056,336,0
0.274444,337,0
0.275833,342,0
0.277222,345,0
0.278611,347,0
0.28,347,0
0.282778,347,0
0.284167,348,0
0.285556,348,0
0.286944,349,0
0.288333,350,0
0.291389,362,0
0.292778,366,0
0.294167,367,0
0.295556,368,0
0.296944,369,0
0.299722,373,0
0.3025,376,0
0.303889,377,0
0.305556,380,0
0.306944,381,0
0.308333,386,0
0.309722,387,0
0.311111,390,0
0.3125,392,0
0.313889,393,0
0.315278,396,0
0.316667,397,0
0.318056,401,0
0.319444,403,0
0.320833,405,0
0.3225,408,0
0.325278,408,0
0.326667,409,0
0.328056,416,0
0.329444,420,0
0.332222,446,0
0.333611,453,0
0.335,459,0
0.336389,465,0
0.337778,466,0
0.340833,467,0
0.342222,468,0
0.345,469,0
0.346389,470,0
0.347778,471,0
0.349167,472,0
0.350556,472,0
0.353333,475,0
0.356111,477,0
0.357778,477,0
0.360556,478,0
0.361944,478,0
0.364722,482,0
0.366111,483,0
0.368889,483,0
0.370278,484,0
0.371667,485,0
0.374444,486,0
0.3775,486,0
0.380278,486,0
0.383056,486,0
0.385833,486,0
0.388611,488,0
0.391389,488,0
0.394167,488,0
0.397222,489,0
0.398611,490,0
0.4,491,0
0.401389,492,0
0.404167,493,0
0.405556,494,0
0.406944,495,0
0.408333,496,0
0.409722,497,0
0.411111,498,0
0.413889,498,0
0.416667,499,0
0.418056,500,0
0.419444,500,0
0.4225,501,0
0.423889,504,0
0.425278,505,0
0.426667,508,0
0.428056,510,0
0.430833,511,0
0.432222,514,0
0.435,514,0
0.437778,515,0
0.442222,518,0
0.445,518,0
0.447778,518,0
0.450556,519,0
0.451944,519,0
0.455,519,0
0.457778,520,0
0.460556,520,0
0.463333,521,0
0.464722,521,0
0.4675,521,0
0.471667,522,0
0.475833,523,0
0.478611,523,0
0.481389,523,0
0.484167,525,0
0.486944,527,0
0.49,527,0
0.492778,528,0
0.494167,528,0
0.501111,528,0
0.505556,528,0
0.506944,528,0
0.508333,533,0
0.509722,534,0
0.511111,537,0
0.5125,542,0
0.513889,543,0
0.515278,543,0
0.516667,544,0
0.519444,544,0
0.5225,544,0
0.525278,545,0
0.526667,546,0
0.528056,547,0
0.529444,547,0
0.532222,547,0
0.535,547,0
0.536389,547,0
0.539444,548,0
0.542222,551,0
0.543611,552,0
0.546389,552,0
0.551944,552,0
0.556111,554,0
0.558889,557,0
0.563056,559,0
0.5675,559,0
0.571667,560,0
0.573056,565,0
0.575833,566,0
0.578611,566,0
0.581389,566,0
0.583056,568,0
0.585833,569,0
0.588611,570,0
0.591389,570,0
0.595556,570,0
0.598333,573,0
0.603889,573,0
0.606667,574,0
0.608056,575,0
0.610833,579,0
0.613611,580,0
0.615278,580,0
0.619444,584,0
0.625,584,0
0.629167,584,0
0.635,584,0
0.640556,585,0
0.641944,586,0
0.646111,586,0
0.6475,587,0
