unix_time,paths_total,unique_crashes
0,1,0
0.00138889,27,0
0.00305556,30,0
0.00444444,31,0
0.00583333,33,0
0.00722222,34,0
0.00861111,35,0
0.01,36,0
0.0113889,36,0
0.02,37,0
0.0227778,38,0
0.0283333,39,0
0.0311111,39,0
0.0325,39,0
0.0338889,39,0
0.0352778,46,0
0.0366667,48,0
0.0383333,50,0
0.0397222,51,0
0.0411111,53,0
0.0522222,54,0
0.055,54,0
0.0636111,54,0
0.065,54,0
0.0677778,54,0
0.0691667,54,0
0.0719444,54,0
0.0733333,54,0
0.0747222,54,0
0.0761111,54,0
0.0775,54,0
0.0802778,54,0
0.0819444,54,0
0.0833333,54,0
0.0847222,56,0
0.0861111,57,0
0.0916667,58,0
0.0986111,58,0
0.105833,58,0
0.107222,58,0
0.108611,58,0
0.11,58,0
0.111389,58,0
0.112778,58,0
0.114167,58,0
0.115556,58,0
0.116944,58,0
0.118333,58,0
0.119722,58,0
0.121111,58,0
0.1225,58,0
0.123889,58,0
0.126667,58,0
0.128056,58,0
0.1325,58,0
0.135278,58,0
0.139444,59,0
0.142222,60,0
0.145,61,0
0.148056,62,0
0.152222,63,0
0.1675,69,0
0.169167,69,0
0.1775,70,0
0.360278,72,0
0.365833,73,0
0.3925,74,0
0.399722,74,0
0.401111,74,0
0.4025,74,0
0.405278,74,0
0.406667,74,0
0.409444,74,0
0.412222,74,0
0.413611,74,0
0.416389,74,0
0.419444,74,0
0.423611,74,0
0.425,74,0
0.433611,74,0
0.440556,74,0
0.453333,74,0
0.4575,74,0
0.615,74,0
0.616389,74,0
0.618056,76,0
0.619444,76,0
0.622222,77,0
0.623611,77,0
0.626389,77,0
0.629167,77,0
0.633333,77,0
0.636111,77,0
0.640556,77,0
0.643333,77,0
0.648889,77,0
0.668611,77,0
0.682778,77,0
0.688333,77,0
0.984167,77,0
0.985556,77,0
1.16528,77,0
1.16667,77,0
1.16944,77,0
1.17222,77,0
1.17639,77,0
1.17944,77,0
1.1975,77,0
1.26111,77,0
1.26806,77,0
1.44806,77,0
1.79528,77,0
1.79667,77,0
1.79944,77,0
1.80222,77,0
1.805,77,0
1.80806,77,0
1.81222,77,0
1.82778,77,0
1.83333,77,0
1.84333,77,0
2.01056,77,0
2.01194,77,0
2.01333,77,0
2.01611,77,0
2.01917,77,0
2.02056,77,0
2.02611,77,0
2.03167,77,0
2.04306,77,0
2.04444,77,0
2.04722,77,0
2.05,77,0
2.05278,77,0
2.05556,77,0
2.09361,77,0
2.09944,77,0
2.29917,77,0
2.50944,77,0
2.51083,77,0
2.51361,77,0
2.51778,77,0
2.52056,77,0
2.52639,77,0
2.52778,77,0
2.75139,77,0
2.75278,77,0
2.75556,77,0
2.75861,77,0
2.76139,77,0
2.76694,77,0
2.77694,77,0
2.795,77,0
2.80056,77,0
2.81056,77,0
2.82194,77,0
2.96389,77,0
2.96528,77,0
2.96667,77,0
2.96972,77,0
2.9725,77,0
2.97944,77,0
2.98528,77,0
2.98944,77,0
2.99083,77,0
2.99222,77,0
2.995,77,0
2.99778,77,0
3.00361,77,0
3.00917,77,0
3.01056,77,0
3.01333,77,0
3.01611,77,0
3.01889,77,0
3.02333,77,0
3.03028,77,0
3.04028,77,0
3.04306,77,0
3.04444,77,0
3.04722,77,0
3.05028,77,0
3.05306,77,0
3.05861,77,0
3.06,77,0
3.06139,77,0
3.06278,77,0
3.06861,77,0
3.07139,77,0
3.07694,77,0
3.07972,77,0
3.08111,77,0
3.0825,77,0
3.08389,77,0
3.08667,77,0
3.08972,77,0
3.0925,77,0
3.09389,77,0
3.09944,77,0
3.11639,77,0
3.12333,77,0
3.12472,77,0
3.1275,77,0
3.13056,77,0
3.13333,77,0
3.13472,77,0
3.1375,77,0
3.14306,77,0
3.14861,77,0
3.15,77,0
3.15139,77,0
3.15278,77,0
3.15583,77,0
3.15861,77,0
3.16139,77,0
3.16833,77,0
3.16972,77,0
3.17278,77,0
3.17556,77,0
3.17833,77,0
3.17972,77,0
3.18528,77,0
3.19111,77,0
3.19667,77,0
3.19806,77,0
3.20083,77,0
3.20361,77,0
3.21361,77,0
3.22472,77,0
3.23472,77,0
3.24167,77,0
3.24306,77,0
3.24583,77,0
3.25139,77,0
3.25278,77,0
3.25583,77,0
3.25861,77,0
3.26139,77,0
3.26417,77,0
3.26972,77,0
3.27389,77,0
3.27556,77,0
3.27694,77,0
3.27833,77,0
3.2825,77,0
3.28389,77,0
3.28667,77,0
3.28944,77,0
3.29222,77,0
3.29528,77,0
3.29806,77,0
3.30083,77,0
3.30639,77,0
3.30778,77,0
3.31056,77,0
3.31333,77,0
3.31611,77,0
3.32194,77,0
3.3275,77,0
3.33333,77,0
3.3375,77,0
3.34028,77,0
3.34306,77,0
3.34444,77,0
3.3475,77,0
3.35028,77,0
3.35306,77,0
3.35444,77,0
3.36,77,0
3.36306,77,0
3.36444,77,0
3.36722,77,0
3.37,77,0
3.37556,77,0
3.38278,77,0
3.38417,77,0
3.38694,77,0
3.38972,77,0
3.39556,77,0
3.40806,77,0
3.4125,77,0
3.41528,77,0
3.41806,77,0
3.42083,77,0
3.42667,77,0
3.42806,77,0
3.43083,77,0
3.43361,77,0
3.43917,77,0
3.44056,77,0
3.44361,77,0
3.44639,77,0
3.44917,77,0
3.45194,77,0
3.45472,77,0
3.46056,77,0
3.46194,77,0
3.46472,77,0
3.46889,77,0
3.47028,77,0
3.47306,77,0
3.48028,77,0
3.48167,77,0
3.48444,77,0
3.48583,77,0
3.48722,77,0
3.49278,77,0
3.49417,77,0
3.49583,77,0
3.49861,77,0
3.5,77,0
3.50694,77,0
3.50833,77,0
3.51111,77,0
3.51417,77,0
3.51556,77,0
3.51833,77,0
3.52944,77,0
3.53528,77,0
3.53667,77,0
3.53806,77,0
3.54083,77,0
3.54222,77,0
3.545,77,0
3.54778,77,0
3.55333,77,0
3.55917,77,0
3.56056,77,0
3.56333,77,0
3.56611,77,0
3.57167,77,0
3.57722,77,0
3.58167,77,0
3.58306,77,0
3.58444,77,0
3.58722,77,0
3.59,77,0
3.59139,77,0
3.59417,77,0
3.59972,77,0
3.60139,77,0
3.60278,77,0
3.60556,77,0
3.60694,77,0
3.60972,77,0
3.61528,77,0
3.61694,77,0
3.61833,77,0
3.62111,77,0
3.6225,77,0
3.62528,77,0
3.63111,77,0
3.63667,77,0
3.63944,77,0
3.64222,77,0
3.64361,77,0
3.64639,77,0
3.64944,77,0
3.65222,77,0
3.655,77,0
3.66056,77,0
3.66639,77,0
3.66778,77,0
3.67056,77,0
3.67333,77,0
3.67611,77,0
3.67917,77,0
3.68472,77,0
3.69028,77,0
3.69167,77,0
3.69333,77,0
3.69611,77,0
3.69889,77,0
3.70167,77,0
3.70444,77,0
3.71,77,0
3.71444,77,0
3.72139,77,0
3.72278,77,0
3.72556,77,0
3.72833,77,0
3.72972,77,0
3.73694,77,0
3.73833,77,0
3.74111,77,0
3.74389,77,0
3.74667,77,0
3.75222,77,0
3.75361,77,0
3.755,77,0
3.75806,77,0
3.76083,77,0
3.76222,77,0
3.77333,77,0
3.77917,77,0
3.78056,77,0
3.78333,77,0
3.78611,77,0
3.78889,77,0
3.79167,77,0
3.79444,77,0
3.80583,77,0
3.81139,77,0
3.81278,77,0
3.81583,77,0
3.82556,77,0
3.83139,77,0
3.83278,77,0
3.83417,77,0
3.83694,77,0
3.83972,77,0
3.8425,77,0
3.84528,77,0
3.85083,77,0
3.85222,77,0
3.85361,77,0
3.85667,77,0
3.85944,77,0
3.86222,77,0
3.865,77,0
3.86639,77,0
3.86917,77,0
3.87472,77,0
3.87611,77,0
3.87917,77,0
3.88194,77,0
3.8875,77,0
3.89333,77,0
3.89472,77,0
3.8975,77,0
3.90028,77,0
3.90167,77,0
3.90444,77,0
3.90722,77,0
3.91278,77,0
3.91861,77,0
3.92,77,0
3.92139,77,0
3.92278,77,0
3.92694,77,0
3.92861,77,0
3.93556,77,0
3.93694,77,0
3.93833,77,0
3.94111,77,0
3.94667,77,0
3.94806,77,0
3.95111,77,0
3.95389,77,0
3.95667,77,0
3.95806,77,0
3.96528,77,0
3.97083,77,0
3.97222,77,0
3.975,77,0
3.97806,77,0
3.98361,77,0
3.995,77,0
4.00056,77,0
4.00194,77,0
4.00333,77,0
4.00611,77,0
4.00917,77,0
4.01194,77,0
4.01611,77,0
4.02306,77,0
4.02444,77,0
4.02722,77,0
4.02861,77,0
4.03139,77,0
4.03444,77,0
4.04,77,0
4.04139,77,0
4.04278,77,0
4.04417,77,0
4.04694,77,0
4.04972,77,0
4.0525,77,0
4.05556,77,0
4.05833,77,0
4.06389,77,0
4.06528,77,0
4.06806,77,0
4.07083,77,0
4.07667,77,0
4.08222,77,0
4.08778,77,0
4.08917,77,0
4.09222,77,0
4.095,77,0
4.09778,77,0
4.10056,77,0
4.10611,77,0
4.11194,77,0
4.11333,77,0
4.11472,77,0
4.1175,77,0
4.12028,77,0
4.12167,77,0
4.12444,77,0
4.12722,77,0
4.13028,77,0
4.13583,77,0
4.14139,77,0
4.14722,77,0
4.14861,77,0
4.15139,77,0
4.15417,77,0
4.15694,77,0
4.1625,77,0
4.16556,77,0
4.16694,77,0
4.16972,77,0
4.1725,77,0
4.17833,77,0
4.18389,77,0
4.18528,77,0
4.18806,77,0
4.19083,77,0
4.19389,77,0
4.19528,77,0
4.20083,77,0
4.20667,77,0
4.20806,77,0
4.20944,77,0
4.21222,77,0
4.215,77,0
4.21778,77,0
4.22056,77,0
4.22361,77,0
4.22639,77,0
4.23194,77,0
4.23333,77,0
4.23639,77,0
4.23778,77,0
4.24056,77,0
4.24194,77,0
4.24889,77,0
4.25472,77,0
4.25611,77,0
4.25889,77,0
4.26028,77,0
4.26722,77,0
4.27278,77,0
4.27417,77,0
4.27556,77,0
4.27722,77,0
4.28278,77,0
4.28833,77,0
4.28972,77,0
4.29111,77,0
4.29389,77,0
4.29694,77,0
4.29833,77,0
4.30111,77,0
4.30667,77,0
4.31361,77,0
4.315,77,0
4.31806,77,0
4.32083,77,0
4.32361,77,0
4.32639,77,0
4.32917,77,0
4.335,77,0
4.33778,77,0
4.33917,77,0
4.34194,77,0
4.345,77,0
4.34639,77,0
4.34917,77,0
4.35472,77,0
4.35611,77,0
4.3575,77,0
4.36028,77,0
4.36333,77,0
4.36889,77,0
4.37444,77,0
4.37583,77,0
4.3775,77,0
4.37889,77,0
4.38167,77,0
4.38444,77,0
4.38722,77,0
4.39306,77,0
4.39583,77,0
4.39722,77,0
4.4,77,0
4.40278,77,0
4.40833,77,0
4.40972,77,0
4.4125,77,0
4.41528,77,0
4.41833,77,0
4.42389,77,0
4.42972,77,0
4.43111,77,0
4.43389,77,0
4.43528,77,0
4.43806,77,0
4.44222,77,0
4.44361,77,0
4.445,77,0
4.44778,77,0
4.45083,77,0
4.45361,77,0
4.45639,77,0
4.46194,77,0
4.46639,77,0
4.47194,77,0
4.47333,77,0
4.47472,77,0
4.4775,77,0
4.47889,77,0
4.48194,77,0
4.48472,77,0
4.49028,77,0
4.49583,77,0
4.49889,77,0
4.50028,77,0
4.50306,77,0
4.50583,77,0
4.51167,77,0
4.51306,77,0
4.51444,77,0
4.51583,77,0
4.51861,77,0
4.52556,77,0
4.53111,77,0
4.53694,77,0
4.53833,77,0
4.54111,77,0
4.54389,77,0
4.54667,77,0
4.54944,77,0
4.55222,77,0
4.55667,77,0
4.56361,77,0
4.565,77,0
4.56778,77,0
4.57333,77,0
4.57917,77,0
4.58194,77,0
4.58333,77,0
4.58472,77,0
4.5875,77,0
4.59028,77,0
4.59306,77,0
4.59444,77,0
4.5975,77,0
4.60306,77,0
4.60861,77,0
4.61,77,0
4.61278,77,0
4.61833,77,0
4.62,77,0
4.62139,77,0
4.62278,77,0
4.62556,77,0
4.62833,77,0
4.63417,77,0
4.63972,77,0
4.64111,77,0
4.64389,77,0
4.64667,77,0
4.64806,77,0
4.65083,77,0
4.65361,77,0
4.655,77,0
4.66222,77,0
4.66361,77,0
4.66639,77,0
4.66917,77,0
4.675,77,0
4.68056,77,0
4.68194,77,0
4.68472,77,0
4.68778,77,0
4.69056,77,0
4.69333,77,0
4.69611,77,0
4.6975,77,0
4.70167,77,0
4.70583,77,0
4.71306,77,0
4.71444,77,0
4.71722,77,0
4.71861,77,0
4.72139,77,0
4.72417,77,0
4.72722,77,0
4.73278,77,0
4.73556,77,0
