unix_time,paths_total,unique_crashes
0,1,0
0.00138889,69,0
0.00277778,74,0
0.00416667,92,0
0.00555556,107,0
0.00694444,114,0
0.00833333,315,0
0.00972222,402,0
0.0111111,456,0
0.0125,484,0
0.0138889,530,0
0.0152778,568,0
0.0169444,598,0
0.0183333,621,0
0.0197222,663,0
0.0211111,696,0
0.0225,713,0
0.0238889,732,0
0.0252778,742,0
0.0266667,751,0
0.0283333,766,0
0.0297222,769,0
0.0311111,780,0
0.0325,791,0
0.0338889,798,0
0.0352778,810,0
0.0366667,819,0
0.0380556,824,0
0.0394444,835,0
0.0408333,848,1
0.0422222,858,1
0.0436111,865,1
0.045,867,1
0.0463889,876,2
0.0480556,894,2
0.0494444,908,3
0.0508333,917,5
0.0522222,925,5
0.0536111,929,5
0.055,931,5
0.0563889,940,5
0.0577778,950,5
0.0591667,961,5
0.0605556,964,5
0.0619444,968,5
0.0633333,975,5
0.0647222,979,5
0.0661111,981,5
0.0675,991,5
0.0688889,1001,5
0.0705556,1011,5
0.0719444,1019,5
0.0733333,1028,5
0.0747222,1031,5
0.0761111,1033,5
0.0775,1036,5
0.0788889,1039,5
0.0802778,1045,5
0.0816667,1053,5
0.0833333,1054,5
0.0847222,1056,5
0.0861111,1060,5
0.0875,1062,5
0.0888889,1063,5
0.0902778,1064,5
0.0916667,1066,5
0.0930556,1071,5
0.0944444,1079,5
0.0958333,1083,5
0.0972222,1087,5
0.0986111,1090,5
0.1,1093,5
0.101389,1099,5
0.102778,1101,5
0.104167,1104,5
0.105556,1111,5
0.106944,1117,5
0.108333,1132,5
0.109722,1137,5
0.111111,1146,5
0.1125,1151,5
0.113889,1153,5
0.115278,1157,5
0.116944,1162,5
0.118333,1166,5
0.119722,1175,5
0.121111,1179,5
0.1225,1183,5
0.123889,1195,6
0.125278,1200,6
0.126667,1204,6
0.128056,1204,7
0.129444,1208,7
0.130833,1211,7
0.132222,1212,7
0.133611,1215,7
0.135278,1223,7
0.136667,1230,7
0.138056,1244,7
0.139444,1249,7
0.140833,1256,7
0.142222,1261,7
0.143611,1276,7
0.145,1286,9
0.146389,1298,9
0.147778,1302,9
0.149167,1304,10
0.150833,1309,10
0.152222,1313,10
0.153611,1324,10
0.155,1326,10
0.156389,1331,10
0.157778,1335,10
0.159167,1354,11
0.160556,1365,12
0.161944,1367,12
0.163333,1374,12
0.164722,1378,12
0.166111,1385,12
0.1675,1398,12
0.170278,1424,13
0.171944,1445,14
0.173333,1459,14
0.174722,1461,14
0.176111,1462,14
0.1775,1469,14
0.178889,1477,14
0.180278,1485,14
0.181667,1486,14
0.184444,1494,14
0.185833,1500,14
0.187222,1502,14
0.188611,1504,14
0.190278,1506,14
0.191667,1507,15
0.193056,1512,15
0.194444,1514,15
0.195833,1515,15
0.197222,1523,15
0.198611,1528,15
0.2,1537,15
0.201389,1550,15
0.202778,1554,15
0.204444,1556,15
0.205833,1558,15
0.207222,1561,15
0.208611,1571,15
0.21,1572,15
0.211389,1573,15
0.212778,1581,15
0.214167,1584,15
0.215556,1588,15
0.216944,1594,15
0.218333,1596,15
0.219722,1599,15
0.221111,1604,15
0.223889,1604,15
0.225278,1606,15
0.226667,1611,15
0.228056,1611,15
0.229444,1611,15
0.230833,1614,15
0.2325,1614,15
0.233889,1624,15
0.235278,1630,15
0.236667,1633,15
0.238056,1635,15
0.239444,1640,15
0.242222,1640,15
0.243611,1640,16
0.245,1646,16
0.246389,1650,16
0.247778,1651,16
0.249167,1656,16
0.250833,1657,16
0.252222,1658,17
0.253611,1663,27
0.255,1666,28
0.256389,1669,32
0.257778,1670,33
0.259167,1675,33
0.260556,1676,33
0.261944,1678,33
0.263333,1679,33
0.264722,1685,33
0.266111,1687,33
0.2675,1689,33
0.268889,1690,33
0.270278,1691,38
0.271667,1693,39
0.273056,1694,43
0.274444,1698,65
0.275833,1699,74
0.277222,1700,78
0.278889,1701,78
0.280278,1704,78
0.281667,1709,79
0.283056,1711,79
0.284444,1724,79
0.285833,1729,79
0.287222,1737,79
0.288611,1739,80
0.29,1750,81
0.291389,1756,81
0.292778,1759,81
0.295556,1759,81
0.296944,1759,81
0.298333,1765,81
0.299722,1767,81
0.302778,1768,81
0.304167,1771,81
0.305556,1772,81
0.306944,1774,81
0.308333,1775,81
0.309722,1778,81
0.311111,1780,81
0.3125,1782,81
0.313889,1783,81
0.315278,1783,81
0.316667,1785,81
0.318333,1788,81
0.319722,1792,81
0.321111,1793,81
0.3225,1796,81
0.323889,1799,81
0.325278,1802,81
0.326667,1805,81
0.328056,1806,81
0.329444,1810,81
0.330833,1812,81
0.332222,1814,81
0.335,1817,81
0.336389,1819,81
0.337778,1825,81
0.339167,1827,81
0.340556,1833,81
0.341944,1836,81
0.343333,1839,81
0.344722,1843,81
0.346389,1844,81
0.347778,1849,82
0.349167,1857,82
0.350556,1860,82
0.351944,1864,82
0.353333,1869,82
0.354722,1870,82
0.356111,1872,82
0.3575,1876,82
0.358889,1882,82
0.360278,1884,82
0.361667,1884,82
0.363056,1884,82
0.364444,1885,82
0.365833,1888,82
0.367222,1890,82
0.368889,1892,82
0.370278,1893,82
0.371667,1900,82
0.373056,1905,82
0.374444,1906,82
0.375833,1907,82
0.377222,1910,82
0.378611,1911,82
0.38,1916,82
0.381389,1917,82
0.382778,1919,82
0.384167,1923,82
0.385556,1926,82
0.386944,1931,82
0.388333,1932,82
0.39,1932,82
0.391389,1939,82
0.392778,1940,82
0.395556,1944,82
0.396944,1946,82
0.398333,1946,82
0.401111,1949,82
0.4025,1950,82
0.403889,1952,82
0.405278,1953,82
0.406667,1956,82
0.408056,1957,82
0.409444,1959,82
0.410833,1961,82
0.413889,1962,82
0.415278,1964,82
0.416667,1968,82
0.418056,1969,82
0.419444,1971,82
0.420833,1973,82
0.422222,1978,82
0.423611,1979,82
0.425,1980,82
0.426389,1982,82
0.427778,1983,82
0.429167,1993,82
0.430556,2008,82
0.432222,2011,82
0.433611,2017,82
0.435,2022,82
0.436389,2024,82
0.437778,2029,82
0.439167,2030,82
