unix_time,paths_total,unique_crashes
0,1,0
0.00138889,75,0
0.00277778,82,0
0.00444444,253,0
0.00583333,303,0
0.00722222,331,0
0.00861111,360,0
0.01,384,0
0.0113889,410,0
0.0127778,442,0
0.0141667,472,0
0.0155556,491,0
0.0169444,501,1
0.0183333,510,1
0.02,519,1
0.0213889,531,1
0.0227778,541,1
0.0241667,557,1
0.0255556,571,1
0.0269444,580,1
0.0283333,591,1
0.0297222,597,1
0.0311111,601,1
0.0325,607,1
0.0341667,620,1
0.0355556,624,1
0.0369444,625,1
0.0383333,640,2
0.0397222,658,2
0.0411111,677,2
0.0425,682,2
0.0438889,685,2
0.0452778,693,2
0.0466667,702,2
0.0480556,710,2
0.0497222,726,2
0.0511111,739,2
0.0525,746,2
0.0538889,751,2
0.0552778,758,2
0.0566667,764,2
0.0580556,779,2
0.0594444,800,3
0.0608333,811,3
0.0622222,822,3
0.0636111,826,3
0.065,835,3
0.0663889,849,3
0.0677778,873,3
0.0694444,893,3
0.0708333,905,4
0.0722222,911,4
0.0736111,916,4
0.075,918,4
0.0763889,928,4
0.0780556,934,4
0.0794444,943,4
0.0808333,947,4
0.0822222,953,4
0.0836111,959,4
0.085,961,4
0.0863889,962,4
0.0877778,973,4
0.0891667,991,4
0.0905556,1001,4
0.0919444,1005,4
0.0936111,1010,4
0.095,1027,4
0.0963889,1038,6
0.0977778,1042,6
0.0991667,1044,6
0.100556,1048,6
0.101944,1051,6
0.103333,1056,6
0.104722,1064,6
0.106111,1069,6
0.1075,1074,6
0.110278,1077,6
0.111667,1084,6
0.113056,1085,6
0.114444,1095,6
0.115833,1096,6
0.1175,1099,6
0.118889,1102,6
0.120278,1103,6
0.121667,1105,7
0.123056,1109,7
0.124444,1110,7
0.125833,1114,7
0.127222,1125,7
0.128611,1127,7
0.13,1131,7
0.131389,1132,7
0.133056,1133,7
0.134444,1140,7
0.135833,1145,7
0.137222,1149,7
0.138611,1153,7
0.141389,1165,7
0.142778,1169,7
0.144167,1170,7
0.145556,1174,7
0.146944,1178,7
0.148333,1180,7
0.149722,1185,7
0.151389,1187,7
0.152778,1192,7
0.154167,1198,7
0.155556,1199,7
0.156944,1204,7
0.159722,1208,7
0.161111,1210,7
0.1625,1222,7
0.165278,1228,7
0.166667,1230,7
0.168056,1240,7
0.169722,1246,7
0.171111,1249,10
0.1725,1252,10
0.173889,1254,10
0.175278,1255,10
0.176667,1260,10
0.178056,1263,10
0.179444,1266,10
0.180833,1269,10
0.182222,1271,10
0.183611,1282,10
0.185,1295,10
0.186389,1301,10
0.188056,1304,10
0.189444,1307,10
0.190833,1308,10
0.192222,1313,10
0.193611,1316,10
0.195,1316,10
0.196389,1319,10
0.197778,1321,10
0.199167,1328,10
0.200556,1331,10
0.201944,1335,10
0.203333,1336,10
0.205,1336,10
0.206389,1342,10
0.207778,1344,10
0.209167,1347,10
0.211944,1351,10
0.213333,1352,10
0.214722,1354,10
0.216111,1365,10
0.217778,1376,12
0.219167,1379,12
0.220556,1383,12
0.221944,1389,12
0.223333,1398,12
0.224722,1405,12
0.226111,1410,12
0.2275,1418,12
0.228889,1425,12
0.230278,1450,12
0.231667,1457,12
0.233056,1463,12
0.234444,1470,12
0.235833,1471,12
0.237222,1475,12
0.238611,1478,12
0.24,1483,12
0.241389,1486,12
0.242778,1497,12
0.244167,1500,12
0.245833,1503,12
0.247222,1505,12
0.248611,1507,12
0.25,1511,12
0.251389,1514,12
0.252778,1519,12
0.254167,1525,12
0.255556,1528,12
0.256944,1532,12
0.258333,1535,12
0.259722,1539,12
0.261111,1543,12
0.2625,1546,12
0.263889,1555,12
0.265278,1560,12
0.266667,1568,12
0.268333,1573,12
0.269722,1576,12
0.271111,1584,12
0.2725,1586,14
0.273889,1587,15
0.275278,1590,15
0.276667,1595,15
0.278056,1596,15
0.279444,1607,15
0.280833,1620,15
0.282222,1624,15
0.283889,1632,15
0.285278,1634,15
0.286667,1642,15
0.288056,1644,15
0.289444,1646,15
0.290833,1650,15
0.292222,1659,15
0.293611,1662,15
0.295,1663,15
0.296389,1667,15
0.297778,1669,15
0.299167,1672,15
0.300556,1682,17
0.301944,1686,22
0.303333,1687,23
0.304722,1692,23
0.306111,1695,23
0.3075,1700,23
0.308889,1704,23
0.310278,1708,23
0.311667,1710,23
0.313056,1716,23
0.314444,1720,23
0.315833,1721,23
0.317222,1723,23
0.318611,1726,24
0.32,1728,25
0.321667,1729,26
0.323056,1733,26
0.324444,1734,26
0.325833,1735,26
0.327222,1737,26
0.328611,1741,26
0.33,1743,26
0.331389,1744,26
0.332778,1747,28
0.334167,1753,32
0.335556,1759,36
0.336944,1784,36
0.338333,1788,36
0.339722,1792,36
0.341389,1793,36
0.342778,1795,36
0.344167,1800,36
0.345556,1806,36
0.346944,1808,36
0.348333,1811,36
0.349722,1818,36
0.351111,1819,36
0.3525,1824,36
0.353889,1826,36
0.355556,1832,36
0.356944,1847,36
0.358333,1855,36
0.359722,1856,36
