unix_time,paths_total,unique_crashes
0,1,0
0.00166667,11,0
0.00444444,12,0
0.00583333,13,0
0.00722222,14,0
0.00861111,14,0
0.01,14,0
0.0113889,14,0
0.0127778,14,0
0.0141667,14,0
0.0155556,14,0
0.0169444,14,0
0.0186111,14,0
0.02,14,0
0.0213889,14,0
0.0227778,14,0
0.0241667,14,0
0.0255556,14,0
0.0272222,14,0
0.0286111,14,0
0.03,14,0
0.0313889,14,0
0.0327778,15,0
0.0355556,15,0
0.0372222,15,0
0.0386111,15,0
0.04,15,0
0.0413889,15,0
0.0427778,15,0
0.0441667,15,0
0.0458333,15,0
0.0472222,15,0
0.0486111,15,0
0.05,15,0
0.0513889,15,0
0.0527778,15,0
0.0544444,15,0
0.0558333,15,0
0.0572222,15,0
0.0586111,15,0
0.06,15,0
0.0613889,15,0
0.0630556,15,0
0.0644444,15,0
0.0658333,15,0
0.0672222,15,0
0.0686111,15,0
0.07,15,0
0.0716667,15,0
0.0730556,15,0
0.0744444,15,0
0.0758333,15,0
0.0772222,15,0
0.0786111,16,0
0.08,16,0
0.0816667,16,0
0.0830556,16,0
0.0844444,16,0
0.0858333,16,0
0.0872222,16,0
0.0886111,16,0
0.0902778,16,0
0.0916667,16,0
0.0930556,16,0
0.0944444,16,0
0.0958333,16,0
0.0972222,16,0
0.0986111,16,0
0.100278,16,0
0.101667,16,0
0.103056,16,0
0.104444,16,0
0.105833,16,0
0.107222,16,0
0.108611,16,0
0.110278,16,0
0.111667,16,0
0.113056,16,0
0.114444,16,0
0.115833,16,0
0.117222,16,0
0.118611,16,0
0.120278,16,0
0.121667,16,0
0.123056,16,0
0.124444,16,0
0.125833,16,0
0.1275,16,0
0.128889,16,0
0.130278,16,0
0.131667,16,0
0.133056,16,0
0.134444,16,0
0.135833,16,0
0.1375,16,0
0.138889,16,0
0.140278,16,0
0.141667,16,0
0.143056,16,0
0.144444,16,0
0.145833,16,0
0.1475,16,0
0.148889,16,0
0.150278,16,0
0.151667,16,0
0.153056,16,0
0.154722,16,0
0.156111,16,0
0.1575,16,0
0.158889,16,0
0.160278,16,0
0.161667,16,0
0.163056,16,0
0.164722,16,0
0.166111,16,0
0.1675,16,0
0.168889,16,0
0.170278,16,0
0.171667,16,0
0.173056,16,0
0.174444,16,0
0.175833,16,0
0.1775,16,0
0.178889,16,0
0.180278,16,0
0.181667,16,0
0.183056,16,0
0.184444,16,0
0.185833,16,0
0.187222,16,0
0.188889,16,0
0.190278,16,0
0.191667,16,0
0.193056,16,0
0.194444,16,0
0.195833,16,0
0.1975,16,0
0.198889,16,0
0.200278,16,0
0.201667,16,0
0.203056,16,0
0.204722,16,0
0.206111,16,0
0.2075,16,0
0.208889,16,0
0.210278,16,0
0.211667,16,0
0.213333,16,0
0.214722,16,0
0.216111,16,0
0.2175,16,0
0.218889,16,0
0.220278,16,0
0.221667,16,0
0.223333,16,0
0.224722,16,0
0.226111,16,0
0.2275,16,0
0.228889,16,0
0.230278,16,0
0.231944,16,0
0.233333,16,0
0.234722,16,0
0.236111,16,0
0.2375,16,0
0.238889,16,0
0.240278,16,0
0.241944,16,0
0.243333,16,0
0.244722,16,0
0.246111,16,0
0.2475,16,0
0.248889,16,0
0.250278,16,0
0.251667,16,0
0.253056,16,0
0.254722,16,0
0.256111,16,0
0.2575,16,0
0.258889,16,0
0.260278,16,0
0.261667,16,0
0.263056,16,0
0.264722,16,0
0.266111,16,0
0.2675,16,0
0.268889,16,0
0.270278,16,0
0.271667,16,0
0.273056,16,0
0.274444,16,0
0.275833,16,0
0.277222,16,0
0.278889,16,0
0.280278,16,0
0.281667,16,0
0.283056,16,0
0.284444,16,0
0.285833,16,0
0.2875,16,0
0.288889,17,0
0.293056,17,0
0.294444,17,0
0.295833,17,0
0.297222,17,0
0.298611,17,0
0.3,17,0
