unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,18,0
0.00416667,19,0
0.00555556,20,0
0.00722222,24,0
0.00861111,26,0
0.01,28,0
0.0113889,34,0
0.0127778,34,0
0.0155556,36,0
0.0169444,52,0
0.0183333,56,0
0.0197222,58,0
0.0211111,59,0
0.0225,63,0
0.0238889,66,0
0.0266667,67,0
0.0280556,70,0
0.0294444,71,0
0.0311111,78,0
0.0325,78,0
0.0338889,80,0
0.0352778,86,0
0.0366667,93,0
0.0380556,100,0
0.0394444,102,0
0.0408333,104,0
0.0422222,110,0
0.0436111,116,0
0.045,118,0
0.0463889,120,0
0.0477778,120,0
0.0494444,120,0
0.0522222,129,0
0.0536111,133,0
0.0577778,133,0
0.0591667,133,0
0.0605556,133,0
0.0619444,133,0
0.0633333,138,0
0.0647222,140,0
0.0661111,140,0
0.0675,141,0
0.0688889,144,0
0.0702778,148,0
0.0716667,150,0
0.0744444,151,0
0.0758333,153,0
0.0772222,153,0
0.0786111,155,0
0.08,161,0
0.0827778,162,0
0.0841667,163,0
0.0858333,166,0
0.0872222,169,0
0.0886111,171,0
0.09,172,0
0.0913889,179,0
0.0927778,183,0
0.0941667,186,0
0.0955556,187,0
0.0969444,190,0
0.0983333,190,0
0.0997222,192,0
0.101111,192,0
0.1025,193,0
0.103889,195,0
0.105278,195,0
0.106944,196,0
0.108333,196,0
0.109722,200,0
0.111111,204,0
0.1125,206,0
0.115278,206,0
0.116667,209,0
0.118056,209,0
0.119444,209,0
0.122222,209,0
0.123611,209,0
0.125,209,0
0.126389,214,0
0.127778,215,0
0.129444,218,0
0.130833,221,0
0.135,221,0
0.136389,221,0
0.137778,221,0
0.139167,221,0
0.140556,221,0
0.141944,222,0
0.143333,222,0
0.144722,222,0
0.146111,222,0
0.1475,224,0
0.148889,224,0
0.150278,224,0
0.151667,224,0
0.153056,224,0
0.154444,225,0
0.156111,227,0
0.1575,228,0
0.158889,228,0
0.160278,228,0
0.161667,228,0
0.163056,228,0
0.164444,228,0
0.165833,228,0
0.167222,228,0
0.168611,228,0
0.17,229,0
0.171667,229,0
0.173056,229,0
0.174444,229,0
0.175833,230,0
0.177222,234,0
0.178611,235,0
0.18,235,0
0.181389,235,0
0.184167,235,0
0.185556,235,0
0.188333,252,0
0.189722,262,0
0.191111,265,0
0.1925,268,0
0.193889,268,0
0.196944,269,0
0.198333,270,0
0.199722,270,0
0.201111,271,0
0.2025,271,0
0.205278,271,0
0.206667,272,0
0.209444,273,0
0.210833,275,0
0.212222,276,0
0.213611,280,0
0.215,281,0
0.216389,285,0
0.219167,286,0
0.220556,289,0
0.221944,293,0
0.223333,298,0
0.224722,304,0
0.226111,313,0
0.2275,314,0
0.228889,318,0
0.230556,323,0
0.231944,327,0
0.233333,330,0
0.234722,331,0
0.236111,334,0
0.2375,336,0
0.238889,344,0
0.240278,359,0
0.241667,364,0
0.243056,366,0
0.244444,370,0
0.245833,370,0
0.247222,373,0
0.248611,383,0
0.25,384,0
0.251389,392,0
0.252778,395,0
0.254167,396,0
0.255556,396,0
0.258611,396,0
0.26,396,0
0.262778,396,0
0.265556,396,0
0.266944,396,0
0.268333,396,0
0.269722,396,0
0.271111,397,0
0.2725,397,0
0.274167,398,0
0.275556,398,0
0.276944,399,0
0.278333,400,0
0.279722,401,0
0.281111,401,0
0.2825,401,0
0.283889,403,0
0.285278,404,0
0.286667,407,0
0.288056,407,0
0.289444,407,0
0.292222,410,0
0.293611,411,0
0.295278,415,0
0.296667,416,0
0.299444,418,0
0.300833,418,0
0.302222,418,0
0.303611,441,0
0.305,450,0
0.306389,451,0
0.307778,452,0
0.310556,455,0
0.311944,458,0
0.313333,460,0
0.314722,460,0
0.316111,464,0
0.3175,472,0
0.318889,473,0
0.320278,477,0
0.321667,477,0
0.324444,477,0
0.325833,477,0
0.3275,478,0
0.328889,479,0
0.330278,483,0
0.331667,484,0
0.334444,484,0
0.335833,484,0
0.338611,485,0
0.34,486,0
0.341389,486,0
0.344167,486,0
0.345556,487,0
0.346944,489,0
0.348333,489,0
0.349722,489,0
0.351111,490,0
0.3525,490,0
0.353889,490,0
0.355556,494,0
0.356944,494,0
0.358333,494,0
0.359722,494,0
0.361111,494,0
0.3625,495,0
0.363889,496,0
0.365278,498,0
0.366667,499,0
0.368056,499,0
0.369444,500,0
0.370833,500,0
0.372222,500,0
0.373611,501,0
0.375,508,0
0.377778,509,0
0.380556,509,0
0.382222,510,0
0.383611,510,0
0.385,513,0
0.386389,516,0
0.387778,520,0
0.389167,521,0
0.390556,522,0
0.391944,524,0
0.393333,526,0
0.396111,526,0
0.398889,526,0
0.400556,528,0
0.401944,529,0
0.403333,530,0
0.404722,530,0
0.406111,531,0
0.4075,534,0
0.408889,535,0
0.410278,536,0
0.411667,536,0
0.413056,536,0
0.414444,536,0
