unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00305556,18,0
0.00444444,21,0
0.00583333,23,0
0.00722222,28,0
0.0113889,28,0
0.0127778,30,0
0.0141667,30,0
0.0155556,31,0
0.0169444,32,0
0.0183333,36,0
0.0197222,42,0
0.0211111,45,0
0.0225,46,0
0.0238889,48,0
0.0255556,54,0
0.0269444,58,0
0.0283333,61,0
0.0297222,61,0
0.0311111,63,0
0.0325,65,0
0.0338889,65,0
0.0352778,66,0
0.0366667,68,0
0.0380556,68,0
0.0394444,68,0
0.0408333,68,0
0.0422222,72,0
0.0436111,74,0
0.0452778,75,0
0.0466667,75,0
0.0480556,75,0
0.0494444,75,0
0.0508333,86,0
0.0522222,89,0
0.0536111,93,0
0.0563889,98,0
0.0580556,98,0
0.0608333,98,0
0.0622222,99,0
0.0636111,99,0
0.065,99,0
0.0663889,99,0
0.0677778,99,0
0.0691667,99,0
0.0708333,103,0
0.0722222,103,0
0.0736111,103,0
0.075,105,0
0.0763889,105,0
0.0777778,105,0
0.0791667,108,0
0.0805556,114,0
0.0819444,119,0
0.0833333,120,0
0.0847222,124,0
0.0861111,124,0
0.0875,131,0
0.0888889,136,0
0.0902778,138,0
0.0916667,140,0
0.0930556,142,0
0.0944444,145,0
0.0958333,145,0
0.0975,145,0
0.100278,145,0
0.101667,149,0
0.104444,149,0
0.105833,149,0
0.107222,149,0
0.108611,149,0
0.11,158,0
0.111389,161,0
0.112778,163,0
0.114167,165,0
0.115556,168,0
0.116944,176,0
0.118333,177,0
0.12,182,0
0.121389,182,0
0.122778,182,0
0.124167,186,0
0.125556,188,0
0.126944,189,0
0.128333,190,0
0.129722,190,0
0.131111,193,0
0.1325,199,0
0.135278,201,0
0.136667,201,0
0.138056,202,0
0.139444,202,0
0.141111,205,0
0.1425,205,0
0.143889,205,0
0.146667,206,0
0.148056,206,0
0.149444,206,0
0.152222,206,0
0.153611,206,0
0.155,219,0
0.156389,228,0
0.158056,234,0
0.159444,237,0
0.160833,238,0
0.162222,238,0
0.163611,239,0
0.165,241,0
0.166389,241,0
0.167778,242,0
0.169167,242,0
0.170556,243,0
0.171944,256,0
0.173333,262,0
0.174722,265,0
0.176389,268,0
0.177778,269,0
0.179167,270,0
0.181944,270,0
0.183333,270,0
0.184722,270,0
0.186111,271,0
0.1875,271,0
0.188889,271,0
0.190278,272,0
0.191667,274,0
0.193056,276,0
0.194444,279,0
0.195833,281,0
0.197222,283,0
0.198611,285,0
0.2,290,0
0.201389,292,0
0.202778,294,0
0.205556,294,0
0.207222,295,0
0.208611,296,0
0.21,297,0
0.211389,298,0
0.212778,298,0
0.214167,298,0
0.215556,299,0
0.216944,300,0
0.218333,308,0
0.219722,309,0
0.221111,313,0
0.2225,325,0
0.223889,334,0
0.225278,337,0
0.226667,345,0
0.228056,347,0
0.229444,352,0
0.230833,369,0
0.232222,376,0
0.233889,379,0
0.236667,381,0
0.238056,383,0
0.239444,391,0
0.240833,395,0
0.242222,397,0
0.245,398,0
0.246389,398,0
0.247778,398,0
0.249167,400,0
0.250833,400,0
0.252222,401,0
0.253611,402,0
0.255,405,0
0.257778,405,0
0.259167,407,0
0.260556,407,0
0.261944,407,0
0.263333,408,0
0.264722,408,0
0.266111,408,0
0.2675,409,0
0.268889,421,0
0.271667,421,0
0.273056,421,0
0.274444,421,0
0.275833,421,0
0.277222,421,0
0.278889,421,0
0.281667,421,0
0.283056,421,0
0.284444,421,0
0.285833,423,0
0.287222,423,0
0.288611,426,0
0.29,426,0
0.291389,427,0
0.292778,430,0
0.295556,430,0
0.297222,430,0
0.298611,433,0
0.3,436,0
0.301389,437,0
0.302778,438,0
0.304167,438,0
0.305556,438,0
0.306944,438,0
0.308333,438,0
0.309722,438,0
0.312778,438,0
0.314167,438,0
0.315556,438,0
0.318333,438,0
0.319722,439,0
0.321111,440,0
0.3225,441,0
0.323889,442,0
0.325278,442,0
0.326667,443,0
0.328333,443,0
0.329722,444,0
0.331111,444,0
0.3325,458,0
0.333889,462,0
0.338056,463,0
0.339444,463,0
0.342222,463,0
0.343611,463,0
0.345,463,0
0.346389,464,0
0.347778,464,0
0.349167,465,0
0.351944,465,0
0.353333,465,0
0.354722,465,0
0.3575,465,0
0.358889,465,0
0.361944,465,0
0.363333,465,0
0.366111,465,0
0.3675,465,0
0.370278,465,0
0.371667,465,0
0.373056,465,0
0.375833,465,0
0.377222,465,0
0.378611,465,0
0.38,465,0
0.381389,465,0
0.382778,465,0
0.384167,465,0
0.385556,465,0
0.386944,466,0
0.388333,468,0
0.39,469,0
0.391389,470,0
0.392778,470,0
0.394167,472,0
0.395556,472,0
0.396944,474,0
0.398333,474,0
0.399722,476,0
0.401111,476,0
0.4025,476,0
0.403889,476,0
0.405278,476,0
0.406667,476,0
0.408056,476,0
0.409444,476,0
