unix_time,paths_total,unique_crashes
0,1,0
0.00138889,37,0
0.00305556,42,0
0.00444444,44,0
0.00722222,48,0
0.01,48,0
0.0113889,48,0
0.0127778,48,0
0.0155556,48,0
0.0183333,49,0
0.0211111,49,0
0.0225,49,0
0.0255556,49,0
0.0283333,49,0
0.0297222,49,0
0.0311111,49,0
0.0325,49,0
0.0338889,49,0
0.0366667,49,0
0.0380556,49,0
0.0394444,49,0
0.0408333,49,0
0.0422222,49,0
0.045,49,0
0.0463889,49,0
0.0477778,49,0
0.0494444,49,0
0.0508333,49,0
0.0522222,49,0
0.0536111,49,0
0.055,49,0
0.0563889,49,0
0.0591667,49,0
0.0605556,49,0
0.0619444,49,0
0.0633333,49,0
0.0647222,49,0
0.0661111,49,0
0.0702778,50,0
0.0761111,56,0
0.0788889,57,0
0.0802778,57,0
0.0816667,59,0
0.0830556,59,0
0.0847222,59,0
0.0861111,59,0
0.0875,59,0
0.0888889,59,0
0.0902778,59,0
0.0916667,59,0
0.0933333,59,0
0.0947222,59,0
0.0961111,61,0
0.0975,61,0
0.0988889,61,0
0.100556,61,0
0.101944,61,0
0.103333,61,0
0.104722,61,0
0.106111,61,0
0.1075,61,0
0.108889,61,0
0.110278,61,0
0.111944,61,0
0.113333,61,0
0.116111,61,0
0.118889,61,0
0.120278,61,0
0.123056,61,0
0.125833,61,0
0.130278,61,0
0.138611,61,0
0.14,61,0
0.141667,61,0
0.143056,61,0
0.144444,61,0
0.145833,61,0
0.147222,61,0
0.148611,61,0
0.15,61,0
0.151389,61,0
0.153056,61,0
0.154444,61,0
0.155833,61,0
0.157222,61,0
0.158611,61,0
0.16,61,0
0.161667,61,0
0.163056,61,0
0.164444,61,0
0.165833,61,0
0.167222,65,0
0.168611,69,0
0.256111,71,0
0.2575,74,0
0.261667,74,0
0.471111,75,0
0.663889,75,0
0.721389,75,0
0.777778,75,0
0.894444,76,0
1.05333,76,0
1.4,76,0
2.10611,76,0
2.41417,76,0
6,76,0
