unix_time,paths_total,unique_crashes
0,1,0
0.00138889,41,0
0.00277778,43,0
0.00416667,44,0
0.00555556,46,0
0.00833333,47,0
0.00972222,48,0
0.0111111,48,0
0.0138889,48,0
0.0152778,48,0
0.0166667,48,0
0.0180556,52,0
0.0194444,52,0
0.0238889,55,0
0.0252778,56,0
0.0280556,56,0
0.0294444,56,0
0.0308333,56,0
0.035,57,0
0.0419444,58,0
0.0433333,58,0
0.0477778,58,0
0.0491667,58,0
0.0505556,58,0
0.0561111,58,0
0.0575,58,0
0.0602778,58,0
0.0616667,58,0
0.0647222,58,0
0.0661111,58,0
0.0688889,58,0
0.0702778,58,0
0.0716667,58,0
0.0744444,58,0
0.0758333,58,0
0.0772222,58,0
0.0786111,58,0
0.0813889,58,0
0.0830556,58,0
0.0858333,58,0
0.0872222,58,0
0.0886111,58,0
0.09,58,0
0.0955556,58,0
0.0969444,58,0
0.0983333,58,0
0.1,58,0
0.101389,58,0
0.102778,58,0
0.104167,58,0
0.111111,58,0
0.1125,58,0
0.113889,58,0
0.115278,58,0
0.116944,58,0
0.118333,58,0
0.119722,58,0
0.121111,58,0
0.1225,58,0
0.123889,58,0
0.125278,58,0
0.126667,58,0
0.128056,58,0
0.129444,58,0
0.131111,58,0
0.1325,58,0
0.133889,58,0
0.136667,58,0
0.138056,58,0
0.139444,58,0
0.140833,58,0
0.142222,58,0
0.143889,58,0
0.145278,58,0
0.146667,58,0
0.148056,58,0
0.149444,58,0
0.150833,58,0
0.152222,58,0
0.153611,58,0
0.155,58,0
0.156389,58,0
0.157778,58,0
0.159167,58,0
0.160556,58,0
0.162222,58,0
0.163611,58,0
0.165,58,0
0.166389,58,0
0.167778,72,0
0.469444,72,0
0.499167,74,0
0.500556,75,0
0.503333,75,0
0.513056,77,0
0.514722,78,0
0.516111,78,0
0.686667,78,0
0.713333,78,0
0.714722,78,0
0.771111,78,0
0.793611,78,0
0.879444,79,0
0.881111,79,0
6,79,0
