unix_time,paths_total,unique_crashes
0,1,0
0.00138889,54,0
0.00277778,57,0
0.00416667,61,0
0.00555556,63,0
0.00694444,63,0
0.00833333,64,0
0.00972222,65,0
0.0111111,67,0
0.0141667,68,0
0.0155556,69,0
0.0169444,70,0
0.0183333,71,0
0.0211111,72,0
0.0225,73,0
0.0238889,79,0
0.0252778,81,0
0.0266667,82,0
0.0280556,84,0
0.0294444,85,0
0.0308333,88,0
0.0322222,89,0
0.0336111,91,0
0.0366667,93,0
0.0380556,95,0
0.0394444,96,0
0.0408333,99,0
0.0422222,102,0
0.0436111,103,0
0.045,105,0
0.0463889,106,0
0.0477778,108,0
0.0491667,111,0
0.0505556,113,0
0.0519444,115,0
0.055,116,0
0.0563889,118,0
0.0577778,128,0
0.0591667,133,0
0.0605556,136,0
0.0619444,141,0
0.0633333,145,0
0.0647222,147,0
0.0661111,150,0
0.0675,153,0
0.0688889,156,0
0.0702778,161,0
0.0716667,165,0
0.0733333,167,0
0.0747222,169,0
0.0761111,171,0
0.0775,173,0
0.0788889,174,0
0.0802778,176,0
0.0830556,177,0
0.0844444,178,0
0.0858333,179,0
0.0872222,180,0
0.0886111,180,0
0.09,183,0
0.0913889,187,0
0.0927778,195,0
0.0941667,203,0
0.0955556,210,0
0.0969444,213,0
0.0986111,219,0
0.1,220,0
0.101389,223,0
0.102778,228,0
0.104167,231,0
0.105556,254,0
0.106944,292,0
0.108333,319,0
0.109722,334,0
0.111389,343,0
0.112778,355,0
0.114167,366,0
0.115556,380,0
0.116944,389,0
0.118333,396,0
0.119722,407,0
0.121111,419,0
0.1225,428,0
0.123889,437,0
0.125556,451,0
0.126944,455,0
0.128333,462,0
0.129722,466,0
0.131111,477,0
0.1325,482,0
0.134167,485,0
0.135556,492,0
0.136944,499,0
0.138333,504,0
0.139722,534,0
0.141111,550,0
0.1425,567,0
0.143889,577,0
0.145278,586,0
0.146667,599,0
0.148056,607,0
0.149444,613,0
0.150833,622,0
0.1525,629,0
0.153889,633,0
0.155278,637,0
0.156667,638,0
0.158056,639,0
0.159444,640,0
0.169444,643,0
0.173611,643,0
0.175,646,0
0.176389,647,0
0.179167,648,0
0.181944,650,0
0.191944,652,0
0.193333,659,0
0.194722,666,0
0.196111,667,0
0.1975,670,0
0.198889,673,0
0.200278,681,0
0.201667,682,0
0.203056,684,0
0.204444,685,0
0.205833,689,0
0.2075,694,0
0.208889,695,0
0.210278,698,0
0.211667,699,0
0.213056,700,0
0.214444,700,0
0.215833,701,0
0.217222,706,0
0.218611,708,0
0.22,712,0
0.221389,714,0
0.222778,715,0
0.224167,716,0
0.225556,719,0
0.227222,720,0
0.228611,721,0
0.23,722,0
0.231389,724,0
0.232778,725,0
0.234167,728,0
0.235556,729,0
0.236944,733,0
0.238333,735,0
0.241111,739,0
0.2425,741,0
0.243889,742,0
0.245278,743,0
0.248056,744,0
0.249444,745,0
0.2525,747,0
0.253889,747,0
0.255278,748,0
0.260833,748,0
0.262222,748,0
0.263611,753,0
0.265,755,0
0.266389,757,0
0.267778,758,0
0.269167,759,0
0.270833,760,0
0.275,761,0
0.276389,762,0
0.277778,764,0
0.279167,766,0
0.280556,770,0
0.281944,771,0
0.283333,771,0
0.284722,773,0
0.286389,777,0
0.287778,781,0
0.289167,783,0
0.290556,784,0
0.294722,786,0
0.296111,787,0
0.2975,790,0
0.298889,794,0
0.300278,798,0
0.301667,799,0
0.303056,800,0
0.304722,802,0
0.3075,803,0
0.310278,805,0
0.313056,807,0
0.315833,808,0
0.317222,810,0
0.318611,814,0
0.321389,817,0
0.322778,818,0
0.324444,819,0
0.325833,821,0
0.328611,824,0
0.33,826,0
0.332778,828,0
0.334167,829,0
0.335556,833,0
0.336944,834,0
0.34,836,0
0.344167,837,0
0.354167,837,0
0.355556,840,0
0.356944,846,0
0.358333,848,0
0.359722,849,0
0.3625,852,0
0.363889,853,0
0.365556,857,0
0.366944,858,0
0.369722,859,0
0.371111,860,0
0.3725,862,0
0.373889,864,0
0.375278,869,0
0.376667,870,0
0.378056,873,0
0.380833,874,0
0.382222,875,0
0.385,876,0
0.388056,878,0
0.389444,881,0
0.390833,882,0
0.392222,885,0
0.393611,887,0
0.395,889,0
0.396389,891,0
0.401944,893,0
0.403333,895,0
0.404722,895,0
0.406111,896,0
0.4075,899,0
0.408889,901,0
0.410278,902,0
0.411667,903,0
0.416111,904,0
0.418889,906,0
0.420278,908,0
0.423056,909,0
0.425833,914,0
0.427222,921,0
0.428611,923,0
0.43,927,0
0.431389,928,0
0.434444,930,0
0.435833,932,0
0.437222,935,0
0.438611,938,0
0.441389,941,0
0.445556,943,0
0.452778,944,0
0.455556,946,0
0.456944,950,0
0.458333,951,0
0.4625,953,0
0.464167,954,0
0.465556,955,0
0.466944,956,0
0.469722,956,0
0.471111,957,0
0.4725,961,0
0.473889,965,0
0.475278,966,0
0.476667,967,0
0.478056,968,0
0.479444,970,0
0.480833,972,0
0.483611,973,0
0.485278,974,0
0.486667,977,0
0.489444,977,0
0.490833,980,0
0.496389,981,0
0.497778,983,0
0.499444,985,0
0.500833,988,0
0.502222,992,0
0.505,996,0
0.506389,997,0
0.507778,998,0
0.513611,999,0
0.515,1002,0
0.516389,1003,0
0.517778,1005,0
0.519167,1006,0
0.520556,1006,0
0.523333,1008,0
0.526111,1009,0
0.5275,1011,0
0.528889,1012,0
0.530278,1013,0
0.531944,1015,0
0.533333,1017,0
0.536111,1018,0
0.5375,1019,0
0.538889,1020,0
0.541667,1021,0
0.545833,1022,0
0.55,1022,0
0.551389,1022,0
0.553056,1023,0
0.554444,1025,0
0.557222,1026,0
0.558611,1027,0
0.56,1030,0
0.561389,1031,0
0.562778,1032,0
0.564167,1035,0
0.565556,1036,0
0.569722,1039,0
0.571111,1043,0
0.572778,1047,0
0.574167,1048,0
0.575556,1051,0
0.578333,1053,0
0.579722,1056,0
0.5825,1057,0
0.586944,1058,0
0.588333,1059,0
0.589722,1059,0
0.591111,1060,0
0.5925,1061,0
0.593889,1063,0
0.596667,1065,0
0.598056,1068,0
0.600833,1069,0
0.602222,1070,0
0.603889,1071,0
0.605278,1072,0
0.606667,1073,0
0.609444,1075,0
0.610833,1077,0
0.612222,1079,0
0.619444,1080,0
0.623611,1081,0
0.625,1083,0
0.629167,1084,0
0.630556,1088,0
0.632222,1095,0
