unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,16,0
0.00416667,21,0
0.00694444,29,0
0.00833333,36,0
0.00972222,37,0
0.0111111,38,0
0.0125,39,0
0.0138889,40,0
0.0152778,53,0
0.0166667,54,0
0.0183333,57,0
0.0197222,61,0
0.0211111,65,0
0.0225,69,0
0.0238889,73,0
0.0252778,75,0
0.0266667,76,0
0.0294444,76,0
0.0308333,78,0
0.0322222,79,0
0.0336111,95,0
0.035,108,0
0.0363889,114,0
0.0377778,119,0
0.0391667,125,0
0.0408333,130,0
0.0422222,132,0
0.0436111,139,0
0.045,142,0
0.0463889,143,0
0.0491667,143,0
0.0519444,152,0
0.0533333,155,0
0.0547222,156,0
0.0561111,159,0
0.0588889,159,0
0.0616667,167,0
0.0630556,169,0
0.0647222,173,0
0.0661111,177,0
0.0675,178,0
0.0688889,179,0
0.0702778,181,0
0.0730556,181,0
0.0744444,181,0
0.0758333,181,0
0.0772222,184,0
0.0786111,188,0
0.08,190,0
0.0813889,191,0
0.0827778,194,0
0.0841667,196,0
0.0855556,197,0
0.0869444,200,0
0.0886111,201,0
0.09,201,0
0.0913889,202,0
0.0927778,202,0
0.0941667,204,0
0.0955556,204,0
0.0969444,210,0
0.0983333,218,0
0.0997222,220,0
0.101111,221,0
0.1025,223,0
0.103889,235,0
0.105278,236,0
0.106667,236,0
0.109444,236,0
0.110833,241,0
0.1125,242,0
0.116667,243,0
0.118056,256,0
0.119444,259,0
0.120833,260,0
0.122222,262,0
0.123611,267,0
0.126389,269,0
0.129444,271,0
0.130833,271,0
0.133611,271,0
0.136389,272,0
0.137778,275,0
0.140556,275,0
0.141944,275,0
0.143333,276,0
0.144722,277,0
0.146111,279,0
0.1475,280,0
0.148889,281,0
0.150278,288,0
0.151667,300,0
0.153333,301,0
0.154722,304,0
0.156111,305,0
0.1575,305,0
0.158889,320,0
0.160278,322,0
0.163056,323,0
0.165833,331,0
0.167222,332,0
0.168611,332,0
0.17,332,0
0.171389,333,0
0.172778,336,0
0.174167,338,0
0.175556,338,0
0.176944,341,0
0.178333,342,0
0.181111,343,0
0.1825,344,0
0.184167,344,0
0.185556,349,0
0.186944,351,0
0.188333,354,0
0.189722,356,0
0.191111,357,0
0.1925,358,0
0.193889,359,0
0.195278,359,0
0.196667,360,0
0.198056,365,0
0.199444,366,0
0.200833,367,0
0.203611,386,0
0.205,395,0
0.206667,408,0
0.208056,411,0
0.209444,440,0
0.210833,485,0
0.212222,502,0
0.213611,510,0
0.215,515,0
0.216389,525,0
0.217778,529,0
0.219167,541,0
0.220556,542,0
0.221944,550,0
0.223333,551,0
0.226111,553,0
0.2275,554,0
0.229167,555,0
0.230556,555,0
0.231944,556,0
0.233333,557,0
0.234722,561,0
0.236111,564,0
0.2375,570,0
0.238889,578,0
0.240278,581,0
0.241667,582,0
0.244722,590,0
0.246111,593,0
0.2475,594,0
0.248889,598,0
0.250278,599,0
0.251667,601,0
0.253056,603,0
0.257222,603,0
0.258611,603,0
0.26,607,0
0.262778,609,0
0.264167,611,0
0.265833,612,0
0.267222,613,0
0.268611,615,0
0.27,616,0
0.271389,617,0
0.272778,619,0
0.274167,620,0
0.275556,621,0
0.276944,625,0
0.278333,628,0
0.279722,629,0
0.2825,637,0
0.283889,643,0
0.285556,647,0
0.286944,654,0
0.288333,659,0
0.289722,662,0
0.291111,666,0
0.2925,672,0
0.293889,674,0
0.295278,675,0
0.296667,702,0
0.298056,708,0
0.299444,714,0
0.300833,717,0
0.302222,720,0
0.303611,722,0
0.305,728,0
0.306389,731,0
0.307778,733,0
0.309167,738,0
0.311944,744,0
0.313333,746,0
0.314722,748,0
0.316111,751,0
0.3175,755,0
0.318889,758,0
0.320278,759,0
0.321944,762,0
0.323333,763,0
0.324722,763,0
0.326111,766,0
0.3275,772,0
0.328889,777,0
0.330278,779,0
0.331667,782,0
0.333056,800,0
0.334444,809,0
0.335833,811,0
0.337222,813,0
0.338611,814,0
0.34,815,0
0.341389,816,0
0.342778,823,0
0.344167,825,0
0.345556,825,0
0.346944,827,0
0.348611,837,0
0.35,839,0
0.351389,840,0
0.352778,842,0
0.354167,845,0
0.356944,849,0
0.358333,850,0
0.359722,851,0
0.361111,854,0
0.3625,855,0
0.363889,863,0
0.365278,867,0
0.366667,868,0
0.368056,870,0
0.370833,871,0
0.372222,872,0
0.375,872,0
0.377778,873,0
0.380833,874,0
0.382222,875,0
0.383611,876,0
0.385,876,0
0.387778,878,0
0.390556,878,0
0.393333,878,0
0.396111,878,0
0.398889,878,0
0.401944,878,0
0.403333,879,0
0.404722,879,0
0.4075,880,0
0.410278,881,0
0.411667,883,0
0.414722,883,0
0.4175,886,0
0.420278,889,0
0.423056,892,0
0.424444,894,0
0.427222,897,0
0.428611,898,0
0.43,899,0
0.431389,900,0
0.434444,901,0
