unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,19,0
0.00416667,21,0
0.00583333,22,0
0.00722222,25,0
0.00861111,26,0
0.01,27,0
0.0113889,28,0
0.0127778,30,0
0.0141667,32,0
0.0169444,34,0
0.0183333,38,0
0.0197222,40,0
0.0211111,40,0
0.0225,42,0
0.0238889,52,0
0.0252778,55,0
0.0266667,56,0
0.0280556,61,0
0.0297222,62,0
0.0311111,68,0
0.0325,70,0
0.0338889,74,0
0.0352778,75,0
0.0380556,76,0
0.0394444,80,0
0.0408333,81,0
0.0425,81,0
0.0438889,85,0
0.0452778,87,0
0.0480556,88,0
0.0508333,88,0
0.0522222,91,0
0.0536111,97,0
0.055,114,0
0.0563889,120,0
0.0577778,123,0
0.0608333,125,0
0.0622222,128,0
0.0636111,130,0
0.0663889,130,0
0.0677778,130,0
0.0691667,130,0
0.0705556,131,0
0.0733333,131,0
0.0747222,131,0
0.0761111,131,0
0.0775,131,0
0.0802778,131,0
0.0816667,131,0
0.0830556,131,0
0.0844444,131,0
0.0875,131,0
0.0888889,132,0
0.0916667,132,0
0.0930556,133,0
0.0958333,134,0
0.0972222,134,0
0.1,135,0
0.101389,135,0
0.102778,135,0
0.105556,135,0
0.108333,135,0
0.111111,135,0
0.114167,135,0
0.116944,135,0
0.118333,138,0
0.119722,140,0
0.121111,142,0
0.123889,142,0
0.125278,143,0
0.126667,143,0
0.128333,148,0
0.131111,151,0
0.133889,152,0
0.135278,153,0
0.136667,158,0
0.138056,159,0
0.139444,160,0
0.140833,163,0
0.143611,163,0
0.145,166,0
0.146389,168,0
0.147778,171,0
0.150833,172,0
0.152222,173,0
0.155,173,0
0.156389,174,0
0.157778,175,0
0.159167,178,0
0.160556,180,0
0.161944,181,0
0.163333,183,0
0.164722,186,0
0.166111,195,0
0.167778,198,0
0.169167,199,0
0.170556,203,0
0.171944,203,0
0.173333,203,0
0.176111,203,0
0.1775,203,0
0.178889,207,0
0.180278,211,0
0.181667,211,0
0.184444,211,0
0.1875,221,0
0.188889,224,0
0.190278,225,0
0.191667,230,0
0.193056,230,0
0.194444,232,0
0.197222,232,0
0.198611,233,0
0.2,233,0
0.201389,235,0
0.202778,235,0
0.204167,237,0
0.205556,239,0
0.21,240,0
0.211389,240,0
0.212778,242,0
0.214167,244,0
0.216944,244,0
0.218333,244,0
0.219722,245,0
0.221111,245,0
0.2225,245,0
0.225556,273,0
0.226944,275,0
0.228333,278,0
0.229722,281,0
0.231111,283,0
0.2325,285,0
0.235278,288,0
0.236667,288,0
0.238056,288,0
0.239444,289,0
0.240833,292,0
0.242222,294,0
0.245278,294,0
0.248056,295,0
0.249444,296,0
0.250833,297,0
0.252222,300,0
0.255,300,0
0.257778,300,0
0.259167,300,0
0.260556,301,0
0.261944,303,0
0.263333,303,0
0.264722,304,0
0.2675,309,0
0.268889,311,0
0.270278,313,0
0.271667,314,0
0.273056,338,0
0.274444,391,0
0.276111,405,0
0.2775,411,0
0.278889,416,0
0.280278,416,0
0.281667,417,0
0.284444,418,0
0.285833,420,0
0.288611,421,0
0.291667,421,0
0.293056,423,0
0.294444,423,0
0.295833,443,0
0.297222,451,0
0.298611,453,0
0.3,455,0
0.301389,457,0
0.302778,459,0
0.304167,459,0
0.305556,463,0
0.306944,464,0
0.308611,467,0
0.312778,468,0
0.314167,470,0
0.315556,471,0
0.316944,471,0
0.318333,473,0
0.319722,473,0
0.321111,473,0
0.3225,475,0
0.324167,475,0
0.325556,477,0
0.326944,477,0
0.328333,478,0
0.329722,478,0
0.331111,478,0
0.333889,481,0
0.335278,483,0
0.336667,486,0
0.341111,487,0
0.3425,487,0
0.343889,488,0
0.346667,488,0
0.348056,488,0
0.349444,488,0
0.350833,489,0
0.352222,491,0
0.353611,492,0
0.355,493,0
0.356389,493,0
0.357778,494,0
0.359167,494,0
0.360556,494,0
0.361944,494,0
0.363611,494,0
0.365,494,0
0.366389,495,0
0.367778,495,0
0.369167,496,0
0.370556,496,0
0.371944,496,0
0.374722,496,0
0.376111,496,0
0.379167,496,0
0.381944,501,0
0.383333,502,0
0.384722,504,0
0.387778,504,0
0.389167,504,0
0.391944,504,0
0.394722,509,0
0.396111,510,0
0.3975,512,0
0.398889,514,0
0.400278,515,0
0.401944,515,0
0.403333,515,0
0.406111,528,0
0.4075,531,0
0.408889,536,0
0.410278,542,0
0.411667,546,0
0.413056,553,0
0.414444,557,0
0.415833,564,0
0.4175,567,0
0.418889,569,0
0.420278,571,0
0.421667,578,0
0.423056,582,0
0.425833,587,0
0.427222,591,0
0.428611,596,0
0.43,598,0
0.431389,600,0
0.434444,604,0
0.435833,609,0
0.437222,612,0
0.44,613,0
0.442778,615,0
0.444167,616,0
0.445556,618,0
0.446944,620,0
0.448333,625,0
0.45,626,0
0.451389,630,0
0.452778,631,0
