unix_time,paths_total,unique_crashes
0,1,0
0.00166667,12,0
0.00305556,17,0
0.00444444,21,0
0.00583333,22,0
0.00722222,23,0
0.01,26,0
0.0113889,28,0
0.0127778,28,0
0.0141667,33,0
0.0155556,39,0
0.0169444,42,0
0.0183333,44,0
0.02,50,0
0.0213889,52,0
0.0227778,55,0
0.0255556,57,0
0.0269444,60,0
0.0283333,68,0
0.0297222,73,0
0.0311111,78,0
0.0325,82,0
0.0352778,87,0
0.0369444,88,0
0.0383333,89,0
0.0397222,92,0
0.0425,96,0
0.0452778,99,0
0.0466667,115,0
0.0480556,124,0
0.0494444,131,0
0.0508333,138,0
0.0522222,142,0
0.0536111,143,0
0.0566667,146,0
0.0580556,149,0
0.0594444,154,0
0.0608333,156,0
0.0622222,159,0
0.0636111,161,0
0.0663889,166,0
0.0677778,172,0
0.0694444,178,0
0.0708333,183,0
0.0736111,185,0
0.075,190,0
0.0763889,190,0
0.0777778,194,0
0.0791667,195,0
0.0822222,201,0
0.0836111,204,0
0.085,205,0
0.0863889,207,0
0.0877778,219,0
0.0891667,228,0
0.0905556,230,0
0.0919444,231,0
0.0933333,233,0
0.0947222,234,0
0.0961111,239,0
0.0975,239,0
0.100556,240,0
0.101944,243,0
0.103333,246,0
0.1075,264,0
0.108889,287,0
0.110556,289,0
0.111944,307,0
0.113333,326,0
0.114722,348,0
0.116111,394,0
0.1175,405,0
0.118889,407,0
0.120278,435,0
0.121667,473,0
0.123333,495,0
0.124722,521,0
0.126111,539,0
0.1275,557,0
0.128889,562,0
0.130278,566,0
0.131667,579,0
0.133056,593,0
0.134722,601,0
0.136111,608,0
0.1375,618,0
0.138889,626,0
0.140278,631,0
0.141667,632,0
0.144444,640,0
0.145833,647,0
0.147222,650,0
0.148611,653,0
0.15,661,0
0.151389,665,0
0.152778,667,0
0.154167,668,0
0.155833,669,0
0.157222,673,0
0.158611,676,0
0.16,680,0
0.161389,684,0
0.162778,688,0
0.164167,691,0
0.165556,695,0
0.168611,698,0
0.172778,699,0
0.175556,699,0
0.176944,700,0
0.178333,701,0
0.181389,704,0
0.182778,706,0
0.184167,708,0
0.185556,710,0
0.186944,714,0
0.188333,717,0
0.189722,724,0
0.191111,727,0
0.1925,729,0
0.198333,731,0
0.199722,740,0
0.201111,744,0
0.2025,750,0
0.203889,754,0
0.205278,755,0
0.206944,760,0
0.208333,763,0
0.209722,764,0
0.2125,765,0
0.213889,766,0
0.216667,768,0
0.218056,775,0
0.219444,779,0
0.221111,780,0
0.2225,784,0
0.223889,789,0
0.225278,802,0
0.226667,808,0
0.228056,810,0
0.229444,810,0
0.233611,811,0
0.236389,814,0
0.237778,816,0
0.239167,818,0
0.240556,820,0
0.242222,824,0
0.243611,827,0
0.245,828,0
0.246389,829,0
0.249167,830,0
0.250556,833,0
0.253611,835,0
0.256389,836,0
0.257778,837,0
0.260556,838,0
0.261944,841,0
0.263333,844,0
0.266111,849,0
0.2675,854,0
0.268889,856,0
0.270556,857,0
0.273333,860,0
0.274722,861,0
0.276111,862,0
0.2775,863,0
0.278889,865,0
0.280278,866,0
0.281667,867,0
0.285833,869,0
0.287222,870,0
0.290278,871,0
0.291667,875,0
0.293056,876,0
0.294444,877,0
0.295833,877,0
0.298611,877,0
0.303056,877,0
0.308611,880,0
0.31,882,0
0.311667,884,0
0.313056,884,0
0.317222,888,0
0.318611,894,0
0.32,900,0
0.321389,905,0
0.322778,910,0
0.324444,913,0
0.325833,916,0
0.327222,917,0
0.33,919,0
0.331389,926,0
0.332778,927,0
0.334167,930,0
0.335556,932,0
0.336944,934,0
0.338333,936,0
0.3425,938,0
0.344167,940,0
0.345556,944,0
0.346944,946,0
0.348333,948,0
0.349722,949,0
0.351111,951,0
0.356944,954,0
0.358333,955,0
0.361111,957,0
0.3625,958,0
0.363889,959,0
0.365278,961,0
0.366944,964,0
0.368333,965,0
0.369722,965,0
0.371111,966,0
0.375278,967,0
0.378333,968,0
0.379722,970,0
0.381111,973,0
0.3825,975,0
0.383889,976,0
0.385278,978,0
0.388056,978,0
0.390833,979,0
0.392222,980,0
0.393611,983,0
0.395,986,0
0.399167,987,0
0.400833,988,0
0.402222,988,0
0.405,989,0
0.407778,991,0
0.409167,993,0
0.410556,999,0
0.411944,1003,0
0.413333,1007,0
0.415,1011,0
0.416389,1013,0
0.417778,1014,0
0.420556,1016,0
0.421944,1017,0
0.423333,1018,0
0.427778,1019,0
0.429167,1019,0
0.430556,1020,0
0.433333,1021,0
0.436111,1023,0
0.4375,1027,0
0.440278,1029,0
0.441944,1030,0
0.443333,1035,0
0.444722,1037,0
0.446111,1038,0
0.448889,1040,0
0.450278,1041,0
0.451667,1046,0
0.453056,1051,0
0.454444,1052,0
0.456111,1054,0
0.460278,1057,0
0.464444,1057,0
0.470278,1059,0
0.475833,1062,0
0.477222,1065,0
0.48,1066,0
0.482778,1068,0
0.484167,1069,0
0.485833,1069,0
0.49,1071,0
0.492778,1072,0
0.494167,1074,0
0.495833,1076,0
0.498611,1078,0
0.5,1079,0
0.501389,1080,0
0.502778,1082,0
0.506944,1083,0
0.508333,1084,0
0.511389,1085,0
0.512778,1086,0
0.515556,1087,0
0.516944,1089,0
0.518333,1089,0
0.519722,1091,0
0.521389,1094,0
0.522778,1095,0
0.524167,1100,0
0.525556,1106,0
0.526944,1107,0
0.528333,1109,0
0.531111,1110,0
0.5325,1115,0
0.535556,1116,0
0.538333,1117,0
0.539722,1117,0
0.543889,1117,0
0.551111,1120,0
0.5525,1121,0
0.553889,1122,0
0.555278,1124,0
0.556667,1126,0
0.559444,1128,0
0.560833,1129,0
0.565,1132,0
0.566389,1135,0
0.567778,1136,0
0.570833,1139,0
0.573611,1139,0
0.575,1140,0
0.576389,1142,0
0.577778,1144,0
0.580556,1145,0
0.581944,1147,0
0.583333,1148,0
0.584722,1149,0
0.586389,1153,0
0.587778,1154,0
0.589167,1156,0
0.590556,1171,0
0.591944,1176,0
0.593333,1180,0
0.594722,1181,0
0.596111,1183,0
0.5975,1184,0
0.599167,1185,0
0.603333,1185,0
0.6075,1193,0
0.608889,1199,0
0.610278,1200,0
0.611667,1203,0
0.613056,1204,0
0.614444,1205,0
0.6175,1210,0
0.618889,1215,0
0.620278,1216,0
0.623056,1217,0
0.625833,1219,0
0.627222,1219,0
0.634444,1222,0
0.637222,1226,0
0.638611,1228,0
0.64,1229,0
0.641389,1230,0
0.642778,1232,0
0.645556,1234,0
0.651389,1236,0
0.656944,1241,0
0.658333,1245,0
0.66,1246,0
0.664167,1247,0
0.665556,1248,0
0.666944,1249,0
0.671389,1250,0
0.672778,1251,0
0.674167,1252,0
0.675556,1252,0
0.679722,1252,0
0.681111,1253,0
0.684167,1253,0
0.686944,1254,0
0.688333,1255,0
0.689722,1255,0
0.691389,1256,0
0.695556,1259,0
0.699722,1259,0
0.704167,1260,0
0.711111,1261,0
0.7125,1262,0
0.713889,1262,0
0.716944,1263,0
0.718333,1265,0
0.721111,1265,0
