unix_time,paths_total,unique_crashes
0,1,0
0.00166667,9,0
0.00305556,11,0
0.00444444,11,0
0.00583333,11,0
0.00722222,11,0
0.00861111,11,0
0.01,11,0
0.0113889,12,0
0.0127778,14,0
0.0141667,14,0
0.0155556,14,0
0.0169444,14,0
0.0183333,14,0
0.0197222,14,0
0.0211111,14,0
0.0227778,14,0
0.0241667,14,0
0.0255556,14,0
0.0269444,14,0
0.0283333,14,0
0.0297222,14,0
0.0311111,14,0
0.0327778,14,0
0.0341667,14,0
0.0355556,14,0
0.0369444,14,0
0.0383333,14,0
0.0397222,14,0
0.0413889,14,0
0.0427778,14,0
0.0441667,14,0
0.0455556,14,0
0.0469444,14,0
0.0483333,14,0
0.0497222,14,0
0.0513889,14,0
0.0527778,14,0
0.0541667,14,0
0.0555556,14,0
0.0569444,14,0
0.0583333,14,0
0.0597222,14,0
0.0613889,14,0
0.0627778,14,0
0.0641667,14,0
0.0655556,14,0
0.0669444,14,0
0.0683333,14,0
0.0697222,14,0
0.0713889,14,0
0.0727778,14,0
0.0741667,14,0
0.0755556,14,0
0.0769444,14,0
0.0783333,14,0
0.08,14,0
0.0813889,14,0
0.0827778,14,0
0.0841667,14,0
0.0855556,14,0
0.0869444,14,0
0.0886111,14,0
0.09,14,0
0.0913889,14,0
0.0927778,14,0
0.0941667,14,0
0.0955556,14,0
0.0969444,14,0
0.0986111,14,0
0.1,14,0
0.101389,14,0
0.102778,14,0
0.104167,14,0
0.105556,14,0
0.107222,14,0
0.108611,14,0
0.11,14,0
0.111389,14,0
0.112778,14,0
0.114167,14,0
0.115833,14,0
0.117222,14,0
0.118611,14,0
0.12,14,0
0.121389,14,0
0.122778,14,0
0.124167,14,0
0.125833,14,0
0.127222,14,0
0.128611,14,0
0.13,14,0
0.131389,14,0
0.132778,14,0
0.134444,14,0
0.135833,14,0
0.137222,14,0
0.138611,14,0
0.14,14,0
0.141389,14,0
0.143056,14,0
0.144444,14,0
0.145833,14,0
0.147222,14,0
0.148611,14,0
0.15,14,0
0.151667,14,0
0.153056,14,0
0.154444,14,0
0.155833,14,0
0.157222,14,0
0.158611,14,0
0.16,14,0
0.161667,14,0
0.163056,14,0
0.164444,14,0
0.165833,14,0
0.167222,14,0
0.168611,14,0
0.170278,14,0
0.171667,14,0
0.173056,14,0
0.174444,14,0
0.175833,14,0
0.177222,14,0
0.178889,14,0
0.180278,14,0
0.181667,14,0
0.183056,14,0
0.184444,14,0
0.185833,14,0
0.187222,14,0
0.188889,14,0
0.190278,14,0
0.191667,14,0
0.193056,14,0
0.194444,14,0
0.195833,14,0
0.197222,14,0
0.198889,14,0
0.200278,14,0
0.201667,14,0
0.203056,14,0
0.204444,14,0
0.205833,14,0
0.207222,14,0
0.208889,14,0
0.210278,14,0
0.211667,14,0
0.213056,14,0
0.214444,14,0
0.215833,14,0
0.2175,14,0
0.218889,14,0
0.220278,14,0
0.221667,14,0
0.223056,15,0
0.224444,15,0
0.247222,15,0
0.248611,15,0
0.25,15,0
0.251389,15,0
0.252778,15,0
0.254167,15,0
0.255833,15,0
0.257222,15,0
0.258611,15,0
0.26,15,0
0.261389,15,0
0.262778,15,0
0.264167,15,0
0.265556,15,0
0.266944,15,0
0.268611,15,0
0.27,15,0
0.271389,15,0
0.272778,15,0
0.274167,15,0
0.275556,15,0
0.276944,15,0
0.278611,15,0
0.28,15,0
0.281389,15,0
0.282778,15,0
0.284167,15,0
0.285556,15,0
0.287222,15,0
0.288611,15,0
0.29,15,0
0.291389,15,0
0.292778,15,0
0.294167,15,0
0.295833,15,0
0.297222,15,0
0.298611,15,0
0.3,15,0
0.301389,15,0
0.302778,15,0
0.304444,15,0
0.305833,15,0
0.307222,15,0
0.308611,15,0
0.31,15,0
0.311389,15,0
0.313056,15,0
0.314444,15,0
0.315833,15,0
0.317222,15,0
0.318611,15,0
0.32,15,0
0.321667,15,0
0.323056,15,0
0.324444,15,0
0.325833,15,0
0.327222,15,0
0.328611,15,0
0.33,15,0
0.331667,15,0
0.333056,15,0
0.334444,15,0
0.335833,15,0
0.337222,15,0
0.338611,15,0
0.340278,15,0
0.341667,15,0
0.343056,15,0
0.344444,15,0
0.345833,15,0
0.347222,15,0
0.348611,15,0
0.350278,15,0
0.351667,15,0
0.353056,15,0
0.354444,15,0
0.355833,15,0
0.357222,15,0
0.358889,15,0
0.360278,15,0
0.361667,15,0
0.363056,15,0
0.364444,15,0
0.365833,15,0
0.367222,15,0
0.368611,15,0
0.370278,15,0
0.371667,15,0
0.373056,15,0
0.374444,15,0
0.375833,15,0
0.377222,15,0
0.378611,15,0
0.380278,15,0
0.381667,15,0
0.383056,15,0
0.384444,15,0
0.385833,15,0
0.387222,15,0
0.388611,15,0
0.390278,15,0
0.391667,15,0
0.393056,15,0
0.394444,15,0
0.395833,15,0
0.397222,15,0
0.398889,15,0
0.400278,15,0
0.401667,15,0
0.403056,15,0
0.404444,15,0
0.405833,15,0
0.407222,15,0
0.408889,15,0
0.410278,15,0
0.411667,15,0
0.413056,15,0
0.414444,15,0
0.415833,15,0
0.417222,15,0
0.418611,15,0
0.420278,15,0
0.421667,15,0
0.423056,15,0
0.424444,15,0
0.425833,15,0
0.427222,15,0
0.428889,15,0
0.430278,15,0
0.431667,15,0
0.433056,15,0
0.434444,15,0
0.435833,15,0
0.437222,15,0
0.438889,15,0
0.440278,15,0
0.441667,15,0
0.443056,15,0
0.444444,15,0
0.445833,15,0
0.447222,15,0
0.448611,15,0
0.450278,15,0
0.451667,15,0
0.453056,15,0
0.454444,15,0
0.455833,15,0
0.457222,15,0
0.458889,15,0
0.460278,15,0
0.461667,15,0
0.463056,15,0
0.464444,15,0
0.465833,15,0
0.4675,15,0
0.468889,15,0
0.470278,15,0
0.471667,15,0
0.473056,15,0
0.474444,15,0
0.476111,15,0
0.4775,15,0
0.478889,15,0
0.480278,15,0
0.481667,15,0
0.483056,15,0
0.484722,15,0
0.486111,15,0
0.4875,15,0
0.488889,15,0
0.490278,15,0
0.491667,15,0
0.493333,15,0
0.494722,15,0
0.496111,15,0
0.4975,15,0
0.498889,15,0
0.500278,15,0
0.501667,15,0
0.503333,15,0
0.504722,15,0
0.506111,15,0
0.5075,15,0
0.508889,15,0
0.510278,15,0
0.511944,15,0
0.513333,15,0
0.514722,15,0
0.516111,15,0
0.5175,15,0
0.518889,15,0
0.520278,15,0
0.521667,16,0
0.524722,16,0
0.526111,16,0
0.5275,16,0
0.528889,16,0
0.530278,16,0
0.531667,16,0
0.533056,16,0
0.534444,16,0
0.535833,16,0
0.5375,16,0
0.538889,16,0
0.540278,16,0
0.541667,16,0
0.543056,16,0
0.544444,16,0
0.546111,16,0
0.5475,16,0
0.548889,16,0
0.550278,16,0
0.551667,16,0
0.553056,16,0
0.554722,17,0
0.556111,17,0
0.558889,17,0
0.560278,17,0
0.561667,17,0
0.563056,17,0
0.564444,17,0
0.565833,17,0
0.5675,17,0
0.568889,17,0
0.570278,17,0
0.571667,17,0
0.573056,17,0
0.574444,17,0
0.575833,17,0
0.577222,17,0
0.578611,17,0
0.58,17,0
0.581389,17,0
0.583056,17,0
0.584444,17,0
0.585833,17,0
0.587222,17,0
0.588611,17,0
0.59,17,0
0.591389,17,0
0.592778,17,0
0.594167,17,0
0.595556,17,0
0.596944,17,0
0.598333,17,0
0.6,17,0
0.601389,17,0
0.602778,17,0
0.604167,17,0
0.605556,17,0
0.606944,17,0
0.608333,17,0
0.609722,17,0
0.611111,17,0
0.6125,17,0
0.614167,17,0
0.615556,17,0
0.616944,17,0
