unix_time,paths_total,unique_crashes
0,1,0
0.00166667,18,0
0.00305556,21,0
0.00444444,23,0
0.00583333,28,0
0.00722222,31,0
0.00861111,49,0
0.01,51,0
0.0127778,58,0
0.0141667,64,0
0.0155556,67,0
0.0169444,82,0
0.0183333,93,0
0.0197222,99,0
0.0211111,103,0
0.0225,107,0
0.0238889,112,0
0.0252778,113,0
0.0269444,116,0
0.0283333,127,0
0.0297222,129,0
0.0325,131,0
0.0338889,134,0
0.0352778,137,0
0.0366667,138,0
0.0380556,140,0
0.0394444,151,0
0.0408333,155,0
0.0436111,157,0
0.0452778,161,0
0.0466667,170,0
0.0480556,172,0
0.0508333,172,0
0.0522222,172,0
0.0536111,176,0
0.055,177,0
0.0577778,177,0
0.0591667,181,0
0.0605556,182,0
0.0633333,187,0
0.065,193,0
0.0691667,193,0
0.0705556,195,0
0.0719444,197,0
0.0733333,200,0
0.0761111,201,0
0.0775,203,0
0.0788889,204,0
0.0802778,206,0
0.0819444,207,0
0.0833333,223,0
0.0847222,229,0
0.0861111,230,0
0.0875,234,0
0.0888889,235,0
0.0916667,235,0
0.0930556,235,0
0.0944444,235,0
0.0958333,237,0
0.0986111,237,0
0.100278,237,0
0.103056,239,0
0.104444,240,0
0.107222,243,0
0.11,244,0
0.111389,244,0
0.112778,244,0
0.114167,246,0
0.116944,285,0
0.118333,293,0
0.12,304,0
0.121389,307,0
0.122778,318,0
0.124167,322,0
0.125556,323,0
0.128333,339,0
0.129722,344,0
0.131111,350,0
0.1325,352,0
0.133889,353,0
0.135278,356,0
0.138056,358,0
0.139722,363,0
0.141111,374,0
0.1425,383,0
0.143889,388,0
0.145278,396,0
0.146667,396,0
0.148056,397,0
0.149444,398,0
0.150833,399,0
0.152222,402,0
0.153611,405,0
0.155,407,0
0.156389,409,0
0.158056,411,0
0.159444,411,0
0.160833,412,0
0.163611,414,0
0.165,415,0
0.166389,416,0
0.167778,417,0
0.170556,419,0
0.173333,421,0
0.174722,421,0
0.176111,422,0
0.1775,425,0
0.179167,427,0
0.180556,428,0
0.181944,430,0
0.183333,431,0
0.186111,432,0
0.1875,433,0
0.188889,433,0
0.190278,433,0
0.191667,435,0
0.193056,436,0
0.194444,437,0
0.195833,439,0
0.198611,440,0
0.200278,443,0
0.203056,443,0
0.205833,443,0
0.207222,445,0
0.208611,446,0
0.21,446,0
0.212778,446,0
0.214167,446,0
0.215556,448,0
0.216944,449,0
0.218333,451,0
0.219722,452,0
0.221111,453,0
0.2225,454,0
0.223889,454,0
0.225556,455,0
0.226944,457,0
0.229722,459,0
0.231111,461,0
0.2325,463,0
0.235278,463,0
0.236667,463,0
0.238056,464,0
0.239444,464,0
0.240833,464,0
0.242222,465,0
0.243611,465,0
0.245,465,0
0.246389,466,0
0.249167,467,0
0.250556,469,0
0.252222,472,0
0.253611,473,0
0.255,476,0
0.256389,478,0
0.257778,480,0
0.259167,482,0
0.260556,483,0
0.261944,484,0
0.263333,485,0
0.264722,486,0
0.268889,487,0
0.271944,490,0
0.273333,493,0
0.276111,495,0
0.2775,495,0
0.283056,495,0
0.287222,497,0
0.290278,497,0
0.297222,498,0
0.298611,498,0
0.3,499,0
0.301389,502,0
0.302778,503,0
0.305556,503,0
0.326667,504,0
0.329444,507,0
0.340833,507,0
0.342222,508,0
0.374722,508,0
0.397222,509,0
0.398611,514,0
0.4,515,0
0.401389,516,0
0.402778,517,0
0.404167,517,0
0.426667,519,0
0.428056,520,0
0.430833,520,0
0.483056,521,0
0.490278,523,0
0.491667,525,0
0.494444,525,0
0.495833,525,0
0.498611,526,0
0.513056,527,0
0.671389,530,0
0.672778,535,0
0.675556,536,0
0.679722,536,0
0.681111,538,0
0.6825,538,0
0.723333,538,0
0.724722,538,0
0.726389,538,0
0.727778,538,0
0.730556,539,0
0.731944,539,0
0.733333,539,0
0.734722,539,0
0.736111,539,0
0.7375,539,0
0.738889,539,0
0.740278,539,0
0.741667,539,0
0.744444,539,0
0.745833,539,0
0.747222,540,0
0.758611,541,0
0.761389,541,0
0.7825,543,0
0.783889,544,0
0.788056,544,0
0.821944,545,0
0.823333,547,0
0.824722,547,0
0.895278,547,0
4.59556,548,0
4.60139,548,0
4.60556,548,0
4.60694,548,0
4.60972,550,0
4.61111,554,0
4.6125,558,0
4.61389,560,0
4.61528,563,0
4.61667,563,0
4.62111,565,0
4.6225,568,0
4.62389,569,0
4.62667,571,0
4.62944,572,0
4.63083,575,0
4.63222,576,0
4.63361,578,0
4.635,579,0
4.63667,580,0
4.64083,583,0
4.64361,584,0
4.645,588,0
4.64778,589,0
4.64917,590,0
4.65194,592,0
4.65333,593,0
4.66056,595,0
4.67028,599,0
4.67167,602,0
4.67306,604,0
4.67583,606,0
4.67889,607,0
4.68028,608,0
4.68167,609,0
4.68444,610,0
4.69,614,0
4.69278,615,0
4.69556,615,0
4.70139,616,0
4.70278,617,0
4.70417,618,0
4.70556,620,0
4.7125,624,0
4.71528,625,0
4.71667,626,0
4.71833,626,0
4.7225,626,0
4.72667,626,0
4.73222,628,0
4.735,629,0
4.73778,629,0
4.75611,629,0
4.76306,630,0
4.78556,631,0
4.78694,634,0
4.79111,634,0
4.82778,635,0
4.86583,636,0
4.86861,637,0
4.87,638,0
4.88278,639,0
4.88417,640,0
4.88833,642,0
4.88972,645,0
4.89111,647,0
4.8925,648,0
4.89556,648,0
4.89694,650,0
4.90111,651,0
4.9025,652,0
4.90389,653,0
4.90667,653,0
4.91528,653,0
4.92361,653,0
4.93222,653,0
4.93917,657,0
4.94194,658,0
4.94333,660,0
4.95028,660,0
4.95889,660,0
