unix_time,paths_total,unique_crashes
0,1,0
0.00166667,25,0
0.00305556,31,0
0.00444444,33,0
0.00583333,34,0
0.00722222,35,0
0.0127778,36,0
0.0141667,37,0
0.0169444,38,0
0.0183333,39,0
0.0227778,41,0
0.0297222,41,0
0.0311111,41,0
0.0325,41,0
0.0338889,43,0
0.0352778,45,0
0.0366667,46,0
0.0394444,47,0
0.0619444,47,0
0.0636111,48,0
0.065,51,0
0.0663889,53,0
0.0677778,55,0
0.0691667,56,0
0.0775,56,0
0.0930556,56,0
0.0986111,56,0
0.1,57,0
0.101389,58,0
0.104167,58,0
0.105556,58,0
0.106944,58,0
0.108611,58,0
0.11,58,0
0.111389,58,0
0.112778,58,0
0.114167,58,0
0.115556,58,0
0.118333,58,0
0.121111,58,0
0.125278,58,0
0.128056,59,0
0.129444,59,0
0.132222,60,0
0.133611,61,0
0.140833,61,0
0.142222,61,0
0.143611,61,0
0.145,61,0
0.146389,61,0
0.147778,61,0
0.149167,61,0
0.150556,61,0
0.151944,61,0
0.153333,61,0
0.154722,61,0
0.157778,61,0
0.160556,61,0
0.161944,61,0
0.163333,61,0
0.168889,63,0
0.170278,65,0
0.171667,67,0
0.173056,69,0
0.198333,69,0
0.229444,70,0
0.235,71,0
0.236389,72,0
0.258889,72,0
0.260278,72,0
0.261667,72,0
0.263056,72,0
0.264444,72,0
0.265833,72,0
0.267222,72,0
0.27,72,0
0.271389,72,0
0.272778,72,0
0.275556,72,0
0.276944,72,0
0.278611,72,0
0.285556,72,0
0.289722,72,0
0.298056,72,0
0.309444,72,0
0.325,73,0
0.327778,74,0
0.338889,74,0
0.371389,74,0
0.375556,74,0
0.376944,75,0
0.382778,75,0
0.833889,75,0
0.835278,75,0
0.838056,75,0
0.839444,75,0
0.845,75,0
0.894167,76,0
0.902778,76,0
0.904167,76,0
1.04056,76,0
1.04194,76,0
1.04333,76,0
1.04472,76,0
1.0475,76,0
1.04917,76,0
1.05333,76,0
1.05889,77,0
1.06583,77,0
1.09806,77,0
1.09972,77,0
1.22972,78,0
1.23389,78,0
1.23528,78,0
1.23667,78,0
1.23806,78,0
1.23944,78,0
1.24361,78,0
1.26194,78,0
1.26333,78,0
1.26472,78,0
1.26611,78,0
1.2675,78,0
1.27333,78,0
1.27611,78,0
1.27889,78,0
1.28167,78,0
1.28444,78,0
1.28583,78,0
1.30139,78,0
1.30722,78,0
1.43861,78,0
1.59083,78,0
1.59222,78,0
1.59361,78,0
1.595,78,0
1.59778,78,0
1.60056,78,0
1.61056,78,0
1.61611,78,0
1.6175,78,0
1.62028,78,0
1.62306,78,0
1.62583,78,0
1.62889,78,0
1.63167,78,0
1.63861,78,0
1.64444,78,0
1.65444,78,0
1.79806,78,0
1.79944,78,0
1.80361,78,0
1.80667,78,0
1.80806,78,0
1.81083,78,0
1.81361,78,0
1.81639,78,0
1.81917,78,0
1.825,78,0
1.83611,78,0
1.84167,78,0
1.84306,78,0
1.84583,78,0
1.84889,78,0
1.85167,78,0
1.85444,78,0
1.85722,78,0
1.86,78,0
1.86556,78,0
1.87278,78,0
1.9825,78,0
2.12917,78,0
2.13083,78,0
2.13361,78,0
2.13639,78,0
2.13917,78,0
2.14194,78,0
2.24056,78,0
2.2475,78,0
2.24889,78,0
2.25167,78,0
2.25333,78,0
2.2575,78,0
2.25889,78,0
2.26167,78,0
2.26444,78,0
2.27,78,0
2.27139,78,0
2.27306,78,0
2.27444,78,0
2.27722,78,0
2.28,78,0
2.28278,78,0
2.2925,78,0
2.29833,78,0
2.30528,78,0
2.49806,78,0
2.50944,78,0
2.51083,78,0
2.51361,78,0
2.51639,78,0
2.51944,78,0
2.52222,78,0
2.52778,78,0
2.52917,78,0
2.53056,78,0
2.53194,78,0
2.53472,78,0
2.53778,78,0
2.54056,78,0
2.54333,78,0
2.54611,78,0
2.55194,78,0
2.55333,78,0
2.55472,78,0
2.5575,78,0
2.56028,78,0
2.56167,78,0
2.56444,78,0
2.57,78,0
2.57583,78,0
2.57722,78,0
2.58,78,0
2.58278,78,0
2.58556,78,0
2.58833,78,0
2.59139,78,0
2.59694,78,0
2.59833,78,0
2.60111,78,0
2.60389,78,0
2.60667,78,0
2.60972,78,0
2.6125,78,0
2.61528,78,0
2.61806,78,0
2.62361,78,0
2.62944,78,0
2.64194,78,0
2.64333,78,0
2.64639,78,0
2.64917,78,0
2.65194,78,0
2.65472,78,0
2.66028,78,0
2.66167,78,0
2.66306,78,0
2.66583,78,0
2.66861,78,0
2.67139,78,0
2.67722,78,0
2.68556,78,0
2.68694,78,0
2.68972,78,0
2.69278,78,0
2.69556,78,0
2.69833,78,0
2.70111,78,0
2.70389,78,0
2.70694,78,0
2.70972,78,0
2.7125,78,0
2.71806,78,0
2.71944,78,0
2.72222,78,0
2.72528,78,0
2.72806,78,0
2.73083,78,0
2.73361,78,0
2.73639,78,0
2.73917,78,0
2.74194,78,0
2.7475,78,0
2.76028,78,0
2.77167,78,0
2.77306,78,0
2.77444,78,0
2.77722,78,0
2.78,78,0
2.78306,78,0
2.78583,78,0
2.79139,78,0
2.79694,78,0
2.79833,78,0
2.79972,78,0
2.80139,78,0
2.80417,78,0
2.80694,78,0
2.80972,78,0
2.8125,78,0
2.81528,78,0
2.82111,78,0
2.82667,78,0
2.83806,78,0
2.83944,78,0
2.84083,78,0
2.84361,78,0
2.84639,78,0
2.84917,78,0
2.85194,78,0
2.85333,78,0
2.85611,78,0
2.85917,78,0
2.86194,78,0
2.87306,78,0
2.87889,78,0
2.88028,78,0
2.88167,78,0
2.88306,78,0
2.88583,78,0
2.88861,78,0
2.89139,78,0
2.89417,78,0
2.9,78,0
2.90139,78,0
2.90417,78,0
2.90694,78,0
2.90972,78,0
2.9125,78,0
2.9225,78,0
2.92806,78,0
2.92944,78,0
2.93111,78,0
2.93389,78,0
2.93667,78,0
2.93944,78,0
2.945,78,0
2.95222,78,0
2.95361,78,0
2.955,78,0
2.95917,78,0
2.96056,78,0
2.96333,78,0
2.96639,78,0
2.96917,78,0
2.97472,78,0
2.97611,78,0
2.9775,78,0
2.98028,78,0
2.98306,78,0
2.98444,78,0
2.98722,78,0
2.99028,78,0
2.99583,78,0
2.99722,78,0
2.99861,78,0
3,78,0
3.00278,78,0
3.00556,78,0
3.00833,78,0
3.01111,78,0
3.01417,78,0
3.01694,78,0
3.0225,78,0
3.02806,78,0
3.03917,78,0
3.04056,78,0
3.04194,78,0
3.04333,78,0
3.04639,78,0
3.04917,78,0
3.05056,78,0
3.05333,78,0
3.05889,78,0
3.06472,78,0
3.07722,78,0
3.08278,78,0
3.08417,78,0
3.08583,78,0
3.08861,78,0
3.09139,78,0
3.09278,78,0
3.09556,78,0
3.09833,78,0
3.10417,78,0
3.10972,78,0
3.11111,78,0
3.11389,78,0
3.11694,78,0
3.11972,78,0
3.1225,78,0
3.12806,78,0
3.13389,78,0
3.13528,78,0
3.13667,78,0
3.13944,78,0
3.14222,78,0
3.145,78,0
3.14667,78,0
3.14944,78,0
3.15222,78,0
3.155,78,0
3.16194,78,0
3.16361,78,0
3.16639,78,0
3.16917,78,0
3.17056,78,0
3.17333,78,0
3.17611,78,0
3.17889,78,0
3.18167,78,0
3.1875,78,0
3.19306,78,0
3.19889,78,0
3.20028,78,0
3.20167,78,0
3.20306,78,0
3.20583,78,0
3.20889,78,0
3.21167,78,0
3.21444,78,0
3.22028,78,0
3.22583,78,0
3.23,78,0
3.23417,78,0
3.23556,78,0
3.23694,78,0
3.23972,78,0
3.2425,78,0
3.24556,78,0
3.24694,78,0
3.24972,78,0
3.2525,78,0
3.25528,78,0
3.25806,78,0
3.26083,78,0
3.26778,78,0
3.26944,78,0
3.27222,78,0
3.275,78,0
3.27778,78,0
3.28056,78,0
3.28194,78,0
3.28778,78,0
3.29472,78,0
3.29611,78,0
3.29889,78,0
3.30167,78,0
3.30444,78,0
3.30722,78,0
3.31028,78,0
3.31167,78,0
3.31444,78,0
3.32139,78,0
3.32278,78,0
3.32417,78,0
3.32722,78,0
3.33,78,0
3.33278,78,0
3.33556,78,0
3.33833,78,0
3.34389,78,0
3.34528,78,0
3.34806,78,0
3.35083,78,0
3.35389,78,0
3.35667,78,0
3.36222,78,0
3.36361,78,0
3.365,78,0
3.36778,78,0
3.36917,78,0
3.37194,78,0
3.37472,78,0
3.38056,78,0
3.38194,78,0
3.38333,78,0
3.38611,78,0
3.3875,78,0
3.39028,78,0
3.39306,78,0
3.40028,78,0
3.40167,78,0
3.40444,78,0
3.40722,78,0
3.41,78,0
3.41278,78,0
3.41417,78,0
3.42139,78,0
3.42278,78,0
3.42556,78,0
3.42833,78,0
3.43111,78,0
3.43417,78,0
3.43972,78,0
3.44528,78,0
3.44667,78,0
3.44972,78,0
3.4525,78,0
3.45528,78,0
3.45667,78,0
3.45944,78,0
3.4625,78,0
3.46944,78,0
3.475,78,0
3.47639,78,0
3.47917,78,0
3.48222,78,0
3.48361,78,0
3.48639,78,0
3.48917,78,0
3.49194,78,0
3.49472,78,0
3.50056,78,0
3.5075,78,0
3.51306,78,0
3.51444,78,0
3.51722,78,0
3.52028,78,0
3.52306,78,0
3.52861,78,0
3.53,78,0
3.53278,78,0
3.53583,78,0
3.53861,78,0
3.54139,78,0
3.54417,78,0
3.54694,78,0
3.5525,78,0
3.55833,78,0
3.56944,78,0
3.57083,78,0
3.57222,78,0
3.57528,78,0
3.57667,78,0
3.57944,78,0
3.58222,78,0
3.58778,78,0
3.59333,78,0
3.59917,78,0
3.60056,78,0
3.60194,78,0
3.60472,78,0
3.6075,78,0
3.61028,78,0
3.61167,78,0
3.61472,78,0
3.62028,78,0
3.62583,78,0
3.63139,78,0
3.63278,78,0
3.63417,78,0
3.63694,78,0
3.63861,78,0
3.64139,78,0
3.64417,78,0
3.64833,78,0
3.65556,78,0
3.65694,78,0
3.65833,78,0
3.65972,78,0
3.6625,78,0
3.66528,78,0
3.66806,78,0
3.67083,78,0
3.67361,78,0
3.67639,78,0
3.68056,78,0
3.68778,78,0
3.69361,78,0
3.695,78,0
3.69639,78,0
3.69917,78,0
3.70056,78,0
3.70333,78,0
3.70778,78,0
3.70917,78,0
3.71194,78,0
3.7175,78,0
3.71889,78,0
3.72167,78,0
3.72444,78,0
3.72722,78,0
3.73028,78,0
3.73583,78,0
3.74139,78,0
3.74306,78,0
3.74583,78,0
3.74722,78,0
3.75,78,0
3.75278,78,0
3.75556,78,0
3.76139,78,0
3.76833,78,0
3.76972,78,0
3.7725,78,0
3.77528,78,0
3.77694,78,0
3.77972,78,0
3.7825,78,0
3.78528,78,0
3.78806,78,0
3.79083,78,0
3.79667,78,0
3.79806,78,0
3.79944,78,0
3.80083,78,0
3.80361,78,0
3.80639,78,0
3.80944,78,0
3.81222,78,0
3.815,78,0
3.82056,78,0
3.82194,78,0
3.82333,78,0
3.82611,78,0
3.82889,78,0
3.83194,78,0
3.83472,78,0
3.8375,78,0
3.84306,78,0
3.84444,78,0
3.84722,78,0
3.85028,78,0
3.85306,78,0
3.85583,78,0
3.85861,78,0
3.86139,78,0
3.86722,78,0
3.86861,78,0
3.87139,78,0
3.87417,78,0
3.87694,78,0
3.87972,78,0
3.8825,78,0
3.88528,78,0
3.89111,78,0
3.89667,78,0
3.90222,78,0
3.90806,78,0
3.915,78,0
3.91639,78,0
3.91917,78,0
3.92194,78,0
3.925,78,0
3.92778,78,0
3.92917,78,0
3.93333,78,0
3.93889,78,0
3.94333,78,0
3.94472,78,0
3.9475,78,0
3.95028,78,0
3.95306,78,0
3.95611,78,0
3.95889,78,0
3.96028,78,0
3.96306,78,0
3.96861,78,0
3.97417,78,0
3.97556,78,0
3.97694,78,0
3.97972,78,0
3.98278,78,0
3.98556,78,0
3.98833,78,0
3.99111,78,0
3.9925,78,0
3.99694,78,0
4.0025,78,0
4.00944,78,0
4.015,78,0
4.01639,78,0
4.01778,78,0
4.02056,78,0
4.02333,78,0
4.02639,78,0
4.02917,78,0
4.03194,78,0
4.03333,78,0
4.04472,78,0
4.05167,78,0
4.05306,78,0
4.05583,78,0
4.05861,78,0
4.06139,78,0
4.06444,78,0
4.06722,78,0
4.07,78,0
4.07556,78,0
4.07694,78,0
4.07833,78,0
4.08139,78,0
4.08417,78,0
4.08694,78,0
4.08833,78,0
4.09111,78,0
4.09667,78,0
4.1025,78,0
4.10806,78,0
4.10944,78,0
4.11222,78,0
4.11528,78,0
4.11806,78,0
4.11944,78,0
4.12222,78,0
4.125,78,0
4.13083,78,0
4.13778,78,0
4.14056,78,0
4.1475,78,0
4.14917,78,0
4.15194,78,0
4.15472,78,0
4.1575,78,0
4.15889,78,0
4.16167,78,0
4.16444,78,0
4.17167,78,0
4.17306,78,0
4.17583,78,0
4.17861,78,0
4.18,78,0
4.18278,78,0
4.18583,78,0
4.18861,78,0
4.19139,78,0
4.19417,78,0
4.19972,78,0
4.20556,78,0
4.21111,78,0
4.21667,78,0
4.21806,78,0
4.22083,78,0
4.22361,78,0
4.22639,78,0
4.23222,78,0
4.23778,78,0
4.24333,78,0
4.24472,78,0
4.24611,78,0
4.24917,78,0
4.25194,78,0
4.25472,78,0
4.2575,78,0
4.26028,78,0
4.26306,78,0
4.26611,78,0
4.27167,78,0
4.27722,78,0
4.27861,78,0
4.28139,78,0
4.28444,78,0
4.28722,78,0
4.29278,78,0
4.29722,78,0
4.29861,78,0
4.3,78,0
4.30139,78,0
4.30417,78,0
4.30694,78,0
4.31,78,0
4.31556,78,0
4.32111,78,0
4.32667,78,0
4.32833,78,0
4.32972,78,0
4.33111,78,0
4.33389,78,0
4.33667,78,0
4.33944,78,0
4.34222,78,0
4.345,78,0
4.34806,78,0
4.35222,78,0
4.35639,78,0
4.35778,78,0
4.36056,78,0
4.36333,78,0
4.36639,78,0
4.36917,78,0
4.37472,78,0
4.38028,78,0
4.38167,78,0
4.38444,78,0
4.38722,78,0
4.39,78,0
4.39306,78,0
4.39583,78,0
4.39861,78,0
4.40417,78,0
4.40556,78,0
4.40694,78,0
4.40833,78,0
4.41111,78,0
4.41389,78,0
4.41667,78,0
4.41972,78,0
4.4225,78,0
4.42528,78,0
4.43083,78,0
4.43222,78,0
4.43361,78,0
4.43667,78,0
4.43944,78,0
4.44222,78,0
4.44361,78,0
4.44639,78,0
4.44917,78,0
4.45611,78,0
4.46167,78,0
4.46306,78,0
4.46611,78,0
4.46889,78,0
4.47028,78,0
4.47306,78,0
4.47583,78,0
4.48139,78,0
4.48278,78,0
4.48444,78,0
4.48583,78,0
4.48861,78,0
4.49139,78,0
4.49417,78,0
4.49694,78,0
4.49972,78,0
4.5025,78,0
4.51389,78,0
4.51972,78,0
4.52528,78,0
4.52667,78,0
4.52806,78,0
4.53083,78,0
4.53361,78,0
4.53639,78,0
4.53917,78,0
4.54194,78,0
4.54472,78,0
4.55056,78,0
4.55194,78,0
4.55472,78,0
4.5575,78,0
4.56028,78,0
4.56306,78,0
4.56583,78,0
4.57167,78,0
4.57722,78,0
4.57861,78,0
4.58139,78,0
