unix_time,paths_total,unique_crashes
0,1,0
0.00166667,65,0
0.00305556,69,0
0.00444444,134,0
0.00583333,166,0
0.00722222,183,0
0.00861111,208,0
0.01,216,0
0.0113889,226,0
0.0127778,239,0
0.0141667,260,0
0.0155556,269,0
0.0169444,294,0
0.0183333,338,0
0.0197222,369,0
0.0211111,392,0
0.0227778,395,0
0.0241667,408,0
0.0255556,415,0
0.0269444,427,0
0.0283333,435,0
0.0297222,439,0
0.0311111,445,0
0.0325,455,0
0.0338889,463,0
0.0352778,469,0
0.0366667,502,0
0.0380556,507,0
0.0394444,524,0
0.0408333,535,0
0.0422222,543,0
0.0436111,557,0
0.045,563,0
0.0463889,593,0
0.0477778,608,0
0.0491667,623,0
0.0505556,639,0
0.0519444,652,0
0.0536111,663,0
0.055,670,0
0.0563889,679,0
0.0577778,687,0
0.0591667,691,0
0.0605556,695,0
0.0619444,699,0
0.0633333,710,0
0.0647222,728,0
0.0661111,737,0
0.0677778,759,0
0.0691667,769,0
0.0705556,774,0
0.0719444,781,0
0.0733333,787,0
0.0747222,794,0
0.0761111,799,0
0.0775,805,0
0.0788889,814,0
0.0802778,820,0
0.0816667,823,0
0.0844444,837,0
0.0858333,841,0
0.0872222,845,0
0.0886111,851,0
0.09,868,0
0.0913889,881,0
0.0927778,892,0
0.0941667,899,0
0.0955556,902,0
0.0969444,908,0
0.0983333,921,0
0.0997222,934,0
0.101389,939,0
0.102778,958,0
0.104167,968,0
0.105556,971,0
0.106944,983,0
0.108333,987,0
0.109722,990,0
0.111111,990,0
0.1125,993,0
0.113889,995,0
0.115278,997,0
0.116667,1002,0
0.118056,1006,0
0.119444,1023,0
0.120833,1032,0
0.122222,1037,0
0.123611,1050,0
0.125278,1061,0
0.126667,1073,0
0.128056,1079,0
0.129444,1084,0
0.130833,1101,0
0.132222,1106,0
0.133611,1111,0
0.135,1124,0
0.136389,1129,0
0.137778,1137,0
0.139167,1144,0
0.140556,1145,0
0.141944,1152,0
0.143333,1155,0
0.144722,1161,0
0.146111,1165,0
0.147778,1168,0
0.149167,1173,0
0.150556,1177,0
0.151944,1178,0
0.153333,1180,0
0.154722,1188,0
0.156111,1190,0
0.1575,1198,0
0.158889,1200,0
0.160278,1206,0
0.161667,1211,0
0.163333,1213,0
0.164722,1219,0
0.166111,1224,0
0.1675,1228,0
0.168889,1232,0
0.170278,1235,0
0.171667,1237,0
0.173056,1247,0
0.174444,1258,0
0.175833,1261,0
0.177222,1270,0
0.178611,1275,0
0.18,1286,0
0.181389,1291,0
0.183056,1294,0
0.184444,1294,0
0.185833,1301,0
0.187222,1304,0
0.188611,1307,0
0.19,1312,0
0.191389,1313,0
0.192778,1314,0
0.194167,1323,0
0.195556,1326,0
0.196944,1329,0
0.198333,1338,0
0.199722,1344,0
0.201111,1352,0
0.2025,1353,0
0.203889,1367,0
0.205278,1368,0
0.206667,1375,0
0.208333,1382,0
0.209722,1383,0
0.211111,1388,0
0.2125,1396,0
0.213889,1406,0
0.215278,1411,0
0.216667,1412,0
0.218056,1420,0
0.219444,1422,0
0.220833,1425,0
0.222222,1429,0
0.223611,1433,0
0.225,1440,0
0.226389,1442,0
0.227778,1445,0
0.229167,1446,0
0.230556,1448,0
0.231944,1450,0
0.235,1455,0
0.236389,1462,0
0.237778,1465,0
0.239167,1471,0
0.243333,1482,0
0.244722,1489,0
0.246111,1494,0
0.2475,1501,0
0.248889,1507,0
0.251667,1508,0
0.253056,1514,0
0.254444,1517,0
0.255833,1519,0
0.257222,1520,0
0.258889,1532,0
0.260278,1540,0
0.261667,1548,0
0.263056,1550,0
0.264444,1553,0
0.265833,1559,0
0.267222,1560,0
0.27,1563,0
0.271389,1568,0
0.273056,1573,0
0.274444,1575,0
0.275833,1576,0
0.278611,1581,0
0.28,1586,0
0.281389,1595,0
0.282778,1602,0
0.284167,1605,0
0.285556,1607,0
0.286944,1609,0
0.288333,1614,0
0.289722,1615,0
0.291111,1617,0
0.2925,1624,0
0.293889,1625,0
0.295278,1635,0
0.296667,1640,0
0.298056,1644,0
0.299722,1649,0
0.301111,1651,0
0.3025,1653,0
0.303889,1653,0
0.305278,1657,0
0.306667,1662,0
0.308056,1662,0
0.309444,1675,0
0.310833,1675,0
0.312222,1680,0
0.313611,1683,0
0.315,1689,0
0.316667,1708,0
0.318056,1715,0
0.319444,1717,0
0.320833,1721,0
0.322222,1722,0
0.323611,1726,0
0.325,1729,0
0.326389,1731,0
0.327778,1733,0
0.330556,1745,0
0.331944,1746,0
0.333333,1749,0
0.336111,1753,0
0.3375,1755,0
0.338889,1762,0
0.340556,1765,0
0.341944,1765,0
0.343333,1768,0
0.344722,1771,0
0.346111,1772,0
0.348889,1778,0
0.350278,1782,0
0.351667,1788,0
0.353056,1806,0
0.354444,1811,0
0.355833,1818,0
0.357222,1821,0
0.358611,1825,0
0.36,1831,0
0.361389,1834,0
0.362778,1836,0
0.364444,1839,0
0.365833,1843,0
0.367222,1844,0
0.368611,1850,0
0.37,1851,0
0.371389,1853,0
0.372778,1856,0
0.374167,1857,0
0.375556,1862,0
0.376944,1865,0
0.378333,1867,0
0.379722,1878,0
0.381111,1881,0
0.3825,1882,0
0.383889,1884,0
0.385278,1889,0
0.386667,1892,0
0.388056,1895,0
0.389444,1896,0
0.3925,1899,0
0.393889,1899,0
0.395278,1903,0
0.396667,1907,0
0.398056,1912,0
0.399444,1914,0
0.400833,1915,0
0.402222,1921,0
0.403611,1927,0
0.405,1933,0
0.406667,1944,0
0.408056,1945,0
0.409444,1947,0
0.410833,1950,0
0.413611,1952,0
0.415,1963,0
0.416389,1966,0
0.417778,1968,0
0.420556,1973,0
0.421944,1974,0
0.423333,1977,0
0.424722,1979,0
0.426111,1981,0
0.4275,1983,0
0.429167,1985,0
0.430556,1989,0
0.433333,1993,0
0.434722,1994,0
0.436111,1996,0
0.4375,2001,0
0.438889,2002,0
0.440278,2006,0
0.441667,2011,0
0.443056,2016,0
0.444444,2017,0
0.445833,2018,0
0.447222,2022,0
0.448611,2026,0
0.45,2028,0
0.451389,2034,0
0.452778,2036,0
0.454444,2037,0
0.457222,2040,0
0.46,2042,0
0.461389,2045,0
0.462778,2045,0
0.464167,2051,0
0.465556,2052,0
0.466944,2055,0
0.468333,2056,0
0.469722,2065,0
0.471111,2069,0
0.472778,2072,0
0.474167,2082,0
0.475556,2086,0
0.476944,2089,0
0.478333,2091,0
0.479722,2091,0
0.481111,2093,0
0.4825,2094,0
0.483889,2099,0
0.485278,2101,0
0.486667,2103,0
0.488056,2105,0
0.489444,2107,0
0.490833,2108,0
0.492222,2109,0
0.493611,2112,0
0.495,2113,0
0.496667,2117,0
0.498056,2119,0
0.499444,2121,0
0.500833,2122,0
0.502222,2128,0
0.503611,2130,0
0.505,2134,0
0.506389,2139,0
0.507778,2145,0
0.510556,2150,0
0.511944,2155,0
0.513333,2156,0
0.514722,2156,0
0.516111,2158,0
0.5175,2160,0
0.519167,2163,0
0.520556,2168,0
0.523333,2169,0
0.524722,2172,0
0.526111,2173,0
0.5275,2177,0
0.528889,2181,0
0.530278,2182,0
0.531667,2183,0
0.534444,2184,0
0.535833,2185,0
0.537222,2190,0
0.538611,2195,0
0.54,2202,0
0.541389,2203,0
0.542778,2204,0
0.544167,2205,0
0.545556,2210,0
0.547222,2211,0
0.548611,2215,0
0.551389,2223,0
0.552778,2226,0
0.554167,2228,0
0.556944,2231,0
0.558333,2234,0
0.56,2235,0
0.561389,2241,0
0.562778,2247,0
0.564167,2250,0
0.565556,2253,0
0.566944,2257,0
0.568333,2258,0
0.569722,2259,0
0.571111,2262,0
0.5725,2272,0
0.573889,2277,0
0.575278,2278,0
0.576667,2281,0
0.578056,2284,0
0.580833,2284,0
0.582222,2288,0
0.583611,2288,0
0.585,2292,0
0.586389,2293,0
0.588056,2294,0
0.589444,2324,0
0.590833,2330,0
0.592222,2337,0
0.593611,2351,0
0.595,2357,0
0.596389,2381,0
0.597778,2388,0
0.599167,2393,0
0.600556,2405,0
0.601944,2413,0
0.603333,2413,0
0.604722,2450,0
0.606389,2465,0
0.607778,2468,0
0.609167,2479,0
0.610556,2500,0
0.611944,2504,0
0.613333,2506,0
0.616111,2511,0
0.6175,2522,0
0.618889,2528,0
0.620278,2534,0
0.621667,2535,0
0.637222,2536,0
0.655556,2538,0
0.656944,2541,0
0.658333,2543,0
0.659722,2543,0
0.676667,2544,0
0.695,2551,0
0.696389,2556,0
0.697778,2566,0
0.699167,2566,0
0.700556,2567,0
0.703333,2577,0
0.704722,2590,0
0.706111,2593,0
0.709167,2594,0
0.713333,2599,0
0.714722,2608,0
0.716111,2622,0
0.7175,2626,0
0.718889,2630,0
0.720278,2633,0
0.721667,2643,0
0.723056,2650,0
0.724444,2653,0
0.725833,2654,0
0.727222,2667,0
0.728611,2675,0
0.730278,2696,0
0.731667,2706,0
0.733056,2711,0
0.734444,2715,0
0.735833,2730,0
0.737222,2734,0
0.738611,2734,0
0.741389,2742,0
0.742778,2746,0
0.744167,2751,0
0.745556,2752,0
0.747222,2756,0
0.748611,2766,0
0.75,2772,0
0.754167,2787,0
0.755556,2794,0
0.758333,2798,0
0.759722,2803,0
0.761111,2803,0
0.7625,2804,0
0.765556,2813,0
0.766944,2821,0
0.768333,2824,0
0.771111,2827,0
0.7725,2830,0
0.773889,2835,0
0.783611,2838,0
0.796389,2851,0
0.797778,2852,0
0.799167,2855,0
0.800556,2869,0
0.801944,2875,0
0.803333,2878,0
0.811944,2888,0
0.813333,2898,0
0.814722,2908,0
0.816111,2909,0
0.823333,2920,0
0.824722,2927,0
0.826111,2930,0
0.833056,2933,0
0.859722,2935,0
0.900833,2943,0
0.902222,2946,0
0.903611,2947,0
0.905,2951,0
0.907778,2952,0
0.913333,2962,0
0.914722,2965,0
0.924444,2973,0
0.925833,2978,0
0.927222,2979,0
0.928611,2979,0
0.959722,2987,0
0.961111,2991,0
0.9625,2995,0
0.963889,2996,0
0.996111,2997,0
1.00194,2999,0
1.03722,3004,0
1.03861,3007,0
1.04,3010,0
1.04139,3012,0
1.04278,3012,0
1.11583,3015,0
1.11722,3016,0
1.11861,3018,0
1.12,3019,0
1.12306,3020,0
1.12444,3020,0
1.12583,3021,0
1.21333,3032,0
1.21472,3035,0
1.21611,3039,0
1.2175,3042,0
1.21889,3044,0
1.22028,3047,0
1.22167,3057,0
1.22306,3058,0
1.22444,3059,0
1.22583,3074,0
1.22722,3080,0
1.22889,3083,0
1.23167,3088,0
1.23306,3090,0
1.23444,3101,0
1.23583,3122,0
1.23722,3128,0
