unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,21,0
0.00416667,22,0
0.00583333,24,0
0.00722222,31,0
0.00861111,49,0
0.01,51,0
0.0113889,55,0
0.0127778,57,0
0.0141667,59,0
0.0155556,67,0
0.0183333,72,0
0.0197222,73,0
0.0211111,76,0
0.0241667,77,0
0.0255556,87,0
0.0269444,94,0
0.0283333,95,0
0.0297222,96,0
0.0311111,97,0
0.0325,99,0
0.0338889,101,0
0.0352778,118,0
0.0366667,124,0
0.0380556,132,0
0.0397222,134,0
0.0411111,141,0
0.0425,146,0
0.0438889,151,0
0.0452778,167,0
0.0466667,179,0
0.0480556,181,0
0.0494444,183,0
0.0522222,200,0
0.0536111,212,0
0.055,219,0
0.0563889,226,0
0.0577778,231,0
0.0591667,234,0
0.0605556,240,0
0.0619444,245,0
0.0636111,247,0
0.065,252,0
0.0663889,254,0
0.0677778,260,0
0.0691667,263,0
0.0705556,267,0
0.0733333,269,0
0.0761111,274,0
0.0791667,279,0
0.0805556,279,0
0.0819444,292,0
0.0833333,301,0
0.0861111,303,0
0.0875,305,0
0.0888889,310,0
0.0902778,312,0
0.0916667,317,0
0.0930556,319,0
0.0944444,321,0
0.0961111,322,0
0.0975,325,0
0.0988889,327,0
0.100278,327,0
0.103056,328,0
0.104444,330,0
0.105833,332,0
0.108611,332,0
0.11,334,0
0.111389,334,0
0.113056,338,0
0.114444,340,0
0.117222,342,0
0.12,342,0
0.121389,343,0
0.122778,343,0
0.126944,348,0
0.128333,349,0
0.133889,352,0
0.135556,359,0
0.136944,368,0
0.138333,370,0
0.139722,371,0
0.141111,373,0
0.1425,378,0
0.145278,393,0
0.146667,402,0
0.149444,403,0
0.152222,412,0
0.155278,415,0
0.158056,416,0
0.160833,417,0
0.162222,422,0
0.165,423,0
0.167778,428,0
0.170833,435,0
0.172222,436,0
0.173611,439,0
0.175,440,0
0.176389,441,0
0.180556,441,0
0.183611,443,0
0.186389,446,0
0.187778,447,0
0.191944,448,0
0.194722,450,0
0.1975,452,0
0.200556,452,0
0.201944,455,0
0.203333,456,0
0.2075,456,0
0.213056,458,0
0.214444,458,0
0.218611,460,0
0.22,461,0
0.221389,463,0
0.222778,464,0
0.224444,465,0
0.225833,467,0
0.227222,475,0
0.228611,476,0
0.23,479,0
0.231389,480,0
0.234167,485,0
0.235556,489,0
0.236944,492,0
0.238333,495,0
0.242778,497,0
0.244167,504,0
0.245556,507,0
0.246944,509,0
0.249722,510,0
0.2525,526,0
0.253889,533,0
0.255278,537,0
0.256667,538,0
0.258056,540,0
0.261111,540,0
0.2625,541,0
0.263889,542,0
0.269444,543,0
0.272222,544,0
0.273611,552,0
0.275,554,0
0.276389,559,0
0.277778,561,0
0.279167,564,0
0.280556,565,0
0.286389,566,0
0.287778,567,0
0.289167,568,0
0.290556,573,0
0.291944,576,0
0.293333,577,0
0.296111,581,0
0.2975,603,0
0.298889,604,0
0.300278,606,0
0.303056,616,0
0.304444,621,0
0.305833,624,0
0.3075,626,0
0.308889,628,0
0.310278,629,0
0.315833,632,0
0.32,633,0
0.324444,634,0
0.325833,636,0
0.327222,637,0
0.328611,638,0
0.33,640,0
0.331389,641,0
0.336944,644,0
0.338333,645,0
0.339722,646,0
0.341111,647,0
0.348333,648,0
0.349722,674,0
0.351111,687,0
0.3525,688,0
0.353889,689,0
0.355278,690,0
0.356667,693,0
0.358056,693,0
0.359444,694,0
0.363611,697,0
0.366389,698,0
0.368056,703,0
0.369444,705,0
0.370833,706,0
0.373611,707,0
0.375,709,0
0.376389,710,0
0.377778,722,0
0.379167,723,0
0.380556,724,0
0.385,725,0
0.386389,726,0
0.387778,727,0
0.391944,727,0
0.396111,727,0
0.3975,731,0
0.400278,732,0
0.401667,735,0
0.403056,735,0
0.4075,735,0
0.408889,735,0
0.410278,737,0
0.411667,737,0
0.413056,738,0
0.415833,738,0
0.417222,739,0
0.421389,739,0
0.425833,739,0
0.43,739,0
0.431389,740,0
0.438333,741,0
0.4425,741,0
0.443889,742,0
0.449722,744,0
0.453889,744,0
0.455278,744,0
0.456667,745,0
0.458056,746,0
0.459444,746,0
0.460833,747,0
0.462222,747,0
0.463611,747,0
0.468056,747,0
0.470833,747,0
0.472222,748,0
0.475,748,0
0.477778,751,0
0.479167,751,0
0.481944,752,0
0.487778,753,0
0.493333,753,0
0.4975,754,0
0.498889,755,0
0.500278,756,0
0.506111,757,0
0.5075,765,0
0.510278,766,0
0.511667,769,0
0.513056,777,0
0.514444,781,0
0.515833,785,0
0.518611,786,0
0.52,789,0
0.521389,800,0
0.522778,804,0
0.524444,807,0
0.525833,808,0
0.527222,809,0
0.528611,810,0
0.53,813,0
0.532778,815,0
0.534167,817,0
0.535556,820,0
0.536944,823,0
0.541111,824,0
0.5425,826,0
0.543889,831,0
0.552222,832,0
