unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,19,0
0.00444444,20,0
0.00583333,21,0
0.00722222,22,0
0.00861111,25,0
0.01,28,0
0.0113889,30,0
0.0127778,31,0
0.0155556,32,0
0.0169444,32,0
0.0186111,33,0
0.0213889,34,0
0.0227778,46,0
0.0241667,51,0
0.0255556,52,0
0.0269444,54,0
0.0283333,55,0
0.0297222,61,0
0.0311111,62,0
0.0325,63,0
0.0338889,64,0
0.0352778,65,0
0.0366667,68,0
0.0380556,74,0
0.0394444,81,0
0.0408333,84,0
0.0436111,86,0
0.045,92,0
0.0466667,107,0
0.0480556,108,0
0.0494444,113,0
0.0508333,114,0
0.0522222,117,0
0.0536111,117,0
0.055,117,0
0.0563889,118,0
0.0577778,118,0
0.0591667,119,0
0.0605556,121,0
0.0619444,124,0
0.0633333,124,0
0.0663889,126,0
0.0691667,126,0
0.0705556,127,0
0.0719444,129,0
0.0733333,130,0
0.0747222,130,0
0.0761111,132,0
0.0775,134,0
0.0788889,136,0
0.0802778,137,0
0.0816667,138,0
0.0830556,139,0
0.0844444,142,0
0.0858333,144,0
0.0872222,145,0
0.0888889,147,0
0.0902778,147,0
0.0916667,151,0
0.0930556,154,0
0.0944444,155,0
0.0972222,156,0
0.0986111,157,0
0.1,158,0
0.101667,158,0
0.103056,160,0
0.104444,161,0
0.105833,163,0
0.108611,164,0
0.11,165,0
0.111389,166,0
0.112778,174,0
0.114167,176,0
0.115556,178,0
0.118611,178,0
0.12,178,0
0.122778,179,0
0.124167,183,0
0.125556,183,0
0.128333,183,0
0.129722,183,0
0.131111,184,0
0.1325,186,0
0.133889,187,0
0.136667,188,0
0.138056,188,0
0.139722,192,0
0.146667,195,0
0.148056,196,0
0.151111,197,0
0.153889,198,0
0.155278,203,0
0.156667,205,0
0.159444,206,0
0.162222,207,0
0.165,207,0
0.166389,208,0
0.167778,208,0
0.170556,209,0
0.172222,211,0
0.173611,212,0
0.175,213,0
0.177778,214,0
0.179167,214,0
0.180556,214,0
0.181944,215,0
0.183333,215,0
0.186111,215,0
0.187778,215,0
0.189167,215,0
0.190556,218,0
0.193333,218,0
0.196111,218,0
0.1975,219,0
0.198889,219,0
0.200278,220,0
0.201667,220,0
0.203056,223,0
0.204722,223,0
0.2075,223,0
0.210278,225,0
0.211667,229,0
0.213056,230,0
0.214444,233,0
0.215833,234,0
0.217222,235,0
0.218889,235,0
0.220278,235,0
0.221667,235,0
0.223056,237,0
0.224444,242,0
0.228611,242,0
0.231389,242,0
0.234167,242,0
0.235556,242,0
0.238333,243,0
0.239722,244,0
0.241111,244,0
0.242778,245,0
0.244167,245,0
0.245556,245,0
0.246944,245,0
0.248333,245,0
0.251111,245,0
0.2525,248,0
0.253889,248,0
0.256667,248,0
0.259444,248,0
0.2625,248,0
0.263889,249,0
0.265278,251,0
0.266667,252,0
0.268056,255,0
0.269444,258,0
0.270833,259,0
0.273611,260,0
0.275,261,0
0.276389,261,0
0.279444,267,0
0.280833,271,0
0.282222,272,0
0.283611,273,0
0.285,275,0
0.286389,276,0
0.287778,277,0
0.290556,278,0
0.292222,278,0
0.295,278,0
0.296389,279,0
0.297778,282,0
0.301944,282,0
0.303333,283,0
0.304722,283,0
0.306389,285,0
0.307778,288,0
0.309167,289,0
0.310556,290,0
0.311944,290,0
0.313333,292,0
0.314722,293,0
0.316111,295,0
0.3175,295,0
0.320556,295,0
0.321944,296,0
0.323333,297,0
0.324722,298,0
0.326111,298,0
0.3275,299,0
0.330278,304,0
0.331667,305,0
0.333056,306,0
0.334444,312,0
0.3375,314,0
0.338889,316,0
0.340278,317,0
0.341667,327,0
0.343056,327,0
0.344444,333,0
0.346111,337,0
0.3475,340,0
0.348889,342,0
0.350278,344,0
0.351667,346,0
0.353056,346,0
0.354444,349,0
0.358889,350,0
0.360278,350,0
0.364444,377,0
0.365833,379,0
0.367222,393,0
0.368611,396,0
0.37,398,0
0.371389,405,0
0.373056,406,0
0.374444,409,0
0.375833,410,0
0.378611,413,0
0.381389,414,0
0.384444,415,0
0.385833,417,0
0.388611,421,0
0.392778,421,0
0.396944,421,0
0.398333,421,0
0.402778,421,0
0.404167,421,0
0.405556,421,0
0.408333,421,0
0.409722,422,0
0.411111,422,0
0.415278,422,0
0.418056,422,0
0.422222,422,0
0.425278,422,0
0.429444,423,0
0.430833,423,0
0.432222,424,0
0.435,425,0
0.436389,426,0
0.437778,428,0
0.441944,428,0
0.446111,428,0
0.4475,429,0
0.448889,430,0
0.450556,431,0
0.453333,431,0
0.456111,432,0
0.460278,432,0
0.463056,433,0
0.464444,434,0
0.466111,437,0
0.4675,440,0
0.468889,443,0
0.470278,446,0
0.473056,447,0
0.474444,447,0
0.477222,450,0
0.478889,451,0
0.481667,452,0
0.484444,453,0
0.485833,453,0
0.487222,454,0
