unix_time,paths_total,unique_crashes
0,1,0
0.00138889,10,0
0.00416667,10,0
0.00555556,13,0
0.00694444,13,0
0.00833333,13,0
0.00972222,13,0
0.0111111,14,0
0.0125,14,0
0.0138889,14,0
0.0152778,14,0
0.0169444,14,0
0.0183333,14,0
0.0197222,14,0
0.0211111,14,0
0.0225,14,0
0.0238889,14,0
0.0252778,14,0
0.0269444,14,0
0.0283333,14,0
0.0297222,14,0
0.0311111,14,0
0.0325,14,0
0.0338889,14,0
0.0355556,14,0
0.0369444,14,0
0.0383333,14,0
0.0397222,14,0
0.0411111,14,0
0.0425,14,0
0.0438889,14,0
0.0455556,14,0
0.0469444,14,0
0.0483333,14,0
0.0497222,14,0
0.0511111,14,0
0.0525,14,0
0.0541667,14,0
0.0555556,14,0
0.0569444,14,0
0.0583333,14,0
0.0597222,14,0
0.0613889,14,0
0.0627778,14,0
0.0641667,14,0
0.0655556,14,0
0.0669444,14,0
0.0683333,14,0
0.0697222,14,0
0.0713889,14,0
0.0727778,14,0
0.0741667,14,0
0.0755556,14,0
0.0769444,14,0
0.0783333,14,0
0.0797222,14,0
0.0811111,14,0
0.0827778,14,0
0.0841667,14,0
0.0855556,14,0
0.0869444,14,0
0.0883333,14,0
0.0897222,14,0
0.0911111,14,0
0.0925,14,0
0.0941667,14,0
0.0955556,14,0
0.0969444,14,0
0.0983333,14,0
0.0997222,14,0
0.101389,14,0
0.102778,14,0
0.104167,14,0
0.105556,14,0
0.106944,14,0
0.108333,14,0
0.109722,14,0
0.111111,14,0
0.112778,14,0
0.114167,14,0
0.115556,14,0
0.116944,14,0
0.118333,14,0
0.119722,14,0
0.121111,14,0
0.1225,14,0
0.123889,14,0
0.125278,14,0
0.126667,14,0
0.128333,14,0
0.129722,14,0
0.131111,14,0
0.1325,14,0
0.133889,14,0
0.135278,14,0
0.136667,14,0
0.138333,14,0
0.139722,14,0
0.141111,14,0
0.1425,14,0
0.143889,14,0
0.145278,14,0
0.146667,14,0
0.148056,14,0
0.149722,14,0
