unix_time,paths_total,unique_crashes
0,1,0
0.00138889,10,0
0.00277778,13,0
0.00416667,14,0
0.00555556,14,0
0.00694444,14,0
0.00833333,14,0
0.00972222,14,0
0.0111111,14,0
0.0125,14,0
0.0138889,14,0
0.0155556,14,0
0.0169444,14,0
0.0183333,15,0
0.0211111,15,0
0.0225,15,0
0.0238889,15,0
0.0252778,15,0
0.0266667,15,0
0.0283333,15,0
0.0297222,15,0
0.0311111,15,0
0.0325,15,0
0.0338889,15,0
0.0355556,15,0
0.0369444,15,0
0.0383333,15,0
0.0397222,15,0
0.0411111,15,0
0.0427778,15,0
0.0441667,15,0
0.0455556,15,0
0.0469444,15,0
0.0483333,15,0
0.05,15,0
0.0513889,15,0
0.0527778,15,0
0.0541667,15,0
0.0555556,15,0
0.0572222,15,0
0.0586111,15,0
0.06,15,0
0.0613889,15,0
0.0627778,15,0
0.0644444,15,0
0.0658333,15,0
0.0672222,15,0
0.0686111,15,0
0.07,15,0
0.0716667,15,0
0.0730556,15,0
0.0744444,15,0
0.0758333,15,0
0.0772222,15,0
0.0788889,15,0
0.0802778,15,0
0.0816667,15,0
0.0830556,15,0
0.0844444,15,0
0.0861111,15,0
0.0875,15,0
0.0888889,15,0
0.0902778,15,0
0.0916667,15,0
0.0933333,15,0
0.0947222,15,0
0.0961111,15,0
0.0975,15,0
0.0988889,15,0
0.100556,15,0
0.101944,15,0
0.103333,15,0
0.104722,15,0
0.106111,15,0
0.107778,15,0
0.109167,15,0
0.110556,15,0
0.111944,15,0
0.113333,15,0
0.115,15,0
0.116389,15,0
0.117778,15,0
0.119167,15,0
0.120556,15,0
0.122222,15,0
0.123611,15,0
0.125,15,0
0.126389,15,0
0.127778,15,0
0.129444,15,0
0.130833,15,0
0.132222,15,0
0.133611,15,0
0.135,15,0
0.136667,15,0
0.138056,15,0
0.139444,15,0
0.140833,15,0
0.142222,15,0
0.143889,15,0
0.145278,15,0
0.146667,15,0
0.148056,15,0
0.149444,15,0
0.151111,15,0
0.1525,15,0
