unix_time,paths_total,unique_crashes
0,1,0
0.00138889,15,0
0.00277778,18,0
0.00416667,20,0
0.00555556,32,0
0.00694444,43,0
0.00833333,47,0
0.00972222,49,0
0.0111111,55,0
0.0125,58,0
0.0138889,60,0
0.0155556,63,0
0.0169444,66,0
0.0183333,72,0
0.0197222,79,0
0.0211111,80,0
0.0225,82,0
0.0238889,91,0
0.0252778,97,0
0.0266667,102,0
0.0280556,114,0
0.0294444,120,0
0.0308333,123,0
0.0322222,131,0
0.0336111,147,0
0.035,150,0
0.0380556,154,0
0.0394444,162,0
0.0408333,173,0
0.0422222,182,0
0.0436111,185,0
0.045,188,0
0.0463889,189,0
0.0477778,190,0
0.0491667,207,0
0.0505556,214,0
0.0519444,217,0
0.0533333,220,0
0.0547222,227,0
0.0563889,229,0
0.0577778,230,0
0.0591667,231,0
0.0605556,232,0
0.0619444,238,0
0.0633333,240,0
0.0647222,243,0
0.0661111,246,0
0.0675,247,0
0.0688889,249,0
0.0702778,251,0
0.0716667,253,0
0.0730556,263,0
0.0747222,268,0
0.0761111,270,0
0.0775,273,0
0.0788889,283,0
0.0802778,286,0
0.0830556,291,0
0.0844444,292,0
0.0858333,293,0
0.0886111,294,0
0.0913889,303,0
0.0927778,310,0
0.0944444,312,0
0.0958333,315,0
0.0972222,319,0
0.0986111,322,0
0.1,326,0
0.101389,347,0
0.102778,360,0
0.104167,366,0
0.105556,369,0
0.106944,370,0
0.108333,375,0
0.11,383,0
0.111389,385,0
0.112778,388,0
0.114167,392,0
0.115556,393,0
0.116944,396,0
0.118333,396,0
0.119722,401,0
0.121111,404,0
0.1225,405,0
0.123889,406,0
0.125278,407,0
0.126944,412,0
0.128333,414,0
0.129722,417,0
0.131111,419,0
0.1325,421,0
0.133889,423,0
0.135278,424,0
0.136667,425,0
0.138056,426,0
0.139444,428,0
0.140833,429,0
0.142222,439,0
0.143889,443,0
0.145278,446,0
0.146667,459,0
0.148056,462,0
0.149444,468,0
0.150833,471,0
0.152222,481,0
0.153611,484,0
0.155,486,0
0.156389,490,0
0.157778,491,0
0.160833,498,0
0.162222,500,0
0.163611,503,0
0.165,503,0
0.166389,507,0
0.167778,508,0
0.169167,509,0
0.170556,512,0
0.171944,513,0
0.173333,514,0
0.174722,515,0
0.176111,518,0
0.1775,519,0
0.179167,523,0
0.180556,524,0
0.181944,529,0
0.183333,531,0
0.186111,532,0
0.190278,536,0
0.191667,543,0
0.193056,547,0
0.194444,549,0
0.195833,550,0
0.197222,550,0
0.198611,552,0
0.200278,554,0
0.203056,555,0
0.204444,558,0
0.205833,559,0
0.208611,560,0
0.21,560,0
0.214167,561,0
0.218611,562,0
0.22,563,0
0.221389,567,0
0.222778,568,0
0.224167,569,0
0.225556,569,0
0.226944,574,0
0.228333,577,0
0.229722,578,0
0.231111,580,0
0.2325,580,0
0.235278,586,0
0.236944,592,0
0.238333,594,0
0.2425,595,0
0.243889,596,0
0.246667,598,0
0.248056,606,0
0.249444,607,0
0.250833,609,0
0.252222,619,0
0.253889,622,0
0.256667,623,0
0.260833,624,0
0.265,624,0
0.266389,625,0
0.267778,626,0
0.269444,627,0
0.270833,631,0
0.272222,633,0
0.273611,634,0
0.276389,637,0
0.279167,638,0
0.282222,638,0
0.283611,639,0
0.285,651,0
0.286389,654,0
0.289167,655,0
0.290556,656,0
0.291944,659,0
0.293333,660,0
0.296389,660,0
0.297778,661,0
0.300556,662,0
0.301944,665,0
0.304722,668,0
0.306111,669,0
0.3075,670,0
0.310278,672,0
0.311667,674,0
0.313333,676,0
0.314722,679,0
0.316111,681,0
0.3175,688,0
0.318889,695,0
0.320278,700,0
0.321667,706,0
0.323056,709,0
0.324444,712,0
0.327222,713,0
0.330278,714,0
0.333056,716,0
0.335833,718,0
0.338611,719,0
0.34,722,0
0.341389,727,0
0.342778,729,0
0.344167,730,0
0.345833,733,0
0.347222,734,0
0.348611,735,0
0.352778,736,0
0.355556,737,0
0.359722,737,0
0.361111,738,0
0.3625,740,0
0.364167,741,0
0.368333,744,0
0.369722,745,0
0.371111,746,0
0.375278,747,0
0.380833,749,0
0.382222,750,0
0.385278,751,0
0.386667,751,0
0.395,755,0
0.396389,758,0
0.397778,759,0
0.399167,760,0
0.400556,767,0
0.401944,769,0
0.403333,770,0
0.4175,785,0
0.419167,788,0
0.420556,791,0
0.421944,793,0
0.423333,795,0
0.431667,797,0
0.434444,798,0
0.436111,799,0
0.448611,800,0
0.45,802,0
0.451389,803,0
0.452778,804,0
0.454444,811,0
0.457222,814,0
0.458611,815,0
0.46,816,0
0.475278,818,0
0.476667,824,0
0.479722,825,0
0.481111,828,0
0.498056,829,0
0.499444,831,0
0.502222,833,0
0.503611,836,0
0.506667,837,0
0.523333,841,0
0.524722,843,0
0.526111,845,0
0.529167,849,0
0.550278,853,0
0.551667,856,0
