unix_time,paths_total,unique_crashes
0,1,0
0.00138889,100,0
0.00277778,116,0
0.00416667,120,0
0.00694444,123,0
0.00861111,127,0
0.01,170,0
0.0113889,189,0
0.0127778,193,0
0.0141667,206,0
0.0155556,209,0
0.0169444,210,0
0.0183333,210,0
0.0197222,210,0
0.0211111,211,0
0.0225,211,0
0.0325,211,0
0.0422222,211,0
0.0436111,212,0
0.045,212,0
0.0463889,214,0
0.0491667,215,0
0.0505556,216,0
0.0563889,216,0
0.0605556,217,0
0.0619444,221,0
0.0661111,224,0
0.0675,224,0
0.0775,227,0
0.0830556,227,0
0.0844444,228,0
0.0927778,229,0
0.0941667,235,0
0.0955556,239,0
0.0969444,241,0
0.0983333,245,0
0.0997222,252,0
0.109722,253,0
0.111111,254,0
0.116667,255,0
0.118056,255,0
0.119722,256,0
0.128056,257,0
0.129444,261,0
0.130833,262,0
0.133611,262,0
0.139444,264,0
0.140833,266,0
0.149167,268,0
0.150556,271,0
0.151944,273,0
0.156111,273,0
0.166111,273,0
0.1675,275,0
0.177222,279,0
0.178611,283,0
0.185556,285,0
0.186944,286,0
0.188611,287,0
0.192778,287,0
0.194167,288,0
0.195556,291,0
0.196944,295,0
0.198333,296,0
0.202778,297,0
0.204167,299,0
0.205556,300,0
0.215278,304,0
0.216667,305,0
0.218056,307,0
0.220833,307,0
0.223889,308,0
0.230833,308,0
0.232222,309,0
0.240833,309,0
0.242222,310,0
0.246389,310,0
0.250556,310,0
0.251944,313,0
0.253333,319,0
0.254722,322,0
0.256111,326,0
0.2575,328,0
0.258889,330,0
0.260278,331,0
0.263333,331,0
0.264722,333,0
0.2675,333,0
0.268889,334,0
0.277222,338,0
0.278889,339,0
0.287222,341,0
0.294167,341,0
0.295556,341,0
0.298333,342,0
0.305278,348,0
0.306667,349,0
0.313889,350,0
0.315278,351,0
0.316667,352,0
0.326389,353,0
0.331944,353,0
0.336111,353,0
0.341944,353,0
0.346111,354,0
0.3475,355,0
0.348889,356,0
0.353056,357,0
0.354444,358,0
0.355833,359,0
0.357222,360,0
0.364444,363,0
0.365833,363,0
0.374167,365,0
0.381389,365,0
0.384167,366,0
0.391111,367,0
0.396944,367,0
0.403889,367,0
0.408056,368,0
0.409444,368,0
0.410833,370,0
0.412222,371,0
0.413611,373,0
0.423333,374,0
0.430556,375,0
0.433333,375,0
0.436111,376,0
0.4375,377,0
0.444722,379,0
0.446111,380,0
0.4475,381,0
0.453056,382,0
0.454444,382,0
0.461389,384,0
0.464444,385,0
0.467222,387,0
0.468611,387,0
0.47,390,0
0.471389,390,0
0.481111,390,0
0.4825,390,0
0.484167,391,0
0.485556,392,0
0.493889,392,0
0.495278,393,0
0.498056,394,0
0.500833,395,0
0.502222,396,0
0.503889,397,0
0.508056,398,0
0.509444,405,0
0.510833,408,0
0.519167,409,0
0.526111,409,0
0.5275,414,0
0.528889,414,0
0.530278,415,0
0.538889,415,0
0.545833,418,0
0.547222,420,0
0.548611,421,0
0.55,423,0
0.56,424,0
0.566944,428,0
0.568333,429,0
0.569722,431,0
0.576667,432,0
0.578056,434,0
0.588056,435,0
0.589444,436,0
0.596667,437,0
0.598056,438,0
0.599444,439,0
0.600833,440,0
0.609167,441,0
0.610556,442,0
0.611944,443,0
0.618889,443,0
0.6275,444,0
0.637222,445,0
0.638889,447,0
0.644444,447,0
0.653056,448,0
0.664167,454,0
0.665556,455,0
0.674167,455,0
0.675556,456,0
0.683889,457,0
0.685278,458,0
0.686667,459,0
0.693889,460,0
0.703611,462,0
0.713611,466,0
0.715,469,0
0.723333,470,0
0.725,471,0
0.726389,472,0
0.733333,474,0
0.734722,483,0
0.736111,494,0
0.7375,500,0
0.738889,502,0
0.740278,504,0
0.741667,504,0
0.743056,505,0
0.748889,507,0
0.755833,508,0
0.757222,508,0
0.762778,508,0
0.769722,508,0
0.772778,508,0
0.774167,509,0
0.775556,510,0
0.776944,511,0
0.779722,511,0
0.781389,512,0
0.782778,512,0
0.784167,512,0
0.788333,512,0
0.789722,514,0
0.791111,515,0
0.7925,518,0
0.793889,524,0
0.795278,527,0
0.796667,528,0
0.798056,529,0
0.799722,530,0
0.8025,531,0
0.803889,531,0
0.806667,531,0
0.808056,532,0
0.809444,532,0
0.813611,532,0
0.817778,532,0
0.825,533,0
0.826389,535,0
0.836111,542,0
0.8475,542,0
0.857222,542,0
0.858611,543,0
0.868611,544,0
0.875556,559,0
0.876944,560,0
0.878333,561,0
0.8825,562,0
0.883889,563,0
0.885278,563,0
0.886667,563,0
0.898056,565,0
0.899444,568,0
0.909167,569,0
0.919167,570,0
0.920556,570,0
0.923333,571,0
0.931667,574,0
0.933056,575,0
0.934444,576,0
0.941667,576,0
0.944444,576,0
0.952778,579,0
0.955556,581,0
0.963889,582,0
0.9725,582,0
0.978056,582,0
0.980833,583,0
0.983611,584,0
0.985,586,0
0.993611,586,0
1.00056,586,0
1.00194,587,0
1.00333,588,0
1.01056,588,0
1.01889,588,0
1.02167,588,0
1.02444,588,0
1.02722,589,0
1.02889,589,0
1.03028,595,0
1.03167,595,0
1.03444,595,0
1.04417,599,0
1.04556,606,0
1.05417,607,0
1.05556,614,0
1.05694,625,0
1.05833,630,0
1.05972,632,0
1.06111,634,0
1.0625,635,0
1.06528,636,0
1.07111,637,0
1.07389,637,0
