unix_time,paths_total,unique_crashes
0,1,0
0.00138889,93,0
0.00277778,107,0
0.00416667,116,0
0.00555556,120,0
0.00972222,127,0
0.0111111,161,0
0.0125,180,0
0.0141667,188,0
0.0155556,200,0
0.0169444,210,0
0.0183333,219,0
0.0197222,221,0
0.0252778,234,0
0.0266667,247,0
0.0280556,259,0
0.0294444,264,0
0.0308333,270,0
0.0322222,281,0
0.0338889,282,0
0.0366667,283,0
0.0380556,294,0
0.0394444,296,0
0.0408333,298,0
0.0422222,299,0
0.045,305,0
0.0463889,311,0
0.0477778,313,0
0.0491667,314,0
0.0505556,315,0
0.0533333,315,0
0.0547222,322,0
0.0563889,325,0
0.0577778,331,0
0.0591667,333,0
0.0605556,334,0
0.0619444,335,0
0.0647222,335,0
0.0661111,336,0
0.0716667,341,0
0.0730556,343,0
0.0758333,345,0
0.0772222,346,0
0.0786111,349,0
0.08,351,0
0.0844444,356,0
0.0858333,362,0
0.0872222,364,0
0.0886111,368,0
0.09,372,0
0.0913889,373,0
0.0927778,376,0
0.0941667,377,0
0.0955556,379,0
0.0969444,381,0
0.1025,384,0
0.103889,387,0
0.105278,389,0
0.109722,392,0
0.111111,394,0
0.1125,395,0
0.116667,396,0
0.120833,398,0
0.122222,399,0
0.123611,400,0
0.129167,400,0
0.130556,401,0
0.137778,407,0
0.144722,410,0
0.146111,412,0
0.1475,414,0
0.148889,417,0
0.150278,418,0
0.151667,421,0
0.155833,424,0
0.1575,427,0
0.158889,428,0
0.163056,430,0
0.164444,431,0
0.168611,432,0
0.17,438,0
0.177222,439,0
0.181389,440,0
0.182778,440,0
0.184167,441,0
0.185556,442,0
0.186944,443,0
0.188333,445,0
0.192778,446,0
0.194167,447,0
0.196944,448,0
0.198333,452,0
0.199722,454,0
0.201111,456,0
0.203889,456,0
0.205278,457,0
0.206667,458,0
0.209444,461,0
0.210833,462,0
0.212222,466,0
0.216389,467,0
0.217778,468,0
0.219167,470,0
0.222222,471,0
0.226389,472,0
0.227778,473,0
0.233333,475,0
0.234722,476,0
0.236111,478,0
0.2375,479,0
0.238889,479,0
0.243333,480,0
0.244722,481,0
0.246111,481,0
0.250278,482,0
0.251667,483,0
0.253056,484,0
0.255833,485,0
0.257222,486,0
0.258611,488,0
0.26,489,0
0.263056,489,0
0.264444,490,0
0.268611,491,0
0.27,492,0
0.274167,493,0
0.275556,493,0
0.281389,495,0
0.284167,495,0
0.285556,504,0
0.286944,510,0
0.288333,514,0
0.289722,517,0
0.291111,524,0
0.2925,527,0
0.293889,528,0
0.296667,540,0
0.298056,541,0
0.301111,552,0
0.3025,558,0
0.303889,560,0
0.306667,562,0
0.308056,576,0
0.309444,580,0
0.310833,591,0
0.312222,597,0
0.313611,599,0
0.315,604,0
0.316389,607,0
0.317778,610,0
0.319167,611,0
0.326111,612,0
0.3275,624,0
0.329167,628,0
0.333333,629,0
0.334722,631,0
0.336111,631,0
0.3375,642,0
0.338889,648,0
0.340278,654,0
0.341667,659,0
0.343056,662,0
0.344444,665,0
0.345833,674,0
0.347222,678,0
0.348611,681,0
0.350278,683,0
0.351667,686,0
0.353056,688,0
0.354444,698,0
0.355833,714,0
0.357222,723,0
0.358611,728,0
0.36,729,0
0.361389,736,0
0.364167,746,0
0.365556,756,0
0.366944,760,0
0.368333,761,0
0.369722,764,0
0.371111,767,0
0.372778,769,0
0.375556,771,0
0.376944,773,0
0.379722,775,0
0.381111,780,0
0.386667,780,0
0.388056,788,0
0.398056,794,0
0.399444,799,0
0.400833,803,0
0.402222,806,0
0.403611,809,0
0.407778,812,0
0.409167,813,0
0.410556,814,0
0.411944,815,0
0.414722,830,0
0.416389,833,0
0.417778,834,0
0.419167,835,0
0.421944,837,0
0.423333,842,0
0.426111,843,0
0.4275,844,0
0.428889,844,0
0.430278,845,0
0.431667,849,0
0.433056,851,0
0.434444,852,0
0.436111,853,0
0.4375,855,0
0.438889,856,0
0.440278,857,0
0.441667,860,0
0.445833,860,0
0.447222,861,0
0.454167,865,0
0.455556,870,0
0.456944,871,0
0.462778,876,0
0.465556,876,0
0.468333,876,0
0.471111,877,0
0.4725,879,0
0.475278,880,0
0.476667,882,0
0.479444,883,0
0.480833,884,0
0.482222,885,0
0.483611,886,0
0.485,888,0
0.487778,888,0
0.490833,889,0
0.492222,889,0
0.496389,890,0
0.497778,891,0
0.499167,892,0
0.500556,893,0
0.501944,893,0
0.503333,894,0
0.506111,894,0
0.511944,894,0
0.5175,897,0
0.518889,898,0
0.521667,898,0
0.523056,899,0
0.53,899,0
0.533056,899,0
0.538611,899,0
0.541389,900,0
0.544167,900,0
0.548611,901,0
0.552778,902,0
0.554167,908,0
0.555556,912,0
0.556944,913,0
0.559722,914,0
0.565278,916,0
0.566667,923,0
0.578056,924,0
0.579444,927,0
0.580833,929,0
0.582222,933,0
0.583611,934,0
0.585,936,0
0.591944,938,0
0.603333,939,0
0.604722,942,0
0.606111,943,0
0.6075,944,0
0.608889,946,0
0.615833,947,0
0.617222,948,0
0.626944,949,0
0.63,953,0
0.632778,954,0
0.635556,955,0
0.646667,956,0
0.648056,957,0
0.649444,958,0
0.652222,959,0
0.655,959,0
0.662222,961,0
0.673333,962,0
0.676389,963,0
0.683333,964,0
0.694444,965,0
0.6975,967,0
0.705833,982,0
0.707222,983,0
0.711389,984,0
0.712778,986,0
0.716944,990,0
0.72,993,0
0.721389,994,0
0.722778,995,0
0.725556,995,0
0.731111,995,0
0.735278,996,0
0.738056,996,0
0.740833,997,0
0.742222,999,0
0.745278,999,0
0.746667,999,0
0.749444,999,0
0.752222,1000,0
0.755,1001,0
0.763611,1003,0
0.765,1004,0
0.766389,1006,0
0.769167,1006,0
0.771944,1007,0
0.781944,1008,0
0.783333,1013,0
0.784722,1015,0
0.786111,1016,0
0.7875,1019,0
0.788889,1022,0
0.791667,1026,0
0.795833,1027,0
0.802778,1028,0
0.825278,1029,0
0.828056,1033,0
0.829444,1034,0
0.833611,1036,0
0.842222,1037,0
0.870278,1038,0
0.874444,1040,0
0.8775,1040,0
0.880278,1042,0
0.915556,1043,0
0.919722,1044,0
0.921111,1045,0
0.9225,1046,0
0.925278,1048,0
0.926667,1066,0
0.928056,1081,0
0.929444,1082,0
0.946389,1083,0
0.975833,1084,0
1.02944,1087,0
1.03083,1091,0
1.03361,1093,0
1.03639,1094,0
1.04056,1097,0
1.04194,1098,0
1.14889,1099,0
1.15028,1100,0
1.15306,1101,0
1.15444,1102,0
1.15583,1103,0
1.15722,1103,0
1.16,1104,0
1.24444,1105,0
1.25139,1105,0
1.25278,1106,0
1.3625,1106,0
1.36528,1108,0
1.36667,1110,0
1.36972,1110,0
1.3725,1111,0
1.37667,1112,0
1.38222,1112,0
1.38806,1113,0
1.38944,1113,0
1.39361,1114,0
1.395,1115,0
1.39639,1115,0
1.40333,1116,0
1.40889,1116,0
1.41028,1119,0
1.41611,1120,0
1.4175,1120,0
1.41889,1120,0
1.42306,1120,0
1.43,1120,0
1.43139,1121,0
1.43278,1122,0
1.43861,1122,0
