unix_time,paths_total,unique_crashes
0,1,0
0.00138889,138,0
0.00277778,184,0
0.00416667,198,0
0.00583333,241,0
0.00722222,245,0
0.00861111,256,0
0.0113889,256,0
0.0127778,278,0
0.0141667,291,0
0.0155556,352,0
0.0169444,364,0
0.0183333,381,0
0.0197222,393,0
0.0211111,402,0
0.0227778,402,0
0.0241667,402,0
0.0255556,402,0
0.0269444,402,0
0.0325,403,0
0.0397222,407,0
0.0411111,408,0
0.0425,410,0
0.0494444,412,0
0.0508333,413,0
0.0525,415,0
0.0538889,417,0
0.0552778,418,0
0.0566667,420,0
0.0580556,425,0
0.0608333,432,0
0.0636111,432,0
0.0663889,435,0
0.0677778,436,0
0.0691667,437,0
0.0708333,439,0
0.0722222,445,0
0.075,446,0
0.0777778,447,0
0.0805556,448,0
0.0819444,449,0
0.0833333,452,0
0.085,453,0
0.0863889,457,0
0.0891667,458,0
0.0961111,458,0
0.0975,458,0
0.0991667,459,0
0.100556,460,0
0.110278,461,0
0.111667,462,0
0.1175,464,0
0.124444,465,0
0.131389,472,0
0.132778,476,0
0.134167,481,0
0.135556,485,0
0.137222,492,0
0.138611,494,0
0.14,495,0
0.141389,496,0
0.151389,496,0
0.154167,497,0
0.163889,497,0
0.165278,503,0
0.166667,505,0
0.168333,512,0
0.169722,513,0
0.171111,516,0
0.1725,517,0
0.175278,518,0
0.178056,519,0
0.179444,520,0
0.181111,521,0
0.183889,523,0
0.190833,535,0
0.192222,545,0
0.195278,556,0
0.196667,557,0
0.199444,558,0
0.203611,559,0
0.205,560,0
0.208056,561,0
0.209444,568,0
0.210833,578,0
0.212222,582,0
0.213611,585,0
0.215,588,0
0.217778,589,0
0.226111,593,0
0.2275,594,0
0.228889,595,0
0.230278,596,0
0.231667,599,0
0.233056,601,0
0.234444,605,0
0.241667,605,0
0.243056,607,0
0.247222,607,0
0.248611,608,0
0.254167,608,0
0.26,609,0
0.261389,618,0
0.262778,623,0
0.264167,627,0
0.265556,630,0
0.266944,631,0
0.268333,631,0
0.269722,633,0
0.273889,635,0
0.275556,636,0
0.285278,637,0
0.286667,639,0
0.288056,641,0
0.289444,643,0
0.299444,643,0
0.300833,644,0
0.303611,645,0
0.313611,645,0
0.317778,646,0
0.327778,647,0
0.329167,648,0
0.340556,651,0
0.341944,654,0
0.343333,655,0
0.350556,657,0
0.351944,660,0
0.353333,661,0
0.354722,661,0
0.366111,662,0
0.3675,663,0
0.368889,663,0
0.370278,664,0
0.373056,665,0
0.375833,665,0
0.381667,669,0
0.383056,670,0
0.385833,671,0
0.395556,671,0
0.397222,671,0
0.398611,672,0
0.4125,673,0
0.415556,674,0
0.425278,675,0
0.426667,675,0
0.439722,676,0
0.441111,682,0
0.4425,689,0
0.449444,690,0
0.452222,691,0
0.465,693,0
0.466389,699,0
0.467778,703,0
0.471944,704,0
0.479167,704,0
0.486111,704,0
0.488889,705,0
0.498889,705,0
0.500278,705,0
0.513056,705,0
0.52,706,0
0.527222,706,0
0.534167,707,0
0.54,707,0
0.544167,708,0
0.547222,709,0
0.554167,711,0
0.555556,712,0
0.568333,713,0
0.569722,714,0
0.571389,715,0
0.576944,716,0
0.578333,718,0
0.581111,719,0
0.591111,719,0
0.593889,720,0
0.605278,723,0
0.610833,724,0
0.618056,725,0
0.619444,725,0
0.620833,727,0
0.625,728,0
0.637778,729,0
0.639167,734,0
0.640556,740,0
0.641944,746,0
0.643333,748,0
0.644722,748,0
0.646111,749,0
0.6475,751,0
0.667222,752,0
0.671667,755,0
0.673056,759,0
0.674444,761,0
0.675833,764,0
0.677222,766,0
0.684444,769,0
0.691389,769,0
0.698333,769,0
0.701111,769,0
0.706944,769,0
0.7125,769,0
0.726667,769,0
0.728056,770,0
0.729444,770,0
0.754722,774,0
0.757778,777,0
0.759167,780,0
0.764722,780,0
0.766111,781,0
0.771667,782,0
0.778889,783,0
0.780278,783,0
0.793056,784,0
0.794444,784,0
0.797222,785,0
0.807222,785,0
0.808611,794,0
0.81,797,0
0.811389,798,0
0.812778,799,0
0.814167,804,0
0.815556,806,0
0.816944,807,0
0.818333,811,0
0.819722,812,0
0.821111,813,0
0.8225,814,0
0.833889,814,0
0.835278,815,0
0.8425,815,0
0.850833,815,0
0.863611,816,0
0.865,817,0
0.877778,817,0
0.880556,817,0
0.883333,817,0
0.884722,817,0
0.888889,817,0
0.891667,818,0
0.893056,818,0
0.896111,819,0
0.898889,820,0
0.900278,821,0
0.907222,821,0
0.908889,822,0
0.910278,822,0
0.911667,823,0
0.917222,823,0
0.92,823,0
0.931389,823,0
0.934167,824,0
0.936944,826,0
0.941111,827,0
0.955278,828,0
0.958056,828,0
0.963611,828,0
0.966389,828,0
0.967778,829,0
0.969444,832,0
0.970833,847,0
0.972222,850,0
0.973611,857,0
0.975,862,0
0.976389,862,0
0.977778,863,0
0.979167,864,0
0.986389,864,0
0.989167,866,0
1.00056,867,0
1.00889,867,0
1.01194,870,0
1.02306,870,0
1.02444,871,0
1.02583,872,0
1.03444,873,0
1.04167,873,0
1.04444,873,0
1.04861,875,0
1.05139,878,0
1.05444,882,0
1.06,883,0
1.06139,884,0
1.06278,887,0
1.06583,888,0
1.06861,890,0
1.07556,890,0
1.08278,891,0
1.08972,891,0
1.09111,892,0
1.09278,893,0
1.09833,894,0
1.10389,897,0
1.10528,900,0
1.10694,903,0
1.11806,906,0
1.11944,906,0
1.1225,907,0
1.12806,908,0
1.13222,908,0
1.13389,908,0
1.14639,909,0
1.14778,909,0
1.16083,910,0
1.16222,913,0
1.16361,914,0
1.16639,915,0
1.18611,916,0
1.18889,917,0
1.1975,919,0
1.20028,921,0
1.20167,922,0
1.21444,922,0
1.21583,923,0
1.22861,923,0
1.24278,924,0
1.25694,933,0
1.25833,936,0
1.26806,937,0
1.26944,938,0
1.27389,939,0
1.27528,939,0
1.295,940,0
1.29639,941,0
1.29778,943,0
1.29917,947,0
1.30056,951,0
1.30194,952,0
1.30472,953,0
1.3075,955,0
1.32167,956,0
1.32583,958,0
1.3275,961,0
1.32889,962,0
1.33583,963,0
1.33722,964,0
1.33861,969,0
1.34694,969,0
1.35,973,0
1.35139,975,0
1.35278,979,0
1.35417,982,0
1.35556,983,0
1.35972,985,0
1.36111,985,0
1.36694,986,0
1.37806,988,0
1.37944,988,0
1.39111,989,0
1.3925,989,0
1.405,989,0
1.40667,990,0
1.41806,990,0
1.41944,991,0
1.42639,992,0
1.43917,992,0
1.45333,993,0
1.45472,995,0
1.45611,996,0
1.46611,997,0
1.4675,998,0
1.48722,1000,0
1.48861,1002,0
1.49,1003,0
1.49139,1006,0
1.49278,1008,0
1.49417,1010,0
1.49694,1011,0
1.50694,1012,0
1.5125,1012,0
1.51833,1013,0
1.51972,1013,0
1.52111,1013,0
1.5225,1015,0
1.52389,1016,0
1.53944,1016,0
1.54083,1016,0
1.54639,1020,0
1.55917,1020,0
1.56056,1021,0
1.58028,1021,0
1.58444,1022,0
1.59306,1023,0
1.6,1025,0
1.60139,1026,0
1.60278,1027,0
1.60417,1028,0
1.62139,1029,0
1.62278,1029,0
1.62417,1030,0
1.62556,1031,0
1.6425,1031,0
1.64528,1032,0
1.66222,1033,0
1.66361,1033,0
1.665,1034,0
1.67056,1035,0
1.68333,1042,0
1.68472,1045,0
1.69889,1046,0
1.70028,1047,0
1.70306,1047,0
1.70444,1048,0
1.72306,1050,0
1.72444,1053,0
1.72583,1054,0
1.72722,1055,0
1.72861,1056,0
1.73417,1057,0
1.74833,1059,0
1.75,1059,0
1.75139,1060,0
1.76528,1063,0
1.76972,1064,0
1.77111,1064,0
1.7725,1081,0
1.77389,1085,0
1.78806,1087,0
1.79083,1088,0
1.7925,1091,0
1.79389,1093,0
1.79528,1096,0
1.79667,1098,0
1.79806,1099,0
1.79944,1100,0
1.80778,1101,0
1.81361,1106,0
1.815,1108,0
1.82778,1108,0
1.82917,1109,0
1.83056,1110,0
1.8375,1110,0
1.84611,1110,0
1.84889,1111,0
1.85444,1111,0
1.85583,1112,0
1.86139,1112,0
1.86417,1112,0
1.86694,1112,0
1.86972,1113,0
1.87111,1113,0
1.87389,1114,0
1.87528,1114,0
1.87833,1115,0
1.87972,1116,0
1.88111,1117,0
1.88528,1118,0
1.88806,1119,0
1.89083,1119,0
1.89361,1128,0
1.895,1131,0
1.89639,1132,0
1.89944,1133,0
1.90083,1133,0
1.90222,1135,0
1.90361,1136,0
1.90639,1139,0
1.90778,1139,0
1.91194,1139,0
1.91611,1139,0
1.9175,1139,0
1.92167,1139,0
1.9275,1140,0
1.94167,1140,0
1.94306,1141,0
1.95278,1141,0
1.96694,1141,0
1.9825,1141,0
1.99667,1141,0
2.01083,1143,0
2.01222,1144,0
2.02056,1144,0
2.03472,1145,0
2.03611,1146,0
2.04889,1146,0
2.05028,1147,0
2.06306,1148,0
2.06583,1149,0
2.07861,1149,0
2.08028,1150,0
2.09,1150,0
2.09139,1151,0
2.09278,1152,0
2.10556,1153,0
2.11972,1154,0
2.13528,1155,0
2.14944,1155,0
2.16361,1155,0
2.165,1156,0
2.16806,1157,0
2.17778,1159,0
2.17917,1161,0
2.18056,1162,0
2.19056,1162,0
2.19194,1163,0
2.20306,1164,0
2.20444,1166,0
2.21167,1166,0
2.21306,1168,0
2.22,1169,0
2.22278,1170,0
2.22417,1172,0
2.22556,1174,0
2.23556,1174,0
2.23694,1174,0
2.23833,1176,0
