unix_time,paths_total,unique_crashes
0,1,0
0.00138889,153,0
0.00277778,200,0
0.00416667,209,0
0.00555556,215,0
0.01,229,0
0.0113889,237,0
0.0127778,372,0
0.0141667,457,0
0.0155556,516,0
0.0169444,564,0
0.0186111,576,0
0.0297222,592,0
0.0311111,623,0
0.0325,646,0
0.0338889,669,0
0.0352778,688,0
0.0366667,698,0
0.0383333,729,0
0.0411111,730,0
0.0425,730,0
0.0480556,745,0
0.0497222,774,0
0.0511111,802,0
0.0525,822,0
0.0538889,838,0
0.0552778,842,0
0.0580556,843,0
0.0594444,843,0
0.0636111,843,0
0.0666667,851,0
0.0680556,865,0
0.0694444,882,0
0.0708333,896,0
0.0722222,908,0
0.0736111,912,0
0.075,913,0
0.0777778,914,0
0.0791667,914,0
0.0847222,917,0
0.0861111,928,0
0.0877778,942,0
0.0891667,948,0
0.0905556,954,0
0.0919444,955,0
0.0933333,956,0
0.0947222,957,0
0.0961111,957,0
0.103333,960,0
0.1075,961,0
0.115833,970,0
0.117222,976,0
0.118611,987,0
0.120278,990,0
0.121667,991,0
0.123056,992,0
0.124444,993,0
0.125833,993,0
0.132778,998,0
0.134167,1007,0
0.135556,1015,0
0.136944,1020,0
0.138611,1029,0
0.14,1034,0
0.141389,1036,0
0.142778,1037,0
0.148333,1039,0
0.149722,1040,0
0.151111,1042,0
0.1525,1055,0
0.153889,1073,0
0.155278,1083,0
0.156667,1084,0
0.168056,1085,0
0.173611,1085,0
0.180556,1087,0
0.181944,1088,0
0.183333,1089,0
0.193333,1097,0
0.194722,1098,0
0.196111,1101,0
0.1975,1132,0
0.198889,1146,0
0.200278,1147,0
0.207222,1149,0
0.210278,1157,0
0.211667,1163,0
0.213056,1172,0
0.214444,1176,0
0.224444,1176,0
0.225833,1176,0
0.23,1177,0
0.238333,1178,0
0.239722,1179,0
0.248333,1181,0
0.251111,1182,0
0.255278,1182,0
0.259444,1192,0
0.260833,1193,0
0.262222,1200,0
0.263611,1205,0
0.265,1230,0
0.266667,1260,0
0.275,1261,0
0.276389,1262,0
0.277778,1262,0
0.288889,1262,0
0.290556,1268,0
0.291944,1271,0
0.294722,1272,0
0.300278,1273,0
0.301944,1273,0
0.303333,1281,0
0.304722,1288,0
0.306111,1291,0
0.3075,1293,0
0.308889,1295,0
0.310278,1296,0
0.315833,1296,0
0.32,1297,0
0.321389,1299,0
0.322778,1300,0
0.327222,1300,0
0.334167,1300,0
0.336944,1301,0
0.345556,1301,0
0.346944,1304,0
0.3525,1304,0
0.356667,1304,0
0.369444,1304,0
0.370833,1305,0
0.373611,1306,0
0.381944,1306,0
0.383333,1309,0
0.386111,1310,0
0.393333,1311,0
0.394722,1315,0
0.396111,1319,0
0.3975,1325,0
0.398889,1333,0
0.400278,1334,0
0.401944,1339,0
0.404722,1340,0
0.411667,1341,0
0.413056,1341,0
0.421667,1344,0
0.423056,1346,0
0.424444,1347,0
0.425833,1349,0
0.427222,1351,0
0.428611,1355,0
0.43,1356,0
0.438611,1357,0
0.441389,1366,0
0.442778,1368,0
0.444167,1371,0
0.445556,1377,0
0.446944,1378,0
0.455556,1379,0
0.456944,1380,0
0.458333,1381,0
0.459722,1382,0
0.463889,1383,0
0.465278,1385,0
0.466667,1386,0
0.476667,1386,0
0.480833,1387,0
0.489444,1389,0
0.493611,1390,0
0.501944,1397,0
0.503611,1404,0
0.505,1415,0
0.513333,1416,0
0.514722,1420,0
0.516111,1420,0
0.524444,1420,0
0.537222,1421,0
0.538611,1422,0
0.544167,1422,0
0.546944,1424,0
0.558333,1425,0
0.559722,1426,0
0.561111,1427,0
0.572222,1427,0
0.573611,1427,0
0.576667,1429,0
0.579444,1430,0
0.580833,1431,0
0.583611,1432,0
0.585,1432,0
0.589167,1435,0
0.590556,1435,0
0.594722,1436,0
0.600556,1436,0
0.601944,1437,0
0.604722,1438,0
0.606111,1440,0
0.6075,1440,0
0.608889,1441,0
0.610278,1443,0
0.611667,1446,0
0.613056,1446,0
0.615833,1447,0
0.617222,1447,0
0.621667,1448,0
0.623056,1453,0
0.624444,1454,0
0.63,1456,0
0.632778,1458,0
0.634444,1461,0
0.637222,1461,0
0.638611,1463,0
0.64,1465,0
0.641389,1466,0
0.642778,1466,0
0.644167,1467,0
0.646944,1469,0
0.648333,1469,0
0.649722,1471,0
0.651111,1471,0
0.6525,1473,0
0.653889,1473,0
0.656944,1473,0
0.659722,1473,0
0.661111,1479,0
0.663889,1480,0
0.665278,1480,0
0.676667,1481,0
0.680833,1481,0
0.6825,1482,0
0.685278,1482,0
0.686667,1483,0
0.689444,1483,0
0.692222,1484,0
0.693611,1484,0
