unix_time,paths_total,unique_crashes
0,1,0
0.00138889,190,1
0.00277778,236,3
0.00416667,261,3
0.00555556,285,3
0.00694444,314,3
0.00833333,341,3
0.01,357,3
0.0113889,364,3
0.0127778,377,4
0.0141667,389,4
0.0155556,420,4
0.0169444,440,4
0.0183333,453,4
0.0197222,464,4
0.0211111,470,4
0.0225,478,4
0.0238889,511,4
0.0252778,520,4
0.0266667,529,5
0.0280556,542,5
0.0294444,551,5
0.0308333,573,7
0.0322222,583,9
0.0336111,587,9
0.0352778,597,9
0.0366667,612,9
0.0380556,676,9
0.0394444,745,9
0.0408333,782,9
0.0422222,790,9
0.0436111,801,10
0.045,803,10
0.0463889,805,10
0.0480556,829,10
0.0494444,843,10
0.0508333,859,10
0.0522222,872,10
0.0536111,881,10
0.055,887,10
0.0563889,900,10
0.0577778,904,10
0.0591667,908,10
0.0605556,919,10
0.0619444,931,10
0.0633333,942,10
0.0647222,970,10
0.0663889,985,11
0.0677778,997,11
0.0691667,1033,11
0.0705556,1055,11
0.0719444,1064,11
0.0733333,1088,11
0.0747222,1110,11
0.0761111,1136,11
0.0775,1151,12
0.0788889,1162,12
0.0802778,1173,12
0.0816667,1181,12
0.0833333,1185,12
0.0847222,1189,12
0.0861111,1193,12
0.0875,1198,12
0.0888889,1206,12
0.0902778,1210,12
0.0916667,1221,13
0.0930556,1229,13
0.0944444,1235,14
0.0958333,1247,15
0.0972222,1250,15
0.0986111,1255,15
0.1,1268,15
0.101389,1280,15
0.103056,1282,15
0.104444,1289,15
0.105833,1296,15
0.107222,1304,16
0.108611,1313,16
0.11,1319,16
0.111389,1326,16
0.112778,1336,16
0.114167,1352,16
0.115556,1357,16
0.116944,1369,16
0.118333,1385,16
0.119722,1392,16
0.121111,1399,16
0.1225,1406,16
0.124167,1409,16
0.125556,1418,17
0.126944,1428,17
0.128333,1430,17
0.129722,1435,17
0.131111,1441,17
0.1325,1451,17
0.133889,1456,17
0.135278,1464,17
0.136667,1467,17
0.138056,1476,17
0.139444,1480,17
0.140833,1488,18
0.142222,1495,19
0.143889,1496,19
0.145278,1503,19
0.146667,1505,19
0.148056,1513,19
