unix_time,paths_total,unique_crashes
0,1,0
0.00138889,106,0
0.00277778,177,0
0.00416667,216,0
0.00555556,277,2
0.00722222,318,3
0.00861111,364,5
0.01,405,5
0.0113889,479,5
0.0127778,530,6
0.0141667,558,6
0.0155556,571,6
0.0169444,628,8
0.0183333,697,8
0.0197222,725,8
0.0211111,745,9
0.0225,751,9
0.0238889,780,10
0.0255556,795,10
0.0269444,839,10
0.0283333,888,10
0.0297222,915,10
0.0311111,932,10
0.0325,950,10
0.0338889,965,10
0.0355556,982,10
0.0369444,1008,10
0.0383333,1030,10
0.0397222,1042,10
0.0411111,1069,11
0.0425,1088,13
0.0438889,1101,15
0.0452778,1109,16
0.0480556,1123,16
0.0494444,1134,16
0.0508333,1141,17
0.0522222,1143,17
0.055,1153,17
0.0563889,1166,17
0.0577778,1178,17
0.0591667,1203,17
0.0608333,1217,17
0.0622222,1229,18
0.0636111,1239,18
0.065,1254,20
0.0663889,1274,20
0.0677778,1285,20
0.0691667,1320,21
0.0705556,1347,22
0.0719444,1358,24
0.0733333,1367,25
0.0747222,1385,26
0.0763889,1398,26
0.0777778,1412,26
0.0791667,1424,26
0.0805556,1439,26
0.0819444,1453,26
0.0833333,1458,26
0.0847222,1464,26
0.0861111,1485,26
0.0877778,1507,26
0.0891667,1518,26
0.0905556,1533,27
0.0919444,1536,28
0.0933333,1575,28
0.0947222,1581,29
0.0961111,1592,29
0.0975,1604,29
0.0988889,1615,30
0.100278,1616,30
0.101667,1624,30
0.103056,1656,30
0.104444,1669,30
0.105833,1685,30
0.1075,1709,30
0.108889,1726,30
0.110278,1735,30
0.111667,1741,30
0.113056,1747,30
0.114444,1754,31
0.115833,1769,31
0.117222,1772,31
0.118611,1782,31
0.12,1796,32
0.121389,1801,32
0.123056,1819,32
0.124444,1859,33
0.125833,1879,33
0.127222,1887,33
0.128611,1901,33
0.13,1907,33
0.131389,1914,33
0.132778,1924,34
0.134167,1940,34
0.135556,1949,34
0.136944,1958,34
0.138333,1965,34
0.139722,1976,34
0.141389,1984,34
0.142778,1987,34
0.144167,1992,35
0.145556,1998,35
0.146944,2013,35
0.148333,2024,35
0.149722,2026,35
0.151111,2028,35
0.1525,2038,35
0.153889,2060,36
0.155278,2080,36
0.156667,2094,36
0.158333,2108,36
0.159722,2112,37
0.161111,2117,37
0.1625,2127,49
0.163889,2134,70
0.165278,2141,74
0.166667,2148,74
0.168056,2155,74
0.169444,2177,74
0.170833,2188,74
0.172222,2199,74
0.173611,2208,74
0.175,2211,74
0.176667,2218,74
0.178056,2228,76
0.179444,2239,76
0.180833,2240,76
0.182222,2245,76
0.183611,2254,77
0.185,2258,77
0.186389,2273,77
0.187778,2297,78
0.189167,2311,78
0.190556,2317,79
0.191944,2331,80
0.193333,2340,80
0.194722,2352,81
0.196111,2360,82
0.197778,2363,83
0.199167,2374,83
0.200556,2387,83
0.201944,2400,84
0.203333,2419,85
