unix_time,paths_total,unique_crashes
0,1,0
0.00138889,198,2
0.00277778,243,4
0.00416667,288,4
0.00555556,306,4
0.00694444,330,5
0.00833333,350,5
0.00972222,368,5
0.0111111,438,5
0.0127778,488,5
0.0141667,510,5
0.0155556,521,5
0.0169444,548,5
0.0183333,560,5
0.0197222,584,6
0.0211111,652,6
0.0225,677,6
0.0238889,689,6
0.0252778,691,6
0.0266667,703,7
0.0280556,713,7
0.0294444,723,7
0.0308333,731,7
0.0322222,737,7
0.0336111,757,8
0.035,777,9
0.0363889,796,9
0.0380556,816,9
0.0394444,818,9
0.0408333,827,9
0.0422222,857,10
0.0436111,881,10
0.045,889,10
0.0463889,892,10
0.0477778,921,11
0.0494444,940,12
0.0508333,948,12
0.0522222,960,12
0.0536111,966,12
0.055,983,13
0.0563889,992,13
0.0577778,999,14
0.0591667,1020,14
0.0605556,1037,14
0.0619444,1055,14
0.0633333,1065,14
0.0647222,1067,14
0.0661111,1081,14
0.0675,1085,14
0.0688889,1089,14
0.0702778,1101,14
0.0716667,1109,14
0.0733333,1115,14
0.0747222,1123,14
0.0761111,1148,14
0.0775,1169,14
0.0788889,1181,14
0.0802778,1191,14
0.0816667,1196,14
0.0830556,1214,14
0.0844444,1215,15
0.0858333,1227,15
0.0872222,1231,16
0.0886111,1235,16
0.09,1240,16
0.0913889,1243,16
0.0927778,1247,17
0.0944444,1258,17
0.0958333,1264,17
0.0972222,1272,17
0.0986111,1274,17
0.1,1277,17
0.101389,1280,17
0.102778,1294,17
0.104167,1308,17
0.105556,1310,17
0.106944,1315,17
0.108333,1316,17
0.109722,1323,17
0.111111,1341,17
0.1125,1348,17
0.113889,1360,17
0.115556,1361,17
0.116944,1367,17
0.118333,1374,17
0.119722,1378,17
0.121111,1379,17
0.1225,1385,17
0.123889,1386,17
0.125278,1387,17
0.126667,1392,17
0.128056,1402,17
0.129444,1418,17
0.130833,1424,17
0.132222,1434,17
0.133611,1439,17
0.135,1445,17
0.136389,1452,17
0.137778,1457,17
0.139167,1460,17
0.140556,1487,17
0.142222,1510,17
0.143611,1522,17
0.145,1524,17
0.146389,1528,17
0.147778,1533,17
0.149167,1539,17
0.150556,1542,17
0.151944,1545,17
0.153611,1555,17
0.155,1559,17
0.156389,1560,17
0.157778,1569,17
0.159167,1574,17
0.160556,1582,18
0.161944,1585,18
0.163333,1594,18
0.164722,1600,18
0.166111,1608,18
0.1675,1610,18
0.169167,1622,18
0.170556,1628,18
0.171944,1632,18
0.173333,1635,18
0.174722,1642,18
0.176111,1648,18
0.1775,1656,18
0.178889,1657,18
0.180278,1659,18
0.181667,1665,18
0.183056,1669,19
0.184444,1676,20
0.185833,1680,23
0.1875,1681,23
0.188889,1685,23
0.190278,1694,23
0.191667,1701,23
0.193056,1704,24
0.194444,1706,24
0.195833,1707,24
0.197222,1716,24
0.198611,1724,24
0.200278,1725,24
0.201667,1726,24
0.203056,1731,24
0.204444,1731,24
0.205833,1745,24
0.207222,1749,25
0.208611,1751,27
0.21,1753,28
0.211389,1757,29
0.212778,1766,29
0.214167,1772,30
0.215833,1773,30
0.217222,1774,30
0.218611,1784,30
0.22,1785,30
0.221389,1786,30
0.222778,1794,30
0.224167,1802,30
0.225556,1805,30
0.226944,1811,30
0.228333,1831,31
0.229722,1841,34
0.231111,1841,34
0.2325,1845,34
0.233889,1847,34
0.235278,1852,34
0.236667,1855,34
0.238333,1859,34
0.239722,1867,34
0.241111,1869,34
0.2425,1874,34
0.243889,1876,34
0.245278,1881,34
0.246667,1889,34
0.248056,1901,34
0.249444,1903,34
0.251111,1915,34
0.2525,1921,34
0.253889,1922,34
0.255278,1923,34
0.256667,1929,34
0.258056,1933,35
0.259444,1934,35
0.260833,1935,35
0.262222,1938,35
0.263611,1948,35
0.265,1954,35
0.266389,1955,35
0.267778,1956,35
0.269167,1960,35
0.270556,1966,35
0.271944,1971,35
0.273333,1971,35
0.274722,1979,36
0.276111,1981,37
0.277778,1985,38
0.279167,1994,39
0.280556,1997,39
0.283333,1999,39
0.284722,2005,39
0.286111,2007,39
0.2875,2009,39
0.288889,2010,39
0.290278,2013,40
0.291667,2015,40
0.293056,2017,40
0.294444,2020,40
0.295833,2026,40
0.297222,2029,40
0.298611,2033,40
0.3,2034,40
0.301389,2042,42
0.302778,2044,42
0.304167,2045,42
0.305556,2047,42
0.306944,2058,44
0.308611,2062,47
0.31,2064,47
0.311389,2070,47
0.312778,2073,47
0.314167,2078,47
0.315556,2084,47
0.316944,2095,47
0.318333,2099,47
0.319722,2101,47
0.321111,2106,47
0.3225,2108,47
0.323889,2113,47
0.326667,2115,47
0.328056,2122,47
0.329722,2124,47
0.331111,2124,47
0.3325,2126,47
0.333889,2128,47
0.335278,2138,47
0.336667,2141,47
0.338056,2146,47
0.340833,2147,47
0.342222,2158,47
0.343611,2160,47
0.345,2163,48
0.346389,2166,48
0.347778,2167,48
0.349167,2171,48
0.350556,2171,48
0.351944,2172,48
0.353611,2176,49
0.355,2180,49
0.356389,2183,49
0.357778,2190,51
0.359167,2193,51
0.360556,2196,51
0.361944,2204,51
