unix_time,paths_total,unique_crashes
0,1,0
0.00138889,208,3
0.00277778,253,3
0.00416667,281,3
0.00555556,288,3
0.00694444,292,3
0.00833333,297,3
0.00972222,309,4
0.0111111,335,5
0.0125,348,5
0.0141667,364,5
0.0155556,385,5
0.0169444,395,5
0.0183333,410,6
0.0197222,418,6
0.0211111,428,6
0.0225,443,6
0.0238889,455,6
0.0252778,469,7
0.0266667,481,7
0.0280556,488,7
0.0294444,499,7
0.0308333,508,7
0.0325,516,7
0.0338889,538,8
0.0352778,545,8
0.0366667,560,8
0.0380556,567,8
0.0394444,577,8
0.0408333,597,8
0.0422222,602,8
0.0436111,652,8
0.045,711,8
0.0463889,729,8
0.0477778,764,8
0.0491667,796,8
0.0505556,829,8
0.0519444,854,8
0.0536111,872,8
0.055,898,8
0.0563889,919,8
0.0577778,927,8
0.0591667,940,9
0.0605556,958,9
0.0619444,966,9
0.0633333,992,9
0.0647222,1006,9
0.0661111,1024,10
0.0675,1034,11
0.0688889,1053,11
0.0702778,1063,11
0.0716667,1070,11
0.0730556,1079,11
0.0744444,1086,11
0.0758333,1097,11
0.0772222,1104,11
0.0788889,1111,11
0.0802778,1129,11
0.0816667,1140,11
0.0830556,1152,11
0.0844444,1157,11
0.0858333,1165,11
0.0872222,1170,12
0.0886111,1186,12
0.09,1196,13
0.0913889,1202,13
0.0927778,1228,13
0.0941667,1246,13
0.0955556,1259,13
0.0969444,1264,13
0.0983333,1265,13
0.1,1266,13
0.101389,1278,13
0.102778,1289,13
0.104167,1293,13
0.105556,1298,13
0.106944,1310,13
0.108333,1331,14
0.109722,1340,14
0.111111,1346,14
0.1125,1363,14
0.113889,1370,14
0.115278,1378,14
0.116667,1385,15
0.118056,1388,15
0.119444,1399,15
0.120833,1405,15
0.1225,1411,15
0.123889,1420,16
0.125278,1429,16
0.126667,1434,16
0.128056,1437,16
0.129444,1445,16
0.130833,1452,16
0.133611,1459,16
0.135,1463,16
0.136389,1466,16
0.138056,1471,16
0.139444,1475,16
0.140833,1481,17
0.143611,1491,17
0.145,1496,17
0.146389,1503,17
0.147778,1510,17
0.149167,1512,18
0.150556,1521,18
0.151944,1529,18
0.153333,1534,18
0.155,1545,18
0.156389,1549,18
0.157778,1557,18
0.159167,1558,18
0.160556,1562,18
0.161944,1568,18
0.163333,1571,18
0.164722,1572,18
0.166111,1574,19
0.1675,1575,19
0.168889,1575,19
0.170278,1579,19
0.171667,1582,19
0.173056,1585,19
0.174444,1594,19
0.175833,1595,19
0.177222,1600,19
0.178611,1604,19
0.18,1611,19
0.181389,1618,19
0.182778,1626,19
0.184167,1628,19
0.185556,1630,19
0.187222,1633,19
0.188611,1637,19
0.19,1647,19
0.191389,1653,19
0.192778,1658,19
0.194167,1669,20
0.195556,1680,20
