unix_time,paths_total,unique_crashes
0,1,0
0.00138889,91,0
0.00277778,106,0
0.00416667,115,0
0.00555556,119,0
0.00972222,122,0
0.0113889,126,0
0.0127778,159,0
0.0141667,177,0
0.0155556,185,0
0.0169444,191,0
0.0183333,200,0
0.0197222,204,0
0.0211111,212,0
0.0238889,213,0
0.0283333,222,0
0.0297222,237,0
0.0311111,244,0
0.0325,250,0
0.0338889,252,0
0.0352778,255,0
0.0369444,257,0
0.0383333,260,0
0.0397222,264,0
0.0411111,267,0
0.0425,271,0
0.0438889,273,0
0.0452778,277,0
0.0480556,278,0
0.0508333,287,0
0.0522222,291,0
0.0536111,299,0
0.055,300,0
0.0563889,302,0
0.0577778,305,0
0.0591667,310,0
0.0605556,311,0
0.065,314,0
0.0663889,317,0
0.0677778,319,0
0.0691667,321,0
0.0705556,322,0
0.0733333,323,0
0.0747222,323,0
0.0761111,324,0
0.0802778,327,0
0.0816667,329,0
0.0830556,330,0
0.0886111,331,0
0.09,332,0
0.0927778,333,0
0.0941667,336,0
0.101389,338,0
0.102778,339,0
0.104167,342,0
0.105556,343,0
0.108333,348,0
0.109722,350,0
0.116667,358,0
0.118333,359,0
0.119722,363,0
0.121111,365,0
0.1225,366,0
0.123889,367,0
0.125278,368,0
0.132222,371,0
0.133611,372,0
0.135278,373,0
0.138056,374,0
0.139444,377,0
0.145,378,0
0.146389,381,0
0.147778,394,0
0.149167,396,0
0.153611,400,0
0.155,402,0
0.156389,404,0
0.159167,404,0
0.160556,405,0
0.164722,406,0
0.170278,407,0
0.171944,408,0
0.1775,408,0
0.184444,408,0
0.191389,412,0
0.192778,413,0
0.194167,415,0
0.195556,417,0
0.196944,420,0
0.198333,424,0
0.201111,425,0
0.203889,425,0
0.205556,427,0
0.206944,428,0
0.211111,433,0
0.215278,434,0
0.218056,437,0
0.220833,440,0
0.223611,441,0
0.226389,447,0
0.228056,449,0
0.235,459,0
0.236389,469,0
0.237778,471,0
0.239167,474,0
0.240556,476,0
0.243333,479,0
0.248889,480,0
0.253333,482,0
0.256111,484,0
0.258889,485,0
0.261667,489,0
0.268611,491,0
0.27,494,0
0.273056,495,0
0.275833,499,0
0.282778,501,0
0.284167,503,0
0.288333,505,0
0.289722,507,0
0.295556,511,0
0.296944,512,0
0.298333,513,0
0.301111,514,0
0.3025,520,0
0.309444,522,0
0.315,524,0
0.322222,526,0
0.323611,528,0
0.325,530,0
0.326389,532,0
0.327778,535,0
0.330556,536,0
0.334722,537,0
0.336111,540,0
0.3375,542,0
0.341944,546,0
0.343333,547,0
0.344722,548,0
0.350278,550,0
0.353056,551,0
0.355833,552,0
0.363056,553,0
0.364444,554,0
0.374444,556,0
0.375833,557,0
0.377222,567,0
0.378611,575,0
0.38,579,0
0.381389,584,0
0.382778,594,0
0.384167,604,0
0.385833,619,0
0.387222,633,0
0.388611,638,0
0.39,642,0
0.391389,647,0
0.392778,650,0
0.394167,652,0
0.395556,660,0
0.398333,664,0
0.399722,671,0
0.401111,674,0
0.406667,674,0
0.408056,674,0
0.4125,674,0
0.415278,677,0
0.418056,678,0
0.420833,679,0
0.422222,679,0
0.423611,679,0
0.427778,687,0
0.429167,689,0
0.430833,695,0
0.432222,698,0
0.433611,699,0
0.435,700,0
0.436389,702,0
0.437778,703,0
0.439167,709,0
0.440556,712,0
0.441944,714,0
0.446111,715,0
0.448889,718,0
0.450278,722,0
0.451667,723,0
0.453056,725,0
0.454444,727,0
0.455833,727,0
0.457222,734,0
0.46,735,0
0.461667,736,0
0.463056,753,0
0.464444,755,0
0.465833,757,0
0.467222,759,0
0.468611,761,0
0.47,762,0
0.472778,763,0
0.48,764,0
0.481389,765,0
0.485556,765,0
0.489722,768,0
0.491389,769,0
0.495556,769,0
0.499722,771,0
0.505278,771,0
0.508056,772,0
0.510833,773,0
0.512222,775,0
0.516667,778,0
0.518056,779,0
0.519444,784,0
0.520833,786,0
0.522222,787,0
0.525,788,0
0.530556,792,0
0.531944,794,0
0.536111,794,0
0.540556,796,0
0.541944,798,0
0.543333,800,0
0.544722,801,0
0.546111,802,0
0.5475,803,0
0.548889,806,0
0.560278,814,0
0.583889,818,0
0.585278,820,0
0.586667,822,0
0.589444,823,0
0.5925,826,0
0.595278,827,0
0.599444,828,0
0.600833,829,0
0.606389,830,0
0.607778,831,0
0.619167,832,0
0.641389,833,0
0.642778,834,0
0.647222,834,0
0.648611,836,0
0.65,852,0
0.651389,854,0
0.652778,856,0
0.654167,857,0
0.690833,858,0
0.692222,864,0
0.693611,866,0
0.696389,867,0
0.699444,868,0
0.700833,872,0
0.703611,873,0
0.705,875,0
0.707778,879,0
0.709167,884,0
0.710556,886,0
0.713333,888,0
0.714722,890,0
0.716389,891,0
0.717778,893,0
0.7275,894,0
0.752778,898,0
0.754167,900,0
0.755556,901,0
0.756944,902,0
0.758333,903,0
0.759722,904,0
0.761111,905,0
0.7625,906,0
0.766944,907,0
0.790556,908,0
0.796389,918,0
0.803333,919,0
0.804722,920,0
0.806111,922,0
0.8075,924,0
0.811944,925,0
0.818889,927,0
0.820278,929,0
0.824722,930,0
0.8275,930,0
0.830278,931,0
0.84,934,0
0.851389,935,0
0.875556,937,0
0.876944,938,0
0.878333,939,0
0.879722,940,0
0.881111,941,0
0.883889,942,0
0.895278,943,0
0.896667,945,0
0.898056,946,0
0.899444,948,0
0.909167,949,0
0.910556,951,0
0.915,952,0
0.919167,954,0
0.948611,955,0
0.95,956,0
0.957222,959,0
0.958611,960,0
0.96,965,0
0.964167,968,0
0.966944,969,0
0.971111,970,0
0.972778,971,0
0.974167,974,0
0.975556,975,0
0.981111,976,0
0.985556,977,0
0.986944,979,0
0.988333,981,0
0.989722,982,0
1.00083,983,0
1.025,984,0
1.02639,986,0
1.03194,987,0
1.03333,987,0
1.03472,988,0
1.06278,988,0
1.09528,993,0
1.1025,994,0
1.10806,995,0
1.11083,997,0
1.11917,998,0
1.12639,999,0
1.12778,1000,0
1.12917,1001,0
1.13611,1002,0
1.13917,1004,0
1.14333,1005,0
1.14472,1006,0
1.15167,1007,0
1.15889,1007,0
1.16028,1008,0
1.18833,1013,0
1.19944,1014,0
1.20083,1018,0
1.20806,1020,0
1.21222,1022,0
1.21389,1023,0
1.21806,1024,0
1.21944,1027,0
1.225,1028,0
1.23083,1032,0
1.24194,1033,0
1.24611,1034,0
1.2475,1036,0
1.25333,1037,0
1.25611,1038,0
1.26306,1039,0
1.27444,1039,0
1.28417,1040,0
1.29,1042,0
1.29139,1053,0
1.29278,1054,0
1.29417,1056,0
1.29694,1057,0
1.29861,1060,0
1.3,1062,0
1.30139,1065,0
1.30417,1066,0
1.30556,1068,0
1.30694,1068,0
1.30833,1074,0
1.31417,1076,0
1.31556,1078,0
1.31694,1079,0
1.31972,1080,0
1.32111,1081,0
1.32389,1081,0
1.32528,1082,0
1.33111,1083,0
1.3325,1084,0
1.33389,1085,0
1.33667,1088,0
1.34083,1089,0
1.35361,1090,0
1.355,1091,0
1.35639,1093,0
1.35778,1094,0
1.36917,1095,0
1.37056,1096,0
1.37194,1098,0
1.37333,1099,0
1.37472,1100,0
1.37611,1109,0
1.38611,1110,0
1.39306,1111,0
1.40556,1111,0
1.41556,1112,0
1.41972,1113,0
1.4225,1113,0
1.42389,1117,0
1.43222,1118,0
1.43528,1119,0
1.43806,1120,0
1.44083,1121,0
1.44222,1121,0
1.45333,1122,0
1.45472,1123,0
1.45639,1124,0
1.4775,1125,0
1.47889,1126,0
1.48583,1126,0
1.49972,1127,0
1.52222,1128,0
1.53083,1129,0
1.53917,1131,0
1.54083,1132,0
1.545,1133,0
1.54639,1134,0
1.54778,1135,0
1.54917,1137,0
1.55194,1138,0
1.55472,1139,0
1.55611,1142,0
1.55778,1143,0
1.56056,1144,0
1.56472,1147,0
1.56611,1152,0
1.57333,1153,0
1.57472,1155,0
1.59306,1156,0
1.59722,1157,0
1.59861,1158,0
1.60139,1160,0
1.60278,1161,0
1.60556,1162,0
1.62972,1165,0
1.63417,1165,0
1.63556,1167,0
1.63833,1168,0
1.6625,1173,0
1.66389,1180,0
1.6975,1181,0
1.74417,1195,0
1.74583,1201,0
1.74722,1204,0
1.75139,1205,0
1.75278,1209,0
1.75556,1210,0
1.75694,1211,0
1.75833,1211,0
1.76139,1212,0
