unix_time,paths_total,unique_crashes
0,1,0
0.00138889,91,0
0.00305556,99,0
0.00444444,108,0
0.00583333,117,0
0.00722222,119,0
0.01,123,0
0.0113889,128,0
0.0130556,164,0
0.0144444,183,0
0.0158333,192,0
0.0172222,204,0
0.0186111,207,0
0.02,210,0
0.0213889,213,0
0.0269444,214,0
0.0283333,222,0
0.0297222,227,0
0.0369444,228,0
0.0383333,231,0
0.0466667,232,0
0.0480556,232,0
0.0594444,234,0
0.0705556,239,0
0.0719444,242,0
0.0733333,243,0
0.075,246,0
0.0763889,251,0
0.0777778,252,0
0.0877778,253,0
0.0891667,257,0
0.0905556,261,0
0.0919444,263,0
0.0933333,267,0
0.0947222,270,0
0.0961111,272,0
0.0975,275,0
0.0988889,276,0
0.100278,277,0
0.105833,278,0
0.107222,279,0
0.108611,283,0
0.11,284,0
0.111389,286,0
0.118333,289,0
0.119722,289,0
0.124167,291,0
0.125556,292,0
0.126944,293,0
0.131111,293,0
0.133889,294,0
0.139444,296,0
0.140833,297,0
0.142222,299,0
0.143889,301,0
0.150833,303,0
0.158056,306,0
0.160833,311,0
0.162222,313,0
0.163611,315,0
0.165,316,0
0.167778,319,0
0.169167,320,0
0.180556,320,0
0.183333,322,0
0.184722,323,0
0.194444,323,0
0.204444,323,0
0.211389,323,0
0.218333,324,0
0.219722,325,0
0.221111,326,0
0.226944,326,0
0.231111,327,0
0.2325,328,0
0.242222,333,0
0.243611,335,0
0.253611,337,0
0.265,337,0
0.266389,338,0
0.267778,341,0
0.274722,345,0
0.276111,346,0
0.2775,348,0
0.284444,348,0
0.285833,349,0
0.288611,350,0
0.29,350,0
0.293056,351,0
0.297222,354,0
0.298611,357,0
0.3,358,0
0.308333,359,0
0.309722,362,0
0.311389,370,0
0.312778,371,0
0.314167,372,0
0.316944,373,0
0.318333,376,0
0.321111,377,0
0.3225,379,0
0.323889,382,0
0.326667,389,0
0.328056,392,0
0.330833,394,0
0.332222,395,0
0.333889,396,0
0.335278,397,0
0.343611,398,0
0.345,412,0
0.346389,414,0
0.356389,416,0
0.357778,417,0
0.359167,420,0
0.366111,420,0
0.374444,420,0
0.375833,421,0
0.383056,426,0
0.384444,429,0
0.387222,429,0
0.391667,431,0
0.394444,431,0
0.404167,432,0
0.413889,448,0
0.415278,455,0
0.418333,459,0
0.425278,460,0
0.426667,461,0
0.428056,461,0
0.438056,463,0
0.439444,464,0
0.440833,464,0
0.450556,464,0
0.460556,464,0
0.4675,467,0
0.471944,468,0
0.476111,469,0
0.480278,471,0
0.481667,471,0
0.484444,471,0
0.485833,474,0
0.49,478,0
0.493056,478,0
0.495833,482,0
0.497222,483,0
0.498611,488,0
0.5,490,0
0.505556,492,0
0.509722,493,0
0.511111,493,0
0.5125,496,0
0.513889,500,0
0.515278,503,0
0.516667,507,0
0.518056,510,0
0.519444,511,0
0.521111,512,0
0.5225,514,0
0.525278,515,0
0.526667,523,0
0.528056,524,0
0.533611,524,0
0.535,525,0
0.536389,526,0
0.538056,527,0
0.546389,528,0
0.547778,530,0
0.549167,531,0
0.550556,533,0
0.553333,534,0
0.554722,535,0
0.556111,535,0
0.559167,535,0
0.561944,535,0
0.563333,548,0
0.564722,550,0
0.566111,552,0
0.5675,556,0
0.574722,557,0
0.576111,558,0
0.578889,559,0
0.580278,563,0
0.581667,564,0
0.591667,565,0
0.594444,566,0
0.595833,568,0
0.598611,571,0
0.6,573,0
0.601389,591,0
0.602778,594,0
0.605556,597,0
0.614167,598,0
0.618333,601,0
0.621111,603,0
0.629444,605,0
0.639444,606,0
0.652222,607,0
0.653611,608,0
0.655,608,0
0.657778,615,0
0.661944,616,0
0.664722,622,0
0.666111,627,0
0.668889,628,0
0.670278,630,0
0.673333,637,0
0.674722,641,0
0.676111,643,0
0.6775,644,0
0.678889,646,0
0.680278,648,0
0.681667,651,0
0.683056,652,0
0.684444,654,0
0.685833,659,0
0.687222,661,0
0.688611,662,0
0.69,662,0
0.692778,663,0
0.695833,664,0
0.697222,666,0
0.698611,667,0
0.7,668,0
0.701389,670,0
0.706944,672,0
0.711111,674,0
0.715556,679,0
0.716944,680,0
0.718333,682,0
0.726667,686,0
0.728056,689,0
0.729722,690,0
0.731111,691,0
0.739444,692,0
0.742222,695,0
0.743611,697,0
0.757778,698,0
0.759167,699,0
0.760556,701,0
0.763333,703,0
0.764722,705,0
0.767778,706,0
0.778889,706,0
0.7875,708,0
0.788889,712,0
0.802778,712,0
0.815556,719,0
0.816944,720,0
0.818333,722,0
0.826944,723,0
0.828333,731,0
0.829722,735,0
0.8325,736,0
0.833889,737,0
0.846667,739,0
0.848056,742,0
0.849444,744,0
0.850833,747,0
0.852222,750,0
0.853611,751,0
0.867778,754,0
0.870556,755,0
0.878889,757,0
0.883056,765,0
0.884444,766,0
0.885833,780,0
0.887222,782,0
0.888611,784,0
0.89,788,0
0.891389,789,0
0.893056,792,0
0.894444,794,0
0.895833,796,0
0.897222,800,0
0.898611,802,0
0.901389,803,0
0.904167,804,0
0.906944,804,0
0.908611,806,0
0.91,806,0
0.911389,808,0
0.912778,809,0
0.914167,809,0
0.916944,809,0
0.919722,809,0
0.9225,809,0
0.925278,813,0
0.926944,814,0
0.928333,815,0
0.929722,816,0
0.9325,816,0
0.935278,823,0
0.936667,824,0
0.942222,825,0
0.943611,827,0
0.945,827,0
0.946389,828,0
0.947778,829,0
0.949444,831,0
0.952222,831,0
0.953611,831,0
0.956389,831,0
0.957778,832,0
0.960556,833,0
0.965,834,0
0.966389,836,0
0.967778,837,0
0.973333,839,0
0.976111,840,0
0.9775,841,0
0.986111,842,0
0.9875,843,0
0.997222,846,0
1,855,0
1.00167,863,0
1.00306,865,0
1.01278,866,0
1.01417,867,0
1.01833,872,0
1.03389,874,0
1.03528,874,0
1.03972,875,0
1.05083,875,0
1.055,876,0
1.06639,876,0
1.08194,879,0
1.08333,880,0
1.09889,880,0
1.10028,880,0
1.11278,880,0
1.11417,881,0
1.12694,883,0
1.12972,884,0
1.14111,885,0
1.14528,886,0
1.14667,887,0
1.14833,891,0
1.14972,892,1
1.16667,892,1
1.16806,894,1
1.17917,895,1
1.18222,896,1
1.18361,900,1
1.185,912,1
1.18639,914,1
1.18778,916,1
1.19639,917,1
1.19778,918,1
1.19917,919,1
1.20056,920,1
1.20194,929,1
1.20333,932,1
1.20611,934,1
1.21472,935,1
1.21889,936,1
1.22028,943,1
1.22194,946,1
1.22472,949,1
1.22611,950,1
1.23583,951,1
1.23889,952,1
1.24028,957,1
1.24167,960,1
1.24306,964,1
1.24444,969,1
1.24583,973,1
1.24722,976,1
1.24861,986,1
1.25,990,1
1.25139,990,1
1.26833,991,1
1.2725,992,1
1.28528,992,1
1.30083,993,1
1.30222,994,1
1.30528,995,1
1.31222,997,1
1.31361,997,1
1.31806,998,1
1.32778,998,1
1.33917,1000,1
1.34333,1000,1
1.36028,1002,1
1.36167,1005,1
1.36306,1007,1
1.36444,1008,1
1.37444,1009,1
1.37861,1010,1
1.38,1011,1
1.38306,1012,1
1.39444,1014,1
1.4,1015,1
1.41278,1017,1
1.41833,1019,1
1.42944,1020,1
1.43528,1020,1
1.43667,1021,1
1.43944,1022,1
1.44806,1023,1
1.45361,1023,1
1.455,1024,1
1.46611,1025,1
1.47194,1026,1
1.48306,1027,1
1.48889,1027,1
1.49028,1028,1
1.50139,1029,1
1.50583,1029,1
1.50722,1031,1
1.51861,1034,1
1.52417,1034,1
1.53694,1035,1
1.5425,1037,1
1.56083,1037,1
1.56222,1038,1
1.58056,1040,1
1.58194,1040,1
1.58333,1041,1
1.58611,1042,1
1.59611,1045,1
1.60028,1046,1
1.60861,1047,1
1.61028,1048,1
1.61306,1049,1
1.61444,1049,1
1.61583,1051,1
1.61722,1052,1
1.63417,1058,1
1.63833,1061,1
1.6425,1062,1
1.64528,1062,1
1.64667,1063,1
1.64944,1063,1
1.65083,1064,1
1.65222,1065,1
1.65361,1066,1
1.65639,1069,1
1.66083,1069,1
1.66639,1069,1
1.66917,1071,1
1.67056,1071,1
1.67194,1072,1
1.67333,1072,1
1.67472,1073,1
1.67611,1075,1
1.67917,1078,1
1.68056,1080,1
1.68194,1082,1
1.68472,1082,1
1.69444,1086,1
1.69583,1087,1
1.70583,1091,1
1.70722,1092,1
1.71722,1093,1
