unix_time,paths_total,unique_crashes
0,1,0
0.00138889,91,0
0.00277778,106,0
0.00416667,117,0
0.00555556,119,0
0.00833333,122,0
0.00972222,126,0
0.0113889,167,0
0.0127778,185,0
0.0141667,192,0
0.0155556,196,0
0.0169444,210,0
0.0183333,210,0
0.0197222,210,0
0.0211111,211,0
0.0225,211,0
0.0238889,211,0
0.0252778,212,0
0.0352778,212,0
0.0366667,213,0
0.045,214,0
0.0463889,216,0
0.0547222,220,0
0.0561111,225,0
0.0661111,228,0
0.0758333,229,0
0.0772222,229,0
0.0869444,229,0
0.0883333,231,0
0.0983333,233,0
0.0997222,239,0
0.101111,245,0
0.106667,246,0
0.108056,248,0
0.116667,249,0
0.118056,250,0
0.126389,250,0
0.127778,251,0
0.133611,253,0
0.140556,256,0
0.141944,266,0
0.143333,270,0
0.144722,272,0
0.146111,274,0
0.1475,274,0
0.149167,274,0
0.150556,274,0
0.151944,275,0
0.153333,276,0
0.156111,277,0
0.1575,278,0
0.165833,280,0
0.173056,280,0
0.174444,280,0
0.178611,281,0
0.185556,282,0
0.186944,283,0
0.188333,286,0
0.189722,287,0
0.195556,289,0
0.196944,294,0
0.198333,299,0
0.199722,300,0
0.205278,301,0
0.208056,302,0
0.219444,307,0
0.220833,308,0
0.222222,311,0
0.230833,313,0
0.232222,315,0
0.237778,315,0
0.243333,315,0
0.247778,316,0
0.2575,317,0
0.258889,318,0
0.261667,319,0
0.265833,320,0
0.267222,322,0
0.273056,323,0
0.274444,324,0
0.281389,324,0
0.282778,326,0
0.291111,326,0
0.293889,328,0
0.295278,331,0
0.296944,334,0
0.298333,336,0
0.299722,338,0
0.301111,338,0
0.3025,339,0
0.303889,339,0
0.315,340,0
0.322222,340,0
0.323611,342,0
0.325,342,0
0.327778,342,0
0.330556,342,0
0.338889,343,0
0.346111,344,0
0.3475,345,0
0.348889,349,0
0.354444,351,0
0.355833,352,0
0.357222,353,0
0.358611,356,0
0.36,358,0
0.368611,360,0
0.371389,364,0
0.378333,364,0
0.381111,364,0
0.388333,365,0
0.3925,365,0
0.399444,365,0
0.405,365,0
0.412222,366,0
0.413611,370,0
0.415,371,0
0.423333,372,0
0.424722,373,0
0.426389,375,0
0.433333,377,0
0.436111,378,0
0.438889,378,0
0.440278,380,0
0.448889,380,0
0.451667,380,0
0.455833,380,0
0.465556,380,0
0.466944,382,0
0.468333,383,0
0.478333,384,0
0.485278,384,0
0.486667,388,0
0.488056,389,0
0.489444,391,0
0.498056,393,0
0.509167,393,0
0.511944,394,0
0.523333,396,0
0.533333,396,0
0.534722,400,0
0.545833,403,0
0.553056,405,0
0.554444,408,0
0.564167,410,0
0.566944,411,0
0.574167,412,0
0.5825,412,0
0.583889,413,0
0.585278,414,0
0.590833,415,0
0.593611,416,0
0.599167,417,0
0.600833,417,0
0.607778,418,0
0.609167,423,0
0.610556,424,0
0.620278,426,0
0.623056,427,0
0.628889,428,0
0.630278,429,0
0.631667,431,0
0.634444,431,0
0.637222,434,0
0.638611,434,0
0.64,434,0
0.642778,436,0
0.645556,436,0
0.646944,436,0
0.648333,437,0
0.649722,438,0
0.651111,438,0
0.6525,438,0
0.655278,438,0
0.656667,439,0
0.659444,441,0
0.662222,441,0
0.663889,441,0
0.665278,443,0
0.666667,444,0
0.669444,444,0
0.675,444,0
0.680556,445,0
0.687778,456,0
0.689167,461,0
0.690556,463,0
0.696111,464,0
0.6975,465,0
0.698889,465,0
0.706111,466,0
0.713056,468,0
0.714444,470,0
0.725833,475,0
0.727222,477,0
0.728611,478,0
0.736944,479,0
0.745556,486,0
0.746944,491,0
0.748333,492,0
0.749722,493,0
0.7525,495,0
0.753889,496,0
0.7625,497,0
0.763889,499,0
0.765278,500,0
0.773611,501,0
0.775,501,0
0.776389,503,0
0.777778,504,0
0.785,505,0
0.787778,506,0
0.789167,509,0
0.800278,511,0
0.811667,513,0
0.821389,514,0
0.822778,516,0
0.832778,517,0
0.834167,517,0
0.8425,517,0
0.849722,517,0
0.853889,518,0
0.8625,518,0
0.863889,519,0
0.870833,519,0
0.878056,519,0
0.882222,519,0
0.889167,519,0
0.890556,520,0
0.893333,520,0
0.896111,527,0
0.898889,528,0
0.900278,530,0
0.903056,530,0
0.904722,530,0
0.9075,530,0
0.908889,556,0
0.911667,557,0
0.914444,557,0
0.915833,557,0
0.918611,558,0
0.921389,558,0
0.924444,558,0
0.931389,560,0
0.934167,560,0
0.935556,561,0
0.945556,562,0
0.953889,564,0
0.955278,565,0
0.962222,565,0
0.970833,567,0
0.973611,568,0
0.975,568,0
0.977778,578,0
0.979167,587,0
0.980556,590,0
0.981944,593,0
0.983333,594,0
0.984722,595,0
0.986111,595,0
0.9875,596,0
0.9975,597,0
1.00861,599,0
1.01,600,0
1.02278,600,0
1.03111,601,0
1.0325,602,0
1.04111,602,0
1.04528,604,0
1.05639,604,0
1.06639,605,0
1.07333,606,0
1.08167,606,0
1.08306,611,0
1.09306,612,0
1.09444,615,0
1.09583,616,0
1.09722,619,0
1.10556,620,0
1.10694,620,0
1.11528,620,0
1.11667,621,0
1.12806,629,0
1.12944,630,0
1.14083,631,0
1.15333,632,0
1.16583,634,0
1.17444,647,0
1.17583,651,0
1.17861,654,0
1.18417,655,0
1.18583,658,0
1.18722,659,0
1.19,680,0
1.19139,684,0
1.19278,689,0
1.19833,690,0
1.19972,691,0
1.20139,693,0
1.20278,695,0
1.2125,696,0
1.21528,697,0
1.22528,697,0
1.22667,698,0
1.235,699,0
1.24361,699,0
1.24639,700,0
1.25333,702,0
1.26611,704,0
1.26889,705,0
1.27861,706,0
1.29,706,0
1.3025,706,0
1.31528,708,0
1.32778,708,0
1.33917,708,0
1.34194,708,0
1.34472,708,0
1.34889,708,0
1.35194,708,0
1.35333,712,0
1.35472,712,0
1.35611,713,0
1.3575,714,0
1.35889,714,0
1.36167,714,0
1.36583,715,0
1.36861,717,0
1.37306,717,0
1.37444,718,0
1.37583,718,0
1.37861,719,0
1.38,721,0
1.38139,722,0
1.38972,723,0
1.39111,725,0
1.4025,725,0
1.40389,726,0
1.41389,749,0
1.41528,756,0
1.41667,764,0
1.41806,765,0
1.41944,768,0
1.42361,771,0
1.42528,773,0
1.42667,777,0
1.42806,778,0
1.42944,781,0
1.43083,781,0
1.43222,787,0
1.43361,788,0
1.435,789,0
1.44472,793,0
1.44611,795,0
1.45611,795,0
1.46722,795,0
1.47694,795,0
1.48833,795,0
1.49944,795,0
1.50083,796,0
1.50778,796,0
1.50917,798,0
1.52056,799,0
1.53306,801,0
1.53722,803,0
1.54583,804,0
1.54722,806,0
1.56,812,0
1.56139,813,0
1.56278,816,0
1.56972,820,0
1.57389,822,0
1.58667,824,0
1.59083,825,0
1.59778,827,0
1.59917,830,0
1.60778,832,0
1.60917,832,0
1.61194,832,0
1.61333,832,0
1.61472,832,0
1.6175,832,0
1.62028,832,0
1.62167,832,0
1.62306,834,0
1.62444,836,0
1.63583,836,0
1.64694,836,0
1.65833,837,0
1.65972,837,0
1.67083,838,0
1.67944,839,0
1.68222,842,0
1.68361,843,0
1.695,843,0
1.69778,845,0
1.69917,850,0
1.70056,852,0
1.70194,852,0
1.70333,853,0
1.70472,853,0
1.7075,859,0
1.70889,860,0
1.71028,867,0
1.71194,870,0
1.71333,871,0
1.71472,872,0
1.71611,872,0
1.71889,872,0
1.72167,872,0
1.72472,872,0
1.7275,872,0
1.73028,872,0
1.73306,872,0
1.73583,872,0
1.73861,872,0
1.74167,872,0
1.74444,872,0
1.74722,872,0
1.75,872,0
1.75278,872,0
1.75556,872,0
1.75833,872,0
1.76139,872,0
1.76417,873,0
1.76694,875,0
1.76972,876,0
1.77278,878,0
1.77417,880,0
1.77556,881,0
1.77694,884,0
1.77972,884,0
1.7825,884,0
1.78528,884,0
1.78806,885,0
1.78944,885,0
1.79222,885,0
1.795,885,0
1.80361,886,0
1.81194,887,0
1.81333,888,0
1.82333,888,0
1.83167,888,0
1.83444,888,0
1.83583,888,0
1.83722,888,0
1.83861,890,0
1.84,892,0
1.84139,893,0
1.84278,894,0
1.84417,894,0
1.84722,895,0
1.84861,895,0
1.85,898,0
1.85278,898,0
1.85694,898,0
1.8625,898,0
1.86417,900,0
1.86694,900,0
1.86833,901,0
1.87111,901,0
1.8725,902,0
1.87389,905,0
