unix_time,paths_total,unique_crashes
0,1,0
0.00138889,135,0
0.00277778,178,0
0.00416667,199,0
0.00555556,241,0
0.00694444,245,0
0.00861111,257,0
0.0127778,276,0
0.0141667,286,0
0.0155556,335,0
0.0169444,358,0
0.0183333,368,0
0.0197222,382,0
0.0211111,390,0
0.0225,394,0
0.0238889,394,0
0.0255556,394,0
0.0269444,394,0
0.0283333,397,0
0.0297222,400,0
0.0383333,401,0
0.0411111,402,0
0.0425,403,0
0.0466667,404,0
0.0480556,405,0
0.0508333,405,0
0.0536111,407,0
0.0636111,410,0
0.065,416,0
0.0666667,422,0
0.0680556,431,0
0.0694444,438,0
0.0708333,441,0
0.0722222,443,0
0.0736111,444,0
0.075,449,0
0.0777778,454,0
0.0822222,455,0
0.085,463,0
0.0863889,465,0
0.0877778,468,0
0.0891667,471,0
0.0905556,476,0
0.0919444,480,0
0.0933333,482,0
0.0947222,486,0
0.0963889,487,0
0.100556,488,0
0.104722,489,0
0.106111,491,0
0.1075,492,0
0.108889,495,0
0.110278,496,0
0.113333,497,0
0.118889,499,0
0.120278,503,0
0.121667,504,0
0.123056,508,0
0.124444,510,0
0.125833,514,0
0.130278,515,0
0.137222,516,0
0.14,517,0
0.151389,518,0
0.154167,520,0
0.166944,521,0
0.168333,521,0
0.181111,521,0
0.1825,524,0
0.185556,526,0
0.191111,527,0
0.1925,529,0
0.195278,533,0
0.196667,537,0
0.199722,548,0
0.2025,549,0
0.205278,553,0
0.206667,558,0
0.208056,559,0
0.209444,561,0
0.210833,570,0
0.212222,576,0
0.213611,583,0
0.215,584,0
0.216667,586,0
0.219444,587,0
0.225,588,0
0.226389,589,0
0.229167,591,0
0.230833,593,0
0.241944,597,0
0.243333,598,0
0.244722,601,0
0.250556,602,0
0.251944,604,0
0.260278,605,0
0.263333,608,0
0.2675,609,0
0.274444,609,0
0.2775,610,0
0.288611,610,0
0.294444,610,0
0.301389,611,0
0.302778,615,0
0.304167,615,0
0.305556,616,0
0.311389,618,0
0.323889,619,0
0.329722,620,0
0.338056,621,0
0.340833,622,0
0.350833,623,0
0.353889,624,0
0.365,624,0
0.369167,625,0
0.379167,631,0
0.380556,632,0
0.390278,633,0
0.391667,634,0
0.398889,634,0
0.411667,635,0
0.413056,635,0
0.415833,636,0
0.418611,638,0
0.432778,638,0
0.434167,638,0
0.436944,639,0
0.446944,639,0
0.448611,640,0
0.451389,641,0
0.456944,642,0
0.461389,643,0
0.464167,644,0
0.475556,645,0
0.476944,649,0
0.478333,655,0
0.4825,656,0
0.488056,659,0
0.489722,660,0
0.491111,662,0
0.498056,663,0
0.499444,664,0
0.510833,665,0
0.5125,665,0
0.513889,666,0
0.516667,666,0
0.530833,666,0
0.536389,667,0
0.543611,668,0
0.547778,669,0
0.557778,669,0
0.564722,670,0
0.571667,670,0
0.578889,671,0
0.585833,671,0
0.588889,672,0
0.598611,673,0
0.6,674,0
0.601389,675,0
0.607222,675,0
0.62,676,0
0.621389,677,0
0.624167,678,0
0.634167,679,0
0.638333,680,0
0.641111,682,0
0.648333,683,0
0.649722,685,0
0.663889,690,0
0.665278,693,0
0.666667,695,0
0.668056,696,0
0.669444,698,0
0.670833,699,0
0.672222,701,0
0.687778,702,0
0.689167,703,0
0.690556,704,0
0.691944,705,0
0.693611,706,0
0.696389,710,0
0.697778,711,0
0.699167,716,0
0.700556,721,0
0.7075,722,0
0.716111,723,0
0.744167,723,0
0.747222,724,0
0.773889,726,0
0.775278,728,0
0.776667,728,0
0.783889,728,0
0.785278,730,0
0.786667,731,0
0.799444,732,0
0.800833,733,0
0.806389,735,0
0.807778,736,0
0.816389,736,0
0.817778,736,0
0.820556,736,0
0.823333,737,0
0.826111,738,0
0.828889,740,0
0.831667,741,0
0.833056,741,0
0.844444,742,0
0.854167,743,0
0.855556,743,0
0.858611,747,0
0.86,747,0
0.861389,748,0
0.874167,749,0
0.878333,753,0
0.879722,755,0
0.881111,755,0
0.883889,756,0
0.890833,756,0
0.895278,757,0
