unix_time,paths_total,unique_crashes
0,1,0
0.00166667,137,0
0.00305556,182,0
0.00444444,198,0
0.00583333,242,0
0.00722222,246,0
0.00861111,262,0
0.0127778,281,0
0.0141667,291,0
0.0155556,334,0
0.0172222,357,0
0.0186111,367,0
0.02,381,0
0.0213889,393,0
0.0227778,398,0
0.0241667,398,0
0.0255556,399,0
0.0269444,399,0
0.0283333,401,0
0.03,401,0
0.0341667,402,0
0.0369444,403,0
0.0441667,407,0
0.0455556,415,0
0.0469444,421,0
0.0483333,426,0
0.0497222,435,0
0.0511111,439,0
0.0638889,441,0
0.0652778,443,0
0.0666667,444,0
0.0738889,445,0
0.0752778,449,0
0.0766667,453,0
0.0780556,455,0
0.0794444,459,0
0.0808333,464,0
0.0822222,468,0
0.0836111,470,0
0.085,472,0
0.0863889,474,0
0.0880556,477,0
0.0936111,478,0
0.0963889,480,0
0.0977778,482,0
0.0991667,486,0
0.100833,487,0
0.105,488,0
0.107778,489,0
0.109167,489,0
0.110556,491,0
0.113333,495,0
0.116389,496,0
0.123333,496,0
0.126111,497,0
0.134722,498,0
0.1375,504,0
0.138889,508,0
0.140278,510,0
0.141667,513,0
0.143056,517,0
0.144444,517,0
0.154444,518,0
0.1575,519,0
0.158889,521,0
0.165833,524,0
0.172778,524,0
0.175556,525,0
0.186944,528,0
0.188333,529,0
0.189722,531,0
0.191111,532,0
0.193889,533,0
0.195278,534,0
0.196944,535,0
0.201111,537,0
0.2025,539,0
0.205278,540,0
0.213889,540,0
0.215278,541,0
0.219444,541,0
0.226389,542,0
0.227778,547,0
0.229167,550,0
0.231944,552,0
0.233333,552,0
0.234722,554,0
0.2475,555,0
0.248889,556,0
0.250278,557,0
0.260278,558,0
0.261667,559,0
0.264444,560,0
0.274444,560,0
0.278611,561,0
0.288611,569,0
0.29,572,0
0.301389,575,0
0.302778,576,0
0.309722,576,0
0.311111,577,0
0.313889,578,0
0.325278,579,0
0.338056,579,0
0.339444,583,0
0.342222,586,0
0.345278,587,0
0.349444,588,0
0.352222,591,0
0.353611,597,0
0.355,605,0
0.356667,606,0
0.366389,607,0
0.368056,608,0
0.382222,609,0
0.383611,610,0
0.385,611,0
0.386389,614,0
0.395,616,0
0.396389,619,0
0.397778,620,0
0.399167,622,0
0.404722,623,0
0.406111,624,0
0.4075,630,0
0.414722,632,0
0.427222,633,0
0.428611,636,0
0.430278,638,0
0.431667,642,0
0.442778,643,0
0.445556,643,0
0.448333,644,0
0.449722,645,0
0.461111,645,0
0.475278,646,0
0.482222,647,0
0.489444,651,0
0.492222,655,0
0.493611,657,0
0.495278,659,0
0.499444,661,0
0.502222,662,0
0.509444,663,0
0.510833,665,0
0.513611,669,0
0.516389,670,0
0.523611,671,0
0.537778,672,0
0.551944,672,0
0.556111,673,0
0.563333,673,0
0.564722,674,0
0.568889,678,0
0.577222,681,0
0.58,684,0
0.591389,685,0
0.594167,686,0
0.597222,687,0
0.605556,688,0
0.606944,691,0
0.608333,695,0
0.609722,700,0
0.611389,701,0
0.614167,702,0
0.621111,703,0
0.6225,704,0
0.625278,706,0
0.626944,713,0
0.628333,717,0
0.629722,719,0
0.631111,723,0
0.6325,726,0
0.633889,727,0
0.639444,728,0
0.656389,728,0
0.657778,729,0
0.660556,730,0
0.671944,731,0
0.679167,732,0
0.681944,733,0
0.684722,736,0
0.686111,741,0
0.6875,746,0
0.688889,748,0
0.6975,748,0
0.704444,749,0
0.711389,749,0
0.718611,749,0
0.72,750,0
0.748333,755,0
0.749722,756,0
0.751111,758,0
0.7525,761,0
0.753889,762,0
0.758056,763,0
0.766667,764,0
0.782222,764,0
0.786389,764,0
0.789167,765,0
0.791944,766,0
0.800278,766,0
0.814444,766,0
0.818611,767,0
0.828889,767,0
0.830278,769,0
0.844444,769,0
0.847222,769,0
0.85,769,0
0.851389,769,0
0.854167,769,0
0.862778,770,0
0.864167,771,0
0.865556,772,0
0.869722,776,0
0.871111,789,0
0.8725,791,0
0.873889,792,0
0.875278,794,0
0.876944,796,0
0.878333,797,0
0.879722,798,0
0.888056,798,0
0.890833,798,0
0.893611,800,0
0.895,801,0
0.896389,803,0
0.909167,804,0
0.913333,806,0
0.914722,808,0
0.916111,813,0
0.9175,816,0
0.918889,816,0
0.920556,820,0
0.921944,821,0
0.931667,822,0
0.933056,824,0
0.934444,825,0
0.935833,826,0
0.94,827,0
0.951389,828,0
0.952778,828,0
0.955556,829,0
0.958333,831,0
0.965556,833,0
0.966944,836,0
0.968333,842,0
0.969722,844,0
0.973889,848,0
0.975278,851,0
0.988056,851,0
0.990833,852,0
0.992222,852,0
0.993611,853,0
0.995278,858,0
1.005,859,0
1.00778,859,0
1.01194,860,0
1.01333,862,0
1.01611,870,0
1.0175,871,0
1.02472,874,0
1.02611,877,0
1.02889,877,0
1.03861,881,0
1.04,882,0
1.04139,883,0
1.05139,886,0
1.05972,887,0
1.0625,888,0
1.06528,888,0
1.06833,888,0
1.0725,889,0
1.07944,893,0
1.08111,896,0
1.08833,897,0
1.09111,897,0
1.0925,898,0
1.10389,899,0
1.10667,899,0
1.11083,901,0
1.11389,904,0
1.11667,908,0
1.12222,909,0
1.12389,910,0
1.12528,910,0
1.12667,911,0
1.12806,912,0
1.13083,913,0
1.13944,914,0
1.14639,915,0
1.155,915,0
1.16917,916,0
1.17194,917,0
1.18472,917,0
1.19611,918,0
1.1975,919,0
1.19889,920,0
1.20028,921,0
1.21444,923,0
1.21583,924,0
1.21722,927,0
1.21861,928,0
1.22861,930,0
1.23306,931,0
1.23861,932,0
1.24417,932,0
1.25722,933,0
1.25861,934,0
1.26139,935,0
1.27278,935,0
1.28833,935,0
1.3025,935,0
1.30389,937,0
1.30528,937,0
1.30667,944,0
1.30806,946,0
1.31083,946,0
1.315,947,0
1.33056,966,0
1.33222,980,0
1.33361,984,0
1.335,985,0
1.34056,987,0
1.34194,993,0
1.34333,994,0
1.34472,996,0
1.34611,998,0
1.3475,999,0
1.3575,1010,0
1.35889,1012,0
1.36167,1013,0
1.37028,1015,0
1.37167,1015,0
1.37444,1016,0
1.38861,1016,0
1.39028,1020,0
1.39167,1022,0
1.40278,1023,0
1.41139,1030,0
1.41278,1031,0
1.42528,1032,0
1.43667,1032,0
1.45083,1032,0
1.465,1034,0
1.46639,1036,0
1.46778,1039,0
1.47917,1039,0
1.48639,1040,0
1.48778,1042,0
1.49056,1042,0
1.49333,1042,0
1.4975,1042,0
1.50028,1042,0
1.50306,1044,0
1.50583,1044,0
1.50861,1045,0
1.51167,1046,0
1.52583,1046,0
1.54,1047,0
1.55417,1047,0
1.5625,1049,0
1.57528,1049,0
1.58361,1055,0
1.585,1056,0
1.59639,1056,0
1.59778,1057,0
1.61056,1073,0
1.61194,1074,0
1.61333,1076,0
1.61889,1077,0
1.62167,1078,0
1.63028,1080,0
1.63444,1081,0
1.64583,1084,0
1.65972,1086,0
1.66139,1087,0
1.66278,1089,0
1.67389,1089,0
1.67528,1090,0
1.67694,1091,0
1.68944,1093,0
1.69083,1097,0
1.69222,1098,0
1.70361,1099,0
1.71917,1100,0
1.72194,1101,0
1.73361,1101,0
1.735,1102,0
1.74778,1102,0
1.76611,1102,0
1.78306,1103,0
1.78611,1104,0
1.78889,1105,0
1.79306,1106,0
1.79444,1106,0
1.79611,1107,0
1.80306,1107,0
1.81139,1107,0
1.82,1107,0
1.82972,1109,0
1.83833,1110,0
1.84667,1110,0
1.855,1110,0
1.85917,1111,0
1.86611,1111,0
1.87611,1112,0
1.8775,1113,0
1.87889,1115,0
1.8875,1116,0
1.89722,1116,0
1.90556,1116,0
1.90861,1117,0
1.91417,1120,0
1.91556,1123,0
1.91694,1124,0
1.91833,1125,0
1.9225,1126,0
1.92417,1128,0
1.92556,1133,0
1.92694,1137,0
1.92833,1144,0
1.92972,1149,0
1.93111,1151,0
1.9325,1153,0
1.93389,1154,0
1.94389,1155,0
1.94667,1157,0
1.94806,1158,0
1.95806,1159,0
1.96083,1161,0
1.96222,1162,0
1.97222,1163,0
1.97361,1164,0
1.975,1166,0
1.97639,1167,0
1.98056,1171,0
1.98194,1178,0
1.98333,1193,0
1.98472,1196,0
1.98611,1199,0
1.9875,1201,0
1.98889,1203,0
1.99056,1203,0
1.99194,1204,0
1.9975,1204,0
2.01306,1204,0
2.02722,1205,0
2.04556,1210,0
2.05,1211,0
2.05139,1213,0
2.05278,1214,0
2.06111,1214,0
2.06417,1215,0
2.07667,1217,0
2.07972,1219,0
2.0925,1219,0
2.11083,1219,0
2.125,1219,0
2.12917,1220,0
2.14056,1220,0
2.15611,1220,0
2.1575,1221,0
2.17722,1221,0
2.17861,1222,0
2.19694,1223,0
2.19972,1223,0
2.20139,1225,0
2.20417,1226,0
2.22111,1228,0
2.2225,1229,0
2.22944,1232,0
2.245,1232,0
2.24639,1235,0
2.25056,1237,0
2.26611,1238,0
2.26778,1239,0
2.28889,1240,0
2.29028,1240,0
2.29167,1241,0
2.29306,1242,0
2.29889,1243,0
2.31306,1248,0
2.31444,1251,0
2.31583,1252,0
2.33,1254,0
2.33139,1255,0
2.33556,1255,0
2.33694,1256,0
2.33833,1257,0
2.3525,1260,0
2.35833,1261,0
2.36111,1262,0
2.38083,1263,0
2.39056,1265,0
2.40472,1266,0
2.40611,1267,0
2.41167,1268,0
2.41722,1269,0
2.42028,1269,0
2.42167,1270,0
2.42306,1271,0
2.43583,1273,0
2.43722,1278,0
2.43861,1279,0
2.45,1279,0
2.45417,1279,0
2.45694,1280,0
2.45833,1280,0
2.45972,1280,0
2.46278,1281,0
2.46694,1281,0
2.46972,1281,0
2.4725,1283,0
2.47389,1283,0
2.47528,1284,0
2.47667,1284,0
2.47833,1286,0
2.47972,1286,0
2.48389,1286,0
2.48972,1286,0
2.4925,1287,0
2.49389,1290,0
2.49528,1291,0
2.50111,1295,0
2.5025,1313,0
2.50389,1332,0
2.50528,1347,0
2.50667,1356,0
2.50806,1364,0
2.50944,1368,0
2.51083,1371,0
2.52194,1371,0
2.54194,1371,0
2.54333,1372,0
2.55444,1373,0
2.55583,1374,0
2.56583,1374,0
2.57278,1374,0
2.58139,1374,0
2.58417,1375,0
2.60389,1375,0
2.61528,1375,0
2.62667,1376,0
2.62944,1377,0
2.63778,1377,0
2.64083,1379,0
2.64222,1383,0
2.64361,1388,0
2.64639,1389,0
2.64778,1390,0
2.64917,1392,0
2.65194,1392,0
2.65472,1393,0
2.65611,1396,0
2.65889,1398,0
2.66167,1399,0
2.66333,1401,0
2.66611,1404,0
2.67306,1406,0
2.67583,1407,0
2.67722,1407,0
2.67861,1408,0
2.68028,1409,0
2.69278,1409,0
2.69722,1411,0
2.70972,1411,0
2.71111,1414,0
2.7125,1415,0
2.7225,1416,0
2.72389,1421,0
2.72528,1424,0
2.73389,1426,0
2.7425,1427,0
2.75222,1429,0
