unix_time,paths_total,unique_crashes
0,1,0
0.00138889,146,0
0.00277778,190,0
0.00416667,199,0
0.00555556,205,0
0.01,220,0
0.0113889,259,0
0.0127778,392,0
0.0141667,445,0
0.0155556,486,0
0.0169444,504,0
0.0183333,540,0
0.0197222,547,0
0.0213889,560,0
0.0227778,561,0
0.0297222,562,0
0.0311111,597,0
0.0325,615,0
0.0338889,634,0
0.0352778,652,0
0.0366667,662,0
0.0380556,663,0
0.0408333,664,0
0.0477778,672,0
0.0494444,685,0
0.0508333,698,0
0.0522222,719,0
0.0536111,727,0
0.055,729,0
0.0563889,730,0
0.0577778,731,0
0.0647222,737,0
0.0661111,752,0
0.0675,772,0
0.0691667,786,0
0.0705556,794,0
0.0816667,797,0
0.0833333,798,0
0.0916667,799,0
0.0930556,810,0
0.0944444,818,0
0.0958333,844,0
0.0972222,857,0
0.0986111,858,0
0.104444,860,0
0.105833,863,0
0.107222,875,0
0.108611,885,0
0.11,894,0
0.111389,896,0
0.112778,897,0
0.121389,899,0
0.122778,903,0
0.1325,905,0
0.133889,910,0
0.135278,921,0
0.136667,930,0
0.138333,938,0
0.139722,953,0
0.141111,956,0
0.1425,958,0
0.143889,959,0
0.148056,963,0
0.149444,964,0
0.150833,964,0
0.157778,967,0
0.160556,972,0
0.161944,993,0
0.163611,994,0
0.167778,995,0
0.171944,1008,0
0.173333,1016,0
0.174722,1029,0
0.176111,1032,0
0.1775,1035,0
0.178889,1047,0
0.181667,1048,0
0.188889,1049,0
0.191667,1050,0
0.197222,1051,0
0.198611,1058,0
0.2,1062,0
0.201667,1068,0
0.203056,1074,0
0.204444,1076,0
0.205833,1077,0
0.212778,1078,0
0.214167,1079,0
0.224167,1079,0
0.225556,1080,0
0.235556,1083,0
0.236944,1089,0
0.239722,1090,0
0.246667,1102,0
0.248056,1112,0
0.249444,1121,0
0.250833,1127,0
0.252222,1134,0
0.255278,1135,0
0.260833,1137,0
0.262222,1141,0
0.265,1143,0
0.267778,1144,0
0.277778,1145,0
0.279167,1147,0
0.2875,1148,0
0.289167,1150,0
0.291944,1151,0
0.300278,1153,0
0.301667,1154,0
0.308889,1157,0
0.311667,1158,0
0.313056,1163,0
0.314444,1165,0
0.317222,1167,0
0.318611,1167,0
0.33,1167,0
0.332778,1168,0
0.339722,1168,0
0.341111,1175,0
0.343889,1176,0
0.351111,1176,0
0.3525,1178,0
0.353889,1181,0
0.355278,1183,0
0.363611,1188,0
0.365,1193,0
0.366389,1195,0
0.367778,1199,0
0.370556,1200,0
0.379167,1202,0
0.380556,1203,0
0.381944,1204,0
0.388889,1205,0
0.390278,1205,0
0.398889,1206,0
0.405833,1206,0
0.417222,1208,0
0.418611,1209,0
0.424167,1210,0
0.435556,1212,0
0.446944,1213,0
0.448333,1213,0
0.449722,1214,0
0.451111,1215,0
0.458056,1215,0
0.461111,1215,0
0.4625,1216,0
0.465278,1216,0
0.466667,1216,0
0.468056,1218,0
0.469444,1219,0
0.470833,1220,0
0.472222,1221,0
0.479444,1222,0
0.480833,1222,0
0.483611,1222,0
0.485,1222,0
0.486389,1222,0
0.487778,1224,0
0.489167,1225,0
0.490556,1226,0
0.491944,1226,0
0.493333,1228,0
0.494722,1232,0
0.497778,1232,0
0.499167,1232,0
0.501944,1232,0
0.513333,1238,0
0.516111,1238,0
0.518889,1239,0
0.521667,1245,0
0.523056,1245,0
0.524444,1246,0
0.525833,1248,0
0.528889,1250,0
0.531667,1250,0
0.533056,1250,0
0.538611,1253,0
0.541389,1253,0
0.542778,1254,0
0.544167,1256,0
0.551389,1256,0
0.552778,1256,0
0.555556,1258,0
0.556944,1258,0
0.562778,1258,0
0.564167,1259,0
0.565556,1259,0
