unix_time,paths_total,unique_crashes
0,1,0
0.00138889,92,0
0.00277778,107,0
0.00416667,116,0
0.00555556,120,0
0.00972222,126,0
0.0113889,141,0
0.0127778,176,0
0.0141667,189,0
0.0155556,200,0
0.0169444,201,0
0.0183333,203,0
0.0197222,203,0
0.0211111,203,0
0.0225,203,0
0.0238889,203,0
0.0252778,203,0
0.0352778,204,0
0.0366667,204,0
0.0480556,207,0
0.0494444,208,0
0.0508333,211,0
0.0577778,213,0
0.0591667,216,0
0.0605556,217,0
0.0675,218,0
0.0688889,218,0
0.0733333,220,0
0.0761111,223,0
0.0775,224,0
0.0844444,224,0
0.0858333,225,0
0.0872222,226,0
0.0958333,229,0
0.0972222,230,0
0.108333,237,0
0.118333,238,0
0.119722,239,0
0.121111,241,0
0.129444,243,0
0.130833,247,0
0.132222,249,0
0.136667,249,0
0.147778,249,0
0.149167,251,0
0.159167,251,0
0.160556,253,0
0.161944,257,0
0.168889,259,0
0.1775,260,0
0.178889,263,0
0.180278,265,0
0.19,269,0
0.191389,270,0
0.192778,271,0
0.199722,274,0
0.201111,275,0
0.206944,276,0
0.211111,276,0
0.2125,277,0
0.213889,278,0
0.2225,279,0
0.223889,281,0
0.229444,281,0
0.230833,282,0
0.235,282,0
0.241944,285,0
0.243333,295,0
0.244722,302,0
0.247778,303,0
0.249167,306,0
0.251944,307,0
0.263333,309,0
0.264722,310,0
0.274444,314,0
0.275833,317,0
0.285556,318,0
0.286944,319,0
0.296944,319,0
0.298333,325,0
0.299722,326,0
0.301111,328,0
0.3025,329,0
0.308056,330,0
0.309444,333,0
0.310833,335,0
0.312222,337,0
0.315,341,0
0.316389,342,0
0.327778,342,0
0.330556,343,0
0.334722,343,0
0.345833,344,0
0.348611,345,0
0.352778,347,0
0.354444,348,0
0.355833,349,0
0.357222,350,0
0.365556,350,0
0.366944,351,0
0.369722,352,0
0.376667,355,0
0.386667,356,0
0.388056,357,0
0.395,357,0
0.402222,358,0
0.409167,358,0
0.414722,359,0
0.4175,362,0
0.418889,364,0
0.420278,365,0
0.421944,366,0
0.431667,366,0
0.433056,367,0
0.434444,368,0
0.435833,369,0
0.437222,369,0
0.440278,374,0
0.441667,376,0
0.443056,377,0
0.444444,378,0
0.445833,378,0
0.45,378,0
0.451389,379,0
0.458333,380,0
0.459722,380,0
0.461111,380,0
0.465278,380,0
0.468333,380,0
0.469722,381,0
0.471111,381,0
0.473889,382,0
0.478056,386,0
0.479444,387,0
0.481111,388,0
0.489444,388,0
0.490833,389,0
0.493611,389,0
0.496389,390,0
0.506111,391,0
0.5075,392,0
0.514444,394,0
0.523056,394,0
0.525833,394,0
0.527222,394,0
0.534167,395,0
0.542778,400,0
0.551111,401,0
0.5525,401,0
0.553889,402,0
0.555278,402,0
0.563889,402,0
0.572222,403,0
0.582222,404,0
0.590556,408,0
0.591944,410,0
0.593333,412,0
0.601944,415,0
0.613056,415,0
0.614444,416,0
0.622778,418,0
0.634167,419,0
0.635556,420,0
0.645556,421,0
0.646944,422,0
0.653889,424,0
0.660833,424,0
