unix_time,paths_total,unique_crashes
0,1,0
0.00138889,151,0
0.00277778,187,0
0.00416667,203,0
0.00555556,246,0
0.00694444,250,0
0.00833333,262,0
0.0125,283,0
0.0138889,293,0
0.0152778,335,0
0.0166667,355,0
0.0183333,369,0
0.0197222,379,0
0.0211111,388,0
0.0225,394,0
0.0238889,395,0
0.0252778,396,0
0.0266667,401,0
0.0294444,402,0
0.0363889,414,0
0.0380556,432,0
0.0394444,445,0
0.0408333,457,0
0.0422222,458,0
0.0436111,460,0
0.045,464,0
0.0505556,467,0
0.0519444,471,0
0.0533333,473,0
0.0547222,475,0
0.0563889,482,0
0.0577778,500,0
0.0591667,511,0
0.0605556,519,0
0.0619444,521,0
0.0747222,521,0
0.0761111,530,0
0.0775,531,0
0.0888889,536,0
0.0902778,539,0
0.0916667,541,0
0.0930556,543,0
0.100278,550,0
0.101667,551,0
0.103056,559,0
0.104444,565,0
0.105833,573,0
0.107222,575,0
0.108889,579,0
0.110278,579,0
0.113056,580,0
0.124167,582,0
0.125833,583,0
0.127222,584,0
0.135556,585,0
0.138333,588,0
0.139722,593,0
0.141111,600,0
0.1425,607,0
0.143889,610,0
0.145278,611,0
0.146944,612,0
0.156667,613,0
0.159444,613,0
0.173611,614,0
0.187778,615,0
0.189167,617,0
0.190556,618,0
0.193333,620,0
0.204722,622,0
0.209167,625,0
0.210556,628,0
0.211944,632,0
0.213333,636,0
0.214722,639,0
0.216111,640,0
0.218889,642,0
0.230278,644,0
0.244444,645,0
0.25,646,0
0.252778,648,0
0.258611,649,0
0.26,650,0
0.261389,651,0
0.262778,652,0
0.266944,652,0
0.268333,654,0
0.269722,656,0
0.271111,658,0
0.2725,661,0
0.281111,662,0
0.289444,663,0
0.293889,670,0
0.295278,678,0
0.296667,683,0
0.298056,699,0
0.299444,701,0
0.300833,703,0
0.312222,705,0
0.313611,706,0
0.315,707,0
0.316389,710,0
0.322222,711,0
0.323611,712,0
0.329444,717,0
0.330833,726,0
0.332222,732,0
0.333611,733,0
0.335,736,0
0.339167,737,0
0.340556,750,0
0.341944,757,0
0.343333,765,0
0.344722,775,0
0.346389,786,0
0.347778,798,0
0.349167,802,0
0.350556,812,0
0.351944,819,0
0.363333,820,0
0.364722,821,0
0.3775,821,0
0.393056,821,0
0.395833,822,0
0.398611,824,0
0.412778,825,0
0.414167,826,0
0.435556,828,0
0.439722,831,0
0.443889,836,0
0.452222,837,0
0.455278,837,0
0.456667,838,0
0.459444,839,0
0.476389,839,0
0.477778,842,0
0.479167,843,0
0.480556,845,0
0.491944,846,0
0.497778,848,0
