unix_time,paths_total,unique_crashes
0,1,0
0.00138889,157,0
0.00277778,199,0
0.00416667,206,0
0.00555556,214,0
0.0111111,228,0
0.0125,235,0
0.0141667,351,0
0.0155556,406,0
0.0169444,462,0
0.0183333,489,0
0.0197222,514,0
0.0211111,544,0
0.0225,559,0
0.0238889,560,0
0.0252778,561,0
0.0266667,562,0
0.0338889,563,0
0.0352778,577,0
0.0366667,607,0
0.0380556,653,0
0.0394444,682,0
0.0408333,710,0
0.0422222,730,0
0.0438889,731,0
0.0466667,732,0
0.0522222,733,0
0.0536111,734,0
0.0563889,773,0
0.0580556,801,0
0.0594444,828,0
0.0608333,849,0
0.0636111,854,0
0.065,863,0
0.0663889,866,0
0.0719444,867,0
0.0733333,871,0
0.0747222,888,0
0.0761111,898,0
0.0775,906,0
0.0788889,914,0
0.0833333,919,0
0.0847222,922,0
0.0861111,927,0
0.0875,928,0
0.0930556,938,0
0.0944444,973,0
0.0958333,995,0
0.0972222,1021,0
0.0986111,1045,0
0.1,1048,0
0.101389,1049,0
0.102778,1050,0
0.104167,1059,0
0.105833,1062,0
0.108611,1064,0
0.112778,1065,0
0.115556,1093,0
0.116944,1114,0
0.118333,1132,0
0.119722,1160,0
0.121111,1166,0
0.1225,1167,0
0.123889,1173,0
0.128333,1180,0
0.129722,1184,0
0.131111,1185,0
0.1325,1187,0
0.133889,1188,0
0.135278,1196,0
0.136667,1205,0
0.140833,1209,0
0.146667,1218,0
0.148056,1219,0
0.150833,1227,0
0.152222,1233,0
0.153611,1236,0
0.155,1242,0
0.158056,1242,0
0.159444,1246,0
0.162222,1248,0
0.167778,1253,0
0.169167,1261,0
0.170556,1266,0
0.171944,1269,0
0.173333,1271,0
0.175,1279,0
0.180556,1280,0
0.181944,1282,0
0.1875,1286,0
0.188889,1293,0
0.190278,1295,0
0.191944,1301,0
0.193333,1303,0
0.194722,1308,0
0.196111,1311,0
0.1975,1312,0
0.204444,1319,0
0.205833,1321,0
0.208889,1322,0
0.210278,1326,0
0.221389,1330,0
0.222778,1355,0
0.224167,1374,0
0.225833,1390,0
0.227222,1410,0
0.228611,1411,0
0.234167,1415,0
0.235556,1418,0
0.238611,1419,0
0.24,1420,0
0.241389,1427,0
