unix_time,paths_total,unique_crashes
0,1,0
0.00138889,138,0
0.00277778,176,0
0.00416667,194,0
0.00555556,228,0
0.00694444,234,0
0.0127778,252,0
0.0141667,264,0
0.0155556,302,0
0.0169444,336,0
0.0183333,359,0
0.0197222,371,0
0.0211111,383,0
0.0225,394,0
0.0238889,402,0
0.0252778,410,0
0.0266667,411,0
0.0308333,412,0
0.0322222,423,0
0.0338889,426,0
0.0436111,489,0
0.045,538,0
0.0463889,576,0
0.0477778,608,0
0.0494444,626,0
0.0508333,653,0
0.0522222,660,0
0.0536111,664,0
0.055,665,0
0.0563889,666,0
0.0605556,666,0
0.0619444,671,0
0.0633333,672,0
0.0647222,676,0
0.0661111,677,0
0.0675,681,0
0.0702778,683,0
0.0744444,684,0
0.0758333,695,0
0.0772222,707,0
0.0788889,713,0
0.0802778,724,0
0.0816667,731,0
0.0830556,740,0
0.0844444,746,0
0.0858333,747,0
0.0872222,750,0
0.09,754,0
0.0913889,755,0
0.0927778,756,0
0.0972222,764,0
0.0986111,765,0
0.1,767,0
0.101389,771,0
0.102778,773,0
0.105556,775,0
0.108333,780,0
0.109722,783,0
0.111111,784,0
0.112778,785,0
0.115556,786,0
0.118333,791,0
0.119722,795,0
0.121111,798,0
0.1225,802,0
0.123889,804,0
0.125278,821,0
0.128056,822,0
0.132222,823,0
0.133611,830,0
0.135,837,0
0.136667,842,0
0.142222,848,0
0.143611,857,0
0.145,858,0
0.146389,861,0
0.147778,862,0
0.150556,864,0
0.151944,883,0
0.153333,893,0
0.154722,901,0
0.156389,909,0
0.157778,915,0
0.159167,946,0
0.160556,950,0
0.161944,954,0
0.164722,956,0
0.166111,964,0
0.1675,994,0
0.168889,1012,0
0.170278,1024,0
0.171667,1030,0
0.173056,1033,0
0.174444,1043,0
0.175833,1046,0
0.177222,1048,0
0.181389,1053,0
0.182778,1060,0
0.184167,1065,0
0.185556,1072,0
0.186944,1095,0
0.188333,1104,0
0.19,1112,0
0.191389,1116,0
0.192778,1118,0
0.194167,1120,0
0.195556,1130,0
0.196944,1132,0
0.198333,1134,0
0.199722,1136,0
0.202778,1141,0
0.211111,1148,0
0.2125,1152,0
0.216667,1156,0
0.222222,1156,0
0.223611,1159,0
0.225,1160,0
0.229444,1161,0
0.230833,1163,0
0.232222,1164,0
0.233611,1165,0
0.239444,1166,0
0.240833,1170,0
0.242222,1171,0
0.245,1177,0
0.246389,1183,0
0.247778,1184,0
0.253333,1190,0
0.256111,1191,0
0.263333,1193,0
0.264722,1197,0
0.266111,1198,0
0.2675,1202,0
0.268889,1203,0
0.277222,1204,0
0.278611,1205,0
0.287222,1205,0
0.294167,1207,0
0.295556,1216,0
0.296944,1220,0
0.298333,1222,0
0.299722,1227,0
0.301389,1231,0
0.302778,1233,0
0.304167,1239,0
0.306944,1240,0
0.308333,1243,0
0.314167,1250,0
0.315556,1263,0
0.316944,1266,0
0.318333,1270,0
0.319722,1274,0
0.321111,1276,0
0.3225,1277,0
0.326667,1279,0
0.328056,1282,0
0.329444,1284,0
0.330833,1287,0
0.333889,1288,0
0.336667,1297,0
0.338056,1301,0
0.339444,1312,0
0.340833,1314,0
0.342222,1315,0
0.343611,1322,0
0.345,1325,0
0.346389,1332,0
0.348056,1335,0
0.349444,1341,0
0.350833,1344,0
0.352222,1346,0
0.353611,1349,0
0.355,1354,0
0.357778,1357,0
0.359167,1358,0
0.360556,1358,0
0.363333,1359,0
0.364722,1368,0
0.366111,1369,0
0.3675,1378,0
0.368889,1381,0
0.370278,1382,0
0.371667,1386,0
0.374444,1390,0
0.383056,1391,0
0.387222,1391,0
0.395833,1391,0
0.405556,1392,0
0.413889,1393,0
0.415556,1393,0
0.425278,1399,0
0.429722,1400,0
0.433889,1404,0
0.435278,1407,0
0.436667,1408,0
0.438056,1410,0
0.443611,1415,0
0.445,1419,0
0.446389,1423,0
0.447778,1428,0
0.449167,1431,0
0.450833,1439,0
0.453611,1440,0
0.456389,1442,0
0.457778,1444,0
0.459167,1458,0
0.460556,1463,0
0.461944,1470,0
0.463333,1476,0
0.464722,1479,0
0.466111,1482,0
0.467778,1488,0
0.469167,1495,0
0.470556,1502,0
0.473333,1509,0
0.474722,1511,0
0.4775,1514,0
0.485833,1515,0
0.487222,1555,0
0.488889,1596,0
0.490278,1620,0
0.491667,1638,0
0.493056,1652,0
0.494444,1667,0
0.495833,1677,0
0.497222,1681,0
0.502778,1681,0
0.504167,1684,0
0.505556,1685,0
0.506944,1686,0
0.51,1688,0
0.511389,1691,0
0.512778,1698,0
0.514167,1702,0
0.515556,1705,0
0.516944,1707,0
0.518333,1711,0
0.519722,1714,0
0.521111,1714,0
0.523889,1718,0
0.528056,1718,0
0.535278,1719,0
0.536667,1720,0
0.538056,1724,0
0.540833,1725,0
0.542222,1728,0
0.545,1729,0
0.546389,1730,0
0.547778,1732,0
0.550556,1733,0
0.551944,1735,0
0.553333,1738,0
0.554722,1740,0
0.556111,1741,0
0.5575,1742,0
0.559167,1745,0
0.560556,1745,0
0.563333,1746,0
0.5675,1746,0
0.568889,1747,0
0.570278,1749,0
0.571667,1750,0
0.580278,1750,0
0.588611,1752,0
0.59,1752,0
0.591389,1762,0
0.598333,1764,0
0.599722,1766,0
0.601111,1768,0
0.6025,1769,0
0.603889,1771,0
0.606944,1773,0
0.608333,1775,0
0.609722,1776,0
0.611111,1778,0
0.623611,1779,0
0.627778,1787,0
0.629444,1791,0
0.630833,1796,0
0.632222,1797,0
0.633611,1800,0
0.635,1802,0
0.636389,1810,0
0.654444,1815,0
0.655833,1819,0
0.657222,1824,0
0.658889,1826,0
0.660278,1828,0
0.661667,1832,0
0.679722,1835,0
0.681389,1842,0
0.682778,1849,0
0.684167,1850,0
0.685556,1854,0
0.686944,1859,0
0.705278,1860,0
0.706667,1866,0
0.708056,1870,0
0.709444,1876,0
0.710833,1878,0
0.712222,1884,0
0.719167,1885,0
0.727778,1886,0
0.736111,1886,0
0.7375,1887,0
0.743333,1888,0
0.744722,1889,0
0.751667,1894,0
0.753056,1897,0
0.754444,1899,0
0.755833,1902,0
0.758611,1903,0
0.76,1906,0
0.761389,1908,0
0.762778,1910,0
0.765833,1913,0
0.767222,1916,0
0.768611,1918,0
0.77,1922,0
0.772778,1924,0
0.774167,1925,0
0.775556,1926,0
0.776944,1931,0
0.778333,1932,0
0.782778,1933,0
0.785556,1940,0
0.786944,1943,0
0.788333,1947,0
0.789722,1950,0
0.791111,1955,0
0.793889,1955,0
0.812222,1957,0
0.813889,1959,0
0.816667,1961,0
0.818056,1963,0
0.820833,1964,0
0.822222,1965,0
0.840556,1966,0
0.841944,1966,0
0.851944,1967,0
0.860556,1969,0
0.861944,1973,0
0.863333,1974,0
0.864722,1979,0
0.866111,1980,0
0.8675,1982,0
0.868889,1987,0
0.870278,1990,0
0.887222,1991,0
0.888611,1993,0
0.89,1995,0
0.891389,1999,0
0.892778,2001,0
0.894167,2004,0
0.895833,2005,0
0.897222,2007,0
0.898611,2008,0
0.901389,2009,0
0.902778,2015,0
0.904167,2016,0
0.905556,2018,0
0.906944,2019,0
0.908333,2022,0
0.909722,2024,0
0.9125,2027,0
0.916944,2029,0
0.926667,2035,0
0.928056,2045,0
0.929444,2051,0
0.930833,2058,0
0.932222,2063,0
0.933611,2070,0
0.951944,2070,0
0.953333,2071,0
0.954722,2073,0
0.963333,2074,0
0.964722,2075,0
0.970278,2076,0
0.971944,2080,0
0.976111,2081,0
0.9775,2082,0
0.980278,2083,0
0.984444,2084,0
0.99,2085,0
0.992778,2088,0
0.994167,2089,0
1.00278,2095,0
1.00417,2098,0
1.00694,2099,0
1.00833,2100,0
1.01111,2101,0
1.0125,2102,0
1.01389,2105,0
1.01806,2105,0
1.02111,2106,0
1.03639,2107,0
1.03806,2110,0
1.04361,2111,0
1.045,2112,0
1.06333,2114,0
1.06472,2116,0
1.06639,2119,0
1.06917,2121,0
1.07056,2123,0
1.07194,2124,0
1.09167,2125,0
1.09306,2131,0
1.09444,2133,0
1.09583,2134,0
1.09722,2136,0
1.09861,2139,0
1.1,2140,0
1.10139,2145,0
1.10278,2147,0
1.11972,2149,0
1.12111,2152,0
1.1225,2154,0
1.12389,2156,0
1.12528,2158,0
1.12667,2159,0
1.145,2160,0
1.14778,2163,0
1.14917,2164,0
1.155,2165,0
1.16333,2166,0
1.16611,2167,0
1.1675,2175,0
1.16889,2178,0
1.17028,2180,0
1.17167,2181,0
1.17306,2183,0
1.17472,2186,0
1.17611,2188,0
1.1775,2189,0
1.17889,2190,0
1.19556,2193,0
1.19694,2195,0
1.19833,2197,0
1.19972,2199,0
1.20111,2200,0
1.20278,2202,0
1.20417,2203,0
1.20556,2204,0
1.2125,2205,0
1.225,2207,0
1.22639,2210,0
1.22778,2212,0
1.22944,2213,0
1.23083,2214,0
1.23222,2215,0
1.23361,2219,0
1.25333,2220,0
1.25472,2221,0
1.2575,2229,0
1.25889,2231,0
1.26028,2234,0
1.26306,2235,0
1.26444,2236,0
1.26583,2237,0
1.26722,2238,0
1.27306,2238,0
1.27444,2239,0
1.29417,2242,0
1.29694,2244,0
1.30389,2246,0
1.30972,2247,0
1.31389,2248,0
1.32222,2249,0
1.32361,2250,0
1.325,2252,0
1.32639,2254,0
1.32778,2257,0
1.32917,2260,0
1.335,2261,0
1.34472,2262,0
1.3475,2266,0
1.34917,2268,0
1.35056,2269,0
1.35194,2270,0
