unix_time,paths_total,unique_crashes
0,1,0
0.00138889,162,0
0.00277778,221,0
0.00416667,228,0
0.00555556,236,0
0.0111111,256,0
0.0125,311,0
0.0138889,447,0
0.0155556,513,0
0.0169444,550,0
0.0183333,586,0
0.0197222,598,0
0.0211111,644,0
0.0238889,645,0
0.0311111,651,0
0.0325,699,0
0.0338889,729,0
0.0352778,766,0
0.0366667,794,0
0.0380556,809,0
0.0394444,812,0
0.0422222,813,0
0.0491667,818,0
0.0505556,836,0
0.0519444,855,0
0.0533333,868,0
0.0547222,885,0
0.0563889,892,0
0.0605556,893,0
0.0675,896,0
0.0688889,910,0
0.0702778,928,0
0.0716667,939,0
0.0730556,944,0
0.0747222,946,0
0.0775,947,0
0.0858333,948,0
0.0872222,951,0
0.0886111,952,0
0.0969444,961,0
0.0983333,982,0
0.0997222,990,0
0.101111,995,0
0.113889,1003,0
0.115278,1011,0
0.116667,1019,0
0.118056,1020,0
0.129444,1021,0
0.130833,1021,0
0.142222,1021,0
0.143611,1023,0
0.146389,1024,0
0.155,1031,0
0.156389,1038,0
0.157778,1043,0
0.159167,1049,0
0.161944,1050,0
0.171944,1055,0
0.173333,1061,0
0.174722,1066,0
0.176111,1069,0
0.1775,1071,0
0.188611,1078,0
0.190278,1079,0
0.198611,1080,0
0.201667,1087,0
0.203056,1095,0
0.204444,1099,0
0.205833,1110,0
0.207222,1113,0
0.208611,1115,0
0.21,1116,0
0.215556,1121,0
0.216944,1122,0
0.218611,1131,0
0.22,1134,0
0.221389,1139,0
0.222778,1143,0
0.225556,1147,0
0.226944,1148,0
0.236944,1150,0
0.238333,1151,0
0.2425,1152,0
0.249444,1153,0
0.250833,1155,0
0.262222,1156,0
0.265,1157,0
0.274722,1164,0
0.276389,1172,0
0.279167,1173,0
0.286111,1175,0
0.2875,1183,0
0.288889,1187,0
0.290278,1190,0
0.291667,1192,0
0.293056,1193,0
0.294444,1194,0
0.304444,1196,0
0.305833,1206,0
0.307222,1212,0
0.308611,1218,0
0.31,1220,0
0.311389,1222,0
0.312778,1223,0
0.317222,1226,0
0.318611,1230,0
0.32,1231,0
0.321389,1237,0
0.322778,1239,0
0.325556,1240,0
0.331389,1242,0
0.332778,1244,0
0.334167,1248,0
0.335556,1254,0
0.336944,1255,0
0.338333,1258,0
0.348056,1259,0
0.349722,1259,0
0.360833,1260,0
0.362222,1264,0
0.366667,1265,0
0.373611,1266,0
0.375,1269,0
0.379167,1270,0
0.386389,1270,0
0.387778,1272,0
0.391944,1273,0
0.398889,1275,0
0.400278,1277,0
0.404444,1278,0
0.413056,1279,0
0.417222,1280,0
0.423056,1281,0
0.424444,1282,0
0.425833,1285,0
0.428611,1286,0
0.436944,1289,0
0.441389,1290,0
0.449722,1295,0
0.451111,1301,0
0.4525,1307,0
0.453889,1311,0
0.455556,1317,0
0.456944,1318,0
0.468056,1319,0
0.469444,1324,0
0.480833,1326,0
0.483611,1327,0
0.490556,1328,0
0.493611,1331,0
0.495,1338,0
0.496389,1343,0
0.497778,1345,0
0.499167,1346,0
0.5075,1355,0
0.508889,1361,0
0.510278,1369,0
0.511944,1374,0
0.513333,1376,0
0.514722,1377,0
0.523056,1378,0
0.525833,1387,0
0.527222,1393,0
0.528611,1399,0
0.530278,1400,0
0.531667,1401,0
0.542778,1401,0
0.554167,1402,0
0.555556,1402,0
0.558333,1403,0
0.566667,1408,0
0.568056,1418,0
0.569444,1426,0
0.570833,1427,0
0.578056,1428,0
0.579444,1432,0
0.580833,1433,0
0.593333,1439,0
0.596111,1440,0
0.603333,1441,0
0.606111,1442,0
0.6175,1442,0
0.618889,1443,0
0.6275,1443,0
0.64,1444,0
0.643056,1444,0
0.644444,1445,0
0.647222,1445,0
0.659722,1447,0
0.671111,1449,0
0.6725,1451,0
0.675278,1452,0
0.683611,1452,0
0.688056,1453,0
0.696389,1453,0
0.697778,1453,0
0.701944,1453,0
0.704722,1453,0
0.706111,1453,0
0.7075,1454,0
0.709167,1454,0
0.714722,1455,0
0.7175,1455,0
0.718889,1458,0
0.720278,1463,0
0.721667,1469,0
0.723056,1473,0
0.724444,1478,0
0.725833,1481,0
0.727222,1482,0
0.728611,1489,0
0.73,1491,0
0.731667,1491,0
0.733056,1491,0
0.734444,1491,0
0.737222,1491,0
0.738611,1491,0
0.74,1492,0
0.741389,1492,0
0.742778,1493,0
0.752778,1493,0
0.754167,1494,0
0.755556,1496,0
0.756944,1499,0
0.758333,1500,0
0.761111,1500,0
0.765556,1502,0
0.768333,1503,0
0.773889,1505,0
0.775278,1506,0
0.776667,1508,0
0.778056,1511,0
0.783611,1513,0
0.786389,1514,0
0.787778,1514,0
0.789167,1514,0
0.798889,1518,0
0.800278,1520,0
0.801944,1523,0
0.803333,1527,0
0.804722,1532,0
0.806111,1536,0
0.8075,1536,0
0.810278,1537,0
0.814444,1537,0
0.817222,1537,0
0.818611,1541,0
0.821389,1541,0
0.824444,1541,0
0.827222,1541,0
0.828611,1542,0
0.836944,1543,0
0.838333,1543,0
0.841389,1544,0
0.845556,1550,0
0.846944,1550,0
0.848333,1555,0
0.849722,1555,0
0.851111,1555,0
0.856667,1556,0
0.859722,1556,0
0.869444,1556,0
0.870833,1556,0
0.872222,1556,0
0.876389,1556,0
0.879167,1556,0
0.880556,1557,0
0.882222,1558,0
0.883611,1558,0
0.885,1558,0
0.886389,1558,0
0.887778,1560,0
0.889167,1561,0
0.890556,1561,0
0.891944,1562,0
0.893333,1562,0
0.894722,1562,0
0.898889,1562,0
0.900556,1562,0
0.903333,1563,0
0.904722,1564,0
0.911667,1565,0
0.914444,1565,0
0.9175,1566,0
0.918889,1568,0
0.921667,1570,0
0.923056,1570,0
0.925833,1570,0
0.928611,1571,0
0.931389,1571,0
0.934167,1571,0
0.935556,1571,0
0.938611,1571,0
0.941389,1571,0
0.944167,1571,0
0.945556,1571,0
0.946944,1572,0
0.948333,1573,0
0.949722,1573,0
0.951111,1574,0
0.959722,1575,0
0.961111,1576,0
0.9625,1577,0
0.963889,1578,0
0.966667,1579,0
0.968056,1579,0
0.970833,1579,0
0.972222,1580,0
0.973611,1582,0
0.977778,1583,0
0.979167,1584,0
0.982222,1584,0
0.986389,1584,0
0.987778,1585,0
0.990556,1585,0
0.991944,1585,0
0.995,1585,0
0.996389,1585,0
0.997778,1586,0
1.00472,1587,0
1.00611,1590,0
1.01056,1591,0
1.01889,1592,0
1.02167,1592,0
1.02472,1592,0
1.02611,1593,0
1.02889,1593,0
1.03167,1600,0
1.03306,1605,0
1.03444,1608,0
1.03583,1611,0
1.04167,1612,0
1.04444,1612,0
1.04583,1612,0
1.04861,1612,0
1.05,1612,0
1.05417,1612,0
1.05694,1612,0
1.05861,1612,0
1.06278,1612,0
1.06556,1612,0
1.06833,1613,0
1.06972,1614,0
1.0725,1615,0
1.07972,1616,0
1.08111,1616,0
1.0825,1616,0
1.08389,1616,0
1.08694,1616,0
1.09111,1619,0
1.0925,1624,0
1.09389,1626,0
1.10222,1627,0
1.10361,1628,0
1.11361,1630,0
1.115,1630,0
1.12333,1630,0
1.12472,1638,0
1.12611,1642,0
1.1275,1645,0
1.13333,1653,0
1.13472,1661,0
1.13611,1664,0
1.1375,1666,0
1.13889,1669,0
1.14028,1671,0
1.14167,1673,0
1.14306,1674,0
1.15167,1674,0
1.15444,1674,0
1.15583,1674,0
1.15722,1675,0
1.16,1676,0
1.16583,1677,0
1.16722,1678,0
1.16861,1678,0
1.17139,1679,0
1.17306,1679,0
1.18139,1679,0
1.18417,1679,0
1.18556,1680,0
1.18722,1681,0
1.19139,1681,0
1.19417,1681,0
1.19694,1681,0
1.20111,1681,0
1.20417,1681,0
1.20556,1681,0
1.21111,1681,0
1.2125,1681,0
1.21389,1681,0
1.21667,1681,0
1.21806,1681,0
1.22111,1681,0
1.2225,1681,0
1.22528,1681,0
1.22667,1685,0
1.22806,1687,0
1.22944,1698,0
1.23083,1699,0
1.23944,1701,0
1.24361,1702,0
1.25194,1710,0
1.25333,1720,0
1.25472,1741,0
1.26194,1742,0
1.26472,1743,0
1.26611,1745,0
1.27028,1746,0
1.27889,1746,0
1.28306,1747,0
1.29139,1748,0
1.30417,1748,0
1.31694,1748,0
1.32944,1748,0
1.34222,1748,0
1.35472,1749,0
1.3675,1749,0
1.38,1749,0
1.3925,1749,0
1.39389,1750,0
1.39694,1751,0
1.40528,1751,0
1.41944,1751,0
1.42361,1752,0
1.43222,1755,0
1.43639,1756,0
1.44472,1756,0
1.4575,1756,0
1.47028,1757,0
1.47444,1758,0
1.48306,1758,0
1.48722,1759,0
1.49556,1759,0
1.50833,1760,0
1.52083,1760,0
1.53361,1760,0
1.53639,1765,0
1.53778,1768,0
1.53917,1770,0
1.54056,1774,0
1.54639,1774,0
1.54917,1777,0
1.55194,1777,0
1.55611,1777,0
1.55917,1778,0
1.56056,1778,0
1.56611,1778,0
1.5675,1778,0
1.57028,1778,0
1.57167,1778,0
1.57333,1781,0
1.57472,1788,0
1.57611,1791,0
1.5775,1792,0
1.58444,1793,0
1.58583,1797,0
1.58722,1801,0
1.59306,1802,0
1.59444,1802,0
1.59722,1802,0
1.59861,1802,0
1.60139,1802,0
1.60278,1802,0
1.60417,1803,0
1.60833,1804,0
1.61,1805,0
1.61139,1805,0
1.61278,1806,0
1.61417,1808,0
1.61556,1810,0
1.6225,1811,0
1.62528,1811,0
1.62667,1811,0
1.63083,1811,0
1.6325,1811,0
1.63528,1811,0
1.63806,1811,0
1.64222,1811,0
1.64389,1811,0
1.64667,1811,0
1.64944,1811,0
1.65222,1811,0
1.655,1811,0
1.65778,1811,0
1.65917,1812,0
1.66056,1813,0
1.66333,1813,0
1.66472,1813,0
1.6675,1813,0
1.66889,1815,0
1.67194,1817,0
1.67611,1819,0
1.6775,1821,0
1.68028,1821,0
1.68306,1821,0
1.68444,1821,0
1.6875,1821,0
1.68889,1821,0
1.69167,1821,0
1.69306,1821,0
1.69444,1821,0
1.69722,1821,0
1.69889,1822,0
1.70722,1822,0
1.71,1822,0
1.71167,1822,0
1.71444,1823,0
1.71583,1824,0
1.71722,1824,0
1.71861,1826,0
1.72139,1828,0
1.72278,1829,0
1.72556,1829,0
1.72694,1829,0
1.72972,1830,0
1.73139,1831,0
1.73556,1831,0
