unix_time,paths_total,unique_crashes
0,1,0
0.00138889,116,0
0.00277778,137,0
0.00416667,150,0
0.00583333,176,0
0.00722222,187,0
0.00861111,193,0
0.01,205,0
0.0113889,207,0
0.0127778,211,0
0.0141667,225,0
0.0155556,227,0
0.0169444,228,0
0.0197222,229,0
0.0211111,237,0
0.0241667,249,0
0.0255556,256,0
0.0269444,259,0
0.0283333,262,0
0.0297222,270,0
0.0311111,271,0
0.0338889,283,0
0.0352778,290,0
0.0366667,294,0
0.0380556,295,0
0.0408333,296,0
0.0422222,302,0
0.0436111,309,0
0.045,314,0
0.0463889,320,0
0.0491667,335,0
0.0505556,349,0
0.0519444,353,0
0.0533333,359,0
0.0561111,366,0
0.0577778,373,0
0.0591667,374,0
0.0605556,390,0
0.0619444,397,0
0.0633333,404,0
0.0647222,407,0
0.0661111,408,0
0.0675,413,0
0.0688889,414,0
0.0716667,416,0
0.0730556,422,0
0.0758333,423,0
0.0772222,429,0
0.0786111,431,0
0.0802778,435,0
0.0816667,439,0
0.0844444,441,0
0.0858333,456,0
0.0872222,462,0
0.0886111,470,0
0.09,475,0
0.0913889,482,0
0.0927778,491,0
0.0941667,492,0
0.0955556,493,0
0.0969444,501,0
0.0983333,509,0
0.0997222,510,0
0.101111,513,0
0.104167,515,0
0.106944,525,0
0.108333,534,0
0.109722,537,0
0.111111,539,0
0.1125,542,0
0.113889,543,0
0.115278,547,0
0.116667,548,0
0.118056,550,0
0.119444,551,0
0.122222,556,0
0.123889,557,0
0.125278,560,0
0.126667,562,0
0.129444,568,0
0.132222,572,0
0.133611,575,0
0.135,576,0
0.137778,579,0
0.139167,579,0
0.141944,580,0
0.144722,586,0
0.146389,592,0
0.147778,597,0
0.149167,602,0
0.150556,606,0
0.151944,614,0
0.153333,628,0
0.154722,645,0
0.156111,656,0
0.1575,678,0
0.158889,682,0
0.160278,725,0
0.161667,749,0
0.163056,760,0
0.164444,764,0
0.165833,795,0
0.1675,808,0
0.168889,812,0
0.170278,824,0
0.173056,826,0
0.174444,839,0
0.175833,840,0
0.177222,861,0
0.178611,872,0
0.18,876,0
0.181389,879,0
0.184167,879,0
0.188333,881,0
0.189722,885,0
0.191111,899,0
0.1925,903,0
0.193889,909,0
0.195278,910,0
0.196667,916,0
0.198333,918,0
0.199722,925,0
0.201111,935,0
0.2025,945,0
0.203889,947,0
0.205278,948,0
0.209444,949,0
0.210833,950,0
0.212222,952,0
0.215,953,0
0.216667,956,0
0.218056,958,0
0.219444,958,0
0.222222,960,0
0.223611,961,0
0.226389,964,0
0.229167,965,0
0.230556,966,0
0.233333,967,0
0.236111,970,0
0.240556,974,0
0.243333,975,0
0.246111,979,0
0.2475,985,0
0.248889,986,0
0.250278,987,0
0.251667,989,0
0.254444,991,0
0.255833,996,0
0.257222,1003,0
0.258611,1006,0
0.26,1013,0
0.261389,1018,0
0.262778,1060,0
0.264167,1072,0
0.265556,1077,0
0.266944,1084,0
0.268333,1091,0
0.269722,1097,0
0.271111,1098,0
0.272778,1102,0
0.275556,1110,0
0.276944,1114,0
0.278333,1115,0
0.279722,1117,0
0.281111,1121,0
0.2825,1124,0
0.283889,1126,0
0.285278,1129,0
0.286667,1132,0
0.289722,1133,0
0.291111,1140,0
0.2925,1141,0
0.293889,1152,0
0.295278,1157,0
0.296667,1161,0
0.298056,1163,0
0.299444,1166,0
0.302222,1168,0
0.303611,1186,0
0.305,1189,0
0.306389,1209,0
0.307778,1220,0
0.309167,1222,0
0.310556,1224,0
0.311944,1231,0
0.313333,1232,0
0.314722,1237,0
0.316111,1244,0
0.3175,1248,0
0.319167,1249,0
0.320556,1254,0
0.323333,1258,0
0.324722,1259,0
0.3275,1259,0
0.330278,1259,0
0.331667,1263,0
0.333056,1267,0
0.334444,1274,0
0.335833,1277,0
0.337222,1282,0
0.338889,1288,0
0.341667,1301,0
0.344444,1310,0
0.345833,1317,0
0.347222,1323,0
0.348611,1325,0
0.35,1328,0
0.353056,1330,0
0.354444,1331,0
0.357222,1333,0
0.358611,1338,0
0.36,1339,0
0.362778,1339,0
0.364167,1341,0
0.365556,1346,0
0.369722,1347,0
0.3725,1351,0
0.373889,1355,0
0.378333,1364,0
0.381111,1367,0
0.3825,1370,0
0.385278,1371,0
0.386667,1374,0
0.388056,1376,0
0.389444,1381,0
0.392222,1382,0
0.393611,1383,0
0.395,1387,0
0.396667,1388,0
0.399444,1394,0
0.400833,1395,0
0.402222,1396,0
0.405,1397,0
0.406389,1398,0
0.409167,1400,0
0.413333,1403,0
0.416111,1405,0
0.4175,1407,0
0.420278,1410,0
0.421944,1414,0
0.423333,1415,0
0.424722,1417,0
0.4275,1419,0
0.430278,1421,0
0.431667,1423,0
0.433056,1424,0
0.434444,1428,0
0.437222,1430,0
0.44,1440,0
0.441389,1445,0
0.444167,1446,0
0.445833,1450,0
0.448611,1454,0
0.45,1457,0
0.452778,1461,0
0.456944,1464,0
0.459722,1471,0
0.4625,1471,0
0.463889,1472,0
0.466667,1478,0
0.470833,1488,0
0.472222,1489,0
0.473611,1496,0
0.475,1498,0
0.476667,1500,0
0.478056,1502,0
0.479444,1504,0
0.482222,1504,0
0.483611,1505,0
0.485,1513,0
0.486389,1524,0
0.487778,1540,0
0.489167,1556,0
0.490556,1568,0
0.491944,1570,0
0.494722,1572,0
0.4975,1573,0
0.501944,1580,0
0.504722,1580,0
0.508889,1586,0
0.510278,1596,0
0.511667,1603,0
0.513056,1609,0
0.514444,1612,0
0.515833,1616,0
0.517222,1617,0
0.518611,1619,0
0.521389,1620,0
0.522778,1623,0
0.524167,1624,0
0.525556,1626,0
0.527222,1630,0
0.528611,1632,0
0.53,1634,0
0.532778,1636,0
0.535556,1637,0
0.536944,1645,0
0.538333,1646,0
0.539722,1647,0
0.541111,1647,0
0.543889,1648,0
0.546667,1650,0
0.548056,1657,0
0.549722,1659,0
0.551111,1660,0
0.5525,1666,0
0.553889,1666,0
0.555278,1669,0
0.556667,1669,0
0.559444,1689,0
0.560833,1721,0
0.562222,1737,0
0.563611,1751,0
0.565,1755,0
0.566389,1766,0
0.567778,1772,0
0.569167,1776,0
0.573611,1776,0
0.577778,1776,0
0.579167,1777,0
0.580556,1781,0
0.581944,1782,0
0.583333,1785,0
0.584722,1787,0
0.586111,1788,0
0.588889,1790,0
