unix_time,paths_total,unique_crashes
0,1,0
0.00138889,111,0
0.00305556,140,0
0.00444444,150,0
0.00583333,178,0
0.00722222,188,0
0.00861111,195,0
0.01,201,0
0.0113889,207,0
0.0141667,208,0
0.0155556,209,0
0.0172222,210,0
0.0186111,218,0
0.02,224,0
0.0213889,228,0
0.0227778,228,0
0.0255556,231,0
0.0269444,236,0
0.0283333,241,0
0.0297222,248,0
0.0311111,261,0
0.0325,268,0
0.0338889,272,0
0.0352778,273,0
0.0380556,273,0
0.0425,290,0
0.0438889,291,0
0.0452778,292,0
0.0466667,295,0
0.0494444,304,0
0.0508333,307,0
0.0522222,308,0
0.0536111,309,0
0.0566667,315,0
0.0580556,322,0
0.0594444,323,0
0.0608333,325,0
0.0636111,328,0
0.065,334,0
0.0677778,339,0
0.0691667,340,0
0.0719444,343,0
0.0747222,347,0
0.0775,348,0
0.0791667,350,0
0.0819444,351,0
0.0833333,357,0
0.0861111,359,0
0.0875,360,0
0.0902778,361,0
0.0944444,365,0
0.0958333,369,0
0.0972222,371,0
0.0986111,372,0
0.1,375,0
0.101667,377,0
0.103056,380,0
0.104444,383,0
0.105833,397,0
0.108611,401,0
0.11,405,0
0.112778,406,0
0.116944,420,0
0.118333,425,0
0.12,426,0
0.122778,427,0
0.124167,430,0
0.125556,431,0
0.126944,431,0
0.129722,431,0
0.131111,432,0
0.133889,436,0
0.135278,437,0
0.138056,445,0
0.139444,446,0
0.140833,446,0
0.1425,448,0
0.143889,449,0
0.145278,450,0
0.149444,452,0
0.150833,457,0
0.152222,458,0
0.153611,467,0
0.155,471,0
0.157778,473,0
0.160556,476,0
0.161944,482,0
0.163333,484,0
0.164722,495,0
0.166111,505,0
0.167778,509,0
0.169167,519,0
0.170556,523,0
0.171944,529,0
0.173333,529,0
0.176111,530,0
0.1775,533,0
0.180278,538,0
0.181667,545,0
0.183056,546,0
0.184444,559,0
0.185833,562,0
0.187222,563,0
0.188611,563,0
0.19,564,0
0.192778,572,0
0.194167,574,0
0.195833,576,0
0.197222,580,0
0.198611,581,0
0.2,582,0
0.201389,583,0
0.202778,584,0
0.205556,587,0
0.206944,588,0
0.209722,590,0
0.213889,591,0
0.216667,593,0
0.218056,596,0
0.219722,600,0
0.221111,601,0
0.2225,603,0
0.225278,605,0
0.226667,606,0
0.228056,608,0
0.229444,610,0
0.230833,613,0
0.233611,613,0
0.236389,614,0
0.238056,617,0
0.240833,625,0
0.242222,658,0
0.243611,661,0
0.245,675,0
0.246389,690,0
0.247778,701,0
0.249167,712,0
0.250556,715,0
0.253333,715,0
0.257778,716,0
0.261944,718,0
0.264722,720,0
0.266111,735,0
0.2675,737,0
0.270278,737,0
0.274722,738,0
0.276111,739,0
0.278889,739,0
0.280278,741,0
0.281667,742,0
0.283056,743,0
0.284444,747,0
0.285833,748,0
0.29,750,0
0.291667,751,0
0.293056,751,0
0.297222,752,0
0.3,753,0
0.301389,754,0
0.302778,757,0
0.304167,761,0
0.306944,767,0
0.308333,772,0
0.309722,775,0
0.311111,783,0
0.3125,787,0
0.313889,788,0
0.315278,797,0
0.316944,803,0
0.321111,815,0
0.323889,816,0
0.325278,827,0
0.328056,828,0
0.332222,832,0
0.336389,832,0
0.337778,835,0
0.339167,835,0
0.342222,837,0
0.346389,838,0
0.350556,840,0
0.354722,845,0
0.356111,849,0
0.358889,852,0
0.360278,855,0
0.361667,855,0
0.364444,856,0
0.366111,858,0
0.3675,859,0
0.368889,859,0
0.370278,861,0
0.373056,864,0
0.374444,865,0
0.375833,865,0
0.378611,869,0
0.38,870,0
0.383056,872,0
0.384444,873,0
0.387222,874,0
0.391389,877,0
0.392778,879,0
0.395556,891,0
0.398333,893,0
0.4,894,0
0.402778,895,0
0.404167,899,0
0.405556,902,0
0.406944,908,0
0.408333,910,0
0.4125,917,0
0.413889,921,0
0.415278,927,0
0.416667,933,0
0.418056,936,0
0.419444,938,0
0.423889,938,0
0.426667,940,0
0.428056,949,0
0.430833,955,0
0.432222,956,0
0.433611,958,0
0.435,966,0
0.436389,976,0
0.437778,979,0
0.439167,982,0
0.440556,983,0
0.443611,989,0
0.445,992,0
0.446389,1009,0
0.447778,1014,0
0.449167,1019,0
0.451944,1022,0
0.453333,1023,0
0.454722,1024,0
0.4575,1028,0
0.460278,1030,0
0.461667,1030,0
0.466111,1030,0
0.470278,1032,0
0.471667,1033,0
0.473056,1034,0
0.474444,1035,0
0.477222,1036,0
0.481667,1039,0
0.483056,1041,0
0.484444,1047,0
0.485833,1053,0
0.487222,1054,0
0.488611,1057,0
0.49,1063,0
0.491389,1064,0
0.492778,1065,0
0.494167,1068,0
0.495556,1068,0
0.499722,1070,0
0.502778,1070,0
0.504167,1073,0
0.506944,1089,0
0.508333,1095,0
0.509722,1096,0
0.511111,1098,0
0.515278,1103,0
0.516667,1105,0
0.518056,1106,0
0.519444,1106,0
0.523611,1107,0
0.525,1127,0
0.528056,1152,0
0.529444,1172,0
0.530833,1184,0
0.532222,1195,0
0.533611,1195,0
0.536389,1199,0
0.540556,1201,0
0.544722,1203,0
0.5475,1203,0
0.551667,1204,0
0.555833,1204,0
0.56,1207,0
0.561389,1208,0
0.564167,1259,0
0.565833,1266,0
0.567222,1270,0
0.568611,1280,0
0.57,1290,0
0.571389,1295,0
0.572778,1295,0
0.574167,1296,0
0.576944,1298,0
0.581111,1302,0
0.5825,1303,0
0.585556,1304,0
0.588333,1305,0
0.589722,1316,0
0.5925,1317,0
0.596667,1319,0
0.598056,1319,0
0.600833,1320,0
0.602222,1320,0
0.605,1320,0
0.609167,1321,0
0.613333,1323,0
0.616111,1331,0
0.617778,1334,0
0.621944,1335,0
0.624722,1336,0
0.626111,1337,0
0.628889,1339,0
0.630278,1339,0
0.634444,1344,0
0.638889,1345,0
0.640278,1349,0
0.641667,1351,0
0.644444,1352,0
0.645833,1352,0
0.648611,1352,0
0.652778,1353,0
0.654167,1354,0
0.658333,1355,0
0.662778,1357,0
0.665556,1358,0
0.666944,1360,0
0.669722,1362,0
0.671111,1363,0
0.6725,1363,0
0.676944,1367,0
0.678333,1368,0
0.679722,1370,0
0.681111,1373,0
0.683889,1376,0
0.685278,1382,0
0.688056,1382,0
0.689444,1383,0
0.692222,1383,0
0.693611,1384,0
0.698056,1400,0
0.699444,1404,0
0.700833,1408,0
0.702222,1409,0
0.706389,1413,0
0.707778,1416,0
0.709167,1418,0
0.710556,1420,0
0.711944,1427,0
0.713333,1441,0
0.714722,1442,0
0.716389,1446,0
0.717778,1448,0
0.719167,1473,0
0.720556,1477,0
0.721944,1481,0
0.723333,1486,0
0.724722,1489,0
0.726111,1494,0
0.7275,1495,0
0.729167,1496,0
0.731944,1496,0
0.734722,1500,0
0.736111,1506,0
0.7375,1506,0
0.738889,1507,0
0.740278,1507,0
0.743056,1507,0
0.744444,1508,0
0.747222,1509,0
0.748611,1509,0
0.752778,1516,0
0.755833,1525,0
0.757222,1526,0
0.758611,1530,0
0.761389,1530,0
0.765556,1537,0
0.766944,1538,0
0.768333,1539,0
0.769722,1539,0
0.7725,1539,0
0.776667,1539,0
0.778056,1540,0
0.781111,1540,0
0.785278,1542,0
0.788056,1543,0
0.789444,1543,0
0.793611,1545,0
0.796389,1546,0
0.797778,1548,0
0.799167,1548,0
0.800556,1553,0
0.804722,1553,0
0.806111,1555,0
0.8075,1557,0
0.808889,1559,0
0.810278,1559,0
0.811944,1559,0
0.814722,1561,0
0.816111,1563,0
0.818889,1563,0
0.820278,1566,0
0.821667,1567,0
0.825833,1569,0
0.828611,1572,0
0.83,1573,0
0.831389,1577,0
0.834167,1580,0
0.835556,1581,0
0.838611,1584,0
0.84,1585,0
0.842778,1586,0
0.844167,1587,0
0.845556,1590,0
0.846944,1592,0
0.848333,1600,0
0.849722,1601,0
0.851111,1603,0
0.8525,1610,0
0.853889,1611,0
0.855278,1611,0
0.856667,1614,0
0.858056,1617,0
0.859444,1619,0
0.860833,1620,0
0.863889,1620,0
0.868056,1626,0
0.872222,1626,0
0.876389,1630,0
0.879167,1631,0
0.880556,1634,0
0.881944,1636,0
0.883333,1637,0
0.886111,1642,0
0.8875,1643,0
0.889167,1644,0
0.890556,1645,0
0.891944,1645,0
0.896111,1646,0
0.8975,1647,0
0.900278,1647,0
0.906111,1648,0
0.908889,1649,0
0.910278,1653,0
0.914444,1659,0
0.918611,1660,0
0.922778,1662,0
0.924444,1663,0
0.925833,1666,0
0.93,1666,0
0.934167,1667,0
0.936944,1669,0
0.938333,1670,0
0.941389,1673,0
0.942778,1674,0
0.945556,1675,0
0.949722,1676,0
0.953889,1676,0
0.958056,1676,0
0.959444,1678,0
0.962222,1679,0
0.963611,1680,0
0.966389,1680,0
0.970833,1680,0
0.973611,1682,0
0.975,1683,0
0.977778,1684,0
0.979167,1688,0
0.981944,1693,0
0.983333,1698,0
0.984722,1699,0
0.986111,1700,0
0.990278,1720,0
0.993056,1722,0
0.9975,1723,0
1.00167,1726,0
1.00583,1732,0
1.01,1732,0
1.01417,1737,0
1.01556,1738,0
1.01861,1739,0
1.02139,1746,0
1.02278,1748,0
1.02417,1748,0
1.02694,1748,0
1.02833,1749,0
1.03111,1749,0
1.0325,1758,0
1.03556,1761,0
1.03694,1766,0
1.03972,1767,0
1.04389,1769,0
1.04528,1770,0
1.04667,1774,0
1.04833,1778,0
1.0525,1782,0
1.05389,1783,0
1.05528,1785,0
1.05667,1786,0
1.06083,1787,0
1.065,1790,0
1.06639,1795,0
1.06778,1798,0
1.06917,1801,0
1.07056,1803,0
1.07194,1805,0
1.07333,1805,0
1.0775,1805,0
1.07889,1806,0
1.08028,1808,0
1.08194,1809,0
1.08333,1809,0
1.08611,1809,0
1.09028,1809,0
1.09444,1809,0
1.09722,1810,0
1.09861,1810,0
1.10139,1810,0
1.10556,1810,0
1.11,1813,0
1.11139,1815,0
1.11417,1816,0
1.11833,1816,0
1.12111,1816,0
1.12528,1817,0
1.12944,1819,0
1.13111,1821,0
1.1325,1824,0
1.13389,1824,0
1.13667,1825,0
1.13806,1825,0
1.14222,1825,0
1.14639,1826,0
1.15056,1826,0
1.15472,1826,0
1.15611,1827,0
1.15917,1828,0
1.16056,1829,0
1.16333,1829,0
1.1675,1833,0
1.17028,1833,0
1.17444,1835,0
1.17583,1836,0
1.17722,1837,0
1.17861,1839,0
1.18139,1839,0
1.18583,1841,0
1.18722,1842,0
1.18861,1843,0
1.19,1847,0
1.19139,1849,0
1.19417,1850,0
1.19556,1850,0
1.19972,1850,0
1.2025,1851,0
1.20389,1851,0
1.20528,1852,0
1.20972,1859,0
1.21111,1861,0
1.2125,1862,0
1.21389,1869,0
1.21667,1871,0
1.21944,1881,0
1.22389,1884,0
1.22528,1887,0
1.22667,1888,0
1.22806,1899,0
1.22944,1900,0
1.23222,1904,0
1.23639,1904,0
1.24056,1917,0
1.24472,1918,0
1.24917,1920,0
1.25194,1921,0
1.25333,1921,0
1.25611,1921,0
1.25889,1921,0
1.26167,1921,0
1.26472,1921,0
1.26889,1921,0
1.27028,1926,0
1.27167,1926,0
1.27583,1927,0
1.27861,1934,0
1.28,1935,0
1.28167,1937,0
1.28583,1940,0
1.28722,1944,0
1.28861,1947,0
1.29,1954,0
1.29139,1965,0
1.29278,1987,0
1.29556,1991,0
1.29833,1993,0
1.29972,1998,0
1.3025,1998,0
1.30417,1998,0
1.30694,1999,0
1.30972,1999,0
1.3125,2000,0
1.31389,2004,0
1.31667,2008,0
1.31944,2012,0
1.32083,2017,0
1.32361,2020,0
1.325,2020,0
1.32944,2020,0
1.33222,2024,0
1.33361,2028,0
1.335,2032,0
1.33639,2035,0
1.33778,2038,0
1.33917,2064,0
1.34056,2072,0
1.34194,2073,0
1.34333,2075,0
1.34472,2075,0
1.34639,2076,0
1.34917,2078,0
1.35056,2081,0
1.35194,2082,0
1.35333,2092,0
1.35611,2094,0
1.3575,2094,0
1.36194,2094,0
1.36611,2094,0
1.3675,2094,0
1.37167,2098,0
1.37583,2099,0
1.38,2100,0
1.38139,2102,0
1.38417,2103,0
1.38556,2104,0
1.38972,2107,0
1.3925,2108,0
1.39389,2111,0
1.39556,2114,0
1.39833,2115,0
1.39972,2117,0
1.4025,2119,0
1.40389,2119,0
1.40667,2120,0
1.41083,2120,0
1.4125,2127,0
1.41528,2128,0
1.41667,2128,0
1.42083,2128,0
1.425,2128,0
1.42917,2128,0
1.43083,2129,0
1.43361,2130,0
1.435,2132,0
1.43917,2134,0
1.44333,2138,0
1.44472,2139,0
1.44611,2141,0
1.4475,2141,0
1.44889,2142,0
1.45167,2153,0
1.45306,2154,0
1.45444,2155,0
1.45889,2155,0
1.46306,2156,0
1.46722,2158,0
1.47139,2162,0
1.47278,2167,0
1.47417,2168,0
1.47583,2169,0
1.48,2170,0
1.48278,2173,0
1.48417,2174,0
1.48833,2176,0
1.48972,2178,0
1.4925,2178,0
1.49694,2179,0
1.50111,2179,0
1.50528,2179,0
1.50944,2179,0
1.51361,2179,0
1.51778,2179,0
1.52361,2181,0
1.52778,2183,0
1.53194,2183,0
1.53639,2184,0
1.54194,2189,0
1.54472,2189,0
1.5475,2190,0
1.54889,2191,0
1.55028,2193,0
1.55167,2194,0
1.55444,2195,0
1.55889,2195,0
1.56306,2196,0
1.56722,2197,0
1.56861,2197,0
1.57278,2197,0
1.57694,2198,0
1.58111,2198,0
1.58417,2202,0
1.58556,2207,0
1.58694,2208,0
1.58972,2208,0
1.59389,2208,0
1.59528,2209,0
1.59667,2210,0
1.59944,2211,0
1.60389,2212,0
1.60806,2215,0
1.60944,2217,0
1.61083,2218,0
1.61222,2220,0
1.61361,2223,0
1.61639,2225,0
1.62056,2225,0
1.62472,2228,0
1.62917,2231,0
1.63333,2233,0
1.6375,2243,0
1.64028,2244,0
1.64167,2253,0
1.64444,2256,0
1.64583,2256,0
1.65,2265,0
1.65444,2266,0
1.65861,2267,0
1.66278,2267,0
1.66722,2267,0
1.67139,2274,0
1.67278,2280,0
1.67417,2299,0
1.67556,2308,0
1.67694,2314,0
1.67833,2318,0
1.67972,2326,0
1.68111,2332,0
1.6825,2350,0
1.68389,2365,0
1.68556,2369,0
1.68694,2391,0
1.68833,2402,0
1.6925,2405,0
1.69667,2406,0
1.70083,2410,0
1.70222,2410,0
1.70639,2414,0
1.70778,2416,0
1.71194,2420,0
1.71361,2426,0
1.71639,2434,0
1.71778,2435,0
1.71917,2438,0
1.72056,2440,0
1.72333,2445,0
1.72472,2446,0
1.72611,2446,0
1.7275,2452,0
1.72889,2477,0
1.73028,2478,0
1.73167,2483,0
1.73306,2486,0
1.73444,2488,0
1.73583,2491,0
1.73722,2493,0
1.74139,2493,0
1.74722,2504,0
1.74861,2507,0
1.75,2515,0
1.75139,2517,0
1.75278,2519,0
1.75417,2521,0
1.75694,2524,0
1.76,2525,0
1.76139,2526,0
1.76556,2527,0
1.76972,2527,0
1.77389,2528,0
1.77528,2530,0
1.77667,2531,0
1.77944,2532,0
1.78083,2532,0
1.78528,2532,0
1.79083,2536,0
1.79222,2537,0
1.79361,2540,0
1.795,2543,0
1.79639,2546,0
1.79778,2547,0
1.79917,2551,0
1.80056,2552,0
1.80194,2554,0
1.80639,2555,0
1.80917,2556,0
1.81056,2558,0
1.81611,2560,0
1.81889,2567,0
1.82167,2568,0
1.82306,2570,0
1.82444,2573,0
1.82583,2574,0
1.82861,2576,0
1.83,2577,0
1.83306,2579,0
1.83444,2579,0
1.83583,2582,0
1.83861,2583,0
1.84,2584,0
1.84278,2585,0
1.84417,2586,0
1.84556,2586,0
1.85,2586,0
1.85417,2586,0
1.85833,2586,0
1.86417,2587,0
1.86694,2588,0
1.86833,2590,0
1.8725,2590,0
1.87667,2595,0
1.87806,2598,0
1.88111,2600,0
1.8825,2601,0
1.88389,2602,0
1.88667,2606,0
1.88806,2607,0
1.89083,2613,0
1.89222,2622,0
1.89361,2625,0
1.895,2627,0
1.89917,2639,0
1.90056,2642,0
1.90361,2648,0
1.905,2649,0
1.90639,2650,0
1.90778,2651,0
1.91056,2652,0
1.91194,2654,0
1.91333,2654,0
1.91472,2655,0
1.9175,2658,0
1.92194,2661,0
1.92333,2663,0
1.9275,2664,0
1.93167,2665,0
1.93306,2665,0
1.93444,2666,0
1.93583,2672,0
1.9375,2674,0
1.94028,2677,0
1.94444,2683,0
1.94583,2688,0
1.95,2688,0
1.95417,2690,0
1.95583,2692,0
1.95722,2693,0
1.95861,2695,0
1.96,2696,0
1.96139,2700,0
1.96278,2701,0
1.96694,2704,0
1.96833,2706,0
1.97,2712,0
1.97139,2714,0
1.97278,2718,0
1.97417,2720,0
1.97556,2721,0
1.97972,2728,0
1.9825,2733,0
1.98389,2734,0
1.98667,2736,0
1.99083,2736,0
1.99361,2738,0
1.99528,2738,0
1.99944,2739,0
2.00361,2739,0
2.005,2741,0
2.00917,2749,0
2.01333,2752,0
2.01472,2754,0
2.01611,2755,0
2.0175,2756,0
2.02028,2758,0
2.02167,2761,0
2.02472,2764,0
2.02611,2765,0
2.03028,2766,0
2.03167,2769,0
2.03306,2776,0
2.03444,2777,0
2.03583,2779,0
2.03722,2781,0
2.03889,2783,0
2.04306,2783,0
2.04444,2785,0
2.04722,2786,0
2.04861,2788,0
2.05139,2789,0
2.05278,2789,0
2.05694,2795,0
2.06,2795,0
2.06556,2798,0
2.06694,2799,0
2.06833,2800,0
2.06972,2802,0
2.07389,2803,0
2.07667,2803,0
2.07806,2807,0
2.08083,2808,0
2.08222,2812,0
2.08361,2813,0
2.085,2823,0
2.08944,2835,0
2.09222,2838,0
2.09361,2839,0
2.095,2841,0
2.09917,2843,0
2.10056,2845,0
2.10194,2849,0
2.10333,2851,0
2.10611,2852,0
2.1075,2853,0
2.10889,2854,0
2.11333,2855,0
2.11472,2856,0
2.1175,2857,0
2.12167,2858,0
2.12306,2861,0
2.12444,2863,0
2.12583,2867,0
2.12722,2870,0
2.12861,2876,0
2.13139,2880,0
2.13278,2882,0
2.13556,2882,0
2.13694,2882,0
2.14278,2882,0
2.14417,2883,0
2.14556,2886,0
2.14694,2887,0
2.14833,2888,0
2.1525,2888,0
2.15806,2889,0
2.16222,2889,0
2.16667,2893,0
2.17083,2893,0
2.17361,2894,0
2.175,2896,0
2.17639,2897,0
2.18056,2900,0
2.18333,2901,0
2.1875,2901,0
2.19306,2902,0
2.1975,2905,0
2.20167,2905,0
2.20583,2906,0
2.20861,2907,0
2.21,2913,0
2.21139,2924,0
2.21278,2925,0
2.21556,2926,0
2.21694,2928,0
2.22,2928,0
2.22417,2932,0
2.22556,2935,0
2.22694,2935,0
2.22833,2936,0
2.2325,2936,0
2.23667,2936,0
2.23806,2938,0
2.24111,2939,0
2.24389,2940,0
2.24528,2941,0
2.24667,2941,0
2.25083,2942,0
2.25361,2943,0
2.255,2943,0
2.25806,2947,0
2.25944,2947,0
2.26361,2952,0
2.265,2956,0
2.26639,2957,0
2.26778,2962,0
2.26917,2964,0
2.27056,2964,0
2.27472,2967,0
2.27611,2971,0
2.27778,2975,0
2.28056,2982,0
2.28194,2986,0
2.28611,2986,0
2.29028,2987,0
2.29306,2989,0
2.29583,2992,0
2.2975,2995,0
2.30028,2996,0
2.30306,2997,0
2.30583,2997,0
2.30722,2999,0
2.31,3000,0
2.31417,3000,0
2.31694,3001,0
2.31833,3004,0
2.32139,3009,0
2.32278,3010,0
2.32694,3010,0
2.33111,3010,0
2.33528,3013,0
2.33833,3013,0
2.3425,3013,0
2.34389,3013,0
2.34667,3014,0
2.34806,3014,0
2.35083,3015,0
2.35222,3016,0
2.355,3016,0
2.35944,3018,0
2.36222,3018,0
2.36361,3020,0
2.36639,3023,0
2.36778,3024,0
2.36917,3024,0
2.37194,3024,0
2.37472,3025,0
2.37611,3025,0
2.37889,3026,0
2.38306,3027,0
2.3875,3027,0
2.39306,3027,0
2.39444,3028,0
2.39583,3029,0
2.39722,3030,0
2.40278,3030,0
2.40444,3031,0
2.40722,3037,0
2.41,3038,0
2.41139,3038,0
2.41556,3038,0
2.41972,3040,0
2.42417,3041,0
2.42833,3042,0
2.42972,3042,0
2.43389,3043,0
2.43528,3045,0
2.43944,3045,0
2.44222,3046,0
2.44361,3052,0
2.44806,3054,0
2.44944,3054,0
2.45222,3056,0
2.45639,3056,0
2.46056,3063,0
2.46333,3064,0
2.465,3064,0
2.47056,3065,0
2.47333,3066,0
2.47472,3069,0
2.47611,3071,0
2.47889,3074,0
2.48333,3075,0
2.4875,3076,0
2.49167,3076,0
2.49444,3076,0
2.49861,3078,0
2.50306,3078,0
2.50444,3079,0
2.50722,3079,0
2.50861,3080,0
2.51139,3083,0
2.51417,3094,0
2.51556,3096,0
2.51694,3100,0
2.51833,3102,0
2.51972,3106,0
2.52111,3107,0
