unix_time,paths_total,unique_crashes
0,1,0
0.00138889,119,0
0.00277778,140,0
0.00416667,150,0
0.00555556,177,0
0.00694444,185,0
0.00833333,192,0
0.00972222,201,0
0.0111111,203,0
0.0138889,205,0
0.0155556,211,0
0.0169444,217,0
0.0183333,218,0
0.0197222,223,0
0.0211111,229,0
0.0225,234,0
0.0238889,249,0
0.0252778,267,0
0.0266667,269,0
0.0283333,270,0
0.0297222,291,0
0.0325,297,0
0.0338889,299,0
0.0366667,299,0
0.0380556,306,0
0.0394444,307,0
0.0408333,309,0
0.045,309,0
0.0477778,309,0
0.0491667,310,0
0.0505556,311,0
0.0519444,311,0
0.0561111,311,0
0.0591667,311,0
0.0633333,313,0
0.0647222,316,0
0.0675,316,0
0.0702778,317,0
0.0716667,318,0
0.0747222,321,0
0.0761111,324,0
0.0788889,325,0
0.0816667,326,0
0.0830556,329,0
0.0858333,330,0
0.0872222,335,0
0.0886111,335,0
0.09,338,0
0.0927778,340,0
0.0955556,341,0
0.0969444,342,0
0.101389,342,0
0.102778,345,0
0.104167,345,0
0.105556,352,0
0.108333,355,0
0.109722,360,0
0.111111,361,0
0.115278,361,0
0.118333,362,0
0.119722,365,0
0.121111,366,0
0.123889,367,0
0.125278,368,0
0.126667,369,0
0.128056,371,0
0.130833,373,0
0.132222,375,0
0.136667,377,0
0.138056,378,0
0.140833,378,0
0.143611,382,0
0.145,384,0
0.146389,386,0
0.147778,387,0
0.150556,387,0
0.153333,388,0
0.154722,388,0
0.159167,390,0
0.163333,395,0
0.164722,397,0
0.166111,397,0
0.1675,400,0
0.168889,401,0
0.170556,402,0
0.171944,403,0
0.174722,403,0
0.176111,404,0
0.178889,405,0
0.180278,406,0
0.183056,407,0
0.184444,409,0
0.185833,412,0
0.187222,415,0
0.188889,416,0
0.190278,419,0
0.191667,424,0
0.193056,426,0
0.194444,428,0
0.195833,429,0
0.197222,430,0
0.198611,439,0
0.201389,441,0
0.202778,445,0
0.204167,446,0
0.205556,450,0
0.206944,453,0
0.208333,454,0
0.209722,457,0
0.211111,458,0
0.212778,459,0
0.214167,462,0
0.216944,463,0
0.218333,467,0
0.221111,468,0
0.2225,469,0
0.223889,470,0
0.225278,477,0
0.228333,479,0
0.229722,483,0
0.231111,489,0
0.2325,490,0
0.233889,492,0
0.236667,494,0
0.238056,495,0
0.240833,495,0
0.242222,496,0
0.245,497,0
0.248056,498,0
0.252222,509,0
0.253611,512,0
0.255,512,0
0.256389,513,0
0.259167,513,0
0.263333,513,0
0.2675,518,0
0.268889,519,0
0.271667,532,0
0.273333,539,0
0.274722,540,0
0.276111,542,0
0.280278,543,0
0.284444,546,0
0.285833,547,0
0.288889,547,0
0.291667,548,0
0.293056,549,0
0.297222,549,0
0.3,549,0
0.304444,549,0
0.308611,549,0
0.312778,562,0
0.315556,567,0
0.316944,574,0
0.318333,588,0
0.319722,592,0
0.321389,592,0
0.325556,593,0
0.328333,594,0
0.3325,594,0
0.336944,596,0
0.338333,598,0
0.339722,599,0
0.341111,599,0
0.3425,600,0
0.345278,602,0
0.348056,603,0
0.349444,603,0
0.352222,603,0
0.353611,604,0
0.356389,606,0
0.357778,610,0
0.360556,610,0
0.365,611,0
0.367778,611,0
0.371944,614,0
0.373333,616,0
0.376389,617,0
0.377778,618,0
0.379167,619,0
0.380556,619,0
0.384722,642,0
0.388889,642,0
0.391944,643,0
0.393333,649,0
0.396111,651,0
0.400278,651,0
0.403056,651,0
0.404444,652,0
0.407222,652,0
0.411389,652,0
0.415833,652,0
0.418611,652,0
0.422778,652,0
0.426944,653,0
0.431111,654,0
0.433889,654,0
0.438056,655,0
0.4425,655,0
0.446667,655,0
0.449444,656,0
0.450833,657,0
0.452222,667,0
0.455,671,0
0.456389,672,0
0.460556,685,0
0.463611,690,0
0.466389,693,0
0.470556,705,0
0.473333,708,0
0.474722,718,0
0.4775,719,0
0.478889,720,0
0.480556,729,0
0.481944,742,0
0.483333,744,0
0.486111,744,0
0.488889,744,0
0.491667,745,0
0.493056,745,0
0.495833,746,0
0.497222,748,0
0.498611,749,0
0.5,754,0
0.501389,755,0
0.502778,756,0
0.504167,756,0
0.508333,765,0
0.51,766,0
0.511389,767,0
0.514167,768,0
0.515556,771,0
0.518333,774,0
0.519722,774,0
0.5225,777,0
0.524167,779,0
0.526944,805,0
0.528333,806,0
0.529722,822,0
0.531111,832,0
0.5325,841,0
